scenario,strategy_id,strategy,rank,adaptive_resilience_value,maladaptive_risk,adjusted_value,diagnostic,critical_function
Equity-first,MRS005,Fossil Backup Power Expansion,9,4.088,4.832,-0.744,high maladaptive-resilience risk,improves short-term continuity while reinforcing emissions fuel dependency and carbon lock-in
Equity-first,MRS001,Rebuild Same Floodplain Housing,10,3.936,5.136,-1.2,high maladaptive-resilience risk,rebuilds quickly but restores repeated exposure and floodplain lock-in
Ecology-first,MRS002,Floodplain Restoration and Housing Transition,1,8.773,0.464,8.309,adaptive resilience candidate,reduces exposure through ecological restoration housing support and planned transition
Ecology-first,MRS006,Distributed Renewable Resilience Hubs,2,8.394,0.48,7.914,adaptive resilience candidate,builds community-scale energy resilience with lower emissions and local service continuity
Ecology-first,MRS004,Housing Retrofit and Public Cooling Network,3,8.281,0.448,7.833,adaptive resilience candidate,pairs building upgrades cooling access energy affordability and public health outreach
Ecology-first,MRS010,Diversified Supply Chain with Labor and Ecological Standards,4,8.138,0.536,7.602,adaptive resilience candidate,diversifies supply while reducing worker burden ecological damage and dependency lock-in
Ecology-first,MRS008,Maintenance Backlog Repair and Governance Reform,5,8.066,0.496,7.57,adaptive resilience candidate,links infrastructure repair with accountability budgeting and institutional learning
Ecology-first,MRS003,Private Cooling Expansion Only,6,4.569,4.304,0.265,high maladaptive-resilience risk,reduces heat risk for those with access while reinforcing household cost and energy dependency
Ecology-first,MRS009,Supply Chain Buffering Through Worker Flexibility,7,4.629,4.416,0.213,high maladaptive-resilience risk,preserves continuity by shifting volatility and labor burden onto workers and suppliers
Ecology-first,MRS007,Dashboard Monitoring Without Repair,8,4.182,4.676,-0.494,high maladaptive-resilience risk,improves visibility but leaves material repair governance and exposure reduction unresolved
Ecology-first,MRS005,Fossil Backup Power Expansion,9,3.86,4.832,-0.972,high maladaptive-resilience risk,improves short-term continuity while reinforcing emissions fuel dependency and carbon lock-in
Ecology-first,MRS001,Rebuild Same Floodplain Housing,10,3.86,5.136,-1.276,high maladaptive-resilience risk,rebuilds quickly but restores repeated exposure and floodplain lock-in
Burden-sensitive,MRS002,Floodplain Restoration and Housing Transition,1,7.026,0.464,6.562,adaptive resilience candidate,reduces exposure through ecological restoration housing support and planned transition
Burden-sensitive,MRS004,Housing Retrofit and Public Cooling Network,2,6.815,0.448,6.367,adaptive resilience candidate,pairs building upgrades cooling access energy affordability and public health outreach
Burden-sensitive,MRS006,Distributed Renewable Resilience Hubs,3,6.808,0.48,6.328,adaptive resilience candidate,builds community-scale energy resilience with lower emissions and local service continuity
Burden-sensitive,MRS008,Maintenance Backlog Repair and Governance Reform,4,6.6,0.496,6.104,adaptive resilience candidate,links infrastructure repair with accountability budgeting and institutional learning
Burden-sensitive,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.557,0.536,6.021,adaptive resilience candidate,diversifies supply while reducing worker burden ecological damage and dependency lock-in
Burden-sensitive,MRS003,Private Cooling Expansion Only,6,3.205,4.304,-1.099,high maladaptive-resilience risk,reduces heat risk for those with access while reinforcing household cost and energy dependency
Burden-sensitive,MRS009,Supply Chain Buffering Through Worker Flexibility,7,3.134,4.416,-1.282,high maladaptive-resilience risk,preserves continuity by shifting volatility and labor burden onto workers and suppliers
Burden-sensitive,MRS007,Dashboard Monitoring Without Repair,8,2.866,4.676,-1.81,high maladaptive-resilience risk,improves visibility but leaves material repair governance and exposure reduction unresolved
Burden-sensitive,MRS005,Fossil Backup Power Expansion,9,2.683,4.832,-2.149,high maladaptive-resilience risk,improves short-term continuity while reinforcing emissions fuel dependency and carbon lock-in
Burden-sensitive,MRS001,Rebuild Same Floodplain Housing,10,2.526,5.136,-2.61,high maladaptive-resilience risk,rebuilds quickly but restores repeated exposure and floodplain lock-in
Implementation-aware,MRS002,Floodplain Restoration and Housing Transition,1,7.844,0.464,7.38,adaptive resilience candidate,reduces exposure through ecological restoration housing support and planned transition
Implementation-aware,MRS004,Housing Retrofit and Public Cooling Network,2,7.622,0.448,7.174,adaptive resilience candidate,pairs building upgrades cooling access energy affordability and public health outreach
Implementation-aware,MRS006,Distributed Renewable Resilience Hubs,3,7.634,0.48,7.154,adaptive resilience candidate,builds community-scale energy resilience with lower emissions and local service continuity
Implementation-aware,MRS008,Maintenance Backlog Repair and Governance Reform,4,7.402,0.496,6.906,adaptive resilience candidate,links infrastructure repair with accountability budgeting and institutional learning
Implementation-aware,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,7.38,0.536,6.844,adaptive resilience candidate,diversifies supply while reducing worker burden ecological damage and dependency lock-in
Implementation-aware,MRS003,Private Cooling Expansion Only,6,4.132,4.304,-0.172,high maladaptive-resilience risk,reduces heat risk for those with access while reinforcing household cost and energy dependency
Implementation-aware,MRS009,Supply Chain Buffering Through Worker Flexibility,7,4.11,4.416,-0.306,high maladaptive-resilience risk,preserves continuity by shifting volatility and labor burden onto workers and suppliers
Implementation-aware,MRS007,Dashboard Monitoring Without Repair,8,3.754,4.676,-0.922,high maladaptive-resilience risk,improves visibility but leaves material repair governance and exposure reduction unresolved
Implementation-aware,MRS005,Fossil Backup Power Expansion,9,3.572,4.832,-1.26,high maladaptive-resilience risk,improves short-term continuity while reinforcing emissions fuel dependency and carbon lock-in
Implementation-aware,MRS001,Rebuild Same Floodplain Housing,10,3.432,5.136,-1.704,high maladaptive-resilience risk,rebuilds quickly but restores repeated exposure and floodplain lock-in
