strategy_id,strategy,persistence_capacity,harm_reduction,lock_in_reduction,equity,transformation_capacity,ecological_integrity,burden_shift,implementation_burden,critical_function,adaptive_resilience_value,maladaptive_risk,adjusted_value,scenario,diagnostic,rank
MRS002,Floodplain Restoration and Housing Transition,7.6,8.8,8.6,8.7,8.9,9,2.9,4,reduces exposure through ecological restoration housing support and planned transition,7.026000000000001,0.46399999999999997,6.562000000000001,Burden-sensitive,adaptive resilience candidate,1
MRS004,Housing Retrofit and Public Cooling Network,8.2,8.7,8,9,8.4,7.8,2.8,3.7,pairs building upgrades cooling access energy affordability and public health outreach,6.8149999999999995,0.44799999999999995,6.366999999999999,Burden-sensitive,adaptive resilience candidate,2
MRS006,Distributed Renewable Resilience Hubs,8.1,8.5,8.2,8.6,8.7,8.2,3,3.8,builds community-scale energy resilience with lower emissions and local service continuity,6.807999999999999,0.48,6.327999999999999,Burden-sensitive,adaptive resilience candidate,3
MRS008,Maintenance Backlog Repair and Governance Reform,8,8.4,8.1,8.5,8.3,7.6,3.1,3.9,links infrastructure repair with accountability budgeting and institutional learning,6.6,0.49600000000000005,6.103999999999999,Burden-sensitive,adaptive resilience candidate,4
MRS010,Diversified Supply Chain with Labor and Ecological Standards,8,8.3,7.9,8.4,8.2,8,3.2,3.8,diversifies supply while reducing worker burden ecological damage and dependency lock-in,6.5569999999999995,0.5359999999999999,6.021,Burden-sensitive,adaptive resilience candidate,5
MRS003,Private Cooling Expansion Only,8.4,4.4,3.4,5,3.8,4.5,6.2,2.9,reduces heat risk for those with access while reinforcing household cost and energy dependency,3.205000000000001,4.304,-1.0989999999999993,Burden-sensitive,high maladaptive-resilience risk,6
MRS009,Supply Chain Buffering Through Worker Flexibility,8.5,4.2,3.7,4.6,3.8,4.8,6.7,3,preserves continuity by shifting volatility and labor burden onto workers and suppliers,3.1340000000000003,4.416,-1.282,Burden-sensitive,high maladaptive-resilience risk,7
MRS007,Dashboard Monitoring Without Repair,7.9,3.6,3,4.8,3.5,4.2,6,2.6,improves visibility but leaves material repair governance and exposure reduction unresolved,2.8660000000000005,4.676,-1.8099999999999996,Burden-sensitive,high maladaptive-resilience risk,8
MRS005,Fossil Backup Power Expansion,8.6,3.8,2.9,4.4,3.2,3.4,6.5,3.1,improves short-term continuity while reinforcing emissions fuel dependency and carbon lock-in,2.6830000000000003,4.832000000000001,-2.1490000000000005,Burden-sensitive,high maladaptive-resilience risk,9
MRS001,Rebuild Same Floodplain Housing,8.8,3.2,2.8,4.2,3,3.8,6.8,3.2,rebuilds quickly but restores repeated exposure and floodplain lock-in,2.526,5.135999999999999,-2.6099999999999994,Burden-sensitive,high maladaptive-resilience risk,10
MRS002,Floodplain Restoration and Housing Transition,7.6,8.8,8.6,8.7,8.9,9,2.9,4,reduces exposure through ecological restoration housing support and planned transition,8.773000000000001,0.46399999999999997,8.309000000000001,Ecology-first,adaptive resilience candidate,1
MRS006,Distributed Renewable Resilience Hubs,8.1,8.5,8.2,8.6,8.7,8.2,3,3.8,builds community-scale energy resilience with lower emissions and local service continuity,8.393999999999998,0.48,7.913999999999998,Ecology-first,adaptive resilience candidate,2
MRS004,Housing Retrofit and Public Cooling Network,8.2,8.7,8,9,8.4,7.8,2.8,3.7,pairs building upgrades cooling access energy affordability and public health outreach,8.281,0.44799999999999995,7.833,Ecology-first,adaptive resilience candidate,3
MRS010,Diversified Supply Chain with Labor and Ecological Standards,8,8.3,7.9,8.4,8.2,8,3.2,3.8,diversifies supply while reducing worker burden ecological damage and dependency lock-in,8.138,0.5359999999999999,7.602,Ecology-first,adaptive resilience candidate,4
MRS008,Maintenance Backlog Repair and Governance Reform,8,8.4,8.1,8.5,8.3,7.6,3.1,3.9,links infrastructure repair with accountability budgeting and institutional learning,8.066,0.49600000000000005,7.57,Ecology-first,adaptive resilience candidate,5
MRS003,Private Cooling Expansion Only,8.4,4.4,3.4,5,3.8,4.5,6.2,2.9,reduces heat risk for those with access while reinforcing household cost and energy dependency,4.569,4.304,0.2649999999999997,Ecology-first,high maladaptive-resilience risk,6
MRS009,Supply Chain Buffering Through Worker Flexibility,8.5,4.2,3.7,4.6,3.8,4.8,6.7,3,preserves continuity by shifting volatility and labor burden onto workers and suppliers,4.6290000000000004,4.416,0.21300000000000008,Ecology-first,high maladaptive-resilience risk,7
MRS007,Dashboard Monitoring Without Repair,7.9,3.6,3,4.8,3.5,4.2,6,2.6,improves visibility but leaves material repair governance and exposure reduction unresolved,4.182,4.676,-0.4939999999999998,Ecology-first,high maladaptive-resilience risk,8
MRS005,Fossil Backup Power Expansion,8.6,3.8,2.9,4.4,3.2,3.4,6.5,3.1,improves short-term continuity while reinforcing emissions fuel dependency and carbon lock-in,3.8600000000000003,4.832000000000001,-0.9720000000000004,Ecology-first,high maladaptive-resilience risk,9
MRS001,Rebuild Same Floodplain Housing,8.8,3.2,2.8,4.2,3,3.8,6.8,3.2,rebuilds quickly but restores repeated exposure and floodplain lock-in,3.86,5.135999999999999,-1.2759999999999994,Ecology-first,high maladaptive-resilience risk,10
MRS002,Floodplain Restoration and Housing Transition,7.6,8.8,8.6,8.7,8.9,9,2.9,4,reduces exposure through ecological restoration housing support and planned transition,8.703000000000001,0.46399999999999997,8.239,Equity-first,adaptive resilience candidate,1
MRS004,Housing Retrofit and Public Cooling Network,8.2,8.7,8,9,8.4,7.8,2.8,3.7,pairs building upgrades cooling access energy affordability and public health outreach,8.562999999999999,0.44799999999999995,8.114999999999998,Equity-first,adaptive resilience candidate,2
MRS006,Distributed Renewable Resilience Hubs,8.1,8.5,8.2,8.6,8.7,8.2,3,3.8,builds community-scale energy resilience with lower emissions and local service continuity,8.488,0.48,8.008,Equity-first,adaptive resilience candidate,3
MRS008,Maintenance Backlog Repair and Governance Reform,8,8.4,8.1,8.5,8.3,7.6,3.1,3.9,links infrastructure repair with accountability budgeting and institutional learning,8.280000000000001,0.49600000000000005,7.784000000000001,Equity-first,adaptive resilience candidate,4
MRS010,Diversified Supply Chain with Labor and Ecological Standards,8,8.3,7.9,8.4,8.2,8,3.2,3.8,diversifies supply while reducing worker burden ecological damage and dependency lock-in,8.232,0.5359999999999999,7.696,Equity-first,adaptive resilience candidate,5
MRS003,Private Cooling Expansion Only,8.4,4.4,3.4,5,3.8,4.5,6.2,2.9,reduces heat risk for those with access while reinforcing household cost and energy dependency,4.6770000000000005,4.304,0.3730000000000002,Equity-first,high maladaptive-resilience risk,6
MRS009,Supply Chain Buffering Through Worker Flexibility,8.5,4.2,3.7,4.6,3.8,4.8,6.7,3,preserves continuity by shifting volatility and labor burden onto workers and suppliers,4.573,4.416,0.15700000000000003,Equity-first,high maladaptive-resilience risk,7
MRS007,Dashboard Monitoring Without Repair,7.9,3.6,3,4.8,3.5,4.2,6,2.6,improves visibility but leaves material repair governance and exposure reduction unresolved,4.302000000000001,4.676,-0.3739999999999988,Equity-first,high maladaptive-resilience risk,8
MRS005,Fossil Backup Power Expansion,8.6,3.8,2.9,4.4,3.2,3.4,6.5,3.1,improves short-term continuity while reinforcing emissions fuel dependency and carbon lock-in,4.088,4.832000000000001,-0.7440000000000007,Equity-first,high maladaptive-resilience risk,9
MRS001,Rebuild Same Floodplain Housing,8.8,3.2,2.8,4.2,3,3.8,6.8,3.2,rebuilds quickly but restores repeated exposure and floodplain lock-in,3.9360000000000004,5.135999999999999,-1.1999999999999988,Equity-first,high maladaptive-resilience risk,10
MRS002,Floodplain Restoration and Housing Transition,7.6,8.8,8.6,8.7,8.9,9,2.9,4,reduces exposure through ecological restoration housing support and planned transition,8.725000000000001,0.46399999999999997,8.261000000000001,Harm-reduction-first,adaptive resilience candidate,1
MRS004,Housing Retrofit and Public Cooling Network,8.2,8.7,8,9,8.4,7.8,2.8,3.7,pairs building upgrades cooling access energy affordability and public health outreach,8.497,0.44799999999999995,8.049,Harm-reduction-first,adaptive resilience candidate,2
MRS006,Distributed Renewable Resilience Hubs,8.1,8.5,8.2,8.6,8.7,8.2,3,3.8,builds community-scale energy resilience with lower emissions and local service continuity,8.466,0.48,7.985999999999999,Harm-reduction-first,adaptive resilience candidate,3
MRS008,Maintenance Backlog Repair and Governance Reform,8,8.4,8.1,8.5,8.3,7.6,3.1,3.9,links infrastructure repair with accountability budgeting and institutional learning,8.258000000000001,0.49600000000000005,7.7620000000000005,Harm-reduction-first,adaptive resilience candidate,4
MRS010,Diversified Supply Chain with Labor and Ecological Standards,8,8.3,7.9,8.4,8.2,8,3.2,3.8,diversifies supply while reducing worker burden ecological damage and dependency lock-in,8.21,0.5359999999999999,7.674000000000001,Harm-reduction-first,adaptive resilience candidate,5
MRS003,Private Cooling Expansion Only,8.4,4.4,3.4,5,3.8,4.5,6.2,2.9,reduces heat risk for those with access while reinforcing household cost and energy dependency,4.545000000000001,4.304,0.24100000000000055,Harm-reduction-first,high maladaptive-resilience risk,6
MRS009,Supply Chain Buffering Through Worker Flexibility,8.5,4.2,3.7,4.6,3.8,4.8,6.7,3,preserves continuity by shifting volatility and labor burden onto workers and suppliers,4.485,4.416,0.06899999999999995,Harm-reduction-first,high maladaptive-resilience risk,7
MRS007,Dashboard Monitoring Without Repair,7.9,3.6,3,4.8,3.5,4.2,6,2.6,improves visibility but leaves material repair governance and exposure reduction unresolved,4.038000000000001,4.676,-0.637999999999999,Harm-reduction-first,high maladaptive-resilience risk,8
MRS005,Fossil Backup Power Expansion,8.6,3.8,2.9,4.4,3.2,3.4,6.5,3.1,improves short-term continuity while reinforcing emissions fuel dependency and carbon lock-in,3.9560000000000004,4.832000000000001,-0.8760000000000003,Harm-reduction-first,high maladaptive-resilience risk,9
MRS001,Rebuild Same Floodplain Housing,8.8,3.2,2.8,4.2,3,3.8,6.8,3.2,rebuilds quickly but restores repeated exposure and floodplain lock-in,3.7159999999999997,5.135999999999999,-1.4199999999999995,Harm-reduction-first,high maladaptive-resilience risk,10
MRS002,Floodplain Restoration and Housing Transition,7.6,8.8,8.6,8.7,8.9,9,2.9,4,reduces exposure through ecological restoration housing support and planned transition,7.843999999999999,0.46399999999999997,7.379999999999999,Implementation-aware,adaptive resilience candidate,1
MRS004,Housing Retrofit and Public Cooling Network,8.2,8.7,8,9,8.4,7.8,2.8,3.7,pairs building upgrades cooling access energy affordability and public health outreach,7.622,0.44799999999999995,7.1739999999999995,Implementation-aware,adaptive resilience candidate,2
MRS006,Distributed Renewable Resilience Hubs,8.1,8.5,8.2,8.6,8.7,8.2,3,3.8,builds community-scale energy resilience with lower emissions and local service continuity,7.6339999999999995,0.48,7.154,Implementation-aware,adaptive resilience candidate,3
MRS008,Maintenance Backlog Repair and Governance Reform,8,8.4,8.1,8.5,8.3,7.6,3.1,3.9,links infrastructure repair with accountability budgeting and institutional learning,7.402,0.49600000000000005,6.906,Implementation-aware,adaptive resilience candidate,4
MRS010,Diversified Supply Chain with Labor and Ecological Standards,8,8.3,7.9,8.4,8.2,8,3.2,3.8,diversifies supply while reducing worker burden ecological damage and dependency lock-in,7.380000000000001,0.5359999999999999,6.844000000000001,Implementation-aware,adaptive resilience candidate,5
MRS003,Private Cooling Expansion Only,8.4,4.4,3.4,5,3.8,4.5,6.2,2.9,reduces heat risk for those with access while reinforcing household cost and energy dependency,4.132000000000001,4.304,-0.1719999999999997,Implementation-aware,high maladaptive-resilience risk,6
MRS009,Supply Chain Buffering Through Worker Flexibility,8.5,4.2,3.7,4.6,3.8,4.8,6.7,3,preserves continuity by shifting volatility and labor burden onto workers and suppliers,4.109999999999999,4.416,-0.30600000000000094,Implementation-aware,high maladaptive-resilience risk,7
MRS007,Dashboard Monitoring Without Repair,7.9,3.6,3,4.8,3.5,4.2,6,2.6,improves visibility but leaves material repair governance and exposure reduction unresolved,3.7540000000000004,4.676,-0.9219999999999997,Implementation-aware,high maladaptive-resilience risk,8
MRS005,Fossil Backup Power Expansion,8.6,3.8,2.9,4.4,3.2,3.4,6.5,3.1,improves short-term continuity while reinforcing emissions fuel dependency and carbon lock-in,3.5720000000000005,4.832000000000001,-1.2600000000000002,Implementation-aware,high maladaptive-resilience risk,9
MRS001,Rebuild Same Floodplain Housing,8.8,3.2,2.8,4.2,3,3.8,6.8,3.2,rebuilds quickly but restores repeated exposure and floodplain lock-in,3.4320000000000004,5.135999999999999,-1.7039999999999988,Implementation-aware,high maladaptive-resilience risk,10
MRS004,Housing Retrofit and Public Cooling Network,8.2,8.7,8,9,8.4,7.8,2.8,3.7,pairs building upgrades cooling access energy affordability and public health outreach,7.877000000000001,0.44799999999999995,7.429,Persistence-first,adaptive resilience candidate,1
MRS002,Floodplain Restoration and Housing Transition,7.6,8.8,8.6,8.7,8.9,9,2.9,4,reduces exposure through ecological restoration housing support and planned transition,7.885000000000001,0.46399999999999997,7.421000000000001,Persistence-first,adaptive resilience candidate,2
MRS006,Distributed Renewable Resilience Hubs,8.1,8.5,8.2,8.6,8.7,8.2,3,3.8,builds community-scale energy resilience with lower emissions and local service continuity,7.858,0.48,7.378,Persistence-first,adaptive resilience candidate,3
MRS008,Maintenance Backlog Repair and Governance Reform,8,8.4,8.1,8.5,8.3,7.6,3.1,3.9,links infrastructure repair with accountability budgeting and institutional learning,7.672000000000001,0.49600000000000005,7.176,Persistence-first,adaptive resilience candidate,4
MRS010,Diversified Supply Chain with Labor and Ecological Standards,8,8.3,7.9,8.4,8.2,8,3.2,3.8,diversifies supply while reducing worker burden ecological damage and dependency lock-in,7.648,0.5359999999999999,7.112,Persistence-first,adaptive resilience candidate,5
MRS003,Private Cooling Expansion Only,8.4,4.4,3.4,5,3.8,4.5,6.2,2.9,reduces heat risk for those with access while reinforcing household cost and energy dependency,5.3389999999999995,4.304,1.0349999999999993,Persistence-first,high maladaptive-resilience risk,6
MRS009,Supply Chain Buffering Through Worker Flexibility,8.5,4.2,3.7,4.6,3.8,4.8,6.7,3,preserves continuity by shifting volatility and labor burden onto workers and suppliers,5.349,4.416,0.9329999999999998,Persistence-first,high maladaptive-resilience risk,7
MRS007,Dashboard Monitoring Without Repair,7.9,3.6,3,4.8,3.5,4.2,6,2.6,improves visibility but leaves material repair governance and exposure reduction unresolved,4.918,4.676,0.242,Persistence-first,high maladaptive-resilience risk,8
MRS005,Fossil Backup Power Expansion,8.6,3.8,2.9,4.4,3.2,3.4,6.5,3.1,improves short-term continuity while reinforcing emissions fuel dependency and carbon lock-in,5.002,4.832000000000001,0.16999999999999904,Persistence-first,high maladaptive-resilience risk,9
MRS001,Rebuild Same Floodplain Housing,8.8,3.2,2.8,4.2,3,3.8,6.8,3.2,rebuilds quickly but restores repeated exposure and floodplain lock-in,4.96,5.135999999999999,-0.17599999999999927,Persistence-first,high maladaptive-resilience risk,10
MRS002,Floodplain Restoration and Housing Transition,7.6,8.8,8.6,8.7,8.9,9,2.9,4,reduces exposure through ecological restoration housing support and planned transition,8.921000000000001,0.46399999999999997,8.457,Transformation-first,adaptive resilience candidate,1
MRS006,Distributed Renewable Resilience Hubs,8.1,8.5,8.2,8.6,8.7,8.2,3,3.8,builds community-scale energy resilience with lower emissions and local service continuity,8.677999999999999,0.48,8.197999999999999,Transformation-first,adaptive resilience candidate,2
MRS004,Housing Retrofit and Public Cooling Network,8.2,8.7,8,9,8.4,7.8,2.8,3.7,pairs building upgrades cooling access energy affordability and public health outreach,8.584999999999999,0.44799999999999995,8.136999999999999,Transformation-first,adaptive resilience candidate,3
MRS008,Maintenance Backlog Repair and Governance Reform,8,8.4,8.1,8.5,8.3,7.6,3.1,3.9,links infrastructure repair with accountability budgeting and institutional learning,8.396000000000003,0.49600000000000005,7.900000000000002,Transformation-first,adaptive resilience candidate,4
MRS010,Diversified Supply Chain with Labor and Ecological Standards,8,8.3,7.9,8.4,8.2,8,3.2,3.8,diversifies supply while reducing worker burden ecological damage and dependency lock-in,8.344,0.5359999999999999,7.808,Transformation-first,adaptive resilience candidate,5
MRS003,Private Cooling Expansion Only,8.4,4.4,3.4,5,3.8,4.5,6.2,2.9,reduces heat risk for those with access while reinforcing household cost and energy dependency,4.469,4.304,0.16500000000000004,Transformation-first,high maladaptive-resilience risk,6
MRS009,Supply Chain Buffering Through Worker Flexibility,8.5,4.2,3.7,4.6,3.8,4.8,6.7,3,preserves continuity by shifting volatility and labor burden onto workers and suppliers,4.463,4.416,0.04699999999999971,Transformation-first,high maladaptive-resilience risk,7
MRS007,Dashboard Monitoring Without Repair,7.9,3.6,3,4.8,3.5,4.2,6,2.6,improves visibility but leaves material repair governance and exposure reduction unresolved,4.074000000000001,4.676,-0.6019999999999994,Transformation-first,high maladaptive-resilience risk,8
MRS005,Fossil Backup Power Expansion,8.6,3.8,2.9,4.4,3.2,3.4,6.5,3.1,improves short-term continuity while reinforcing emissions fuel dependency and carbon lock-in,3.87,4.832000000000001,-0.9620000000000006,Transformation-first,high maladaptive-resilience risk,9
MRS001,Rebuild Same Floodplain Housing,8.8,3.2,2.8,4.2,3,3.8,6.8,3.2,rebuilds quickly but restores repeated exposure and floodplain lock-in,3.724,5.135999999999999,-1.411999999999999,Transformation-first,high maladaptive-resilience risk,10
