simulation_id,strategy_id,strategy,rank,adjusted_value,maladaptive_risk
4,MRS002,Floodplain Restoration and Housing Transition,3,7.2196,0.68957
4,MRS006,Distributed Renewable Resilience Hubs,4,7.06354,0.56735
4,MRS008,Maintenance Backlog Repair and Governance Reform,5,7.04686,0.56256
4,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.43553,4.11708
4,MRS003,Private Cooling Expansion Only,7,0.32294,4.14109
4,MRS005,Fossil Backup Power Expansion,8,-0.87743,4.77055
4,MRS007,Dashboard Monitoring Without Repair,9,-1.12789,4.9073
4,MRS001,Rebuild Same Floodplain Housing,10,-1.57621,5.20531
5,MRS002,Floodplain Restoration and Housing Transition,1,7.38482,0.49587
5,MRS004,Housing Retrofit and Public Cooling Network,2,7.16499,0.53565
5,MRS008,Maintenance Backlog Repair and Governance Reform,3,6.95228,0.63214
5,MRS010,Diversified Supply Chain with Labor and Ecological Standards,4,6.35504,1.03129
5,MRS006,Distributed Renewable Resilience Hubs,5,6.23489,1.02236
5,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.18301,4.21425
5,MRS003,Private Cooling Expansion Only,7,0.07395,4.29919
5,MRS005,Fossil Backup Power Expansion,8,-0.03953,4.33523
5,MRS007,Dashboard Monitoring Without Repair,9,-1.04742,4.83704
5,MRS001,Rebuild Same Floodplain Housing,10,-2.03944,5.45272
6,MRS004,Housing Retrofit and Public Cooling Network,1,7.85707,0.46838
6,MRS010,Diversified Supply Chain with Labor and Ecological Standards,2,7.71654,0.56085
6,MRS002,Floodplain Restoration and Housing Transition,3,7.71408,0.38943
6,MRS008,Maintenance Backlog Repair and Governance Reform,4,7.26906,0.51304
6,MRS006,Distributed Renewable Resilience Hubs,5,6.87953,0.66984
6,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.45964,4.02247
6,MRS003,Private Cooling Expansion Only,7,0.04305,4.2358
6,MRS007,Dashboard Monitoring Without Repair,8,-0.35681,4.46328
6,MRS001,Rebuild Same Floodplain Housing,9,-1.14593,4.85167
6,MRS005,Fossil Backup Power Expansion,10,-1.74149,5.24751
7,MRS010,Diversified Supply Chain with Labor and Ecological Standards,1,7.42457,0.43689
7,MRS006,Distributed Renewable Resilience Hubs,2,7.35095,0.50392
7,MRS004,Housing Retrofit and Public Cooling Network,3,7.12077,0.6769
7,MRS002,Floodplain Restoration and Housing Transition,4,7.08256,0.45554
7,MRS008,Maintenance Backlog Repair and Governance Reform,5,6.9926,0.56104
7,MRS003,Private Cooling Expansion Only,6,-0.29202,4.56532
7,MRS009,Supply Chain Buffering Through Worker Flexibility,7,-0.64431,4.70118
7,MRS005,Fossil Backup Power Expansion,8,-0.88656,4.83665
7,MRS007,Dashboard Monitoring Without Repair,9,-0.95319,4.73115
7,MRS001,Rebuild Same Floodplain Housing,10,-1.76713,5.26153
8,MRS002,Floodplain Restoration and Housing Transition,1,7.73568,0.50653
8,MRS006,Distributed Renewable Resilience Hubs,2,7.63646,0.41378
8,MRS004,Housing Retrofit and Public Cooling Network,3,7.2707,0.35223
8,MRS010,Diversified Supply Chain with Labor and Ecological Standards,4,7.25421,0.56294
8,MRS008,Maintenance Backlog Repair and Governance Reform,5,6.08611,0.96744
8,MRS003,Private Cooling Expansion Only,6,0.19643,4.2494
8,MRS009,Supply Chain Buffering Through Worker Flexibility,7,0.01022,4.34514
8,MRS007,Dashboard Monitoring Without Repair,8,-0.94431,4.67253
8,MRS001,Rebuild Same Floodplain Housing,9,-1.56609,5.22291
8,MRS005,Fossil Backup Power Expansion,10,-1.65998,5.08761
9,MRS002,Floodplain Restoration and Housing Transition,1,7.88151,0.40837
9,MRS004,Housing Retrofit and Public Cooling Network,2,7.66336,0.35506
9,MRS008,Maintenance Backlog Repair and Governance Reform,3,7.30315,0.51804
9,MRS010,Diversified Supply Chain with Labor and Ecological Standards,4,6.93815,0.74775
9,MRS006,Distributed Renewable Resilience Hubs,5,6.88965,0.55971
9,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.22466,4.21338
9,MRS007,Dashboard Monitoring Without Repair,7,0.00599,4.35707
9,MRS001,Rebuild Same Floodplain Housing,8,-0.166,4.40082
9,MRS003,Private Cooling Expansion Only,9,-0.28499,4.36512
9,MRS005,Fossil Backup Power Expansion,10,-0.88569,4.66948
10,MRS002,Floodplain Restoration and Housing Transition,1,7.77948,0.40098
10,MRS008,Maintenance Backlog Repair and Governance Reform,2,7.33226,0.49166
10,MRS010,Diversified Supply Chain with Labor and Ecological Standards,3,7.32005,0.60305
10,MRS006,Distributed Renewable Resilience Hubs,4,7.20677,0.57828
10,MRS004,Housing Retrofit and Public Cooling Network,5,7.201,0.64516
10,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.70317,4.055
10,MRS003,Private Cooling Expansion Only,7,-0.20292,4.33703
10,MRS005,Fossil Backup Power Expansion,8,-1.21094,4.75097
10,MRS007,Dashboard Monitoring Without Repair,9,-1.23006,5.0784
10,MRS001,Rebuild Same Floodplain Housing,10,-2.32402,5.54977
11,MRS002,Floodplain Restoration and Housing Transition,1,7.74552,0.49368
11,MRS004,Housing Retrofit and Public Cooling Network,2,7.73828,0.33354
11,MRS010,Diversified Supply Chain with Labor and Ecological Standards,3,7.38525,0.56759
11,MRS008,Maintenance Backlog Repair and Governance Reform,4,6.90343,0.55128
11,MRS006,Distributed Renewable Resilience Hubs,5,6.59092,0.70007
11,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.58172,4.0014
11,MRS007,Dashboard Monitoring Without Repair,7,-0.32628,4.42366
11,MRS003,Private Cooling Expansion Only,8,-0.35862,4.54057
11,MRS001,Rebuild Same Floodplain Housing,9,-0.68057,4.64936
11,MRS005,Fossil Backup Power Expansion,10,-1.05273,4.72766
12,MRS008,Maintenance Backlog Repair and Governance Reform,1,7.62899,0.55454
12,MRS002,Floodplain Restoration and Housing Transition,2,7.47591,0.43232
12,MRS010,Diversified Supply Chain with Labor and Ecological Standards,3,7.39314,0.52643
12,MRS004,Housing Retrofit and Public Cooling Network,4,7.2541,0.45742
12,MRS006,Distributed Renewable Resilience Hubs,5,6.9724,0.83216
12,MRS003,Private Cooling Expansion Only,6,1.16833,3.83258
12,MRS009,Supply Chain Buffering Through Worker Flexibility,7,1.07064,3.80091
12,MRS005,Fossil Backup Power Expansion,8,-1.36713,5.05964
12,MRS007,Dashboard Monitoring Without Repair,9,-1.40967,5.05944
12,MRS001,Rebuild Same Floodplain Housing,10,-2.04166,5.46483
13,MRS006,Distributed Renewable Resilience Hubs,1,7.56439,0.38869
13,MRS010,Diversified Supply Chain with Labor and Ecological Standards,2,7.39821,0.46912
13,MRS004,Housing Retrofit and Public Cooling Network,3,7.38856,0.56262
13,MRS002,Floodplain Restoration and Housing Transition,4,7.34319,0.55462
13,MRS008,Maintenance Backlog Repair and Governance Reform,5,6.83561,0.6305
13,MRS003,Private Cooling Expansion Only,6,-0.37822,4.49918
13,MRS007,Dashboard Monitoring Without Repair,7,-0.75124,4.67543
13,MRS009,Supply Chain Buffering Through Worker Flexibility,8,-1.37679,5.04033
13,MRS005,Fossil Backup Power Expansion,9,-1.9328,5.20546
13,MRS001,Rebuild Same Floodplain Housing,10,-2.19881,5.49013
14,MRS002,Floodplain Restoration and Housing Transition,1,7.58452,0.54887
14,MRS004,Housing Retrofit and Public Cooling Network,2,7.38909,0.52117
14,MRS006,Distributed Renewable Resilience Hubs,3,7.35789,0.4044
14,MRS008,Maintenance Backlog Repair and Governance Reform,4,6.93275,0.71364
14,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.71369,0.81635
14,MRS003,Private Cooling Expansion Only,6,0.04262,4.21243
14,MRS009,Supply Chain Buffering Through Worker Flexibility,7,-0.09229,4.33744
14,MRS007,Dashboard Monitoring Without Repair,8,-0.67672,4.77498
14,MRS005,Fossil Backup Power Expansion,9,-1.73156,5.19984
14,MRS001,Rebuild Same Floodplain Housing,10,-2.3284,5.69994
15,MRS002,Floodplain Restoration and Housing Transition,1,8.12056,0.43886
15,MRS006,Distributed Renewable Resilience Hubs,2,7.68309,0.66049
15,MRS010,Diversified Supply Chain with Labor and Ecological Standards,3,7.27731,0.6455
15,MRS004,Housing Retrofit and Public Cooling Network,4,6.99424,0.50287
15,MRS008,Maintenance Backlog Repair and Governance Reform,5,6.83579,0.82175
15,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.28244,4.17422
15,MRS003,Private Cooling Expansion Only,7,-0.31156,4.45011
15,MRS005,Fossil Backup Power Expansion,8,-1.43142,5.01268
15,MRS007,Dashboard Monitoring Without Repair,9,-1.80175,5.30666
15,MRS001,Rebuild Same Floodplain Housing,10,-2.05025,5.47122
16,MRS002,Floodplain Restoration and Housing Transition,1,8.1779,0.36354
16,MRS006,Distributed Renewable Resilience Hubs,2,7.28069,0.599
16,MRS010,Diversified Supply Chain with Labor and Ecological Standards,3,7.25181,0.59785
16,MRS004,Housing Retrofit and Public Cooling Network,4,7.03362,0.56813
16,MRS008,Maintenance Backlog Repair and Governance Reform,5,6.89305,0.59441
16,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.12545,4.23758
16,MRS003,Private Cooling Expansion Only,7,-0.16972,4.45772
16,MRS005,Fossil Backup Power Expansion,8,-0.66406,4.77218
16,MRS007,Dashboard Monitoring Without Repair,9,-1.30311,5.01913
16,MRS001,Rebuild Same Floodplain Housing,10,-1.97392,5.40123
17,MRS004,Housing Retrofit and Public Cooling Network,1,7.75384,0.43866
17,MRS002,Floodplain Restoration and Housing Transition,2,7.65479,0.57107
17,MRS006,Distributed Renewable Resilience Hubs,3,7.08906,0.76321
17,MRS010,Diversified Supply Chain with Labor and Ecological Standards,4,6.85528,0.56265
17,MRS008,Maintenance Backlog Repair and Governance Reform,5,6.82867,0.69857
17,MRS003,Private Cooling Expansion Only,6,1.41635,3.46812
17,MRS009,Supply Chain Buffering Through Worker Flexibility,7,-0.76603,4.73693
17,MRS007,Dashboard Monitoring Without Repair,8,-0.77353,4.76661
17,MRS001,Rebuild Same Floodplain Housing,9,-1.13529,4.95521
17,MRS005,Fossil Backup Power Expansion,10,-1.13682,4.83763
18,MRS002,Floodplain Restoration and Housing Transition,1,8.35024,0.17667
18,MRS006,Distributed Renewable Resilience Hubs,2,7.77504,0.34867
18,MRS004,Housing Retrofit and Public Cooling Network,3,7.53196,0.55888
18,MRS008,Maintenance Backlog Repair and Governance Reform,4,6.79491,0.79024
18,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.23416,0.97142
18,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.38225,4.13989
18,MRS003,Private Cooling Expansion Only,7,-0.3879,4.57077
18,MRS007,Dashboard Monitoring Without Repair,8,-0.74473,4.72868
18,MRS005,Fossil Backup Power Expansion,9,-1.53484,4.96285
18,MRS001,Rebuild Same Floodplain Housing,10,-1.86575,5.36941
19,MRS006,Distributed Renewable Resilience Hubs,1,7.79883,0.31775
19,MRS002,Floodplain Restoration and Housing Transition,2,7.65427,0.5274
19,MRS010,Diversified Supply Chain with Labor and Ecological Standards,3,7.30622,0.55665
19,MRS004,Housing Retrofit and Public Cooling Network,4,7.29008,0.47903
19,MRS008,Maintenance Backlog Repair and Governance Reform,5,6.90707,0.84671
19,MRS003,Private Cooling Expansion Only,6,0.42104,4.08996
19,MRS005,Fossil Backup Power Expansion,7,0.05755,4.225
19,MRS009,Supply Chain Buffering Through Worker Flexibility,8,-0.1761,4.64017
19,MRS007,Dashboard Monitoring Without Repair,9,-0.70658,4.61146
19,MRS001,Rebuild Same Floodplain Housing,10,-1.71451,5.26445
20,MRS006,Distributed Renewable Resilience Hubs,1,7.61204,0.48209
20,MRS004,Housing Retrofit and Public Cooling Network,2,7.51749,0.54337
20,MRS002,Floodplain Restoration and Housing Transition,3,7.47475,0.34536
20,MRS008,Maintenance Backlog Repair and Governance Reform,4,7.39541,0.47737
20,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.57076,0.82752
20,MRS003,Private Cooling Expansion Only,6,-0.16037,4.39887
20,MRS007,Dashboard Monitoring Without Repair,7,-0.69122,4.56524
20,MRS009,Supply Chain Buffering Through Worker Flexibility,8,-0.80079,4.60991
20,MRS005,Fossil Backup Power Expansion,9,-1.59255,5.15512
20,MRS001,Rebuild Same Floodplain Housing,10,-2.18298,5.40925
21,MRS004,Housing Retrofit and Public Cooling Network,1,7.93087,0.3448
21,MRS002,Floodplain Restoration and Housing Transition,2,7.88376,0.43477
21,MRS008,Maintenance Backlog Repair and Governance Reform,3,7.69473,0.35579
21,MRS010,Diversified Supply Chain with Labor and Ecological Standards,4,7.35875,0.55464
21,MRS006,Distributed Renewable Resilience Hubs,5,6.96423,0.66788
21,MRS009,Supply Chain Buffering Through Worker Flexibility,6,-0.10977,4.49254
21,MRS003,Private Cooling Expansion Only,7,-0.17683,4.38442
21,MRS005,Fossil Backup Power Expansion,8,-0.39928,4.49169
21,MRS007,Dashboard Monitoring Without Repair,9,-1.23009,4.89097
21,MRS001,Rebuild Same Floodplain Housing,10,-1.45577,5.13179
22,MRS002,Floodplain Restoration and Housing Transition,1,7.82131,0.62039
22,MRS004,Housing Retrofit and Public Cooling Network,2,7.43818,0.42011
22,MRS006,Distributed Renewable Resilience Hubs,3,7.40918,0.48127
22,MRS008,Maintenance Backlog Repair and Governance Reform,4,7.1692,0.5308
22,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,7.09664,0.82683
22,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.52885,3.98474
22,MRS003,Private Cooling Expansion Only,7,0.1194,4.29145
22,MRS007,Dashboard Monitoring Without Repair,8,-1.34767,4.96259
22,MRS005,Fossil Backup Power Expansion,9,-1.81638,5.11464
22,MRS001,Rebuild Same Floodplain Housing,10,-2.04095,5.47809
23,MRS002,Floodplain Restoration and Housing Transition,1,7.90264,0.4955
23,MRS004,Housing Retrofit and Public Cooling Network,2,7.60368,0.50213
23,MRS006,Distributed Renewable Resilience Hubs,3,7.44048,0.54938
23,MRS010,Diversified Supply Chain with Labor and Ecological Standards,4,7.18172,0.70351
23,MRS008,Maintenance Backlog Repair and Governance Reform,5,7.15739,0.55168
23,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.768,3.8575
23,MRS003,Private Cooling Expansion Only,7,-0.2261,4.3939
23,MRS005,Fossil Backup Power Expansion,8,-0.41203,4.43603
23,MRS001,Rebuild Same Floodplain Housing,9,-0.58483,4.54874
23,MRS007,Dashboard Monitoring Without Repair,10,-0.7537,4.56525
24,MRS006,Distributed Renewable Resilience Hubs,1,7.62261,0.30483
24,MRS004,Housing Retrofit and Public Cooling Network,2,7.56692,0.34472
24,MRS002,Floodplain Restoration and Housing Transition,3,7.3731,0.75793
24,MRS008,Maintenance Backlog Repair and Governance Reform,4,7.01623,0.60849
24,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.93934,0.63678
24,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.20771,4.44626
24,MRS003,Private Cooling Expansion Only,7,-0.21799,4.50237
24,MRS007,Dashboard Monitoring Without Repair,8,-0.27739,4.45396
24,MRS005,Fossil Backup Power Expansion,9,-1.25257,4.92333
24,MRS001,Rebuild Same Floodplain Housing,10,-1.81468,5.40227
25,MRS006,Distributed Renewable Resilience Hubs,1,7.44652,0.35378
25,MRS008,Maintenance Backlog Repair and Governance Reform,2,7.39663,0.54564
25,MRS002,Floodplain Restoration and Housing Transition,3,7.1643,0.72426
25,MRS010,Diversified Supply Chain with Labor and Ecological Standards,4,7.0146,0.67957
25,MRS004,Housing Retrofit and Public Cooling Network,5,6.3745,0.95387
25,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.61183,4.03396
25,MRS007,Dashboard Monitoring Without Repair,7,0.35925,4.00838
25,MRS003,Private Cooling Expansion Only,8,-0.3793,4.5268
25,MRS001,Rebuild Same Floodplain Housing,9,-0.49241,4.74348
25,MRS005,Fossil Backup Power Expansion,10,-1.72962,5.1199
26,MRS006,Distributed Renewable Resilience Hubs,1,7.66349,0.65482
26,MRS010,Diversified Supply Chain with Labor and Ecological Standards,2,7.291,0.49068
26,MRS002,Floodplain Restoration and Housing Transition,3,7.13867,0.63298
26,MRS008,Maintenance Backlog Repair and Governance Reform,4,6.84213,0.72968
26,MRS004,Housing Retrofit and Public Cooling Network,5,6.6222,0.83892
26,MRS003,Private Cooling Expansion Only,6,-0.39702,4.5676
26,MRS005,Fossil Backup Power Expansion,7,-1.13515,4.86132
26,MRS007,Dashboard Monitoring Without Repair,8,-1.1409,4.89276
26,MRS009,Supply Chain Buffering Through Worker Flexibility,9,-1.14511,4.90176
26,MRS001,Rebuild Same Floodplain Housing,10,-1.48532,5.11797
27,MRS002,Floodplain Restoration and Housing Transition,1,8.34556,0.36743
27,MRS004,Housing Retrofit and Public Cooling Network,2,7.89556,0.54846
27,MRS006,Distributed Renewable Resilience Hubs,3,7.39454,0.59305
27,MRS010,Diversified Supply Chain with Labor and Ecological Standards,4,7.13696,0.778
27,MRS008,Maintenance Backlog Repair and Governance Reform,5,6.87264,0.58553
27,MRS009,Supply Chain Buffering Through Worker Flexibility,6,-0.04043,4.39847
27,MRS003,Private Cooling Expansion Only,7,-0.42764,4.50186
27,MRS001,Rebuild Same Floodplain Housing,8,-0.79469,4.71219
27,MRS007,Dashboard Monitoring Without Repair,9,-0.84905,4.66832
27,MRS005,Fossil Backup Power Expansion,10,-1.53485,5.24523
28,MRS002,Floodplain Restoration and Housing Transition,1,7.87586,0.46864
28,MRS006,Distributed Renewable Resilience Hubs,2,7.83694,0.3791
28,MRS004,Housing Retrofit and Public Cooling Network,3,7.58991,0.3587
28,MRS008,Maintenance Backlog Repair and Governance Reform,4,6.77937,0.69163
28,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.33041,0.99837
28,MRS003,Private Cooling Expansion Only,6,0.45901,4.00281
28,MRS005,Fossil Backup Power Expansion,7,-0.08688,4.28719
28,MRS009,Supply Chain Buffering Through Worker Flexibility,8,-0.254,4.56552
28,MRS007,Dashboard Monitoring Without Repair,9,-1.0302,4.73456
28,MRS001,Rebuild Same Floodplain Housing,10,-1.98786,5.5075
29,MRS004,Housing Retrofit and Public Cooling Network,1,7.98538,0.3852
29,MRS002,Floodplain Restoration and Housing Transition,2,7.83461,0.35411
29,MRS006,Distributed Renewable Resilience Hubs,3,7.29182,0.56305
29,MRS008,Maintenance Backlog Repair and Governance Reform,4,6.84286,0.59413
29,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.40545,0.83694
29,MRS009,Supply Chain Buffering Through Worker Flexibility,6,-0.01952,4.40146
29,MRS003,Private Cooling Expansion Only,7,-0.38502,4.47121
29,MRS007,Dashboard Monitoring Without Repair,8,-0.72047,4.65204
29,MRS001,Rebuild Same Floodplain Housing,9,-1.35424,5.00182
29,MRS005,Fossil Backup Power Expansion,10,-1.37161,5.03536
30,MRS002,Floodplain Restoration and Housing Transition,1,7.87297,0.52311
30,MRS004,Housing Retrofit and Public Cooling Network,2,7.68131,0.33585
30,MRS006,Distributed Renewable Resilience Hubs,3,7.64638,0.43522
30,MRS008,Maintenance Backlog Repair and Governance Reform,4,7.35542,0.53199
30,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.88787,0.74171
30,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.32918,4.24308
30,MRS003,Private Cooling Expansion Only,7,-0.17141,4.37193
30,MRS007,Dashboard Monitoring Without Repair,8,-0.32661,4.44686
30,MRS005,Fossil Backup Power Expansion,9,-1.3067,4.95231
30,MRS001,Rebuild Same Floodplain Housing,10,-1.67772,5.34648
31,MRS002,Floodplain Restoration and Housing Transition,1,7.80567,0.49755
31,MRS008,Maintenance Backlog Repair and Governance Reform,2,7.44632,0.51078
31,MRS004,Housing Retrofit and Public Cooling Network,3,7.4107,0.5657
31,MRS006,Distributed Renewable Resilience Hubs,4,7.39692,0.42013
31,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.99591,0.72236
31,MRS007,Dashboard Monitoring Without Repair,6,-0.395,4.42702
31,MRS009,Supply Chain Buffering Through Worker Flexibility,7,-0.43765,4.62132
31,MRS003,Private Cooling Expansion Only,8,-0.46626,4.45643
31,MRS005,Fossil Backup Power Expansion,9,-0.50746,4.56867
31,MRS001,Rebuild Same Floodplain Housing,10,-1.2569,5.12926
32,MRS006,Distributed Renewable Resilience Hubs,1,7.73645,0.35729
32,MRS002,Floodplain Restoration and Housing Transition,2,7.44363,0.66083
32,MRS004,Housing Retrofit and Public Cooling Network,3,7.37725,0.44317
32,MRS008,Maintenance Backlog Repair and Governance Reform,4,7.34532,0.6104
32,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.79686,0.71061
32,MRS003,Private Cooling Expansion Only,6,0.38536,4.22611
32,MRS009,Supply Chain Buffering Through Worker Flexibility,7,0.26193,4.16182
32,MRS005,Fossil Backup Power Expansion,8,-1.13769,4.88825
32,MRS001,Rebuild Same Floodplain Housing,9,-1.21437,4.98205
32,MRS007,Dashboard Monitoring Without Repair,10,-1.66119,5.03228
33,MRS006,Distributed Renewable Resilience Hubs,1,7.76858,0.48315
33,MRS002,Floodplain Restoration and Housing Transition,2,7.72849,0.51456
33,MRS004,Housing Retrofit and Public Cooling Network,3,7.47302,0.46792
33,MRS008,Maintenance Backlog Repair and Governance Reform,4,7.28448,0.53471
33,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,7.12784,0.52721
33,MRS009,Supply Chain Buffering Through Worker Flexibility,6,-0.47983,4.63596
33,MRS007,Dashboard Monitoring Without Repair,7,-0.48497,4.50313
33,MRS003,Private Cooling Expansion Only,8,-0.64438,4.59489
33,MRS005,Fossil Backup Power Expansion,9,-0.87555,4.7642
33,MRS001,Rebuild Same Floodplain Housing,10,-1.66733,5.1315
34,MRS004,Housing Retrofit and Public Cooling Network,1,7.80426,0.45744
34,MRS002,Floodplain Restoration and Housing Transition,2,7.67082,0.45253
34,MRS006,Distributed Renewable Resilience Hubs,3,7.30872,0.66306
34,MRS010,Diversified Supply Chain with Labor and Ecological Standards,4,7.04156,0.65966
34,MRS008,Maintenance Backlog Repair and Governance Reform,5,7.0086,0.60635
34,MRS003,Private Cooling Expansion Only,6,0.442,4.06132
34,MRS009,Supply Chain Buffering Through Worker Flexibility,7,-0.70594,4.79349
34,MRS007,Dashboard Monitoring Without Repair,8,-1.07606,4.89936
34,MRS001,Rebuild Same Floodplain Housing,9,-1.43366,5.15575
34,MRS005,Fossil Backup Power Expansion,10,-1.82642,5.23869
35,MRS002,Floodplain Restoration and Housing Transition,1,7.79522,0.43108
35,MRS006,Distributed Renewable Resilience Hubs,2,7.78816,0.54179
35,MRS004,Housing Retrofit and Public Cooling Network,3,7.69148,0.41324
35,MRS008,Maintenance Backlog Repair and Governance Reform,4,7.15284,0.51888
35,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.83788,0.77891
35,MRS009,Supply Chain Buffering Through Worker Flexibility,6,0.13896,4.31287
35,MRS003,Private Cooling Expansion Only,7,0.05941,4.22487
35,MRS007,Dashboard Monitoring Without Repair,8,-0.48636,4.58394
35,MRS005,Fossil Backup Power Expansion,9,-1.13258,4.93178
35,MRS001,Rebuild Same Floodplain Housing,10,-1.42258,5.00134
36,MRS006,Distributed Renewable Resilience Hubs,1,7.90877,0.49524
36,MRS004,Housing Retrofit and Public Cooling Network,2,7.68832,0.37675
36,MRS008,Maintenance Backlog Repair and Governance Reform,3,7.00712,0.72363
36,MRS002,Floodplain Restoration and Housing Transition,4,6.6747,0.98816
36,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.47524,0.76437
36,MRS003,Private Cooling Expansion Only,6,0.83958,3.98567
36,MRS009,Supply Chain Buffering Through Worker Flexibility,7,0.49969,4.08752
36,MRS005,Fossil Backup Power Expansion,8,-0.37227,4.41258
36,MRS001,Rebuild Same Floodplain Housing,9,-0.93356,4.90367
36,MRS007,Dashboard Monitoring Without Repair,10,-1.26755,5.01184
37,MRS006,Distributed Renewable Resilience Hubs,1,7.56687,0.50038
37,MRS004,Housing Retrofit and Public Cooling Network,2,7.41805,0.5428
37,MRS008,Maintenance Backlog Repair and Governance Reform,3,6.99479,0.56817
37,MRS002,Floodplain Restoration and Housing Transition,4,6.95145,0.64615
37,MRS010,Diversified Supply Chain with Labor and Ecological Standards,5,6.89526,0.72408
37,MRS003,Private Cooling Expansion Only,6,1.94524,3.26114
37,MRS009,Supply Chain Buffering Through Worker Flexibility,7,0.23611,4.18931
