scenario,strategy_id,strategy,system_domain,rank,knowledge_integration_value,implementation_burden,critical_function
Knowledge-diversity-first,LK004,Funded Community Resilience Advisory Council,community governance and decision influence,2,8.694,3.3,compensates community expertise and embeds local knowledge in planning budgets monitoring and public accountability
Knowledge-diversity-first,LK001,Participatory Risk Mapping and Action Triggers,participatory mapping and decision triggers,3,8.406,3.2,makes lived hazard exposure access barriers cultural sites and service failures visible and links them to action triggers
Knowledge-diversity-first,LK006,Recovery Feedback and Administrative Burden Review,recovery equity and institutional learning,4,8.273,3.1,uses lived recovery experience to identify administrative burden benefit barriers exclusion and recovery inequity
Knowledge-diversity-first,LK005,Trusted Messenger and Local Warning System,risk communication and early warning,5,8.263,2.9,uses trusted local institutions to translate warnings early alerts public-health guidance and recovery information
Knowledge-diversity-first,LK002,Community Science Environmental Monitoring Network,community science and environmental monitoring,6,8.105,3.4,supports resident-led air water heat flood biodiversity and infrastructure monitoring with technical assistance
Decision-influence-first,LK004,Funded Community Resilience Advisory Council,community governance and decision influence,1,8.802,3.3,compensates community expertise and embeds local knowledge in planning budgets monitoring and public accountability
Decision-influence-first,LK003,Indigenous Knowledge Governance Protocol,Indigenous knowledge sovereignty and stewardship,2,8.761,3.5,protects Indigenous knowledge sovereignty cultural protocols consent data governance and co-governance
Decision-influence-first,LK006,Recovery Feedback and Administrative Burden Review,recovery equity and institutional learning,3,8.408,3.1,uses lived recovery experience to identify administrative burden benefit barriers exclusion and recovery inequity
Decision-influence-first,LK001,Participatory Risk Mapping and Action Triggers,participatory mapping and decision triggers,4,8.298,3.2,makes lived hazard exposure access barriers cultural sites and service failures visible and links them to action triggers
Decision-influence-first,LK005,Trusted Messenger and Local Warning System,risk communication and early warning,5,8.155,2.9,uses trusted local institutions to translate warnings early alerts public-health guidance and recovery information
Decision-influence-first,LK002,Community Science Environmental Monitoring Network,community science and environmental monitoring,6,7.943,3.4,supports resident-led air water heat flood biodiversity and infrastructure monitoring with technical assistance
Trust-first,LK003,Indigenous Knowledge Governance Protocol,Indigenous knowledge sovereignty and stewardship,1,8.785,3.5,protects Indigenous knowledge sovereignty cultural protocols consent data governance and co-governance
Trust-first,LK004,Funded Community Resilience Advisory Council,community governance and decision influence,2,8.722,3.3,compensates community expertise and embeds local knowledge in planning budgets monitoring and public accountability
Trust-first,LK005,Trusted Messenger and Local Warning System,risk communication and early warning,3,8.431,2.9,uses trusted local institutions to translate warnings early alerts public-health guidance and recovery information
Trust-first,LK006,Recovery Feedback and Administrative Burden Review,recovery equity and institutional learning,4,8.357,3.1,uses lived recovery experience to identify administrative burden benefit barriers exclusion and recovery inequity
Trust-first,LK001,Participatory Risk Mapping and Action Triggers,participatory mapping and decision triggers,5,8.238,3.2,makes lived hazard exposure access barriers cultural sites and service failures visible and links them to action triggers
Trust-first,LK002,Community Science Environmental Monitoring Network,community science and environmental monitoring,6,7.965,3.4,supports resident-led air water heat flood biodiversity and infrastructure monitoring with technical assistance
Protection-first,LK003,Indigenous Knowledge Governance Protocol,Indigenous knowledge sovereignty and stewardship,1,8.925,3.5,protects Indigenous knowledge sovereignty cultural protocols consent data governance and co-governance
Protection-first,LK004,Funded Community Resilience Advisory Council,community governance and decision influence,2,8.638,3.3,compensates community expertise and embeds local knowledge in planning budgets monitoring and public accountability
Protection-first,LK006,Recovery Feedback and Administrative Burden Review,recovery equity and institutional learning,3,8.413,3.1,uses lived recovery experience to identify administrative burden benefit barriers exclusion and recovery inequity
Protection-first,LK005,Trusted Messenger and Local Warning System,risk communication and early warning,4,8.207,2.9,uses trusted local institutions to translate warnings early alerts public-health guidance and recovery information
Protection-first,LK001,Participatory Risk Mapping and Action Triggers,participatory mapping and decision triggers,5,8.182,3.2,makes lived hazard exposure access barriers cultural sites and service failures visible and links them to action triggers
Protection-first,LK002,Community Science Environmental Monitoring Network,community science and environmental monitoring,6,7.993,3.4,supports resident-led air water heat flood biodiversity and infrastructure monitoring with technical assistance
Reciprocity-first,LK003,Indigenous Knowledge Governance Protocol,Indigenous knowledge sovereignty and stewardship,1,8.813,3.5,protects Indigenous knowledge sovereignty cultural protocols consent data governance and co-governance
Reciprocity-first,LK004,Funded Community Resilience Advisory Council,community governance and decision influence,2,8.75,3.3,compensates community expertise and embeds local knowledge in planning budgets monitoring and public accountability
Reciprocity-first,LK006,Recovery Feedback and Administrative Burden Review,recovery equity and institutional learning,3,8.357,3.1,uses lived recovery experience to identify administrative burden benefit barriers exclusion and recovery inequity
Reciprocity-first,LK005,Trusted Messenger and Local Warning System,risk communication and early warning,4,8.291,2.9,uses trusted local institutions to translate warnings early alerts public-health guidance and recovery information
Reciprocity-first,LK001,Participatory Risk Mapping and Action Triggers,participatory mapping and decision triggers,5,8.266,3.2,makes lived hazard exposure access barriers cultural sites and service failures visible and links them to action triggers
Reciprocity-first,LK002,Community Science Environmental Monitoring Network,community science and environmental monitoring,6,8.021,3.4,supports resident-led air water heat flood biodiversity and infrastructure monitoring with technical assistance
Accountability-first,LK004,Funded Community Resilience Advisory Council,community governance and decision influence,1,8.778,3.3,compensates community expertise and embeds local knowledge in planning budgets monitoring and public accountability
Accountability-first,LK003,Indigenous Knowledge Governance Protocol,Indigenous knowledge sovereignty and stewardship,2,8.729,3.5,protects Indigenous knowledge sovereignty cultural protocols consent data governance and co-governance
Accountability-first,LK006,Recovery Feedback and Administrative Burden Review,recovery equity and institutional learning,3,8.469,3.1,uses lived recovery experience to identify administrative burden benefit barriers exclusion and recovery inequity
Accountability-first,LK001,Participatory Risk Mapping and Action Triggers,participatory mapping and decision triggers,4,8.322,3.2,makes lived hazard exposure access barriers cultural sites and service failures visible and links them to action triggers
Accountability-first,LK005,Trusted Messenger and Local Warning System,risk communication and early warning,5,8.207,2.9,uses trusted local institutions to translate warnings early alerts public-health guidance and recovery information
Accountability-first,LK002,Community Science Environmental Monitoring Network,community science and environmental monitoring,6,7.965,3.4,supports resident-led air water heat flood biodiversity and infrastructure monitoring with technical assistance
Implementation-aware,LK003,Indigenous Knowledge Governance Protocol,Indigenous knowledge sovereignty and stewardship,1,7.85,3.5,protects Indigenous knowledge sovereignty cultural protocols consent data governance and co-governance
Implementation-aware,LK004,Funded Community Resilience Advisory Council,community governance and decision influence,2,7.821,3.3,compensates community expertise and embeds local knowledge in planning budgets monitoring and public accountability
Implementation-aware,LK006,Recovery Feedback and Administrative Burden Review,recovery equity and institutional learning,3,7.511,3.1,uses lived recovery experience to identify administrative burden benefit barriers exclusion and recovery inequity
Implementation-aware,LK001,Participatory Risk Mapping and Action Triggers,participatory mapping and decision triggers,4,7.421,3.2,makes lived hazard exposure access barriers cultural sites and service failures visible and links them to action triggers
Implementation-aware,LK005,Trusted Messenger and Local Warning System,risk communication and early warning,5,7.408,2.9,uses trusted local institutions to translate warnings early alerts public-health guidance and recovery information
Implementation-aware,LK002,Community Science Environmental Monitoring Network,community science and environmental monitoring,6,7.123,3.4,supports resident-led air water heat flood biodiversity and infrastructure monitoring with technical assistance
