strategy_id,strategy,system_domain,participation_access,knowledge_diversity,decision_influence,trust_building,knowledge_protection,reciprocity,implementation_accountability,implementation_burden,critical_function,knowledge_integration_value,extraction_risk_gap,protection_gap,adjusted_value,scenario,rank
LK005,Trusted Messenger and Local Warning System,risk communication and early warning,8.3,8.4,8,9,8.2,8.5,8.2,2.9,uses trusted local institutions to translate warnings early alerts public-health guidance and recovery information,8.155000000000001,0,0.20000000000000107,8.139000000000001,Decision-influence-first,5
LK002,Community Science Environmental Monitoring Network,community science and environmental monitoring,8.1,8.5,7.9,8,8.1,8.2,8,3.4,supports resident-led air water heat flood biodiversity and infrastructure monitoring with technical assistance,7.943,0,0.3000000000000007,7.919,Decision-influence-first,6
LK003,Indigenous Knowledge Governance Protocol,Indigenous knowledge sovereignty and stewardship,8.4,9.2,8.8,8.9,9.4,9,8.7,3.5,protects Indigenous knowledge sovereignty cultural protocols consent data governance and co-governance,7.850000000000001,0.10000000000000142,0,7.842000000000001,Implementation-aware,1
LK004,Funded Community Resilience Advisory Council,community governance and decision influence,9,8.7,9.1,8.8,8.5,8.9,9,3.3,compensates community expertise and embeds local knowledge in planning budgets monitoring and public accountability,7.821,0.09999999999999964,0,7.813,Implementation-aware,2
LK006,Recovery Feedback and Administrative Burden Review,recovery equity and institutional learning,8.6,8.1,8.6,8.4,8.6,8.4,8.8,3.1,uses lived recovery experience to identify administrative burden benefit barriers exclusion and recovery inequity,7.511000000000001,0,0,7.511000000000001,Implementation-aware,3
LK005,Trusted Messenger and Local Warning System,risk communication and early warning,8.3,8.4,8,9,8.2,8.5,8.2,2.9,uses trusted local institutions to translate warnings early alerts public-health guidance and recovery information,7.4079999999999995,0,0.20000000000000107,7.3919999999999995,Implementation-aware,4
LK001,Participatory Risk Mapping and Action Triggers,participatory mapping and decision triggers,8.7,8.8,8.4,8.2,8,8.3,8.5,3.2,makes lived hazard exposure access barriers cultural sites and service failures visible and links them to action triggers,7.421000000000001,0,0.40000000000000036,7.389000000000001,Implementation-aware,5
LK002,Community Science Environmental Monitoring Network,community science and environmental monitoring,8.1,8.5,7.9,8,8.1,8.2,8,3.4,supports resident-led air water heat flood biodiversity and infrastructure monitoring with technical assistance,7.123,0,0.3000000000000007,7.099,Implementation-aware,6
LK003,Indigenous Knowledge Governance Protocol,Indigenous knowledge sovereignty and stewardship,8.4,9.2,8.8,8.9,9.4,9,8.7,3.5,protects Indigenous knowledge sovereignty cultural protocols consent data governance and co-governance,8.868999999999998,0.10000000000000142,0,8.860999999999997,Knowledge-diversity-first,1
LK004,Funded Community Resilience Advisory Council,community governance and decision influence,9,8.7,9.1,8.8,8.5,8.9,9,3.3,compensates community expertise and embeds local knowledge in planning budgets monitoring and public accountability,8.694,0.09999999999999964,0,8.686000000000002,Knowledge-diversity-first,2
LK001,Participatory Risk Mapping and Action Triggers,participatory mapping and decision triggers,8.7,8.8,8.4,8.2,8,8.3,8.5,3.2,makes lived hazard exposure access barriers cultural sites and service failures visible and links them to action triggers,8.406,0,0.40000000000000036,8.374,Knowledge-diversity-first,3
LK006,Recovery Feedback and Administrative Burden Review,recovery equity and institutional learning,8.6,8.1,8.6,8.4,8.6,8.4,8.8,3.1,uses lived recovery experience to identify administrative burden benefit barriers exclusion and recovery inequity,8.273,0,0,8.273,Knowledge-diversity-first,4
LK005,Trusted Messenger and Local Warning System,risk communication and early warning,8.3,8.4,8,9,8.2,8.5,8.2,2.9,uses trusted local institutions to translate warnings early alerts public-health guidance and recovery information,8.263000000000002,0,0.20000000000000107,8.247000000000002,Knowledge-diversity-first,5
LK002,Community Science Environmental Monitoring Network,community science and environmental monitoring,8.1,8.5,7.9,8,8.1,8.2,8,3.4,supports resident-led air water heat flood biodiversity and infrastructure monitoring with technical assistance,8.105,0,0.3000000000000007,8.081,Knowledge-diversity-first,6
LK004,Funded Community Resilience Advisory Council,community governance and decision influence,9,8.7,9.1,8.8,8.5,8.9,9,3.3,compensates community expertise and embeds local knowledge in planning budgets monitoring and public accountability,8.778000000000002,0.09999999999999964,0,8.770000000000003,Participation-first,1
LK003,Indigenous Knowledge Governance Protocol,Indigenous knowledge sovereignty and stewardship,8.4,9.2,8.8,8.9,9.4,9,8.7,3.5,protects Indigenous knowledge sovereignty cultural protocols consent data governance and co-governance,8.645000000000001,0.10000000000000142,0,8.637,Participation-first,2
LK006,Recovery Feedback and Administrative Burden Review,recovery equity and institutional learning,8.6,8.1,8.6,8.4,8.6,8.4,8.8,3.1,uses lived recovery experience to identify administrative burden benefit barriers exclusion and recovery inequity,8.412999999999998,0,0,8.412999999999998,Participation-first,3
LK001,Participatory Risk Mapping and Action Triggers,participatory mapping and decision triggers,8.7,8.8,8.4,8.2,8,8.3,8.5,3.2,makes lived hazard exposure access barriers cultural sites and service failures visible and links them to action triggers,8.378,0,0.40000000000000036,8.346,Participation-first,4
LK005,Trusted Messenger and Local Warning System,risk communication and early warning,8.3,8.4,8,9,8.2,8.5,8.2,2.9,uses trusted local institutions to translate warnings early alerts public-health guidance and recovery information,8.235000000000001,0,0.20000000000000107,8.219000000000001,Participation-first,5
LK002,Community Science Environmental Monitoring Network,community science and environmental monitoring,8.1,8.5,7.9,8,8.1,8.2,8,3.4,supports resident-led air water heat flood biodiversity and infrastructure monitoring with technical assistance,7.993000000000001,0,0.3000000000000007,7.969000000000001,Participation-first,6
LK003,Indigenous Knowledge Governance Protocol,Indigenous knowledge sovereignty and stewardship,8.4,9.2,8.8,8.9,9.4,9,8.7,3.5,protects Indigenous knowledge sovereignty cultural protocols consent data governance and co-governance,8.924999999999999,0.10000000000000142,0,8.916999999999998,Protection-first,1
LK004,Funded Community Resilience Advisory Council,community governance and decision influence,9,8.7,9.1,8.8,8.5,8.9,9,3.3,compensates community expertise and embeds local knowledge in planning budgets monitoring and public accountability,8.638000000000002,0.09999999999999964,0,8.630000000000003,Protection-first,2
LK006,Recovery Feedback and Administrative Burden Review,recovery equity and institutional learning,8.6,8.1,8.6,8.4,8.6,8.4,8.8,3.1,uses lived recovery experience to identify administrative burden benefit barriers exclusion and recovery inequity,8.412999999999998,0,0,8.412999999999998,Protection-first,3
LK005,Trusted Messenger and Local Warning System,risk communication and early warning,8.3,8.4,8,9,8.2,8.5,8.2,2.9,uses trusted local institutions to translate warnings early alerts public-health guidance and recovery information,8.207,0,0.20000000000000107,8.191,Protection-first,4
LK001,Participatory Risk Mapping and Action Triggers,participatory mapping and decision triggers,8.7,8.8,8.4,8.2,8,8.3,8.5,3.2,makes lived hazard exposure access barriers cultural sites and service failures visible and links them to action triggers,8.182,0,0.40000000000000036,8.15,Protection-first,5
LK002,Community Science Environmental Monitoring Network,community science and environmental monitoring,8.1,8.5,7.9,8,8.1,8.2,8,3.4,supports resident-led air water heat flood biodiversity and infrastructure monitoring with technical assistance,7.993000000000001,0,0.3000000000000007,7.969000000000001,Protection-first,6
LK003,Indigenous Knowledge Governance Protocol,Indigenous knowledge sovereignty and stewardship,8.4,9.2,8.8,8.9,9.4,9,8.7,3.5,protects Indigenous knowledge sovereignty cultural protocols consent data governance and co-governance,8.813,0.10000000000000142,0,8.805,Reciprocity-first,1
LK004,Funded Community Resilience Advisory Council,community governance and decision influence,9,8.7,9.1,8.8,8.5,8.9,9,3.3,compensates community expertise and embeds local knowledge in planning budgets monitoring and public accountability,8.75,0.09999999999999964,0,8.742,Reciprocity-first,2
LK006,Recovery Feedback and Administrative Burden Review,recovery equity and institutional learning,8.6,8.1,8.6,8.4,8.6,8.4,8.8,3.1,uses lived recovery experience to identify administrative burden benefit barriers exclusion and recovery inequity,8.357,0,0,8.357,Reciprocity-first,3
LK005,Trusted Messenger and Local Warning System,risk communication and early warning,8.3,8.4,8,9,8.2,8.5,8.2,2.9,uses trusted local institutions to translate warnings early alerts public-health guidance and recovery information,8.291,0,0.20000000000000107,8.275,Reciprocity-first,4
LK001,Participatory Risk Mapping and Action Triggers,participatory mapping and decision triggers,8.7,8.8,8.4,8.2,8,8.3,8.5,3.2,makes lived hazard exposure access barriers cultural sites and service failures visible and links them to action triggers,8.266,0,0.40000000000000036,8.234,Reciprocity-first,5
LK002,Community Science Environmental Monitoring Network,community science and environmental monitoring,8.1,8.5,7.9,8,8.1,8.2,8,3.4,supports resident-led air water heat flood biodiversity and infrastructure monitoring with technical assistance,8.020999999999999,0,0.3000000000000007,7.996999999999999,Reciprocity-first,6
LK003,Indigenous Knowledge Governance Protocol,Indigenous knowledge sovereignty and stewardship,8.4,9.2,8.8,8.9,9.4,9,8.7,3.5,protects Indigenous knowledge sovereignty cultural protocols consent data governance and co-governance,8.785,0.10000000000000142,0,8.777,Trust-first,1
LK004,Funded Community Resilience Advisory Council,community governance and decision influence,9,8.7,9.1,8.8,8.5,8.9,9,3.3,compensates community expertise and embeds local knowledge in planning budgets monitoring and public accountability,8.722000000000001,0.09999999999999964,0,8.714000000000002,Trust-first,2
LK005,Trusted Messenger and Local Warning System,risk communication and early warning,8.3,8.4,8,9,8.2,8.5,8.2,2.9,uses trusted local institutions to translate warnings early alerts public-health guidance and recovery information,8.431000000000001,0,0.20000000000000107,8.415000000000001,Trust-first,3
LK006,Recovery Feedback and Administrative Burden Review,recovery equity and institutional learning,8.6,8.1,8.6,8.4,8.6,8.4,8.8,3.1,uses lived recovery experience to identify administrative burden benefit barriers exclusion and recovery inequity,8.357,0,0,8.357,Trust-first,4
LK001,Participatory Risk Mapping and Action Triggers,participatory mapping and decision triggers,8.7,8.8,8.4,8.2,8,8.3,8.5,3.2,makes lived hazard exposure access barriers cultural sites and service failures visible and links them to action triggers,8.238,0,0.40000000000000036,8.206,Trust-first,5
LK002,Community Science Environmental Monitoring Network,community science and environmental monitoring,8.1,8.5,7.9,8,8.1,8.2,8,3.4,supports resident-led air water heat flood biodiversity and infrastructure monitoring with technical assistance,7.965,0,0.3000000000000007,7.941,Trust-first,6
