system_id,system,knowledge_context,time,event,knowledge_stress,protective_capacity,knowledge_function,institutional_trust,extraction_risk,equity_adjusted_function
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,22,background local-knowledge practice stress,0.17874,0.74081,1.0,0.73876,0.67436,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,23,background local-knowledge practice stress,0.17761,0.74141,1.0,0.74276,0.67004,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,24,background local-knowledge practice stress,0.17693,0.74201,1.0,0.74676,0.66572,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,25,background local-knowledge practice stress,0.17579,0.74261,1.0,0.75076,0.6614,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,26,background local-knowledge practice stress,0.17515,0.74321,1.0,0.75476,0.65708,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,27,Sensitive household and sacred-site data exposure risk,0.98737,0.74381,1.0,0.743,0.6718,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,28,background local-knowledge practice stress,0.17715,0.74205,1.0,0.747,0.66748,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,29,background local-knowledge practice stress,0.17763,0.74265,1.0,0.751,0.66316,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,30,background local-knowledge practice stress,0.17881,0.74325,1.0,0.755,0.65884,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,31,background local-knowledge practice stress,0.17548,0.74385,1.0,0.759,0.65452,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,32,background local-knowledge practice stress,0.17852,0.74445,1.0,0.763,0.6502,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,33,background local-knowledge practice stress,0.17736,0.74505,1.0,0.767,0.64588,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,34,background local-knowledge practice stress,0.17546,0.74565,1.0,0.771,0.64156,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,35,background local-knowledge practice stress,0.17396,0.74625,1.0,0.775,0.63724,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,36,background local-knowledge practice stress,0.17697,0.74685,1.0,0.779,0.63292,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,37,background local-knowledge practice stress,0.17497,0.74745,1.0,0.783,0.6286,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,38,background local-knowledge practice stress,0.17349,0.74805,1.0,0.787,0.62428,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,39,background local-knowledge practice stress,0.17355,0.74865,1.0,0.791,0.61996,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,40,background local-knowledge practice stress,0.17257,0.74925,1.0,0.795,0.61564,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,41,background local-knowledge practice stress,0.17482,0.74985,1.0,0.799,0.61132,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,42,Agency ignores community map after public workshop,0.97411,0.75045,1.0,0.78596,0.62268,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,43,background local-knowledge practice stress,0.17561,0.74849,1.0,0.78996,0.61836,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,44,background local-knowledge practice stress,0.17197,0.74909,1.0,0.79396,0.61404,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,45,background local-knowledge practice stress,0.17193,0.74969,1.0,0.79796,0.60972,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,46,background local-knowledge practice stress,0.17499,0.75029,1.0,0.80196,0.6054,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,47,background local-knowledge practice stress,0.17255,0.75089,1.0,0.80596,0.60108,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,48,background local-knowledge practice stress,0.17426,0.75149,1.0,0.80996,0.59676,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,49,background local-knowledge practice stress,0.17437,0.75209,1.0,0.81396,0.59244,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,50,background local-knowledge practice stress,0.17341,0.75269,1.0,0.81796,0.58812,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,51,background local-knowledge practice stress,0.17383,0.75329,1.0,0.82196,0.5838,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,52,background local-knowledge practice stress,0.17302,0.75389,1.0,0.82596,0.57948,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,53,background local-knowledge practice stress,0.17149,0.75449,1.0,0.82996,0.57516,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,54,background local-knowledge practice stress,0.17035,0.75509,1.0,0.83396,0.57084,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,55,background local-knowledge practice stress,0.1694,0.75569,1.0,0.83796,0.56652,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,56,Community science findings contested by regulator,0.94132,0.75629,1.0,0.82716,0.57736,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,57,background local-knowledge practice stress,0.17151,0.75467,1.0,0.83116,0.57304,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,58,background local-knowledge practice stress,0.17325,0.75527,1.0,0.83516,0.56872,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,59,background local-knowledge practice stress,0.17219,0.75587,1.0,0.83916,0.5644,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,60,background local-knowledge practice stress,0.17133,0.75647,1.0,0.84316,0.56008,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,61,background local-knowledge practice stress,0.17042,0.75707,1.0,0.84716,0.55576,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,62,background local-knowledge practice stress,0.17076,0.75767,1.0,0.85116,0.55144,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,63,background local-knowledge practice stress,0.16923,0.75827,1.0,0.85516,0.54712,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,64,background local-knowledge practice stress,0.17273,0.75887,1.0,0.85916,0.5428,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,65,background local-knowledge practice stress,0.1732,0.75947,1.0,0.86316,0.53848,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,66,background local-knowledge practice stress,0.16943,0.76007,1.0,0.86716,0.53416,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,67,background local-knowledge practice stress,0.16972,0.76067,1.0,0.87116,0.52984,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,68,background local-knowledge practice stress,0.17108,0.76127,1.0,0.87516,0.52552,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,69,background local-knowledge practice stress,0.16847,0.76187,1.0,0.87916,0.5212,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,70,Compound knowledge governance crisis during recovery,1.0891,0.76247,1.0,0.86556,0.53608,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,71,background local-knowledge practice stress,0.17243,0.76043,1.0,0.86956,0.53176,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,72,background local-knowledge practice stress,0.17241,0.76103,1.0,0.87356,0.52744,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,73,background local-knowledge practice stress,0.1679,0.76163,1.0,0.87756,0.52312,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,74,background local-knowledge practice stress,0.16849,0.76223,1.0,0.88156,0.5188,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,75,background local-knowledge practice stress,0.17111,0.76283,1.0,0.88556,0.51448,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,76,background local-knowledge practice stress,0.17225,0.76343,1.0,0.88956,0.51016,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,77,background local-knowledge practice stress,0.1701,0.76403,1.0,0.89356,0.50584,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,78,background local-knowledge practice stress,0.17034,0.76463,1.0,0.89756,0.50152,0.9664
KS001,Neighborhood Flood and Heat Knowledge Network,urban flood heat and housing risk,79,background local-knowledge practice stress,0.17048,0.76523,1.0,0.90156,0.4972,0.9664
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,0,background local-knowledge practice stress,0.18903,0.8076,1.0,0.7054,0.87348,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,1,background local-knowledge practice stress,0.19269,0.80841,1.0,0.7108,0.86696,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,2,background local-knowledge practice stress,0.1899,0.80922,1.0,0.7162,0.86044,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,3,background local-knowledge practice stress,0.18698,0.81003,1.0,0.7216,0.85392,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,4,background local-knowledge practice stress,0.18875,0.81084,1.0,0.727,0.8474,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,5,background local-knowledge practice stress,0.18932,0.81165,1.0,0.7324,0.84088,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,6,background local-knowledge practice stress,0.18529,0.81246,1.0,0.7378,0.83436,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,7,background local-knowledge practice stress,0.18735,0.81327,1.0,0.7432,0.82784,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,8,background local-knowledge practice stress,0.18642,0.81408,1.0,0.7486,0.82132,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,9,background local-knowledge practice stress,0.18661,0.81489,1.0,0.754,0.8148,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,10,background local-knowledge practice stress,0.18461,0.8157,1.0,0.7594,0.80828,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,11,background local-knowledge practice stress,0.18468,0.81651,1.0,0.7648,0.80176,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,12,Emergency planning rush with limited participation time,0.93054,0.81732,1.0,0.75696,0.80896,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,13,background local-knowledge practice stress,0.18632,0.81614,1.0,0.76236,0.80244,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,14,background local-knowledge practice stress,0.18674,0.81695,1.0,0.76776,0.79592,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,15,background local-knowledge practice stress,0.18573,0.81776,1.0,0.77316,0.7894,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,16,background local-knowledge practice stress,0.18413,0.81857,1.0,0.77856,0.78288,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,17,background local-knowledge practice stress,0.18483,0.81938,1.0,0.78396,0.77636,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,18,background local-knowledge practice stress,0.18253,0.82019,1.0,0.78936,0.76984,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,19,background local-knowledge practice stress,0.18301,0.821,1.0,0.79476,0.76332,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,20,background local-knowledge practice stress,0.18278,0.82181,1.0,0.80016,0.7568,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,21,background local-knowledge practice stress,0.18176,0.82262,1.0,0.80556,0.75028,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,22,background local-knowledge practice stress,0.17951,0.82343,1.0,0.81096,0.74376,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,23,background local-knowledge practice stress,0.17931,0.82424,1.0,0.81636,0.73724,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,24,background local-knowledge practice stress,0.18143,0.82505,1.0,0.82176,0.73072,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,25,background local-knowledge practice stress,0.18117,0.82586,1.0,0.82716,0.7242,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,26,background local-knowledge practice stress,0.18105,0.82667,1.0,0.83256,0.71768,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,27,Sensitive household and sacred-site data exposure risk,0.99221,0.82748,1.0,0.8222,0.7302,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,28,background local-knowledge practice stress,0.18305,0.82593,1.0,0.8276,0.72368,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,29,background local-knowledge practice stress,0.18214,0.82674,1.0,0.833,0.71716,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,30,background local-knowledge practice stress,0.18194,0.82755,1.0,0.8384,0.71064,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,31,background local-knowledge practice stress,0.17724,0.82836,1.0,0.8438,0.70412,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,32,background local-knowledge practice stress,0.178,0.82917,1.0,0.8492,0.6976,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,33,background local-knowledge practice stress,0.18221,0.82998,1.0,0.8546,0.69108,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,34,background local-knowledge practice stress,0.17835,0.83079,1.0,0.86,0.68456,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,35,background local-knowledge practice stress,0.18035,0.8316,1.0,0.8654,0.67804,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,36,background local-knowledge practice stress,0.18029,0.83241,1.0,0.8708,0.67152,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,37,background local-knowledge practice stress,0.17558,0.83322,1.0,0.8762,0.665,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,38,background local-knowledge practice stress,0.17922,0.83403,1.0,0.8816,0.65848,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,39,background local-knowledge practice stress,0.17785,0.83484,1.0,0.887,0.65196,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,40,background local-knowledge practice stress,0.17616,0.83565,1.0,0.8924,0.64544,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,41,background local-knowledge practice stress,0.17906,0.83646,1.0,0.8978,0.63892,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,42,Agency ignores community map after public workshop,0.97631,0.83727,1.0,0.88616,0.64808,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,43,background local-knowledge practice stress,0.17447,0.83552,1.0,0.89156,0.64156,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,44,background local-knowledge practice stress,0.17723,0.83633,1.0,0.89696,0.63504,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,45,background local-knowledge practice stress,0.17366,0.83714,1.0,0.90236,0.62852,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,46,background local-knowledge practice stress,0.17629,0.83795,1.0,0.90776,0.622,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,47,background local-knowledge practice stress,0.17587,0.83876,1.0,0.91316,0.61548,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,48,background local-knowledge practice stress,0.17281,0.83957,1.0,0.91856,0.60896,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,49,background local-knowledge practice stress,0.17531,0.84038,1.0,0.92396,0.60244,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,50,background local-knowledge practice stress,0.17418,0.84119,1.0,0.92936,0.59592,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,51,background local-knowledge practice stress,0.17309,0.842,1.0,0.93476,0.5894,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,52,background local-knowledge practice stress,0.17205,0.84281,1.0,0.94016,0.58288,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,53,background local-knowledge practice stress,0.17453,0.84362,1.0,0.94556,0.57636,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,54,background local-knowledge practice stress,0.17247,0.84443,1.0,0.95096,0.56984,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,55,background local-knowledge practice stress,0.17158,0.84524,1.0,0.95636,0.56332,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,56,Community science findings contested by regulator,0.94107,0.84605,1.0,0.94696,0.57196,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,57,background local-knowledge practice stress,0.17238,0.84464,1.0,0.95236,0.56544,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,58,background local-knowledge practice stress,0.17218,0.84545,1.0,0.95776,0.55892,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,59,background local-knowledge practice stress,0.1729,0.84626,1.0,0.96316,0.5524,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,60,background local-knowledge practice stress,0.17129,0.84707,1.0,0.96856,0.54588,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,61,background local-knowledge practice stress,0.1713,0.84788,1.0,0.97396,0.53936,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,62,background local-knowledge practice stress,0.16796,0.84869,1.0,0.97936,0.53284,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,63,background local-knowledge practice stress,0.16728,0.8495,1.0,0.98476,0.52632,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,64,background local-knowledge practice stress,0.16784,0.85031,1.0,0.99016,0.5198,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,65,background local-knowledge practice stress,0.16852,0.85112,1.0,0.99556,0.51328,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,66,background local-knowledge practice stress,0.16985,0.85193,1.0,1.0,0.50676,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,67,background local-knowledge practice stress,0.1682,0.8526,1.0,1.0,0.50024,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,68,background local-knowledge practice stress,0.16851,0.8526,1.0,1.0,0.49372,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,69,background local-knowledge practice stress,0.1667,0.8526,1.0,1.0,0.4872,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,70,Compound knowledge governance crisis during recovery,1.08638,0.8526,1.0,0.9878,0.49988,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,71,background local-knowledge practice stress,0.16848,0.85077,1.0,0.9932,0.49336,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,72,background local-knowledge practice stress,0.16733,0.85158,1.0,0.9986,0.48684,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,73,background local-knowledge practice stress,0.16705,0.85239,1.0,1.0,0.48032,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,74,background local-knowledge practice stress,0.16455,0.8526,1.0,1.0,0.4738,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,75,background local-knowledge practice stress,0.1675,0.8526,1.0,1.0,0.46728,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,76,background local-knowledge practice stress,0.16657,0.8526,1.0,1.0,0.46076,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,77,background local-knowledge practice stress,0.16526,0.8526,1.0,1.0,0.45424,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,78,background local-knowledge practice stress,0.16784,0.8526,1.0,1.0,0.44772,0.9832
KS002,Indigenous Stewardship and Cultural Landscape Knowledge System,Indigenous land water and ecological stewardship,79,background local-knowledge practice stress,0.16556,0.8526,1.0,1.0,0.4412,0.9832
KS003,Community Science Environmental Justice Monitoring Network,air water heat pollution and environmental justice,0,background local-knowledge practice stress,0.18487,0.7596,1.0,0.6846,0.81508,0.972
KS003,Community Science Environmental Justice Monitoring Network,air water heat pollution and environmental justice,1,background local-knowledge practice stress,0.18506,0.76029,1.0,0.6892,0.81016,0.972
KS003,Community Science Environmental Justice Monitoring Network,air water heat pollution and environmental justice,2,background local-knowledge practice stress,0.18455,0.76098,1.0,0.6938,0.80524,0.972
KS003,Community Science Environmental Justice Monitoring Network,air water heat pollution and environmental justice,3,background local-knowledge practice stress,0.18506,0.76167,1.0,0.6984,0.80032,0.972
