simulation_id,strategy_id,strategy,rank,knowledge_integration_value,winner
5,LK003,Indigenous Knowledge Governance Protocol,1,8.97829,Indigenous Knowledge Governance Protocol
5,LK002,Community Science Environmental Monitoring Network,2,8.43912,Indigenous Knowledge Governance Protocol
5,LK004,Funded Community Resilience Advisory Council,3,8.41005,Indigenous Knowledge Governance Protocol
5,LK001,Participatory Risk Mapping and Action Triggers,4,8.2318,Indigenous Knowledge Governance Protocol
5,LK005,Trusted Messenger and Local Warning System,5,8.21242,Indigenous Knowledge Governance Protocol
5,LK006,Recovery Feedback and Administrative Burden Review,6,8.13711,Indigenous Knowledge Governance Protocol
6,LK003,Indigenous Knowledge Governance Protocol,1,8.92988,Indigenous Knowledge Governance Protocol
6,LK004,Funded Community Resilience Advisory Council,2,8.75997,Indigenous Knowledge Governance Protocol
6,LK006,Recovery Feedback and Administrative Burden Review,3,8.4132,Indigenous Knowledge Governance Protocol
6,LK001,Participatory Risk Mapping and Action Triggers,4,8.39658,Indigenous Knowledge Governance Protocol
6,LK002,Community Science Environmental Monitoring Network,5,8.38383,Indigenous Knowledge Governance Protocol
6,LK005,Trusted Messenger and Local Warning System,6,8.22509,Indigenous Knowledge Governance Protocol
7,LK003,Indigenous Knowledge Governance Protocol,1,9.0252,Indigenous Knowledge Governance Protocol
7,LK004,Funded Community Resilience Advisory Council,2,8.53315,Indigenous Knowledge Governance Protocol
7,LK001,Participatory Risk Mapping and Action Triggers,3,8.4895,Indigenous Knowledge Governance Protocol
7,LK006,Recovery Feedback and Administrative Burden Review,4,8.29252,Indigenous Knowledge Governance Protocol
7,LK005,Trusted Messenger and Local Warning System,5,8.17279,Indigenous Knowledge Governance Protocol
7,LK002,Community Science Environmental Monitoring Network,6,8.16212,Indigenous Knowledge Governance Protocol
8,LK003,Indigenous Knowledge Governance Protocol,1,8.69817,Indigenous Knowledge Governance Protocol
8,LK001,Participatory Risk Mapping and Action Triggers,2,8.64519,Indigenous Knowledge Governance Protocol
8,LK004,Funded Community Resilience Advisory Council,3,8.54581,Indigenous Knowledge Governance Protocol
8,LK005,Trusted Messenger and Local Warning System,4,8.38953,Indigenous Knowledge Governance Protocol
8,LK006,Recovery Feedback and Administrative Burden Review,5,8.29205,Indigenous Knowledge Governance Protocol
8,LK002,Community Science Environmental Monitoring Network,6,8.08581,Indigenous Knowledge Governance Protocol
9,LK003,Indigenous Knowledge Governance Protocol,1,8.76612,Indigenous Knowledge Governance Protocol
9,LK004,Funded Community Resilience Advisory Council,2,8.67707,Indigenous Knowledge Governance Protocol
9,LK001,Participatory Risk Mapping and Action Triggers,3,8.58454,Indigenous Knowledge Governance Protocol
9,LK006,Recovery Feedback and Administrative Burden Review,4,8.2721,Indigenous Knowledge Governance Protocol
9,LK005,Trusted Messenger and Local Warning System,5,8.2567,Indigenous Knowledge Governance Protocol
9,LK002,Community Science Environmental Monitoring Network,6,7.415,Indigenous Knowledge Governance Protocol
10,LK004,Funded Community Resilience Advisory Council,1,9.18268,Funded Community Resilience Advisory Council
10,LK003,Indigenous Knowledge Governance Protocol,2,8.66225,Funded Community Resilience Advisory Council
10,LK005,Trusted Messenger and Local Warning System,3,8.21914,Funded Community Resilience Advisory Council
10,LK001,Participatory Risk Mapping and Action Triggers,4,8.19367,Funded Community Resilience Advisory Council
10,LK006,Recovery Feedback and Administrative Burden Review,5,8.17256,Funded Community Resilience Advisory Council
10,LK002,Community Science Environmental Monitoring Network,6,7.87451,Funded Community Resilience Advisory Council
11,LK004,Funded Community Resilience Advisory Council,1,9.33375,Funded Community Resilience Advisory Council
11,LK003,Indigenous Knowledge Governance Protocol,2,8.90021,Funded Community Resilience Advisory Council
11,LK001,Participatory Risk Mapping and Action Triggers,3,8.48235,Funded Community Resilience Advisory Council
11,LK005,Trusted Messenger and Local Warning System,4,8.31192,Funded Community Resilience Advisory Council
11,LK002,Community Science Environmental Monitoring Network,5,8.06648,Funded Community Resilience Advisory Council
11,LK006,Recovery Feedback and Administrative Burden Review,6,7.82603,Funded Community Resilience Advisory Council
12,LK003,Indigenous Knowledge Governance Protocol,1,9.143,Indigenous Knowledge Governance Protocol
12,LK004,Funded Community Resilience Advisory Council,2,8.52017,Indigenous Knowledge Governance Protocol
12,LK006,Recovery Feedback and Administrative Burden Review,3,8.33265,Indigenous Knowledge Governance Protocol
12,LK001,Participatory Risk Mapping and Action Triggers,4,8.32099,Indigenous Knowledge Governance Protocol
12,LK005,Trusted Messenger and Local Warning System,5,8.07573,Indigenous Knowledge Governance Protocol
12,LK002,Community Science Environmental Monitoring Network,6,7.99072,Indigenous Knowledge Governance Protocol
13,LK003,Indigenous Knowledge Governance Protocol,1,8.96017,Indigenous Knowledge Governance Protocol
13,LK004,Funded Community Resilience Advisory Council,2,8.86555,Indigenous Knowledge Governance Protocol
13,LK005,Trusted Messenger and Local Warning System,3,8.48287,Indigenous Knowledge Governance Protocol
13,LK001,Participatory Risk Mapping and Action Triggers,4,8.24904,Indigenous Knowledge Governance Protocol
13,LK002,Community Science Environmental Monitoring Network,5,8.10231,Indigenous Knowledge Governance Protocol
13,LK006,Recovery Feedback and Administrative Burden Review,6,8.01688,Indigenous Knowledge Governance Protocol
14,LK003,Indigenous Knowledge Governance Protocol,1,8.64788,Indigenous Knowledge Governance Protocol
14,LK006,Recovery Feedback and Administrative Burden Review,2,8.53478,Indigenous Knowledge Governance Protocol
14,LK005,Trusted Messenger and Local Warning System,3,8.29314,Indigenous Knowledge Governance Protocol
14,LK004,Funded Community Resilience Advisory Council,4,8.23554,Indigenous Knowledge Governance Protocol
14,LK002,Community Science Environmental Monitoring Network,5,8.05801,Indigenous Knowledge Governance Protocol
14,LK001,Participatory Risk Mapping and Action Triggers,6,8.04121,Indigenous Knowledge Governance Protocol
15,LK001,Participatory Risk Mapping and Action Triggers,1,8.76846,Participatory Risk Mapping and Action Triggers
15,LK004,Funded Community Resilience Advisory Council,2,8.69116,Participatory Risk Mapping and Action Triggers
15,LK003,Indigenous Knowledge Governance Protocol,3,8.51322,Participatory Risk Mapping and Action Triggers
15,LK005,Trusted Messenger and Local Warning System,4,8.3197,Participatory Risk Mapping and Action Triggers
15,LK002,Community Science Environmental Monitoring Network,5,8.02707,Participatory Risk Mapping and Action Triggers
15,LK006,Recovery Feedback and Administrative Burden Review,6,7.89844,Participatory Risk Mapping and Action Triggers
16,LK003,Indigenous Knowledge Governance Protocol,1,8.98537,Indigenous Knowledge Governance Protocol
16,LK001,Participatory Risk Mapping and Action Triggers,2,8.69063,Indigenous Knowledge Governance Protocol
16,LK004,Funded Community Resilience Advisory Council,3,8.68736,Indigenous Knowledge Governance Protocol
16,LK006,Recovery Feedback and Administrative Burden Review,4,8.36689,Indigenous Knowledge Governance Protocol
16,LK002,Community Science Environmental Monitoring Network,5,8.14027,Indigenous Knowledge Governance Protocol
16,LK005,Trusted Messenger and Local Warning System,6,7.79556,Indigenous Knowledge Governance Protocol
17,LK005,Trusted Messenger and Local Warning System,1,8.58889,Trusted Messenger and Local Warning System
17,LK004,Funded Community Resilience Advisory Council,2,8.50241,Trusted Messenger and Local Warning System
17,LK006,Recovery Feedback and Administrative Burden Review,3,8.47888,Trusted Messenger and Local Warning System
17,LK003,Indigenous Knowledge Governance Protocol,4,8.3267,Trusted Messenger and Local Warning System
17,LK002,Community Science Environmental Monitoring Network,5,8.09833,Trusted Messenger and Local Warning System
17,LK001,Participatory Risk Mapping and Action Triggers,6,8.08162,Trusted Messenger and Local Warning System
18,LK003,Indigenous Knowledge Governance Protocol,1,9.12793,Indigenous Knowledge Governance Protocol
18,LK004,Funded Community Resilience Advisory Council,2,8.86616,Indigenous Knowledge Governance Protocol
18,LK001,Participatory Risk Mapping and Action Triggers,3,8.59967,Indigenous Knowledge Governance Protocol
18,LK002,Community Science Environmental Monitoring Network,4,8.33846,Indigenous Knowledge Governance Protocol
18,LK005,Trusted Messenger and Local Warning System,5,8.29919,Indigenous Knowledge Governance Protocol
18,LK006,Recovery Feedback and Administrative Burden Review,6,8.29528,Indigenous Knowledge Governance Protocol
19,LK003,Indigenous Knowledge Governance Protocol,1,8.7279,Indigenous Knowledge Governance Protocol
19,LK004,Funded Community Resilience Advisory Council,2,8.58191,Indigenous Knowledge Governance Protocol
19,LK006,Recovery Feedback and Administrative Burden Review,3,8.54342,Indigenous Knowledge Governance Protocol
19,LK005,Trusted Messenger and Local Warning System,4,8.47947,Indigenous Knowledge Governance Protocol
19,LK001,Participatory Risk Mapping and Action Triggers,5,8.13843,Indigenous Knowledge Governance Protocol
19,LK002,Community Science Environmental Monitoring Network,6,7.33833,Indigenous Knowledge Governance Protocol
20,LK003,Indigenous Knowledge Governance Protocol,1,9.37961,Indigenous Knowledge Governance Protocol
20,LK004,Funded Community Resilience Advisory Council,2,8.57725,Indigenous Knowledge Governance Protocol
20,LK005,Trusted Messenger and Local Warning System,3,8.42293,Indigenous Knowledge Governance Protocol
20,LK001,Participatory Risk Mapping and Action Triggers,4,8.38214,Indigenous Knowledge Governance Protocol
20,LK006,Recovery Feedback and Administrative Burden Review,5,8.34119,Indigenous Knowledge Governance Protocol
20,LK002,Community Science Environmental Monitoring Network,6,7.71199,Indigenous Knowledge Governance Protocol
21,LK003,Indigenous Knowledge Governance Protocol,1,9.29675,Indigenous Knowledge Governance Protocol
21,LK004,Funded Community Resilience Advisory Council,2,9.00713,Indigenous Knowledge Governance Protocol
21,LK002,Community Science Environmental Monitoring Network,3,8.52989,Indigenous Knowledge Governance Protocol
21,LK006,Recovery Feedback and Administrative Burden Review,4,8.25695,Indigenous Knowledge Governance Protocol
21,LK001,Participatory Risk Mapping and Action Triggers,5,8.15886,Indigenous Knowledge Governance Protocol
21,LK005,Trusted Messenger and Local Warning System,6,8.09378,Indigenous Knowledge Governance Protocol
22,LK004,Funded Community Resilience Advisory Council,1,8.64057,Funded Community Resilience Advisory Council
22,LK005,Trusted Messenger and Local Warning System,2,8.41927,Funded Community Resilience Advisory Council
22,LK003,Indigenous Knowledge Governance Protocol,3,8.37375,Funded Community Resilience Advisory Council
22,LK001,Participatory Risk Mapping and Action Triggers,4,8.25696,Funded Community Resilience Advisory Council
22,LK006,Recovery Feedback and Administrative Burden Review,5,8.15094,Funded Community Resilience Advisory Council
22,LK002,Community Science Environmental Monitoring Network,6,8.0007,Funded Community Resilience Advisory Council
23,LK003,Indigenous Knowledge Governance Protocol,1,8.86267,Indigenous Knowledge Governance Protocol
23,LK004,Funded Community Resilience Advisory Council,2,8.84392,Indigenous Knowledge Governance Protocol
23,LK006,Recovery Feedback and Administrative Burden Review,3,8.45275,Indigenous Knowledge Governance Protocol
23,LK005,Trusted Messenger and Local Warning System,4,8.12965,Indigenous Knowledge Governance Protocol
23,LK002,Community Science Environmental Monitoring Network,5,8.07056,Indigenous Knowledge Governance Protocol
23,LK001,Participatory Risk Mapping and Action Triggers,6,7.76199,Indigenous Knowledge Governance Protocol
24,LK003,Indigenous Knowledge Governance Protocol,1,9.19193,Indigenous Knowledge Governance Protocol
24,LK004,Funded Community Resilience Advisory Council,2,8.86403,Indigenous Knowledge Governance Protocol
24,LK006,Recovery Feedback and Administrative Burden Review,3,8.33991,Indigenous Knowledge Governance Protocol
24,LK005,Trusted Messenger and Local Warning System,4,8.24701,Indigenous Knowledge Governance Protocol
24,LK001,Participatory Risk Mapping and Action Triggers,5,8.09229,Indigenous Knowledge Governance Protocol
24,LK002,Community Science Environmental Monitoring Network,6,7.7365,Indigenous Knowledge Governance Protocol
25,LK006,Recovery Feedback and Administrative Burden Review,1,8.97162,Recovery Feedback and Administrative Burden Review
25,LK003,Indigenous Knowledge Governance Protocol,2,8.66539,Recovery Feedback and Administrative Burden Review
25,LK002,Community Science Environmental Monitoring Network,3,8.34642,Recovery Feedback and Administrative Burden Review
25,LK004,Funded Community Resilience Advisory Council,4,8.3428,Recovery Feedback and Administrative Burden Review
25,LK001,Participatory Risk Mapping and Action Triggers,5,8.12121,Recovery Feedback and Administrative Burden Review
25,LK005,Trusted Messenger and Local Warning System,6,8.08795,Recovery Feedback and Administrative Burden Review
26,LK004,Funded Community Resilience Advisory Council,1,9.05762,Funded Community Resilience Advisory Council
26,LK003,Indigenous Knowledge Governance Protocol,2,8.80555,Funded Community Resilience Advisory Council
26,LK006,Recovery Feedback and Administrative Burden Review,3,8.59264,Funded Community Resilience Advisory Council
26,LK005,Trusted Messenger and Local Warning System,4,8.28786,Funded Community Resilience Advisory Council
26,LK002,Community Science Environmental Monitoring Network,5,8.19559,Funded Community Resilience Advisory Council
26,LK001,Participatory Risk Mapping and Action Triggers,6,8.12235,Funded Community Resilience Advisory Council
27,LK003,Indigenous Knowledge Governance Protocol,1,9.22548,Indigenous Knowledge Governance Protocol
27,LK004,Funded Community Resilience Advisory Council,2,8.74806,Indigenous Knowledge Governance Protocol
27,LK001,Participatory Risk Mapping and Action Triggers,3,8.4011,Indigenous Knowledge Governance Protocol
27,LK006,Recovery Feedback and Administrative Burden Review,4,8.2715,Indigenous Knowledge Governance Protocol
27,LK005,Trusted Messenger and Local Warning System,5,8.15671,Indigenous Knowledge Governance Protocol
27,LK002,Community Science Environmental Monitoring Network,6,7.80899,Indigenous Knowledge Governance Protocol
28,LK003,Indigenous Knowledge Governance Protocol,1,9.04145,Indigenous Knowledge Governance Protocol
28,LK004,Funded Community Resilience Advisory Council,2,8.89301,Indigenous Knowledge Governance Protocol
28,LK006,Recovery Feedback and Administrative Burden Review,3,8.66833,Indigenous Knowledge Governance Protocol
28,LK005,Trusted Messenger and Local Warning System,4,8.55673,Indigenous Knowledge Governance Protocol
28,LK002,Community Science Environmental Monitoring Network,5,8.34541,Indigenous Knowledge Governance Protocol
28,LK001,Participatory Risk Mapping and Action Triggers,6,8.34252,Indigenous Knowledge Governance Protocol
29,LK003,Indigenous Knowledge Governance Protocol,1,8.93949,Indigenous Knowledge Governance Protocol
29,LK004,Funded Community Resilience Advisory Council,2,8.77485,Indigenous Knowledge Governance Protocol
29,LK001,Participatory Risk Mapping and Action Triggers,3,8.33907,Indigenous Knowledge Governance Protocol
29,LK002,Community Science Environmental Monitoring Network,4,8.07266,Indigenous Knowledge Governance Protocol
29,LK006,Recovery Feedback and Administrative Burden Review,5,8.05355,Indigenous Knowledge Governance Protocol
29,LK005,Trusted Messenger and Local Warning System,6,7.99551,Indigenous Knowledge Governance Protocol
30,LK004,Funded Community Resilience Advisory Council,1,9.05494,Funded Community Resilience Advisory Council
30,LK003,Indigenous Knowledge Governance Protocol,2,8.7937,Funded Community Resilience Advisory Council
30,LK006,Recovery Feedback and Administrative Burden Review,3,8.46174,Funded Community Resilience Advisory Council
30,LK001,Participatory Risk Mapping and Action Triggers,4,8.35932,Funded Community Resilience Advisory Council
30,LK002,Community Science Environmental Monitoring Network,5,8.04062,Funded Community Resilience Advisory Council
30,LK005,Trusted Messenger and Local Warning System,6,7.78229,Funded Community Resilience Advisory Council
31,LK003,Indigenous Knowledge Governance Protocol,1,8.92694,Indigenous Knowledge Governance Protocol
31,LK001,Participatory Risk Mapping and Action Triggers,2,8.64374,Indigenous Knowledge Governance Protocol
31,LK006,Recovery Feedback and Administrative Burden Review,3,8.43707,Indigenous Knowledge Governance Protocol
31,LK004,Funded Community Resilience Advisory Council,4,8.26533,Indigenous Knowledge Governance Protocol
31,LK005,Trusted Messenger and Local Warning System,5,8.2155,Indigenous Knowledge Governance Protocol
31,LK002,Community Science Environmental Monitoring Network,6,8.0,Indigenous Knowledge Governance Protocol
32,LK003,Indigenous Knowledge Governance Protocol,1,9.11188,Indigenous Knowledge Governance Protocol
32,LK004,Funded Community Resilience Advisory Council,2,8.73687,Indigenous Knowledge Governance Protocol
32,LK006,Recovery Feedback and Administrative Burden Review,3,8.59195,Indigenous Knowledge Governance Protocol
32,LK001,Participatory Risk Mapping and Action Triggers,4,8.51101,Indigenous Knowledge Governance Protocol
32,LK005,Trusted Messenger and Local Warning System,5,8.1944,Indigenous Knowledge Governance Protocol
32,LK002,Community Science Environmental Monitoring Network,6,7.90127,Indigenous Knowledge Governance Protocol
33,LK001,Participatory Risk Mapping and Action Triggers,1,8.6802,Participatory Risk Mapping and Action Triggers
33,LK006,Recovery Feedback and Administrative Burden Review,2,8.4913,Participatory Risk Mapping and Action Triggers
33,LK004,Funded Community Resilience Advisory Council,3,8.34502,Participatory Risk Mapping and Action Triggers
33,LK003,Indigenous Knowledge Governance Protocol,4,8.30551,Participatory Risk Mapping and Action Triggers
33,LK005,Trusted Messenger and Local Warning System,5,8.12035,Participatory Risk Mapping and Action Triggers
33,LK002,Community Science Environmental Monitoring Network,6,8.11368,Participatory Risk Mapping and Action Triggers
34,LK004,Funded Community Resilience Advisory Council,1,8.89684,Funded Community Resilience Advisory Council
34,LK003,Indigenous Knowledge Governance Protocol,2,8.64713,Funded Community Resilience Advisory Council
34,LK006,Recovery Feedback and Administrative Burden Review,3,8.17812,Funded Community Resilience Advisory Council
34,LK002,Community Science Environmental Monitoring Network,4,8.16847,Funded Community Resilience Advisory Council
34,LK001,Participatory Risk Mapping and Action Triggers,5,8.15833,Funded Community Resilience Advisory Council
34,LK005,Trusted Messenger and Local Warning System,6,7.62921,Funded Community Resilience Advisory Council
35,LK004,Funded Community Resilience Advisory Council,1,8.95429,Funded Community Resilience Advisory Council
35,LK003,Indigenous Knowledge Governance Protocol,2,8.64978,Funded Community Resilience Advisory Council
35,LK005,Trusted Messenger and Local Warning System,3,8.56546,Funded Community Resilience Advisory Council
35,LK001,Participatory Risk Mapping and Action Triggers,4,8.43696,Funded Community Resilience Advisory Council
35,LK002,Community Science Environmental Monitoring Network,5,8.17734,Funded Community Resilience Advisory Council
35,LK006,Recovery Feedback and Administrative Burden Review,6,7.98873,Funded Community Resilience Advisory Council
36,LK004,Funded Community Resilience Advisory Council,1,9.02907,Funded Community Resilience Advisory Council
36,LK003,Indigenous Knowledge Governance Protocol,2,8.88091,Funded Community Resilience Advisory Council
36,LK006,Recovery Feedback and Administrative Burden Review,3,8.84615,Funded Community Resilience Advisory Council
36,LK002,Community Science Environmental Monitoring Network,4,8.19156,Funded Community Resilience Advisory Council
36,LK005,Trusted Messenger and Local Warning System,5,8.16211,Funded Community Resilience Advisory Council
36,LK001,Participatory Risk Mapping and Action Triggers,6,8.08889,Funded Community Resilience Advisory Council
37,LK004,Funded Community Resilience Advisory Council,1,8.72703,Funded Community Resilience Advisory Council
37,LK001,Participatory Risk Mapping and Action Triggers,2,8.57125,Funded Community Resilience Advisory Council
37,LK003,Indigenous Knowledge Governance Protocol,3,8.37604,Funded Community Resilience Advisory Council
37,LK006,Recovery Feedback and Administrative Burden Review,4,8.3642,Funded Community Resilience Advisory Council
37,LK005,Trusted Messenger and Local Warning System,5,8.04314,Funded Community Resilience Advisory Council
37,LK002,Community Science Environmental Monitoring Network,6,7.89994,Funded Community Resilience Advisory Council
38,LK004,Funded Community Resilience Advisory Council,1,9.03941,Funded Community Resilience Advisory Council
38,LK003,Indigenous Knowledge Governance Protocol,2,8.73406,Funded Community Resilience Advisory Council
38,LK006,Recovery Feedback and Administrative Burden Review,3,8.62158,Funded Community Resilience Advisory Council
38,LK002,Community Science Environmental Monitoring Network,4,8.53964,Funded Community Resilience Advisory Council
38,LK001,Participatory Risk Mapping and Action Triggers,5,8.39486,Funded Community Resilience Advisory Council
38,LK005,Trusted Messenger and Local Warning System,6,8.29899,Funded Community Resilience Advisory Council
39,LK004,Funded Community Resilience Advisory Council,1,8.80098,Funded Community Resilience Advisory Council
39,LK006,Recovery Feedback and Administrative Burden Review,2,8.71719,Funded Community Resilience Advisory Council
39,LK003,Indigenous Knowledge Governance Protocol,3,8.60638,Funded Community Resilience Advisory Council
39,LK001,Participatory Risk Mapping and Action Triggers,4,8.58589,Funded Community Resilience Advisory Council
39,LK005,Trusted Messenger and Local Warning System,5,8.40181,Funded Community Resilience Advisory Council
39,LK002,Community Science Environmental Monitoring Network,6,8.14043,Funded Community Resilience Advisory Council
40,LK003,Indigenous Knowledge Governance Protocol,1,8.88456,Indigenous Knowledge Governance Protocol
40,LK004,Funded Community Resilience Advisory Council,2,8.63821,Indigenous Knowledge Governance Protocol
40,LK001,Participatory Risk Mapping and Action Triggers,3,8.38058,Indigenous Knowledge Governance Protocol
40,LK002,Community Science Environmental Monitoring Network,4,8.24723,Indigenous Knowledge Governance Protocol
40,LK006,Recovery Feedback and Administrative Burden Review,5,8.23329,Indigenous Knowledge Governance Protocol
40,LK005,Trusted Messenger and Local Warning System,6,8.05271,Indigenous Knowledge Governance Protocol
41,LK003,Indigenous Knowledge Governance Protocol,1,9.26499,Indigenous Knowledge Governance Protocol
41,LK005,Trusted Messenger and Local Warning System,2,8.99364,Indigenous Knowledge Governance Protocol
41,LK004,Funded Community Resilience Advisory Council,3,8.60794,Indigenous Knowledge Governance Protocol
41,LK001,Participatory Risk Mapping and Action Triggers,4,8.5897,Indigenous Knowledge Governance Protocol
41,LK006,Recovery Feedback and Administrative Burden Review,5,8.18169,Indigenous Knowledge Governance Protocol
41,LK002,Community Science Environmental Monitoring Network,6,7.88045,Indigenous Knowledge Governance Protocol
42,LK005,Trusted Messenger and Local Warning System,1,8.74923,Trusted Messenger and Local Warning System
42,LK006,Recovery Feedback and Administrative Burden Review,2,8.52134,Trusted Messenger and Local Warning System
42,LK003,Indigenous Knowledge Governance Protocol,3,8.47139,Trusted Messenger and Local Warning System
42,LK004,Funded Community Resilience Advisory Council,4,8.43854,Trusted Messenger and Local Warning System
42,LK001,Participatory Risk Mapping and Action Triggers,5,8.12845,Trusted Messenger and Local Warning System
42,LK002,Community Science Environmental Monitoring Network,6,7.56637,Trusted Messenger and Local Warning System
43,LK003,Indigenous Knowledge Governance Protocol,1,8.69223,Indigenous Knowledge Governance Protocol
43,LK004,Funded Community Resilience Advisory Council,2,8.53753,Indigenous Knowledge Governance Protocol
43,LK001,Participatory Risk Mapping and Action Triggers,3,8.40413,Indigenous Knowledge Governance Protocol
43,LK005,Trusted Messenger and Local Warning System,4,8.17709,Indigenous Knowledge Governance Protocol
43,LK006,Recovery Feedback and Administrative Burden Review,5,8.13633,Indigenous Knowledge Governance Protocol
43,LK002,Community Science Environmental Monitoring Network,6,8.04004,Indigenous Knowledge Governance Protocol
44,LK004,Funded Community Resilience Advisory Council,1,8.77537,Funded Community Resilience Advisory Council
44,LK003,Indigenous Knowledge Governance Protocol,2,8.74252,Funded Community Resilience Advisory Council
44,LK002,Community Science Environmental Monitoring Network,3,8.62588,Funded Community Resilience Advisory Council
44,LK006,Recovery Feedback and Administrative Burden Review,4,8.36561,Funded Community Resilience Advisory Council
44,LK001,Participatory Risk Mapping and Action Triggers,5,8.18848,Funded Community Resilience Advisory Council
44,LK005,Trusted Messenger and Local Warning System,6,7.72717,Funded Community Resilience Advisory Council
45,LK004,Funded Community Resilience Advisory Council,1,9.13198,Funded Community Resilience Advisory Council
45,LK006,Recovery Feedback and Administrative Burden Review,2,8.62735,Funded Community Resilience Advisory Council
45,LK003,Indigenous Knowledge Governance Protocol,3,8.59978,Funded Community Resilience Advisory Council
45,LK001,Participatory Risk Mapping and Action Triggers,4,8.53044,Funded Community Resilience Advisory Council
45,LK002,Community Science Environmental Monitoring Network,5,8.43963,Funded Community Resilience Advisory Council
45,LK005,Trusted Messenger and Local Warning System,6,8.36806,Funded Community Resilience Advisory Council
46,LK004,Funded Community Resilience Advisory Council,1,9.18174,Funded Community Resilience Advisory Council
46,LK003,Indigenous Knowledge Governance Protocol,2,8.97339,Funded Community Resilience Advisory Council
46,LK006,Recovery Feedback and Administrative Burden Review,3,8.5866,Funded Community Resilience Advisory Council
46,LK001,Participatory Risk Mapping and Action Triggers,4,8.30828,Funded Community Resilience Advisory Council
46,LK005,Trusted Messenger and Local Warning System,5,8.24952,Funded Community Resilience Advisory Council
46,LK002,Community Science Environmental Monitoring Network,6,7.79173,Funded Community Resilience Advisory Council
47,LK003,Indigenous Knowledge Governance Protocol,1,9.03703,Indigenous Knowledge Governance Protocol
47,LK004,Funded Community Resilience Advisory Council,2,8.90648,Indigenous Knowledge Governance Protocol
47,LK001,Participatory Risk Mapping and Action Triggers,3,8.32304,Indigenous Knowledge Governance Protocol
47,LK006,Recovery Feedback and Administrative Burden Review,4,8.18353,Indigenous Knowledge Governance Protocol
47,LK005,Trusted Messenger and Local Warning System,5,8.07207,Indigenous Knowledge Governance Protocol
47,LK002,Community Science Environmental Monitoring Network,6,7.90943,Indigenous Knowledge Governance Protocol
48,LK004,Funded Community Resilience Advisory Council,1,8.73322,Funded Community Resilience Advisory Council
48,LK006,Recovery Feedback and Administrative Burden Review,2,8.69829,Funded Community Resilience Advisory Council
48,LK003,Indigenous Knowledge Governance Protocol,3,8.63325,Funded Community Resilience Advisory Council
48,LK001,Participatory Risk Mapping and Action Triggers,4,8.53128,Funded Community Resilience Advisory Council
