simulation_id,dashboard_id,dashboard,rank,dashboard_value,winner
3,DB006,Participatory Community Resilience Dashboard,2,7.16135,Adaptive Learning and Decision-Trigger Dashboard
3,DB003,Threshold-Sensitive Early Warning Dashboard,3,7.15546,Adaptive Learning and Decision-Trigger Dashboard
3,DB004,Justice-Centered Resilience Dashboard,4,6.92772,Adaptive Learning and Decision-Trigger Dashboard
3,DB002,Indicator Domain Dashboard,5,6.51015,Adaptive Learning and Decision-Trigger Dashboard
3,DB001,Simple Composite Resilience Score,6,4.87541,Adaptive Learning and Decision-Trigger Dashboard
4,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.83909,Adaptive Learning and Decision-Trigger Dashboard
4,DB003,Threshold-Sensitive Early Warning Dashboard,2,7.04066,Adaptive Learning and Decision-Trigger Dashboard
4,DB004,Justice-Centered Resilience Dashboard,3,6.93919,Adaptive Learning and Decision-Trigger Dashboard
4,DB006,Participatory Community Resilience Dashboard,4,6.56913,Adaptive Learning and Decision-Trigger Dashboard
4,DB002,Indicator Domain Dashboard,5,6.39034,Adaptive Learning and Decision-Trigger Dashboard
4,DB001,Simple Composite Resilience Score,6,4.67174,Adaptive Learning and Decision-Trigger Dashboard
5,DB003,Threshold-Sensitive Early Warning Dashboard,1,7.3072,Threshold-Sensitive Early Warning Dashboard
5,DB005,Adaptive Learning and Decision-Trigger Dashboard,2,7.0774,Threshold-Sensitive Early Warning Dashboard
5,DB006,Participatory Community Resilience Dashboard,3,6.96044,Threshold-Sensitive Early Warning Dashboard
5,DB004,Justice-Centered Resilience Dashboard,4,6.80032,Threshold-Sensitive Early Warning Dashboard
5,DB002,Indicator Domain Dashboard,5,6.31258,Threshold-Sensitive Early Warning Dashboard
5,DB001,Simple Composite Resilience Score,6,5.08119,Threshold-Sensitive Early Warning Dashboard
6,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.20345,Adaptive Learning and Decision-Trigger Dashboard
6,DB006,Participatory Community Resilience Dashboard,2,7.01892,Adaptive Learning and Decision-Trigger Dashboard
6,DB004,Justice-Centered Resilience Dashboard,3,6.82157,Adaptive Learning and Decision-Trigger Dashboard
6,DB003,Threshold-Sensitive Early Warning Dashboard,4,6.66731,Adaptive Learning and Decision-Trigger Dashboard
6,DB002,Indicator Domain Dashboard,5,6.64283,Adaptive Learning and Decision-Trigger Dashboard
6,DB001,Simple Composite Resilience Score,6,5.24023,Adaptive Learning and Decision-Trigger Dashboard
7,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.65252,Adaptive Learning and Decision-Trigger Dashboard
7,DB004,Justice-Centered Resilience Dashboard,2,7.17064,Adaptive Learning and Decision-Trigger Dashboard
7,DB003,Threshold-Sensitive Early Warning Dashboard,3,6.94935,Adaptive Learning and Decision-Trigger Dashboard
7,DB006,Participatory Community Resilience Dashboard,4,6.89292,Adaptive Learning and Decision-Trigger Dashboard
7,DB002,Indicator Domain Dashboard,5,6.07784,Adaptive Learning and Decision-Trigger Dashboard
7,DB001,Simple Composite Resilience Score,6,4.75254,Adaptive Learning and Decision-Trigger Dashboard
8,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.95246,Adaptive Learning and Decision-Trigger Dashboard
8,DB003,Threshold-Sensitive Early Warning Dashboard,2,7.19022,Adaptive Learning and Decision-Trigger Dashboard
8,DB004,Justice-Centered Resilience Dashboard,3,6.85293,Adaptive Learning and Decision-Trigger Dashboard
8,DB006,Participatory Community Resilience Dashboard,4,6.77489,Adaptive Learning and Decision-Trigger Dashboard
8,DB002,Indicator Domain Dashboard,5,6.39325,Adaptive Learning and Decision-Trigger Dashboard
8,DB001,Simple Composite Resilience Score,6,4.77028,Adaptive Learning and Decision-Trigger Dashboard
9,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.58556,Adaptive Learning and Decision-Trigger Dashboard
9,DB003,Threshold-Sensitive Early Warning Dashboard,2,7.1815,Adaptive Learning and Decision-Trigger Dashboard
9,DB006,Participatory Community Resilience Dashboard,3,7.07191,Adaptive Learning and Decision-Trigger Dashboard
9,DB002,Indicator Domain Dashboard,4,6.66446,Adaptive Learning and Decision-Trigger Dashboard
9,DB004,Justice-Centered Resilience Dashboard,5,6.62954,Adaptive Learning and Decision-Trigger Dashboard
9,DB001,Simple Composite Resilience Score,6,4.79415,Adaptive Learning and Decision-Trigger Dashboard
10,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.51036,Adaptive Learning and Decision-Trigger Dashboard
10,DB003,Threshold-Sensitive Early Warning Dashboard,2,7.1299,Adaptive Learning and Decision-Trigger Dashboard
10,DB006,Participatory Community Resilience Dashboard,3,6.91998,Adaptive Learning and Decision-Trigger Dashboard
10,DB004,Justice-Centered Resilience Dashboard,4,6.32806,Adaptive Learning and Decision-Trigger Dashboard
10,DB002,Indicator Domain Dashboard,5,6.22457,Adaptive Learning and Decision-Trigger Dashboard
10,DB001,Simple Composite Resilience Score,6,4.7585,Adaptive Learning and Decision-Trigger Dashboard
11,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.71556,Adaptive Learning and Decision-Trigger Dashboard
11,DB003,Threshold-Sensitive Early Warning Dashboard,2,6.88991,Adaptive Learning and Decision-Trigger Dashboard
11,DB004,Justice-Centered Resilience Dashboard,3,6.80554,Adaptive Learning and Decision-Trigger Dashboard
11,DB006,Participatory Community Resilience Dashboard,4,6.79049,Adaptive Learning and Decision-Trigger Dashboard
11,DB002,Indicator Domain Dashboard,5,5.97844,Adaptive Learning and Decision-Trigger Dashboard
11,DB001,Simple Composite Resilience Score,6,4.85423,Adaptive Learning and Decision-Trigger Dashboard
12,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.48059,Adaptive Learning and Decision-Trigger Dashboard
12,DB003,Threshold-Sensitive Early Warning Dashboard,2,7.09846,Adaptive Learning and Decision-Trigger Dashboard
12,DB004,Justice-Centered Resilience Dashboard,3,6.86952,Adaptive Learning and Decision-Trigger Dashboard
12,DB006,Participatory Community Resilience Dashboard,4,6.71068,Adaptive Learning and Decision-Trigger Dashboard
12,DB002,Indicator Domain Dashboard,5,6.06866,Adaptive Learning and Decision-Trigger Dashboard
12,DB001,Simple Composite Resilience Score,6,5.08515,Adaptive Learning and Decision-Trigger Dashboard
13,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.5436,Adaptive Learning and Decision-Trigger Dashboard
13,DB006,Participatory Community Resilience Dashboard,2,6.98566,Adaptive Learning and Decision-Trigger Dashboard
13,DB003,Threshold-Sensitive Early Warning Dashboard,3,6.80885,Adaptive Learning and Decision-Trigger Dashboard
13,DB002,Indicator Domain Dashboard,4,6.76996,Adaptive Learning and Decision-Trigger Dashboard
13,DB004,Justice-Centered Resilience Dashboard,5,6.71406,Adaptive Learning and Decision-Trigger Dashboard
13,DB001,Simple Composite Resilience Score,6,4.48252,Adaptive Learning and Decision-Trigger Dashboard
14,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.44302,Adaptive Learning and Decision-Trigger Dashboard
14,DB006,Participatory Community Resilience Dashboard,2,6.73556,Adaptive Learning and Decision-Trigger Dashboard
14,DB002,Indicator Domain Dashboard,3,6.62964,Adaptive Learning and Decision-Trigger Dashboard
14,DB004,Justice-Centered Resilience Dashboard,4,6.5701,Adaptive Learning and Decision-Trigger Dashboard
14,DB003,Threshold-Sensitive Early Warning Dashboard,5,6.5611,Adaptive Learning and Decision-Trigger Dashboard
14,DB001,Simple Composite Resilience Score,6,4.92202,Adaptive Learning and Decision-Trigger Dashboard
15,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.59415,Adaptive Learning and Decision-Trigger Dashboard
15,DB004,Justice-Centered Resilience Dashboard,2,6.97684,Adaptive Learning and Decision-Trigger Dashboard
15,DB003,Threshold-Sensitive Early Warning Dashboard,3,6.95488,Adaptive Learning and Decision-Trigger Dashboard
15,DB006,Participatory Community Resilience Dashboard,4,6.48934,Adaptive Learning and Decision-Trigger Dashboard
15,DB002,Indicator Domain Dashboard,5,6.28965,Adaptive Learning and Decision-Trigger Dashboard
15,DB001,Simple Composite Resilience Score,6,4.88402,Adaptive Learning and Decision-Trigger Dashboard
16,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.38507,Adaptive Learning and Decision-Trigger Dashboard
16,DB003,Threshold-Sensitive Early Warning Dashboard,2,7.01467,Adaptive Learning and Decision-Trigger Dashboard
16,DB006,Participatory Community Resilience Dashboard,3,6.79918,Adaptive Learning and Decision-Trigger Dashboard
16,DB002,Indicator Domain Dashboard,4,6.3975,Adaptive Learning and Decision-Trigger Dashboard
16,DB004,Justice-Centered Resilience Dashboard,5,6.15577,Adaptive Learning and Decision-Trigger Dashboard
16,DB001,Simple Composite Resilience Score,6,4.35765,Adaptive Learning and Decision-Trigger Dashboard
17,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.79106,Adaptive Learning and Decision-Trigger Dashboard
17,DB003,Threshold-Sensitive Early Warning Dashboard,2,7.21208,Adaptive Learning and Decision-Trigger Dashboard
17,DB006,Participatory Community Resilience Dashboard,3,7.15881,Adaptive Learning and Decision-Trigger Dashboard
17,DB004,Justice-Centered Resilience Dashboard,4,6.77859,Adaptive Learning and Decision-Trigger Dashboard
17,DB002,Indicator Domain Dashboard,5,6.56526,Adaptive Learning and Decision-Trigger Dashboard
17,DB001,Simple Composite Resilience Score,6,4.69612,Adaptive Learning and Decision-Trigger Dashboard
18,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.65266,Adaptive Learning and Decision-Trigger Dashboard
18,DB003,Threshold-Sensitive Early Warning Dashboard,2,6.9509,Adaptive Learning and Decision-Trigger Dashboard
18,DB006,Participatory Community Resilience Dashboard,3,6.83776,Adaptive Learning and Decision-Trigger Dashboard
18,DB004,Justice-Centered Resilience Dashboard,4,6.79408,Adaptive Learning and Decision-Trigger Dashboard
18,DB002,Indicator Domain Dashboard,5,5.93684,Adaptive Learning and Decision-Trigger Dashboard
18,DB001,Simple Composite Resilience Score,6,4.56465,Adaptive Learning and Decision-Trigger Dashboard
19,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.52646,Adaptive Learning and Decision-Trigger Dashboard
19,DB003,Threshold-Sensitive Early Warning Dashboard,2,7.14407,Adaptive Learning and Decision-Trigger Dashboard
19,DB004,Justice-Centered Resilience Dashboard,3,6.53689,Adaptive Learning and Decision-Trigger Dashboard
19,DB006,Participatory Community Resilience Dashboard,4,6.50865,Adaptive Learning and Decision-Trigger Dashboard
19,DB002,Indicator Domain Dashboard,5,5.94701,Adaptive Learning and Decision-Trigger Dashboard
19,DB001,Simple Composite Resilience Score,6,4.1281,Adaptive Learning and Decision-Trigger Dashboard
20,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.54291,Adaptive Learning and Decision-Trigger Dashboard
20,DB003,Threshold-Sensitive Early Warning Dashboard,2,7.21035,Adaptive Learning and Decision-Trigger Dashboard
20,DB006,Participatory Community Resilience Dashboard,3,7.17244,Adaptive Learning and Decision-Trigger Dashboard
20,DB004,Justice-Centered Resilience Dashboard,4,6.64085,Adaptive Learning and Decision-Trigger Dashboard
20,DB002,Indicator Domain Dashboard,5,6.21494,Adaptive Learning and Decision-Trigger Dashboard
20,DB001,Simple Composite Resilience Score,6,4.51633,Adaptive Learning and Decision-Trigger Dashboard
21,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.43141,Adaptive Learning and Decision-Trigger Dashboard
21,DB003,Threshold-Sensitive Early Warning Dashboard,2,6.84145,Adaptive Learning and Decision-Trigger Dashboard
21,DB004,Justice-Centered Resilience Dashboard,3,6.8292,Adaptive Learning and Decision-Trigger Dashboard
21,DB002,Indicator Domain Dashboard,4,6.39608,Adaptive Learning and Decision-Trigger Dashboard
21,DB006,Participatory Community Resilience Dashboard,5,6.35908,Adaptive Learning and Decision-Trigger Dashboard
21,DB001,Simple Composite Resilience Score,6,5.07393,Adaptive Learning and Decision-Trigger Dashboard
22,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.90521,Adaptive Learning and Decision-Trigger Dashboard
22,DB004,Justice-Centered Resilience Dashboard,2,7.15395,Adaptive Learning and Decision-Trigger Dashboard
22,DB003,Threshold-Sensitive Early Warning Dashboard,3,6.91903,Adaptive Learning and Decision-Trigger Dashboard
22,DB006,Participatory Community Resilience Dashboard,4,6.72544,Adaptive Learning and Decision-Trigger Dashboard
22,DB002,Indicator Domain Dashboard,5,6.04856,Adaptive Learning and Decision-Trigger Dashboard
22,DB001,Simple Composite Resilience Score,6,4.47516,Adaptive Learning and Decision-Trigger Dashboard
23,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.64818,Adaptive Learning and Decision-Trigger Dashboard
23,DB003,Threshold-Sensitive Early Warning Dashboard,2,7.22369,Adaptive Learning and Decision-Trigger Dashboard
23,DB006,Participatory Community Resilience Dashboard,3,6.70603,Adaptive Learning and Decision-Trigger Dashboard
23,DB004,Justice-Centered Resilience Dashboard,4,6.66655,Adaptive Learning and Decision-Trigger Dashboard
23,DB002,Indicator Domain Dashboard,5,6.38297,Adaptive Learning and Decision-Trigger Dashboard
23,DB001,Simple Composite Resilience Score,6,4.62691,Adaptive Learning and Decision-Trigger Dashboard
24,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.61679,Adaptive Learning and Decision-Trigger Dashboard
24,DB003,Threshold-Sensitive Early Warning Dashboard,2,7.48671,Adaptive Learning and Decision-Trigger Dashboard
24,DB004,Justice-Centered Resilience Dashboard,3,7.06373,Adaptive Learning and Decision-Trigger Dashboard
24,DB006,Participatory Community Resilience Dashboard,4,6.93799,Adaptive Learning and Decision-Trigger Dashboard
24,DB002,Indicator Domain Dashboard,5,6.57355,Adaptive Learning and Decision-Trigger Dashboard
24,DB001,Simple Composite Resilience Score,6,4.44462,Adaptive Learning and Decision-Trigger Dashboard
25,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.50085,Adaptive Learning and Decision-Trigger Dashboard
25,DB003,Threshold-Sensitive Early Warning Dashboard,2,7.14462,Adaptive Learning and Decision-Trigger Dashboard
25,DB006,Participatory Community Resilience Dashboard,3,6.94439,Adaptive Learning and Decision-Trigger Dashboard
25,DB004,Justice-Centered Resilience Dashboard,4,6.52785,Adaptive Learning and Decision-Trigger Dashboard
25,DB002,Indicator Domain Dashboard,5,6.21623,Adaptive Learning and Decision-Trigger Dashboard
25,DB001,Simple Composite Resilience Score,6,4.48195,Adaptive Learning and Decision-Trigger Dashboard
26,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.33729,Adaptive Learning and Decision-Trigger Dashboard
26,DB004,Justice-Centered Resilience Dashboard,2,6.99982,Adaptive Learning and Decision-Trigger Dashboard
26,DB006,Participatory Community Resilience Dashboard,3,6.82567,Adaptive Learning and Decision-Trigger Dashboard
26,DB003,Threshold-Sensitive Early Warning Dashboard,4,6.56124,Adaptive Learning and Decision-Trigger Dashboard
26,DB002,Indicator Domain Dashboard,5,6.36988,Adaptive Learning and Decision-Trigger Dashboard
26,DB001,Simple Composite Resilience Score,6,4.87593,Adaptive Learning and Decision-Trigger Dashboard
27,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.32713,Adaptive Learning and Decision-Trigger Dashboard
27,DB006,Participatory Community Resilience Dashboard,2,7.24088,Adaptive Learning and Decision-Trigger Dashboard
27,DB003,Threshold-Sensitive Early Warning Dashboard,3,7.2005,Adaptive Learning and Decision-Trigger Dashboard
27,DB004,Justice-Centered Resilience Dashboard,4,6.59428,Adaptive Learning and Decision-Trigger Dashboard
27,DB002,Indicator Domain Dashboard,5,6.27453,Adaptive Learning and Decision-Trigger Dashboard
27,DB001,Simple Composite Resilience Score,6,4.62459,Adaptive Learning and Decision-Trigger Dashboard
28,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.69954,Adaptive Learning and Decision-Trigger Dashboard
28,DB003,Threshold-Sensitive Early Warning Dashboard,2,7.07631,Adaptive Learning and Decision-Trigger Dashboard
28,DB006,Participatory Community Resilience Dashboard,3,6.91367,Adaptive Learning and Decision-Trigger Dashboard
28,DB004,Justice-Centered Resilience Dashboard,4,6.67939,Adaptive Learning and Decision-Trigger Dashboard
28,DB002,Indicator Domain Dashboard,5,6.36692,Adaptive Learning and Decision-Trigger Dashboard
28,DB001,Simple Composite Resilience Score,6,4.55882,Adaptive Learning and Decision-Trigger Dashboard
29,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.80187,Adaptive Learning and Decision-Trigger Dashboard
29,DB004,Justice-Centered Resilience Dashboard,2,7.25807,Adaptive Learning and Decision-Trigger Dashboard
29,DB003,Threshold-Sensitive Early Warning Dashboard,3,6.85361,Adaptive Learning and Decision-Trigger Dashboard
29,DB006,Participatory Community Resilience Dashboard,4,6.75072,Adaptive Learning and Decision-Trigger Dashboard
29,DB002,Indicator Domain Dashboard,5,5.82073,Adaptive Learning and Decision-Trigger Dashboard
29,DB001,Simple Composite Resilience Score,6,4.47795,Adaptive Learning and Decision-Trigger Dashboard
30,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.93254,Adaptive Learning and Decision-Trigger Dashboard
30,DB006,Participatory Community Resilience Dashboard,2,7.20777,Adaptive Learning and Decision-Trigger Dashboard
30,DB003,Threshold-Sensitive Early Warning Dashboard,3,7.06109,Adaptive Learning and Decision-Trigger Dashboard
30,DB004,Justice-Centered Resilience Dashboard,4,6.80273,Adaptive Learning and Decision-Trigger Dashboard
30,DB002,Indicator Domain Dashboard,5,6.33357,Adaptive Learning and Decision-Trigger Dashboard
30,DB001,Simple Composite Resilience Score,6,5.06502,Adaptive Learning and Decision-Trigger Dashboard
31,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.44315,Adaptive Learning and Decision-Trigger Dashboard
31,DB003,Threshold-Sensitive Early Warning Dashboard,2,7.42584,Adaptive Learning and Decision-Trigger Dashboard
31,DB004,Justice-Centered Resilience Dashboard,3,6.97676,Adaptive Learning and Decision-Trigger Dashboard
31,DB006,Participatory Community Resilience Dashboard,4,6.87075,Adaptive Learning and Decision-Trigger Dashboard
31,DB002,Indicator Domain Dashboard,5,6.46945,Adaptive Learning and Decision-Trigger Dashboard
31,DB001,Simple Composite Resilience Score,6,4.36873,Adaptive Learning and Decision-Trigger Dashboard
32,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.92537,Adaptive Learning and Decision-Trigger Dashboard
32,DB003,Threshold-Sensitive Early Warning Dashboard,2,7.27543,Adaptive Learning and Decision-Trigger Dashboard
32,DB006,Participatory Community Resilience Dashboard,3,6.85969,Adaptive Learning and Decision-Trigger Dashboard
32,DB004,Justice-Centered Resilience Dashboard,4,6.66722,Adaptive Learning and Decision-Trigger Dashboard
32,DB002,Indicator Domain Dashboard,5,6.3941,Adaptive Learning and Decision-Trigger Dashboard
32,DB001,Simple Composite Resilience Score,6,4.81446,Adaptive Learning and Decision-Trigger Dashboard
33,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.73575,Adaptive Learning and Decision-Trigger Dashboard
33,DB006,Participatory Community Resilience Dashboard,2,6.9996,Adaptive Learning and Decision-Trigger Dashboard
33,DB003,Threshold-Sensitive Early Warning Dashboard,3,6.90946,Adaptive Learning and Decision-Trigger Dashboard
33,DB004,Justice-Centered Resilience Dashboard,4,6.84443,Adaptive Learning and Decision-Trigger Dashboard
33,DB002,Indicator Domain Dashboard,5,6.16777,Adaptive Learning and Decision-Trigger Dashboard
33,DB001,Simple Composite Resilience Score,6,4.77477,Adaptive Learning and Decision-Trigger Dashboard
34,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.43018,Adaptive Learning and Decision-Trigger Dashboard
34,DB006,Participatory Community Resilience Dashboard,2,7.1286,Adaptive Learning and Decision-Trigger Dashboard
34,DB003,Threshold-Sensitive Early Warning Dashboard,3,6.96861,Adaptive Learning and Decision-Trigger Dashboard
34,DB004,Justice-Centered Resilience Dashboard,4,6.96804,Adaptive Learning and Decision-Trigger Dashboard
34,DB002,Indicator Domain Dashboard,5,5.93565,Adaptive Learning and Decision-Trigger Dashboard
34,DB001,Simple Composite Resilience Score,6,4.50976,Adaptive Learning and Decision-Trigger Dashboard
35,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.50204,Adaptive Learning and Decision-Trigger Dashboard
35,DB004,Justice-Centered Resilience Dashboard,2,7.1246,Adaptive Learning and Decision-Trigger Dashboard
35,DB006,Participatory Community Resilience Dashboard,3,7.09891,Adaptive Learning and Decision-Trigger Dashboard
35,DB003,Threshold-Sensitive Early Warning Dashboard,4,7.03903,Adaptive Learning and Decision-Trigger Dashboard
35,DB002,Indicator Domain Dashboard,5,5.96154,Adaptive Learning and Decision-Trigger Dashboard
35,DB001,Simple Composite Resilience Score,6,4.37048,Adaptive Learning and Decision-Trigger Dashboard
36,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.27814,Adaptive Learning and Decision-Trigger Dashboard
36,DB003,Threshold-Sensitive Early Warning Dashboard,2,7.07608,Adaptive Learning and Decision-Trigger Dashboard
36,DB004,Justice-Centered Resilience Dashboard,3,6.92341,Adaptive Learning and Decision-Trigger Dashboard
36,DB006,Participatory Community Resilience Dashboard,4,6.84646,Adaptive Learning and Decision-Trigger Dashboard
36,DB002,Indicator Domain Dashboard,5,6.15884,Adaptive Learning and Decision-Trigger Dashboard
36,DB001,Simple Composite Resilience Score,6,4.26279,Adaptive Learning and Decision-Trigger Dashboard
37,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.84153,Adaptive Learning and Decision-Trigger Dashboard
37,DB006,Participatory Community Resilience Dashboard,2,7.27563,Adaptive Learning and Decision-Trigger Dashboard
37,DB003,Threshold-Sensitive Early Warning Dashboard,3,7.10416,Adaptive Learning and Decision-Trigger Dashboard
37,DB004,Justice-Centered Resilience Dashboard,4,7.00825,Adaptive Learning and Decision-Trigger Dashboard
37,DB002,Indicator Domain Dashboard,5,6.35996,Adaptive Learning and Decision-Trigger Dashboard
37,DB001,Simple Composite Resilience Score,6,5.12236,Adaptive Learning and Decision-Trigger Dashboard
38,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.74307,Adaptive Learning and Decision-Trigger Dashboard
38,DB004,Justice-Centered Resilience Dashboard,2,6.83111,Adaptive Learning and Decision-Trigger Dashboard
38,DB006,Participatory Community Resilience Dashboard,3,6.79476,Adaptive Learning and Decision-Trigger Dashboard
38,DB003,Threshold-Sensitive Early Warning Dashboard,4,6.6716,Adaptive Learning and Decision-Trigger Dashboard
38,DB002,Indicator Domain Dashboard,5,5.69645,Adaptive Learning and Decision-Trigger Dashboard
38,DB001,Simple Composite Resilience Score,6,4.78772,Adaptive Learning and Decision-Trigger Dashboard
39,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.1227,Adaptive Learning and Decision-Trigger Dashboard
39,DB003,Threshold-Sensitive Early Warning Dashboard,2,6.77673,Adaptive Learning and Decision-Trigger Dashboard
39,DB004,Justice-Centered Resilience Dashboard,3,6.70704,Adaptive Learning and Decision-Trigger Dashboard
39,DB006,Participatory Community Resilience Dashboard,4,6.70557,Adaptive Learning and Decision-Trigger Dashboard
39,DB002,Indicator Domain Dashboard,5,6.62177,Adaptive Learning and Decision-Trigger Dashboard
39,DB001,Simple Composite Resilience Score,6,4.95888,Adaptive Learning and Decision-Trigger Dashboard
40,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.6327,Adaptive Learning and Decision-Trigger Dashboard
40,DB004,Justice-Centered Resilience Dashboard,2,7.25939,Adaptive Learning and Decision-Trigger Dashboard
40,DB003,Threshold-Sensitive Early Warning Dashboard,3,7.0952,Adaptive Learning and Decision-Trigger Dashboard
40,DB006,Participatory Community Resilience Dashboard,4,7.0664,Adaptive Learning and Decision-Trigger Dashboard
40,DB002,Indicator Domain Dashboard,5,6.25244,Adaptive Learning and Decision-Trigger Dashboard
40,DB001,Simple Composite Resilience Score,6,4.61876,Adaptive Learning and Decision-Trigger Dashboard
41,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,7.84566,Adaptive Learning and Decision-Trigger Dashboard
41,DB003,Threshold-Sensitive Early Warning Dashboard,2,7.42998,Adaptive Learning and Decision-Trigger Dashboard
41,DB004,Justice-Centered Resilience Dashboard,3,7.00257,Adaptive Learning and Decision-Trigger Dashboard
41,DB006,Participatory Community Resilience Dashboard,4,6.67777,Adaptive Learning and Decision-Trigger Dashboard
41,DB002,Indicator Domain Dashboard,5,6.03712,Adaptive Learning and Decision-Trigger Dashboard
41,DB001,Simple Composite Resilience Score,6,4.21694,Adaptive Learning and Decision-Trigger Dashboard
42,DB003,Threshold-Sensitive Early Warning Dashboard,1,7.21495,Threshold-Sensitive Early Warning Dashboard
42,DB005,Adaptive Learning and Decision-Trigger Dashboard,2,7.09556,Threshold-Sensitive Early Warning Dashboard
42,DB006,Participatory Community Resilience Dashboard,3,7.04761,Threshold-Sensitive Early Warning Dashboard
42,DB004,Justice-Centered Resilience Dashboard,4,6.72596,Threshold-Sensitive Early Warning Dashboard
42,DB002,Indicator Domain Dashboard,5,6.49225,Threshold-Sensitive Early Warning Dashboard
42,DB001,Simple Composite Resilience Score,6,5.10729,Threshold-Sensitive Early Warning Dashboard
43,DB005,Adaptive Learning and Decision-Trigger Dashboard,1,8.13137,Adaptive Learning and Decision-Trigger Dashboard
43,DB004,Justice-Centered Resilience Dashboard,2,7.20006,Adaptive Learning and Decision-Trigger Dashboard
43,DB006,Participatory Community Resilience Dashboard,3,7.09562,Adaptive Learning and Decision-Trigger Dashboard
43,DB003,Threshold-Sensitive Early Warning Dashboard,4,6.66618,Adaptive Learning and Decision-Trigger Dashboard
