simulation_id,strategy_id,strategy,rank,technology_resilience_value,winner
8,TR006,Vendor Portability and Platform Contingency Planning,5,7.63429,Graceful Degradation and Fallback Architecture
8,TR001,Critical Function and Dependency Mapping,6,7.59079,Graceful Degradation and Fallback Architecture
8,TR005,Technical Debt and Maintainability Program,7,7.53293,Graceful Degradation and Fallback Architecture
9,TR003,Cyber Recovery and Tested Backup Program,1,8.05428,Cyber Recovery and Tested Backup Program
9,TR006,Vendor Portability and Platform Contingency Planning,2,7.82212,Cyber Recovery and Tested Backup Program
9,TR002,Graceful Degradation and Fallback Architecture,3,7.77205,Cyber Recovery and Tested Backup Program
9,TR004,Data Integrity and Lineage Governance,4,7.69729,Cyber Recovery and Tested Backup Program
9,TR005,Technical Debt and Maintainability Program,5,7.69651,Cyber Recovery and Tested Backup Program
9,TR007,Human-Centered Fallback and Accessibility Program,6,7.3529,Cyber Recovery and Tested Backup Program
9,TR001,Critical Function and Dependency Mapping,7,7.14379,Cyber Recovery and Tested Backup Program
10,TR001,Critical Function and Dependency Mapping,1,7.82086,Critical Function and Dependency Mapping
10,TR003,Cyber Recovery and Tested Backup Program,2,7.73785,Critical Function and Dependency Mapping
10,TR002,Graceful Degradation and Fallback Architecture,3,7.73125,Critical Function and Dependency Mapping
10,TR006,Vendor Portability and Platform Contingency Planning,4,7.6066,Critical Function and Dependency Mapping
10,TR007,Human-Centered Fallback and Accessibility Program,5,7.50486,Critical Function and Dependency Mapping
10,TR005,Technical Debt and Maintainability Program,6,7.47146,Critical Function and Dependency Mapping
10,TR004,Data Integrity and Lineage Governance,7,7.38681,Critical Function and Dependency Mapping
11,TR004,Data Integrity and Lineage Governance,1,7.95429,Data Integrity and Lineage Governance
11,TR003,Cyber Recovery and Tested Backup Program,2,7.8803,Data Integrity and Lineage Governance
11,TR001,Critical Function and Dependency Mapping,3,7.85981,Data Integrity and Lineage Governance
11,TR002,Graceful Degradation and Fallback Architecture,4,7.84544,Data Integrity and Lineage Governance
11,TR006,Vendor Portability and Platform Contingency Planning,5,7.75926,Data Integrity and Lineage Governance
11,TR005,Technical Debt and Maintainability Program,6,7.69168,Data Integrity and Lineage Governance
11,TR007,Human-Centered Fallback and Accessibility Program,7,7.36494,Data Integrity and Lineage Governance
12,TR006,Vendor Portability and Platform Contingency Planning,1,7.99313,Vendor Portability and Platform Contingency Planning
12,TR007,Human-Centered Fallback and Accessibility Program,2,7.74928,Vendor Portability and Platform Contingency Planning
12,TR003,Cyber Recovery and Tested Backup Program,3,7.71148,Vendor Portability and Platform Contingency Planning
12,TR001,Critical Function and Dependency Mapping,4,7.68626,Vendor Portability and Platform Contingency Planning
12,TR005,Technical Debt and Maintainability Program,5,7.61387,Vendor Portability and Platform Contingency Planning
12,TR004,Data Integrity and Lineage Governance,6,7.54592,Vendor Portability and Platform Contingency Planning
12,TR002,Graceful Degradation and Fallback Architecture,7,7.53558,Vendor Portability and Platform Contingency Planning
13,TR003,Cyber Recovery and Tested Backup Program,1,8.11956,Cyber Recovery and Tested Backup Program
13,TR002,Graceful Degradation and Fallback Architecture,2,8.00283,Cyber Recovery and Tested Backup Program
13,TR004,Data Integrity and Lineage Governance,3,7.87465,Cyber Recovery and Tested Backup Program
13,TR006,Vendor Portability and Platform Contingency Planning,4,7.79376,Cyber Recovery and Tested Backup Program
13,TR001,Critical Function and Dependency Mapping,5,7.64287,Cyber Recovery and Tested Backup Program
13,TR005,Technical Debt and Maintainability Program,6,7.5745,Cyber Recovery and Tested Backup Program
13,TR007,Human-Centered Fallback and Accessibility Program,7,7.50083,Cyber Recovery and Tested Backup Program
14,TR002,Graceful Degradation and Fallback Architecture,1,7.96263,Graceful Degradation and Fallback Architecture
14,TR007,Human-Centered Fallback and Accessibility Program,2,7.77824,Graceful Degradation and Fallback Architecture
14,TR005,Technical Debt and Maintainability Program,3,7.74161,Graceful Degradation and Fallback Architecture
14,TR006,Vendor Portability and Platform Contingency Planning,4,7.70899,Graceful Degradation and Fallback Architecture
14,TR004,Data Integrity and Lineage Governance,5,7.70354,Graceful Degradation and Fallback Architecture
14,TR001,Critical Function and Dependency Mapping,6,7.58078,Graceful Degradation and Fallback Architecture
14,TR003,Cyber Recovery and Tested Backup Program,7,7.51778,Graceful Degradation and Fallback Architecture
15,TR002,Graceful Degradation and Fallback Architecture,1,8.02644,Graceful Degradation and Fallback Architecture
15,TR003,Cyber Recovery and Tested Backup Program,2,7.90086,Graceful Degradation and Fallback Architecture
15,TR006,Vendor Portability and Platform Contingency Planning,3,7.74934,Graceful Degradation and Fallback Architecture
15,TR004,Data Integrity and Lineage Governance,4,7.58165,Graceful Degradation and Fallback Architecture
15,TR005,Technical Debt and Maintainability Program,5,7.56804,Graceful Degradation and Fallback Architecture
15,TR001,Critical Function and Dependency Mapping,6,7.50407,Graceful Degradation and Fallback Architecture
15,TR007,Human-Centered Fallback and Accessibility Program,7,7.37219,Graceful Degradation and Fallback Architecture
16,TR002,Graceful Degradation and Fallback Architecture,1,8.11618,Graceful Degradation and Fallback Architecture
16,TR003,Cyber Recovery and Tested Backup Program,2,7.91993,Graceful Degradation and Fallback Architecture
16,TR004,Data Integrity and Lineage Governance,3,7.8793,Graceful Degradation and Fallback Architecture
16,TR006,Vendor Portability and Platform Contingency Planning,4,7.85697,Graceful Degradation and Fallback Architecture
16,TR001,Critical Function and Dependency Mapping,5,7.69158,Graceful Degradation and Fallback Architecture
16,TR005,Technical Debt and Maintainability Program,6,7.63008,Graceful Degradation and Fallback Architecture
16,TR007,Human-Centered Fallback and Accessibility Program,7,7.49339,Graceful Degradation and Fallback Architecture
17,TR001,Critical Function and Dependency Mapping,1,8.00825,Critical Function and Dependency Mapping
17,TR005,Technical Debt and Maintainability Program,2,7.91239,Critical Function and Dependency Mapping
17,TR002,Graceful Degradation and Fallback Architecture,3,7.87467,Critical Function and Dependency Mapping
17,TR007,Human-Centered Fallback and Accessibility Program,4,7.80395,Critical Function and Dependency Mapping
17,TR006,Vendor Portability and Platform Contingency Planning,5,7.70822,Critical Function and Dependency Mapping
17,TR003,Cyber Recovery and Tested Backup Program,6,7.62142,Critical Function and Dependency Mapping
17,TR004,Data Integrity and Lineage Governance,7,7.59044,Critical Function and Dependency Mapping
18,TR003,Cyber Recovery and Tested Backup Program,1,7.94178,Cyber Recovery and Tested Backup Program
18,TR001,Critical Function and Dependency Mapping,2,7.92641,Cyber Recovery and Tested Backup Program
18,TR002,Graceful Degradation and Fallback Architecture,3,7.74966,Cyber Recovery and Tested Backup Program
18,TR006,Vendor Portability and Platform Contingency Planning,4,7.7198,Cyber Recovery and Tested Backup Program
18,TR004,Data Integrity and Lineage Governance,5,7.50054,Cyber Recovery and Tested Backup Program
18,TR007,Human-Centered Fallback and Accessibility Program,6,7.48852,Cyber Recovery and Tested Backup Program
18,TR005,Technical Debt and Maintainability Program,7,7.40581,Cyber Recovery and Tested Backup Program
19,TR001,Critical Function and Dependency Mapping,1,7.87525,Critical Function and Dependency Mapping
19,TR003,Cyber Recovery and Tested Backup Program,2,7.86221,Critical Function and Dependency Mapping
19,TR007,Human-Centered Fallback and Accessibility Program,3,7.79649,Critical Function and Dependency Mapping
19,TR004,Data Integrity and Lineage Governance,4,7.77799,Critical Function and Dependency Mapping
19,TR006,Vendor Portability and Platform Contingency Planning,5,7.71385,Critical Function and Dependency Mapping
19,TR002,Graceful Degradation and Fallback Architecture,6,7.51724,Critical Function and Dependency Mapping
19,TR005,Technical Debt and Maintainability Program,7,7.46775,Critical Function and Dependency Mapping
20,TR002,Graceful Degradation and Fallback Architecture,1,8.06709,Graceful Degradation and Fallback Architecture
20,TR003,Cyber Recovery and Tested Backup Program,2,7.93729,Graceful Degradation and Fallback Architecture
20,TR004,Data Integrity and Lineage Governance,3,7.85129,Graceful Degradation and Fallback Architecture
20,TR005,Technical Debt and Maintainability Program,4,7.81188,Graceful Degradation and Fallback Architecture
20,TR006,Vendor Portability and Platform Contingency Planning,5,7.69474,Graceful Degradation and Fallback Architecture
20,TR001,Critical Function and Dependency Mapping,6,7.61278,Graceful Degradation and Fallback Architecture
20,TR007,Human-Centered Fallback and Accessibility Program,7,7.2632,Graceful Degradation and Fallback Architecture
21,TR003,Cyber Recovery and Tested Backup Program,1,8.06787,Cyber Recovery and Tested Backup Program
21,TR007,Human-Centered Fallback and Accessibility Program,2,7.87132,Cyber Recovery and Tested Backup Program
21,TR002,Graceful Degradation and Fallback Architecture,3,7.79935,Cyber Recovery and Tested Backup Program
21,TR001,Critical Function and Dependency Mapping,4,7.69521,Cyber Recovery and Tested Backup Program
21,TR004,Data Integrity and Lineage Governance,5,7.6088,Cyber Recovery and Tested Backup Program
21,TR006,Vendor Portability and Platform Contingency Planning,6,7.50026,Cyber Recovery and Tested Backup Program
21,TR005,Technical Debt and Maintainability Program,7,7.37244,Cyber Recovery and Tested Backup Program
22,TR006,Vendor Portability and Platform Contingency Planning,1,7.97668,Vendor Portability and Platform Contingency Planning
22,TR005,Technical Debt and Maintainability Program,2,7.90313,Vendor Portability and Platform Contingency Planning
22,TR002,Graceful Degradation and Fallback Architecture,3,7.83757,Vendor Portability and Platform Contingency Planning
22,TR003,Cyber Recovery and Tested Backup Program,4,7.7263,Vendor Portability and Platform Contingency Planning
22,TR007,Human-Centered Fallback and Accessibility Program,5,7.68789,Vendor Portability and Platform Contingency Planning
22,TR001,Critical Function and Dependency Mapping,6,7.54426,Vendor Portability and Platform Contingency Planning
22,TR004,Data Integrity and Lineage Governance,7,7.50674,Vendor Portability and Platform Contingency Planning
23,TR007,Human-Centered Fallback and Accessibility Program,1,8.03098,Human-Centered Fallback and Accessibility Program
23,TR006,Vendor Portability and Platform Contingency Planning,2,7.9836,Human-Centered Fallback and Accessibility Program
23,TR001,Critical Function and Dependency Mapping,3,7.80529,Human-Centered Fallback and Accessibility Program
23,TR002,Graceful Degradation and Fallback Architecture,4,7.79571,Human-Centered Fallback and Accessibility Program
23,TR005,Technical Debt and Maintainability Program,5,7.63246,Human-Centered Fallback and Accessibility Program
23,TR003,Cyber Recovery and Tested Backup Program,6,7.60926,Human-Centered Fallback and Accessibility Program
23,TR004,Data Integrity and Lineage Governance,7,7.54664,Human-Centered Fallback and Accessibility Program
24,TR002,Graceful Degradation and Fallback Architecture,1,7.87104,Graceful Degradation and Fallback Architecture
24,TR003,Cyber Recovery and Tested Backup Program,2,7.8457,Graceful Degradation and Fallback Architecture
24,TR001,Critical Function and Dependency Mapping,3,7.80598,Graceful Degradation and Fallback Architecture
24,TR006,Vendor Portability and Platform Contingency Planning,4,7.80486,Graceful Degradation and Fallback Architecture
24,TR004,Data Integrity and Lineage Governance,5,7.76613,Graceful Degradation and Fallback Architecture
24,TR007,Human-Centered Fallback and Accessibility Program,6,7.7558,Graceful Degradation and Fallback Architecture
24,TR005,Technical Debt and Maintainability Program,7,7.46467,Graceful Degradation and Fallback Architecture
25,TR006,Vendor Portability and Platform Contingency Planning,1,7.75467,Vendor Portability and Platform Contingency Planning
25,TR005,Technical Debt and Maintainability Program,2,7.68538,Vendor Portability and Platform Contingency Planning
25,TR002,Graceful Degradation and Fallback Architecture,3,7.61829,Vendor Portability and Platform Contingency Planning
25,TR003,Cyber Recovery and Tested Backup Program,4,7.60978,Vendor Portability and Platform Contingency Planning
25,TR007,Human-Centered Fallback and Accessibility Program,5,7.60154,Vendor Portability and Platform Contingency Planning
25,TR001,Critical Function and Dependency Mapping,6,7.59088,Vendor Portability and Platform Contingency Planning
25,TR004,Data Integrity and Lineage Governance,7,7.5114,Vendor Portability and Platform Contingency Planning
26,TR005,Technical Debt and Maintainability Program,1,7.91692,Technical Debt and Maintainability Program
26,TR006,Vendor Portability and Platform Contingency Planning,2,7.88066,Technical Debt and Maintainability Program
26,TR007,Human-Centered Fallback and Accessibility Program,3,7.82485,Technical Debt and Maintainability Program
26,TR004,Data Integrity and Lineage Governance,4,7.72364,Technical Debt and Maintainability Program
26,TR001,Critical Function and Dependency Mapping,5,7.70297,Technical Debt and Maintainability Program
26,TR002,Graceful Degradation and Fallback Architecture,6,7.6279,Technical Debt and Maintainability Program
26,TR003,Cyber Recovery and Tested Backup Program,7,7.50302,Technical Debt and Maintainability Program
27,TR006,Vendor Portability and Platform Contingency Planning,1,7.84321,Vendor Portability and Platform Contingency Planning
27,TR002,Graceful Degradation and Fallback Architecture,2,7.82066,Vendor Portability and Platform Contingency Planning
27,TR005,Technical Debt and Maintainability Program,3,7.8146,Vendor Portability and Platform Contingency Planning
27,TR001,Critical Function and Dependency Mapping,4,7.76415,Vendor Portability and Platform Contingency Planning
27,TR004,Data Integrity and Lineage Governance,5,7.70224,Vendor Portability and Platform Contingency Planning
27,TR003,Cyber Recovery and Tested Backup Program,6,7.57446,Vendor Portability and Platform Contingency Planning
27,TR007,Human-Centered Fallback and Accessibility Program,7,7.41084,Vendor Portability and Platform Contingency Planning
28,TR002,Graceful Degradation and Fallback Architecture,1,8.26765,Graceful Degradation and Fallback Architecture
28,TR005,Technical Debt and Maintainability Program,2,7.81863,Graceful Degradation and Fallback Architecture
28,TR003,Cyber Recovery and Tested Backup Program,3,7.81076,Graceful Degradation and Fallback Architecture
28,TR007,Human-Centered Fallback and Accessibility Program,4,7.79917,Graceful Degradation and Fallback Architecture
28,TR001,Critical Function and Dependency Mapping,5,7.78194,Graceful Degradation and Fallback Architecture
28,TR004,Data Integrity and Lineage Governance,6,7.76524,Graceful Degradation and Fallback Architecture
28,TR006,Vendor Portability and Platform Contingency Planning,7,7.63966,Graceful Degradation and Fallback Architecture
29,TR001,Critical Function and Dependency Mapping,1,8.06861,Critical Function and Dependency Mapping
29,TR004,Data Integrity and Lineage Governance,2,8.00648,Critical Function and Dependency Mapping
29,TR002,Graceful Degradation and Fallback Architecture,3,7.94653,Critical Function and Dependency Mapping
29,TR005,Technical Debt and Maintainability Program,4,7.88502,Critical Function and Dependency Mapping
29,TR003,Cyber Recovery and Tested Backup Program,5,7.80137,Critical Function and Dependency Mapping
29,TR006,Vendor Portability and Platform Contingency Planning,6,7.77894,Critical Function and Dependency Mapping
29,TR007,Human-Centered Fallback and Accessibility Program,7,7.59892,Critical Function and Dependency Mapping
30,TR004,Data Integrity and Lineage Governance,1,7.94729,Data Integrity and Lineage Governance
30,TR002,Graceful Degradation and Fallback Architecture,2,7.84381,Data Integrity and Lineage Governance
30,TR006,Vendor Portability and Platform Contingency Planning,3,7.78617,Data Integrity and Lineage Governance
30,TR005,Technical Debt and Maintainability Program,4,7.63985,Data Integrity and Lineage Governance
30,TR001,Critical Function and Dependency Mapping,5,7.61514,Data Integrity and Lineage Governance
30,TR003,Cyber Recovery and Tested Backup Program,6,7.48396,Data Integrity and Lineage Governance
30,TR007,Human-Centered Fallback and Accessibility Program,7,7.42434,Data Integrity and Lineage Governance
31,TR004,Data Integrity and Lineage Governance,1,7.9726,Data Integrity and Lineage Governance
31,TR003,Cyber Recovery and Tested Backup Program,2,7.90438,Data Integrity and Lineage Governance
31,TR006,Vendor Portability and Platform Contingency Planning,3,7.88867,Data Integrity and Lineage Governance
31,TR002,Graceful Degradation and Fallback Architecture,4,7.8585,Data Integrity and Lineage Governance
31,TR007,Human-Centered Fallback and Accessibility Program,5,7.73259,Data Integrity and Lineage Governance
31,TR001,Critical Function and Dependency Mapping,6,7.63623,Data Integrity and Lineage Governance
31,TR005,Technical Debt and Maintainability Program,7,7.57935,Data Integrity and Lineage Governance
32,TR002,Graceful Degradation and Fallback Architecture,1,8.04769,Graceful Degradation and Fallback Architecture
32,TR003,Cyber Recovery and Tested Backup Program,2,7.91817,Graceful Degradation and Fallback Architecture
32,TR005,Technical Debt and Maintainability Program,3,7.82404,Graceful Degradation and Fallback Architecture
32,TR001,Critical Function and Dependency Mapping,4,7.82141,Graceful Degradation and Fallback Architecture
32,TR007,Human-Centered Fallback and Accessibility Program,5,7.71093,Graceful Degradation and Fallback Architecture
32,TR006,Vendor Portability and Platform Contingency Planning,6,7.53521,Graceful Degradation and Fallback Architecture
32,TR004,Data Integrity and Lineage Governance,7,7.50064,Graceful Degradation and Fallback Architecture
33,TR004,Data Integrity and Lineage Governance,1,8.00606,Data Integrity and Lineage Governance
33,TR003,Cyber Recovery and Tested Backup Program,2,7.92158,Data Integrity and Lineage Governance
33,TR002,Graceful Degradation and Fallback Architecture,3,7.89134,Data Integrity and Lineage Governance
33,TR006,Vendor Portability and Platform Contingency Planning,4,7.73045,Data Integrity and Lineage Governance
33,TR001,Critical Function and Dependency Mapping,5,7.72447,Data Integrity and Lineage Governance
33,TR005,Technical Debt and Maintainability Program,6,7.62585,Data Integrity and Lineage Governance
33,TR007,Human-Centered Fallback and Accessibility Program,7,7.24637,Data Integrity and Lineage Governance
34,TR001,Critical Function and Dependency Mapping,1,8.06924,Critical Function and Dependency Mapping
34,TR007,Human-Centered Fallback and Accessibility Program,2,7.87613,Critical Function and Dependency Mapping
34,TR003,Cyber Recovery and Tested Backup Program,3,7.70831,Critical Function and Dependency Mapping
34,TR006,Vendor Portability and Platform Contingency Planning,4,7.64666,Critical Function and Dependency Mapping
34,TR004,Data Integrity and Lineage Governance,5,7.64406,Critical Function and Dependency Mapping
34,TR002,Graceful Degradation and Fallback Architecture,6,7.63929,Critical Function and Dependency Mapping
34,TR005,Technical Debt and Maintainability Program,7,7.56637,Critical Function and Dependency Mapping
35,TR002,Graceful Degradation and Fallback Architecture,1,8.05034,Graceful Degradation and Fallback Architecture
35,TR007,Human-Centered Fallback and Accessibility Program,2,7.98814,Graceful Degradation and Fallback Architecture
35,TR003,Cyber Recovery and Tested Backup Program,3,7.85571,Graceful Degradation and Fallback Architecture
35,TR005,Technical Debt and Maintainability Program,4,7.73807,Graceful Degradation and Fallback Architecture
35,TR001,Critical Function and Dependency Mapping,5,7.73385,Graceful Degradation and Fallback Architecture
35,TR004,Data Integrity and Lineage Governance,6,7.71139,Graceful Degradation and Fallback Architecture
35,TR006,Vendor Portability and Platform Contingency Planning,7,7.62927,Graceful Degradation and Fallback Architecture
36,TR003,Cyber Recovery and Tested Backup Program,1,7.96971,Cyber Recovery and Tested Backup Program
36,TR007,Human-Centered Fallback and Accessibility Program,2,7.96267,Cyber Recovery and Tested Backup Program
36,TR002,Graceful Degradation and Fallback Architecture,3,7.90402,Cyber Recovery and Tested Backup Program
36,TR006,Vendor Portability and Platform Contingency Planning,4,7.73208,Cyber Recovery and Tested Backup Program
36,TR001,Critical Function and Dependency Mapping,5,7.72553,Cyber Recovery and Tested Backup Program
36,TR004,Data Integrity and Lineage Governance,6,7.69836,Cyber Recovery and Tested Backup Program
36,TR005,Technical Debt and Maintainability Program,7,7.57232,Cyber Recovery and Tested Backup Program
37,TR007,Human-Centered Fallback and Accessibility Program,1,7.99734,Human-Centered Fallback and Accessibility Program
37,TR005,Technical Debt and Maintainability Program,2,7.97742,Human-Centered Fallback and Accessibility Program
37,TR002,Graceful Degradation and Fallback Architecture,3,7.93306,Human-Centered Fallback and Accessibility Program
37,TR001,Critical Function and Dependency Mapping,4,7.90351,Human-Centered Fallback and Accessibility Program
37,TR004,Data Integrity and Lineage Governance,5,7.75637,Human-Centered Fallback and Accessibility Program
37,TR003,Cyber Recovery and Tested Backup Program,6,7.62857,Human-Centered Fallback and Accessibility Program
37,TR006,Vendor Portability and Platform Contingency Planning,7,7.55839,Human-Centered Fallback and Accessibility Program
38,TR004,Data Integrity and Lineage Governance,1,8.07368,Data Integrity and Lineage Governance
38,TR005,Technical Debt and Maintainability Program,2,7.90205,Data Integrity and Lineage Governance
38,TR002,Graceful Degradation and Fallback Architecture,3,7.89551,Data Integrity and Lineage Governance
38,TR003,Cyber Recovery and Tested Backup Program,4,7.80076,Data Integrity and Lineage Governance
38,TR001,Critical Function and Dependency Mapping,5,7.75665,Data Integrity and Lineage Governance
38,TR007,Human-Centered Fallback and Accessibility Program,6,7.70636,Data Integrity and Lineage Governance
38,TR006,Vendor Portability and Platform Contingency Planning,7,7.65324,Data Integrity and Lineage Governance
39,TR005,Technical Debt and Maintainability Program,1,7.97479,Technical Debt and Maintainability Program
39,TR001,Critical Function and Dependency Mapping,2,7.97324,Technical Debt and Maintainability Program
39,TR003,Cyber Recovery and Tested Backup Program,3,7.93688,Technical Debt and Maintainability Program
39,TR006,Vendor Portability and Platform Contingency Planning,4,7.90403,Technical Debt and Maintainability Program
39,TR002,Graceful Degradation and Fallback Architecture,5,7.74209,Technical Debt and Maintainability Program
39,TR004,Data Integrity and Lineage Governance,6,7.69733,Technical Debt and Maintainability Program
39,TR007,Human-Centered Fallback and Accessibility Program,7,7.27423,Technical Debt and Maintainability Program
40,TR003,Cyber Recovery and Tested Backup Program,1,7.80647,Cyber Recovery and Tested Backup Program
40,TR005,Technical Debt and Maintainability Program,2,7.65764,Cyber Recovery and Tested Backup Program
40,TR006,Vendor Portability and Platform Contingency Planning,3,7.64245,Cyber Recovery and Tested Backup Program
40,TR004,Data Integrity and Lineage Governance,4,7.62151,Cyber Recovery and Tested Backup Program
40,TR007,Human-Centered Fallback and Accessibility Program,5,7.61239,Cyber Recovery and Tested Backup Program
40,TR001,Critical Function and Dependency Mapping,6,7.5005,Cyber Recovery and Tested Backup Program
40,TR002,Graceful Degradation and Fallback Architecture,7,7.42086,Cyber Recovery and Tested Backup Program
41,TR004,Data Integrity and Lineage Governance,1,8.09175,Data Integrity and Lineage Governance
41,TR003,Cyber Recovery and Tested Backup Program,2,8.03284,Data Integrity and Lineage Governance
41,TR002,Graceful Degradation and Fallback Architecture,3,7.94779,Data Integrity and Lineage Governance
41,TR006,Vendor Portability and Platform Contingency Planning,4,7.86421,Data Integrity and Lineage Governance
41,TR005,Technical Debt and Maintainability Program,5,7.8386,Data Integrity and Lineage Governance
41,TR001,Critical Function and Dependency Mapping,6,7.64176,Data Integrity and Lineage Governance
41,TR007,Human-Centered Fallback and Accessibility Program,7,7.37646,Data Integrity and Lineage Governance
42,TR001,Critical Function and Dependency Mapping,1,7.88229,Critical Function and Dependency Mapping
42,TR007,Human-Centered Fallback and Accessibility Program,2,7.83464,Critical Function and Dependency Mapping
