 time,function,fallback_capacity,recovery_capacity,fragility_gap,data_trust,security_posture,technical_debt,human_strain,resilience_score
42, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
43, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
44, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
45, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
46, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
47, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
48, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
49, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
50, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
51, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
52, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
53, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
54, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
55, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
56, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
57, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
58, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
59, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
60, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
61, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
62, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
63, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
64, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
65, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
66, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
67, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
68, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
69, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
70, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
71, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
72, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
73, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
74, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
75, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
76, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
77, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
78, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
79, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
80, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
81, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
82, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
83, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
84, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
85, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
86, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
87, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
88, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
89, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
90, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
91, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
92, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
93, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
94, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
95, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
96, 1.00000, 0.84360, 0.87720, 0.00000, 1.00000, 1.00000, 0.00000, 0.00000, 0.92452
