scenario,strategy_id,strategy,system_domain,rank,technology_resilience_value,technical_debt_risk,implementation_burden,critical_function
Architecture-first,TR001,Critical Function and Dependency Mapping,dependency visibility critical functions and single-point-of-failure mapping,3,8.588,3.1,3.0,maps critical services vendors APIs data pipelines identity systems infrastructure people and single points of failure
Architecture-first,TR006,Vendor Portability and Platform Contingency Planning,cloud platform vendor API and portability resilience,4,8.582,3.1,3.6,protects service continuity through data portability exit plans alternate vendors contract review and migration readiness
Architecture-first,TR005,Technical Debt and Maintainability Program,software maintainability documentation refactoring and stewardship,5,8.529,2.6,3.7,reduces fragility through documentation tests ownership maps dependency inventories patch governance and refactoring capacity
Architecture-first,TR004,Data Integrity and Lineage Governance,data resilience provenance validation privacy and auditability,6,8.463,3.0,3.4,protects trustworthy data through validation lineage metadata privacy controls audit trails and recovery procedures
Architecture-first,TR007,Human-Centered Fallback and Accessibility Program,user access operator judgment and public-service continuity,7,8.439,2.9,3.3,protects users and operators through accessible fallback procedures manual workarounds appeal paths and worker sustainability
Maintainability-first,TR005,Technical Debt and Maintainability Program,software maintainability documentation refactoring and stewardship,1,8.418,2.6,3.7,reduces fragility through documentation tests ownership maps dependency inventories patch governance and refactoring capacity
Maintainability-first,TR002,Graceful Degradation and Fallback Architecture,resilient architecture modularity fallback and graceful degradation,2,8.302,3.0,3.4,preserves essential functions when nonessential features cloud services APIs or components fail
Maintainability-first,TR003,Cyber Recovery and Tested Backup Program,cyber resilience incident response and restoration,3,8.259,3.2,3.5,protects continuity through detection containment identity security isolated backups restoration drills and incident governance
Maintainability-first,TR004,Data Integrity and Lineage Governance,data resilience provenance validation privacy and auditability,4,8.24,3.0,3.4,protects trustworthy data through validation lineage metadata privacy controls audit trails and recovery procedures
Maintainability-first,TR001,Critical Function and Dependency Mapping,dependency visibility critical functions and single-point-of-failure mapping,5,8.21,3.1,3.0,maps critical services vendors APIs data pipelines identity systems infrastructure people and single points of failure
Maintainability-first,TR006,Vendor Portability and Platform Contingency Planning,cloud platform vendor API and portability resilience,6,8.181,3.1,3.6,protects service continuity through data portability exit plans alternate vendors contract review and migration readiness
Maintainability-first,TR007,Human-Centered Fallback and Accessibility Program,user access operator judgment and public-service continuity,7,8.16,2.9,3.3,protects users and operators through accessible fallback procedures manual workarounds appeal paths and worker sustainability
Governance-first,TR004,Data Integrity and Lineage Governance,data resilience provenance validation privacy and auditability,1,8.689,3.0,3.4,protects trustworthy data through validation lineage metadata privacy controls audit trails and recovery procedures
Governance-first,TR003,Cyber Recovery and Tested Backup Program,cyber resilience incident response and restoration,2,8.682,3.2,3.5,protects continuity through detection containment identity security isolated backups restoration drills and incident governance
Governance-first,TR006,Vendor Portability and Platform Contingency Planning,cloud platform vendor API and portability resilience,3,8.652,3.1,3.6,protects service continuity through data portability exit plans alternate vendors contract review and migration readiness
Governance-first,TR002,Graceful Degradation and Fallback Architecture,resilient architecture modularity fallback and graceful degradation,4,8.649,3.0,3.4,preserves essential functions when nonessential features cloud services APIs or components fail
Governance-first,TR001,Critical Function and Dependency Mapping,dependency visibility critical functions and single-point-of-failure mapping,5,8.627,3.1,3.0,maps critical services vendors APIs data pipelines identity systems infrastructure people and single points of failure
Governance-first,TR007,Human-Centered Fallback and Accessibility Program,user access operator judgment and public-service continuity,6,8.621,2.9,3.3,protects users and operators through accessible fallback procedures manual workarounds appeal paths and worker sustainability
Governance-first,TR005,Technical Debt and Maintainability Program,software maintainability documentation refactoring and stewardship,7,8.602,2.6,3.7,reduces fragility through documentation tests ownership maps dependency inventories patch governance and refactoring capacity
Human-safeguards,TR007,Human-Centered Fallback and Accessibility Program,user access operator judgment and public-service continuity,1,8.623,2.9,3.3,protects users and operators through accessible fallback procedures manual workarounds appeal paths and worker sustainability
Human-safeguards,TR002,Graceful Degradation and Fallback Architecture,resilient architecture modularity fallback and graceful degradation,2,8.554,3.0,3.4,preserves essential functions when nonessential features cloud services APIs or components fail
Human-safeguards,TR004,Data Integrity and Lineage Governance,data resilience provenance validation privacy and auditability,3,8.475,3.0,3.4,protects trustworthy data through validation lineage metadata privacy controls audit trails and recovery procedures
Human-safeguards,TR003,Cyber Recovery and Tested Backup Program,cyber resilience incident response and restoration,4,8.465,3.2,3.5,protects continuity through detection containment identity security isolated backups restoration drills and incident governance
Human-safeguards,TR005,Technical Debt and Maintainability Program,software maintainability documentation refactoring and stewardship,5,8.444,2.6,3.7,reduces fragility through documentation tests ownership maps dependency inventories patch governance and refactoring capacity
Human-safeguards,TR001,Critical Function and Dependency Mapping,dependency visibility critical functions and single-point-of-failure mapping,6,8.412,3.1,3.0,maps critical services vendors APIs data pipelines identity systems infrastructure people and single points of failure
Human-safeguards,TR006,Vendor Portability and Platform Contingency Planning,cloud platform vendor API and portability resilience,7,8.405,3.1,3.6,protects service continuity through data portability exit plans alternate vendors contract review and migration readiness
Vendor-contingency,TR006,Vendor Portability and Platform Contingency Planning,cloud platform vendor API and portability resilience,1,9.019,3.1,3.6,protects service continuity through data portability exit plans alternate vendors contract review and migration readiness
Vendor-contingency,TR002,Graceful Degradation and Fallback Architecture,resilient architecture modularity fallback and graceful degradation,2,8.822,3.0,3.4,preserves essential functions when nonessential features cloud services APIs or components fail
Vendor-contingency,TR003,Cyber Recovery and Tested Backup Program,cyber resilience incident response and restoration,3,8.816,3.2,3.5,protects continuity through detection containment identity security isolated backups restoration drills and incident governance
Vendor-contingency,TR001,Critical Function and Dependency Mapping,dependency visibility critical functions and single-point-of-failure mapping,4,8.769,3.1,3.0,maps critical services vendors APIs data pipelines identity systems infrastructure people and single points of failure
Vendor-contingency,TR004,Data Integrity and Lineage Governance,data resilience provenance validation privacy and auditability,5,8.711,3.0,3.4,protects trustworthy data through validation lineage metadata privacy controls audit trails and recovery procedures
Vendor-contingency,TR005,Technical Debt and Maintainability Program,software maintainability documentation refactoring and stewardship,6,8.667,2.6,3.7,reduces fragility through documentation tests ownership maps dependency inventories patch governance and refactoring capacity
Vendor-contingency,TR007,Human-Centered Fallback and Accessibility Program,user access operator judgment and public-service continuity,7,8.65,2.9,3.3,protects users and operators through accessible fallback procedures manual workarounds appeal paths and worker sustainability
Implementation-aware,TR002,Graceful Degradation and Fallback Architecture,resilient architecture modularity fallback and graceful degradation,1,7.572,3.0,3.4,preserves essential functions when nonessential features cloud services APIs or components fail
Implementation-aware,TR003,Cyber Recovery and Tested Backup Program,cyber resilience incident response and restoration,2,7.569,3.2,3.5,protects continuity through detection containment identity security isolated backups restoration drills and incident governance
Implementation-aware,TR006,Vendor Portability and Platform Contingency Planning,cloud platform vendor API and portability resilience,3,7.51,3.1,3.6,protects service continuity through data portability exit plans alternate vendors contract review and migration readiness
Implementation-aware,TR001,Critical Function and Dependency Mapping,dependency visibility critical functions and single-point-of-failure mapping,4,7.509,3.1,3.0,maps critical services vendors APIs data pipelines identity systems infrastructure people and single points of failure
Implementation-aware,TR004,Data Integrity and Lineage Governance,data resilience provenance validation privacy and auditability,5,7.506,3.0,3.4,protects trustworthy data through validation lineage metadata privacy controls audit trails and recovery procedures
Implementation-aware,TR007,Human-Centered Fallback and Accessibility Program,user access operator judgment and public-service continuity,6,7.463,2.9,3.3,protects users and operators through accessible fallback procedures manual workarounds appeal paths and worker sustainability
Implementation-aware,TR005,Technical Debt and Maintainability Program,software maintainability documentation refactoring and stewardship,7,7.44,2.6,3.7,reduces fragility through documentation tests ownership maps dependency inventories patch governance and refactoring capacity
