strategy_id,strategy,system_domain,architecture,redundancy,observability,cybersecurity,data_integrity,maintainability,governance,human_safeguards,vendor_contingency,technical_debt_risk,implementation_burden,critical_function,technology_resilience_value,maintainability_gap,governance_gap,human_gap,vendor_gap,adjusted_value,scenario,rank
TR007,Human-Centered Fallback and Accessibility Program,user access operator judgment and public-service continuity,8,8.1,8.3,8,8.2,8.1,8.6,9.2,7.8,2.9,3.3,protects users and operators through accessible fallback procedures manual workarounds appeal paths and worker sustainability,8.350000000000001,0.20000000000000107,0,0,0.20000000000000018,8.328000000000001,Cyber-first,7
TR004,Data Integrity and Lineage Governance,data resilience provenance validation privacy and auditability,8,7.8,8.6,8.1,9.3,8.2,8.8,8.2,7.8,3,3.4,protects trustworthy data through validation lineage metadata privacy controls audit trails and recovery procedures,8.684000000000001,0.10000000000000142,0,0,0.20000000000000018,8.668000000000001,Data-first,1
TR003,Cyber Recovery and Tested Backup Program,cyber resilience incident response and restoration,8,8.9,8.5,9.2,8.4,8.1,8.6,8,7.9,3.2,3.5,protects continuity through detection containment identity security isolated backups restoration drills and incident governance,8.552999999999999,0.20000000000000107,0,0.1999999999999993,0.09999999999999964,8.521999999999998,Data-first,2
TR006,Vendor Portability and Platform Contingency Planning,cloud platform vendor API and portability resilience,8.2,8.6,8,8.3,8.2,8,8.7,8,9.2,3.1,3.6,protects service continuity through data portability exit plans alternate vendors contract review and migration readiness,8.438999999999998,0.3000000000000007,0,0.1999999999999993,0,8.406999999999998,Data-first,3
TR002,Graceful Degradation and Fallback Architecture,resilient architecture modularity fallback and graceful degradation,9.2,8.8,8.4,8.2,7.8,8.3,8.4,8.5,8,3,3.4,preserves essential functions when nonessential features cloud services APIs or components fail,8.405999999999999,0,0,0,0,8.405999999999999,Data-first,4
TR001,Critical Function and Dependency Mapping,dependency visibility critical functions and single-point-of-failure mapping,8.5,8.2,8.6,8,8.1,8.2,8.7,8.1,8.2,3.1,3,maps critical services vendors APIs data pipelines identity systems infrastructure people and single points of failure,8.409,0.10000000000000142,0,0.09999999999999964,0,8.396,Data-first,5
TR007,Human-Centered Fallback and Accessibility Program,user access operator judgment and public-service continuity,8,8.1,8.3,8,8.2,8.1,8.6,9.2,7.8,2.9,3.3,protects users and operators through accessible fallback procedures manual workarounds appeal paths and worker sustainability,8.388,0.20000000000000107,0,0,0.20000000000000018,8.366,Data-first,6
TR005,Technical Debt and Maintainability Program,software maintainability documentation refactoring and stewardship,8.4,7.8,8.2,8.2,8,9.2,8.5,8.3,7.8,2.6,3.7,reduces fragility through documentation tests ownership maps dependency inventories patch governance and refactoring capacity,8.369,0,0,0,0.20000000000000018,8.359,Data-first,7
TR004,Data Integrity and Lineage Governance,data resilience provenance validation privacy and auditability,8,7.8,8.6,8.1,9.3,8.2,8.8,8.2,7.8,3,3.4,protects trustworthy data through validation lineage metadata privacy controls audit trails and recovery procedures,8.689000000000002,0.10000000000000142,0,0,0.20000000000000018,8.673000000000002,Governance-first,1
TR003,Cyber Recovery and Tested Backup Program,cyber resilience incident response and restoration,8,8.9,8.5,9.2,8.4,8.1,8.6,8,7.9,3.2,3.5,protects continuity through detection containment identity security isolated backups restoration drills and incident governance,8.682,0.20000000000000107,0,0.1999999999999993,0.09999999999999964,8.651,Governance-first,2
TR002,Graceful Degradation and Fallback Architecture,resilient architecture modularity fallback and graceful degradation,9.2,8.8,8.4,8.2,7.8,8.3,8.4,8.5,8,3,3.4,preserves essential functions when nonessential features cloud services APIs or components fail,8.649000000000001,0,0,0,0,8.649000000000001,Governance-first,3
TR006,Vendor Portability and Platform Contingency Planning,cloud platform vendor API and portability resilience,8.2,8.6,8,8.3,8.2,8,8.7,8,9.2,3.1,3.6,protects service continuity through data portability exit plans alternate vendors contract review and migration readiness,8.652000000000001,0.3000000000000007,0,0.1999999999999993,0,8.620000000000001,Governance-first,4
TR001,Critical Function and Dependency Mapping,dependency visibility critical functions and single-point-of-failure mapping,8.5,8.2,8.6,8,8.1,8.2,8.7,8.1,8.2,3.1,3,maps critical services vendors APIs data pipelines identity systems infrastructure people and single points of failure,8.626999999999999,0.10000000000000142,0,0.09999999999999964,0,8.613999999999999,Governance-first,5
TR007,Human-Centered Fallback and Accessibility Program,user access operator judgment and public-service continuity,8,8.1,8.3,8,8.2,8.1,8.6,9.2,7.8,2.9,3.3,protects users and operators through accessible fallback procedures manual workarounds appeal paths and worker sustainability,8.620999999999999,0.20000000000000107,0,0,0.20000000000000018,8.598999999999998,Governance-first,6
TR005,Technical Debt and Maintainability Program,software maintainability documentation refactoring and stewardship,8.4,7.8,8.2,8.2,8,9.2,8.5,8.3,7.8,2.6,3.7,reduces fragility through documentation tests ownership maps dependency inventories patch governance and refactoring capacity,8.602,0,0,0,0.20000000000000018,8.592,Governance-first,7
TR007,Human-Centered Fallback and Accessibility Program,user access operator judgment and public-service continuity,8,8.1,8.3,8,8.2,8.1,8.6,9.2,7.8,2.9,3.3,protects users and operators through accessible fallback procedures manual workarounds appeal paths and worker sustainability,8.623,0.20000000000000107,0,0,0.20000000000000018,8.600999999999999,Human-safeguards,1
TR002,Graceful Degradation and Fallback Architecture,resilient architecture modularity fallback and graceful degradation,9.2,8.8,8.4,8.2,7.8,8.3,8.4,8.5,8,3,3.4,preserves essential functions when nonessential features cloud services APIs or components fail,8.554,0,0,0,0,8.554,Human-safeguards,2
TR004,Data Integrity and Lineage Governance,data resilience provenance validation privacy and auditability,8,7.8,8.6,8.1,9.3,8.2,8.8,8.2,7.8,3,3.4,protects trustworthy data through validation lineage metadata privacy controls audit trails and recovery procedures,8.475,0.10000000000000142,0,0,0.20000000000000018,8.459,Human-safeguards,3
TR003,Cyber Recovery and Tested Backup Program,cyber resilience incident response and restoration,8,8.9,8.5,9.2,8.4,8.1,8.6,8,7.9,3.2,3.5,protects continuity through detection containment identity security isolated backups restoration drills and incident governance,8.465000000000002,0.20000000000000107,0,0.1999999999999993,0.09999999999999964,8.434000000000001,Human-safeguards,4
TR005,Technical Debt and Maintainability Program,software maintainability documentation refactoring and stewardship,8.4,7.8,8.2,8.2,8,9.2,8.5,8.3,7.8,2.6,3.7,reduces fragility through documentation tests ownership maps dependency inventories patch governance and refactoring capacity,8.443999999999999,0,0,0,0.20000000000000018,8.434,Human-safeguards,5
TR001,Critical Function and Dependency Mapping,dependency visibility critical functions and single-point-of-failure mapping,8.5,8.2,8.6,8,8.1,8.2,8.7,8.1,8.2,3.1,3,maps critical services vendors APIs data pipelines identity systems infrastructure people and single points of failure,8.412,0.10000000000000142,0,0.09999999999999964,0,8.399000000000001,Human-safeguards,6
TR006,Vendor Portability and Platform Contingency Planning,cloud platform vendor API and portability resilience,8.2,8.6,8,8.3,8.2,8,8.7,8,9.2,3.1,3.6,protects service continuity through data portability exit plans alternate vendors contract review and migration readiness,8.405,0.3000000000000007,0,0.1999999999999993,0,8.373,Human-safeguards,7
TR002,Graceful Degradation and Fallback Architecture,resilient architecture modularity fallback and graceful degradation,9.2,8.8,8.4,8.2,7.8,8.3,8.4,8.5,8,3,3.4,preserves essential functions when nonessential features cloud services APIs or components fail,7.572000000000001,0,0,0,0,7.572000000000001,Implementation-aware,1
TR003,Cyber Recovery and Tested Backup Program,cyber resilience incident response and restoration,8,8.9,8.5,9.2,8.4,8.1,8.6,8,7.9,3.2,3.5,protects continuity through detection containment identity security isolated backups restoration drills and incident governance,7.569,0.20000000000000107,0,0.1999999999999993,0.09999999999999964,7.537999999999999,Implementation-aware,2
TR001,Critical Function and Dependency Mapping,dependency visibility critical functions and single-point-of-failure mapping,8.5,8.2,8.6,8,8.1,8.2,8.7,8.1,8.2,3.1,3,maps critical services vendors APIs data pipelines identity systems infrastructure people and single points of failure,7.509,0.10000000000000142,0,0.09999999999999964,0,7.496,Implementation-aware,3
TR004,Data Integrity and Lineage Governance,data resilience provenance validation privacy and auditability,8,7.8,8.6,8.1,9.3,8.2,8.8,8.2,7.8,3,3.4,protects trustworthy data through validation lineage metadata privacy controls audit trails and recovery procedures,7.506000000000001,0.10000000000000142,0,0,0.20000000000000018,7.490000000000001,Implementation-aware,4
TR006,Vendor Portability and Platform Contingency Planning,cloud platform vendor API and portability resilience,8.2,8.6,8,8.3,8.2,8,8.7,8,9.2,3.1,3.6,protects service continuity through data portability exit plans alternate vendors contract review and migration readiness,7.509999999999999,0.3000000000000007,0,0.1999999999999993,0,7.477999999999999,Implementation-aware,5
TR007,Human-Centered Fallback and Accessibility Program,user access operator judgment and public-service continuity,8,8.1,8.3,8,8.2,8.1,8.6,9.2,7.8,2.9,3.3,protects users and operators through accessible fallback procedures manual workarounds appeal paths and worker sustainability,7.463,0.20000000000000107,0,0,0.20000000000000018,7.441,Implementation-aware,6
TR005,Technical Debt and Maintainability Program,software maintainability documentation refactoring and stewardship,8.4,7.8,8.2,8.2,8,9.2,8.5,8.3,7.8,2.6,3.7,reduces fragility through documentation tests ownership maps dependency inventories patch governance and refactoring capacity,7.440000000000001,0,0,0,0.20000000000000018,7.4300000000000015,Implementation-aware,7
TR005,Technical Debt and Maintainability Program,software maintainability documentation refactoring and stewardship,8.4,7.8,8.2,8.2,8,9.2,8.5,8.3,7.8,2.6,3.7,reduces fragility through documentation tests ownership maps dependency inventories patch governance and refactoring capacity,8.417999999999997,0,0,0,0.20000000000000018,8.407999999999998,Maintainability-first,1
TR002,Graceful Degradation and Fallback Architecture,resilient architecture modularity fallback and graceful degradation,9.2,8.8,8.4,8.2,7.8,8.3,8.4,8.5,8,3,3.4,preserves essential functions when nonessential features cloud services APIs or components fail,8.302,0,0,0,0,8.302,Maintainability-first,2
TR003,Cyber Recovery and Tested Backup Program,cyber resilience incident response and restoration,8,8.9,8.5,9.2,8.4,8.1,8.6,8,7.9,3.2,3.5,protects continuity through detection containment identity security isolated backups restoration drills and incident governance,8.258999999999999,0.20000000000000107,0,0.1999999999999993,0.09999999999999964,8.227999999999998,Maintainability-first,3
TR004,Data Integrity and Lineage Governance,data resilience provenance validation privacy and auditability,8,7.8,8.6,8.1,9.3,8.2,8.8,8.2,7.8,3,3.4,protects trustworthy data through validation lineage metadata privacy controls audit trails and recovery procedures,8.24,0.10000000000000142,0,0,0.20000000000000018,8.224,Maintainability-first,4
TR001,Critical Function and Dependency Mapping,dependency visibility critical functions and single-point-of-failure mapping,8.5,8.2,8.6,8,8.1,8.2,8.7,8.1,8.2,3.1,3,maps critical services vendors APIs data pipelines identity systems infrastructure people and single points of failure,8.209999999999999,0.10000000000000142,0,0.09999999999999964,0,8.197,Maintainability-first,5
TR006,Vendor Portability and Platform Contingency Planning,cloud platform vendor API and portability resilience,8.2,8.6,8,8.3,8.2,8,8.7,8,9.2,3.1,3.6,protects service continuity through data portability exit plans alternate vendors contract review and migration readiness,8.181,0.3000000000000007,0,0.1999999999999993,0,8.149,Maintainability-first,6
TR007,Human-Centered Fallback and Accessibility Program,user access operator judgment and public-service continuity,8,8.1,8.3,8,8.2,8.1,8.6,9.2,7.8,2.9,3.3,protects users and operators through accessible fallback procedures manual workarounds appeal paths and worker sustainability,8.16,0.20000000000000107,0,0,0.20000000000000018,8.138,Maintainability-first,7
TR006,Vendor Portability and Platform Contingency Planning,cloud platform vendor API and portability resilience,8.2,8.6,8,8.3,8.2,8,8.7,8,9.2,3.1,3.6,protects service continuity through data portability exit plans alternate vendors contract review and migration readiness,9.019,0.3000000000000007,0,0.1999999999999993,0,8.987,Vendor-contingency,1
TR002,Graceful Degradation and Fallback Architecture,resilient architecture modularity fallback and graceful degradation,9.2,8.8,8.4,8.2,7.8,8.3,8.4,8.5,8,3,3.4,preserves essential functions when nonessential features cloud services APIs or components fail,8.822,0,0,0,0,8.822,Vendor-contingency,2
TR003,Cyber Recovery and Tested Backup Program,cyber resilience incident response and restoration,8,8.9,8.5,9.2,8.4,8.1,8.6,8,7.9,3.2,3.5,protects continuity through detection containment identity security isolated backups restoration drills and incident governance,8.816,0.20000000000000107,0,0.1999999999999993,0.09999999999999964,8.785,Vendor-contingency,3
TR001,Critical Function and Dependency Mapping,dependency visibility critical functions and single-point-of-failure mapping,8.5,8.2,8.6,8,8.1,8.2,8.7,8.1,8.2,3.1,3,maps critical services vendors APIs data pipelines identity systems infrastructure people and single points of failure,8.769,0.10000000000000142,0,0.09999999999999964,0,8.756,Vendor-contingency,4
TR004,Data Integrity and Lineage Governance,data resilience provenance validation privacy and auditability,8,7.8,8.6,8.1,9.3,8.2,8.8,8.2,7.8,3,3.4,protects trustworthy data through validation lineage metadata privacy controls audit trails and recovery procedures,8.710999999999999,0.10000000000000142,0,0,0.20000000000000018,8.694999999999999,Vendor-contingency,5
TR005,Technical Debt and Maintainability Program,software maintainability documentation refactoring and stewardship,8.4,7.8,8.2,8.2,8,9.2,8.5,8.3,7.8,2.6,3.7,reduces fragility through documentation tests ownership maps dependency inventories patch governance and refactoring capacity,8.667,0,0,0,0.20000000000000018,8.657,Vendor-contingency,6
TR007,Human-Centered Fallback and Accessibility Program,user access operator judgment and public-service continuity,8,8.1,8.3,8,8.2,8.1,8.6,9.2,7.8,2.9,3.3,protects users and operators through accessible fallback procedures manual workarounds appeal paths and worker sustainability,8.65,0.20000000000000107,0,0,0.20000000000000018,8.628,Vendor-contingency,7
