 direction,step,pressure,state,regime
Increasing Pressure,45,-0.35723,-1.23587,lower regime
Increasing Pressure,46,-0.34717,-1.23300,lower regime
Increasing Pressure,47,-0.33711,-1.23011,lower regime
Increasing Pressure,48,-0.32704,-1.22720,lower regime
Increasing Pressure,49,-0.31698,-1.22427,lower regime
Increasing Pressure,50,-0.30692,-1.22133,lower regime
Increasing Pressure,51,-0.29686,-1.21836,lower regime
Increasing Pressure,52,-0.28679,-1.21537,lower regime
Increasing Pressure,53,-0.27673,-1.21237,lower regime
Increasing Pressure,54,-0.26667,-1.20935,lower regime
Increasing Pressure,55,-0.25660,-1.20630,lower regime
Increasing Pressure,56,-0.24654,-1.20324,lower regime
Increasing Pressure,57,-0.23648,-1.20016,lower regime
Increasing Pressure,58,-0.22642,-1.19705,lower regime
Increasing Pressure,59,-0.21635,-1.19393,lower regime
Increasing Pressure,60,-0.20629,-1.19078,lower regime
Increasing Pressure,61,-0.19623,-1.18762,lower regime
Increasing Pressure,62,-0.18616,-1.18443,lower regime
Increasing Pressure,63,-0.17610,-1.18122,lower regime
Increasing Pressure,64,-0.16604,-1.17799,lower regime
Increasing Pressure,65,-0.15597,-1.17473,lower regime
Increasing Pressure,66,-0.14591,-1.17146,lower regime
Increasing Pressure,67,-0.13585,-1.16816,lower regime
Increasing Pressure,68,-0.12579,-1.16483,lower regime
Increasing Pressure,69,-0.11572,-1.16148,lower regime
Increasing Pressure,70,-0.10566,-1.15811,lower regime
Increasing Pressure,71,-0.09560,-1.15471,lower regime
Increasing Pressure,72,-0.08553,-1.15129,lower regime
Increasing Pressure,73,-0.07547,-1.14784,lower regime
Increasing Pressure,74,-0.06541,-1.14437,lower regime
Increasing Pressure,75,-0.05535,-1.14086,lower regime
Increasing Pressure,76,-0.04528,-1.13733,lower regime
Increasing Pressure,77,-0.03522,-1.13378,lower regime
Increasing Pressure,78,-0.02516,-1.13019,lower regime
Increasing Pressure,79,-0.01509,-1.12658,lower regime
Increasing Pressure,80,-0.00503,-1.12293,lower regime
Increasing Pressure,81, 0.00503,-1.11926,lower regime
Increasing Pressure,82, 0.01509,-1.11555,lower regime
Increasing Pressure,83, 0.02516,-1.11181,lower regime
Increasing Pressure,84, 0.03522,-1.10804,lower regime
Increasing Pressure,85, 0.04528,-1.10424,lower regime
Increasing Pressure,86, 0.05535,-1.10041,lower regime
Increasing Pressure,87, 0.06541,-1.09654,lower regime
Increasing Pressure,88, 0.07547,-1.09263,lower regime
Increasing Pressure,89, 0.08553,-1.08869,lower regime
Increasing Pressure,90, 0.09560,-1.08471,lower regime
Increasing Pressure,91, 0.10566,-1.08070,lower regime
Increasing Pressure,92, 0.11572,-1.07665,lower regime
Increasing Pressure,93, 0.12579,-1.07256,lower regime
Increasing Pressure,94, 0.13585,-1.06842,lower regime
Increasing Pressure,95, 0.14591,-1.06425,lower regime
Increasing Pressure,96, 0.15597,-1.06004,lower regime
Increasing Pressure,97, 0.16604,-1.05578,lower regime
Increasing Pressure,98, 0.17610,-1.05148,lower regime
Increasing Pressure,99, 0.18616,-1.04714,lower regime
Increasing Pressure,100, 0.19623,-1.04274,lower regime
Increasing Pressure,101, 0.20629,-1.03830,lower regime
Increasing Pressure,102, 0.21635,-1.03382,lower regime
Increasing Pressure,103, 0.22642,-1.02928,lower regime
Increasing Pressure,104, 0.23648,-1.02469,lower regime
Increasing Pressure,105, 0.24654,-1.02005,lower regime
Increasing Pressure,106, 0.25660,-1.01535,lower regime
Increasing Pressure,107, 0.26667,-1.01060,lower regime
Increasing Pressure,108, 0.27673,-1.00579,lower regime
Increasing Pressure,109, 0.28679,-1.00093,lower regime
Increasing Pressure,110, 0.29686,-0.99600,lower regime
Increasing Pressure,111, 0.30692,-0.99101,lower regime
Increasing Pressure,112, 0.31698,-0.98596,lower regime
Increasing Pressure,113, 0.32704,-0.98084,lower regime
Increasing Pressure,114, 0.33711,-0.97566,lower regime
Increasing Pressure,115, 0.34717,-0.97040,lower regime
Increasing Pressure,116, 0.35723,-0.96507,lower regime
Increasing Pressure,117, 0.36730,-0.95967,lower regime
Increasing Pressure,118, 0.37736,-0.95419,lower regime
Increasing Pressure,119, 0.38742,-0.94863,lower regime
Increasing Pressure,120, 0.39748,-0.94299,lower regime
Increasing Pressure,121, 0.40755,-0.93727,lower regime
Increasing Pressure,122, 0.41761,-0.93146,lower regime
Increasing Pressure,123, 0.42767,-0.92555,lower regime
Increasing Pressure,124, 0.43774,-0.91956,lower regime
Increasing Pressure,125, 0.44780,-0.91346,lower regime
Increasing Pressure,126, 0.45786,-0.90727,lower regime
Increasing Pressure,127, 0.46792,-0.90097,lower regime
Increasing Pressure,128, 0.47799,-0.89456,lower regime
Increasing Pressure,129, 0.48805,-0.88803,lower regime
Increasing Pressure,130, 0.49811,-0.88140,lower regime
Increasing Pressure,131, 0.50818,-0.87463,lower regime
Increasing Pressure,132, 0.51824,-0.86775,lower regime
Increasing Pressure,133, 0.52830,-0.86073,lower regime
Increasing Pressure,134, 0.53836,-0.85357,lower regime
Increasing Pressure,135, 0.54843,-0.84627,lower regime
Increasing Pressure,136, 0.55849,-0.83881,lower regime
Increasing Pressure,137, 0.56855,-0.83121,lower regime
Increasing Pressure,138, 0.57862,-0.82343,lower regime
Increasing Pressure,139, 0.58868,-0.81549,lower regime
Increasing Pressure,140, 0.59874,-0.80737,lower regime
Increasing Pressure,141, 0.60881,-0.79905,lower regime
Increasing Pressure,142, 0.61887,-0.79054,lower regime
Increasing Pressure,143, 0.62893,-0.78183,lower regime
Increasing Pressure,144, 0.63899,-0.77289,lower regime
Increasing Pressure,145, 0.64906,-0.76373,lower regime
Increasing Pressure,146, 0.65912,-0.75432,lower regime
Increasing Pressure,147, 0.66918,-0.74466,lower regime
Increasing Pressure,148, 0.67925,-0.73473,lower regime
Increasing Pressure,149, 0.68931,-0.72452,lower regime
Increasing Pressure,150, 0.69937,-0.71401,lower regime
Increasing Pressure,151, 0.70943,-0.70318,lower regime
Increasing Pressure,152, 0.71950,-0.69201,lower regime
Increasing Pressure,153, 0.72956,-0.68048,lower regime
Increasing Pressure,154, 0.73962,-0.66857,lower regime
Increasing Pressure,155, 0.74969,-0.65626,lower regime
Increasing Pressure,156, 0.75975,-0.64352,lower regime
Increasing Pressure,157, 0.76981,-0.63031,lower regime
Increasing Pressure,158, 0.77987,-0.61662,lower regime
Increasing Pressure,159, 0.78994,-0.60239,lower regime
Increasing Pressure,160, 0.80000,-0.58761,lower regime
Decreasing Pressure,1, 0.80000,-0.58761,lower regime
Decreasing Pressure,2, 0.78994,-0.57322,lower regime
Decreasing Pressure,3, 0.77987,-0.55921,lower regime
Decreasing Pressure,4, 0.76981,-0.54552,lower regime
Decreasing Pressure,5, 0.75975,-0.53215,lower regime
Decreasing Pressure,6, 0.74969,-0.51906,lower regime
Decreasing Pressure,7, 0.73962,-0.50623,lower regime
Decreasing Pressure,8, 0.72956,-0.49364,lower regime
Decreasing Pressure,9, 0.71950,-0.48127,lower regime
Decreasing Pressure,10, 0.70943,-0.46910,lower regime
Decreasing Pressure,11, 0.69937,-0.45712,lower regime
Decreasing Pressure,12, 0.68931,-0.44530,lower regime
Decreasing Pressure,13, 0.67925,-0.43364,lower regime
Decreasing Pressure,14, 0.66918,-0.42212,lower regime
Decreasing Pressure,15, 0.65912,-0.41073,lower regime
Decreasing Pressure,16, 0.64906,-0.39946,lower regime
Decreasing Pressure,17, 0.63899,-0.38829,lower regime
Decreasing Pressure,18, 0.62893,-0.37722,lower regime
Decreasing Pressure,19, 0.61887,-0.36622,lower regime
Decreasing Pressure,20, 0.60881,-0.35530,lower regime
Decreasing Pressure,21, 0.59874,-0.34444,lower regime
Decreasing Pressure,22, 0.58868,-0.33363,lower regime
Decreasing Pressure,23, 0.57862,-0.32286,lower regime
Decreasing Pressure,24, 0.56855,-0.31212,lower regime
Decreasing Pressure,25, 0.55849,-0.30140,lower regime
Decreasing Pressure,26, 0.54843,-0.29069,lower regime
Decreasing Pressure,27, 0.53836,-0.27999,lower regime
Decreasing Pressure,28, 0.52830,-0.26928,lower regime
Decreasing Pressure,29, 0.51824,-0.25854,lower regime
Decreasing Pressure,30, 0.50818,-0.24778,lower regime
Decreasing Pressure,31, 0.49811,-0.23698,lower regime
Decreasing Pressure,32, 0.48805,-0.22614,lower regime
Decreasing Pressure,33, 0.47799,-0.21523,lower regime
Decreasing Pressure,34, 0.46792,-0.20424,lower regime
Decreasing Pressure,35, 0.45786,-0.19318,lower regime
Decreasing Pressure,36, 0.44780,-0.18202,lower regime
Decreasing Pressure,37, 0.43774,-0.17075,lower regime
Decreasing Pressure,38, 0.42767,-0.15937,lower regime
Decreasing Pressure,39, 0.41761,-0.14785,lower regime
Decreasing Pressure,40, 0.40755,-0.13618,lower regime
Decreasing Pressure,41, 0.39748,-0.12435,lower regime
Decreasing Pressure,42, 0.38742,-0.11234,lower regime
Decreasing Pressure,43, 0.37736,-0.10014,lower regime
Decreasing Pressure,44, 0.36730,-0.08774,lower regime
Decreasing Pressure,45, 0.35723,-0.07510,lower regime
Decreasing Pressure,46, 0.34717,-0.06223,lower regime
Decreasing Pressure,47, 0.33711,-0.04910,lower regime
Decreasing Pressure,48, 0.32704,-0.03569,lower regime
Decreasing Pressure,49, 0.31698,-0.02198,lower regime
Decreasing Pressure,50, 0.30692,-0.00795,lower regime
Decreasing Pressure,51, 0.29686, 0.00642,upper regime
Decreasing Pressure,52, 0.28679, 0.02114,upper regime
Decreasing Pressure,53, 0.27673, 0.03625,upper regime
Decreasing Pressure,54, 0.26667, 0.05175,upper regime
Decreasing Pressure,55, 0.25660, 0.06768,upper regime
Decreasing Pressure,56, 0.24654, 0.08405,upper regime
Decreasing Pressure,57, 0.23648, 0.10089,upper regime
Decreasing Pressure,58, 0.22642, 0.11821,upper regime
Decreasing Pressure,59, 0.21635, 0.13604,upper regime
Decreasing Pressure,60, 0.20629, 0.15439,upper regime
Decreasing Pressure,61, 0.19623, 0.17328,upper regime
Decreasing Pressure,62, 0.18616, 0.19273,upper regime
Decreasing Pressure,63, 0.17610, 0.21274,upper regime
Decreasing Pressure,64, 0.16604, 0.23333,upper regime
Decreasing Pressure,65, 0.15597, 0.25449,upper regime
Decreasing Pressure,66, 0.14591, 0.27623,upper regime
Decreasing Pressure,67, 0.13585, 0.29854,upper regime
Decreasing Pressure,68, 0.12579, 0.32141,upper regime
Decreasing Pressure,69, 0.11572, 0.34482,upper regime
Decreasing Pressure,70, 0.10566, 0.36875,upper regime
Decreasing Pressure,71, 0.09560, 0.39314,upper regime
Decreasing Pressure,72, 0.08553, 0.41797,upper regime
Decreasing Pressure,73, 0.07547, 0.44317,upper regime
Decreasing Pressure,74, 0.06541, 0.46868,upper regime
Decreasing Pressure,75, 0.05535, 0.49442,upper regime
Decreasing Pressure,76, 0.04528, 0.52031,upper regime
Decreasing Pressure,77, 0.03522, 0.54624,upper regime
Decreasing Pressure,78, 0.02516, 0.57213,upper regime
Decreasing Pressure,79, 0.01509, 0.59785,upper regime
Decreasing Pressure,80, 0.00503, 0.62328,upper regime
Decreasing Pressure,81,-0.00503, 0.64832,upper regime
Decreasing Pressure,82,-0.01509, 0.67284,upper regime
Decreasing Pressure,83,-0.02516, 0.69673,upper regime
Decreasing Pressure,84,-0.03522, 0.71986,upper regime
Decreasing Pressure,85,-0.04528, 0.74213,upper regime
Decreasing Pressure,86,-0.05535, 0.76346,upper regime
Decreasing Pressure,87,-0.06541, 0.78374,upper regime
Decreasing Pressure,88,-0.07547, 0.80292,upper regime
Decreasing Pressure,89,-0.08553, 0.82094,upper regime
Decreasing Pressure,90,-0.09560, 0.83775,upper regime
Decreasing Pressure,91,-0.10566, 0.85334,upper regime
Decreasing Pressure,92,-0.11572, 0.86768,upper regime
Decreasing Pressure,93,-0.12579, 0.88079,upper regime
Decreasing Pressure,94,-0.13585, 0.89268,upper regime
Decreasing Pressure,95,-0.14591, 0.90338,upper regime
Decreasing Pressure,96,-0.15597, 0.91292,upper regime
Decreasing Pressure,97,-0.16604, 0.92135,upper regime
Decreasing Pressure,98,-0.17610, 0.92872,upper regime
Decreasing Pressure,99,-0.18616, 0.93508,upper regime
Decreasing Pressure,100,-0.19623, 0.94050,upper regime
Decreasing Pressure,101,-0.20629, 0.94502,upper regime
Decreasing Pressure,102,-0.21635, 0.94870,upper regime
Decreasing Pressure,103,-0.22642, 0.95161,upper regime
Decreasing Pressure,104,-0.23648, 0.95380,upper regime
Decreasing Pressure,105,-0.24654, 0.95531,upper regime
Decreasing Pressure,106,-0.25660, 0.95621,upper regime
Decreasing Pressure,107,-0.26667, 0.95653,upper regime
Decreasing Pressure,108,-0.27673, 0.95633,upper regime
Decreasing Pressure,109,-0.28679, 0.95564,upper regime
Decreasing Pressure,110,-0.29686, 0.95450,upper regime
Decreasing Pressure,111,-0.30692, 0.95294,upper regime
Decreasing Pressure,112,-0.31698, 0.95100,upper regime
Decreasing Pressure,113,-0.32704, 0.94870,upper regime
Decreasing Pressure,114,-0.33711, 0.94608,upper regime
Decreasing Pressure,115,-0.34717, 0.94314,upper regime
Decreasing Pressure,116,-0.35723, 0.93992,upper regime
Decreasing Pressure,117,-0.36730, 0.93643,upper regime
Decreasing Pressure,118,-0.37736, 0.93269,upper regime
Decreasing Pressure,119,-0.38742, 0.92872,upper regime
Decreasing Pressure,120,-0.39748, 0.92451,upper regime
Decreasing Pressure,121,-0.40755, 0.92010,upper regime
Decreasing Pressure,122,-0.41761, 0.91548,upper regime
Decreasing Pressure,123,-0.42767, 0.91066,upper regime
Decreasing Pressure,124,-0.43774, 0.90565,upper regime
Decreasing Pressure,125,-0.44780, 0.90046,upper regime
Decreasing Pressure,126,-0.45786, 0.89509,upper regime
Decreasing Pressure,127,-0.46792, 0.88954,upper regime
Decreasing Pressure,128,-0.47799, 0.88382,upper regime
Decreasing Pressure,129,-0.48805, 0.87793,upper regime
Decreasing Pressure,130,-0.49811, 0.87186,upper regime
Decreasing Pressure,131,-0.50818, 0.86563,upper regime
Decreasing Pressure,132,-0.51824, 0.85922,upper regime
Decreasing Pressure,133,-0.52830, 0.85264,upper regime
Decreasing Pressure,134,-0.53836, 0.84589,upper regime
Decreasing Pressure,135,-0.54843, 0.83896,upper regime
Decreasing Pressure,136,-0.55849, 0.83185,upper regime
Decreasing Pressure,137,-0.56855, 0.82455,upper regime
Decreasing Pressure,138,-0.57862, 0.81706,upper regime
Decreasing Pressure,139,-0.58868, 0.80938,upper regime
Decreasing Pressure,140,-0.59874, 0.80149,upper regime
Decreasing Pressure,141,-0.60881, 0.79340,upper regime
Decreasing Pressure,142,-0.61887, 0.78509,upper regime
Decreasing Pressure,143,-0.62893, 0.77655,upper regime
Decreasing Pressure,144,-0.63899, 0.76778,upper regime
Decreasing Pressure,145,-0.64906, 0.75877,upper regime
Decreasing Pressure,146,-0.65912, 0.74949,upper regime
Decreasing Pressure,147,-0.66918, 0.73995,upper regime
Decreasing Pressure,148,-0.67925, 0.73013,upper regime
Decreasing Pressure,149,-0.68931, 0.72001,upper regime
Decreasing Pressure,150,-0.69937, 0.70958,upper regime
Decreasing Pressure,151,-0.70943, 0.69882,upper regime
Decreasing Pressure,152,-0.71950, 0.68771,upper regime
Decreasing Pressure,153,-0.72956, 0.67623,upper regime
Decreasing Pressure,154,-0.73962, 0.66436,upper regime
Decreasing Pressure,155,-0.74969, 0.65208,upper regime
Decreasing Pressure,156,-0.75975, 0.63935,upper regime
Decreasing Pressure,157,-0.76981, 0.62616,upper regime
Decreasing Pressure,158,-0.77987, 0.61246,upper regime
Decreasing Pressure,159,-0.78994, 0.59822,upper regime
Decreasing Pressure,160,-0.80000, 0.58341,upper regime
