scenario_id,scenario_name,step,pressure,state,direction,regime,rolling_variance,rolling_autocorr,recovery_speed_proxy
TH001,Gradual pressure with moderate recovery,112,0.316981,-0.963912,Increasing Pressure,lower regime,0.000381,0.580128,0.419872
TH001,Gradual pressure with moderate recovery,113,0.327044,-0.970026,Increasing Pressure,lower regime,0.000293,0.417563,0.582437
TH001,Gradual pressure with moderate recovery,114,0.337107,-0.965769,Increasing Pressure,lower regime,0.00019,0.369307,0.630693
TH001,Gradual pressure with moderate recovery,115,0.34717,-0.935445,Increasing Pressure,lower regime,0.000264,0.327826,0.672174
TH001,Gradual pressure with moderate recovery,116,0.357233,-0.948608,Increasing Pressure,lower regime,0.000255,0.4558,0.5442
TH001,Gradual pressure with moderate recovery,117,0.367296,-0.950896,Increasing Pressure,lower regime,0.000271,0.495821,0.504179
TH001,Gradual pressure with moderate recovery,118,0.377358,-0.925665,Increasing Pressure,lower regime,0.000372,0.541562,0.458438
TH001,Gradual pressure with moderate recovery,119,0.387421,-0.928868,Increasing Pressure,lower regime,0.000428,0.622437,0.377563
TH001,Gradual pressure with moderate recovery,120,0.397484,-0.930119,Increasing Pressure,lower regime,0.000394,0.582217,0.417783
TH001,Gradual pressure with moderate recovery,121,0.407547,-0.923848,Increasing Pressure,lower regime,0.000344,0.604428,0.395572
TH001,Gradual pressure with moderate recovery,122,0.41761,-0.937593,Increasing Pressure,lower regime,0.000328,0.610922,0.389078
TH001,Gradual pressure with moderate recovery,123,0.427673,-0.927955,Increasing Pressure,lower regime,0.000351,0.632772,0.367228
TH001,Gradual pressure with moderate recovery,124,0.437736,-0.939937,Increasing Pressure,lower regime,0.000355,0.737229,0.262771
TH001,Gradual pressure with moderate recovery,125,0.447799,-0.919144,Increasing Pressure,lower regime,0.000307,0.658606,0.341394
TH001,Gradual pressure with moderate recovery,126,0.457862,-0.912526,Increasing Pressure,lower regime,0.000314,0.681311,0.318689
TH001,Gradual pressure with moderate recovery,127,0.467925,-0.871637,Increasing Pressure,lower regime,0.000571,0.706494,0.293506
TH001,Gradual pressure with moderate recovery,128,0.477987,-0.862712,Increasing Pressure,lower regime,0.000814,0.804082,0.195918
TH001,Gradual pressure with moderate recovery,129,0.48805,-0.837482,Increasing Pressure,lower regime,0.001173,0.861622,0.138378
TH001,Gradual pressure with moderate recovery,130,0.498113,-0.853005,Increasing Pressure,lower regime,0.001278,0.888022,0.111978
TH001,Gradual pressure with moderate recovery,131,0.508176,-0.849575,Increasing Pressure,lower regime,0.00148,0.909126,0.090874
TH001,Gradual pressure with moderate recovery,132,0.518239,-0.83913,Increasing Pressure,lower regime,0.001628,0.917215,0.082785
TH001,Gradual pressure with moderate recovery,133,0.528302,-0.807334,Increasing Pressure,lower regime,0.001954,0.931714,0.068286
TH001,Gradual pressure with moderate recovery,134,0.538365,-0.827759,Increasing Pressure,lower regime,0.002109,0.923431,0.076569
TH001,Gradual pressure with moderate recovery,135,0.548428,-0.806785,Increasing Pressure,lower regime,0.002336,0.927173,0.072827
TH001,Gradual pressure with moderate recovery,136,0.558491,-0.792141,Increasing Pressure,lower regime,0.002565,0.933145,0.066855
TH001,Gradual pressure with moderate recovery,137,0.568553,-0.763385,Increasing Pressure,lower regime,0.003007,0.942037,0.057963
TH001,Gradual pressure with moderate recovery,138,0.578616,-0.747329,Increasing Pressure,lower regime,0.003282,0.947076,0.052924
TH001,Gradual pressure with moderate recovery,139,0.588679,-0.741084,Increasing Pressure,lower regime,0.003457,0.954314,0.045686
TH001,Gradual pressure with moderate recovery,140,0.598742,-0.743086,Increasing Pressure,lower regime,0.003142,0.949931,0.050069
TH001,Gradual pressure with moderate recovery,141,0.608805,-0.755438,Increasing Pressure,lower regime,0.002727,0.939035,0.060965
TH001,Gradual pressure with moderate recovery,142,0.618868,-0.745334,Increasing Pressure,lower regime,0.002259,0.941538,0.058462
TH001,Gradual pressure with moderate recovery,143,0.628931,-0.74078,Increasing Pressure,lower regime,0.002126,0.937879,0.062121
TH001,Gradual pressure with moderate recovery,144,0.638994,-0.702648,Increasing Pressure,lower regime,0.002272,0.931919,0.068081
TH001,Gradual pressure with moderate recovery,145,0.649057,-0.704174,Increasing Pressure,lower regime,0.002442,0.941686,0.058314
TH001,Gradual pressure with moderate recovery,146,0.659119,-0.691204,Increasing Pressure,lower regime,0.002421,0.940366,0.059634
TH001,Gradual pressure with moderate recovery,147,0.669182,-0.706241,Increasing Pressure,lower regime,0.002109,0.925185,0.074815
TH001,Gradual pressure with moderate recovery,148,0.679245,-0.702972,Increasing Pressure,lower regime,0.001779,0.924368,0.075632
TH001,Gradual pressure with moderate recovery,149,0.689308,-0.689398,Increasing Pressure,lower regime,0.001724,0.938235,0.061765
TH001,Gradual pressure with moderate recovery,150,0.699371,-0.667052,Increasing Pressure,lower regime,0.001485,0.917142,0.082858
TH001,Gradual pressure with moderate recovery,151,0.709434,-0.635041,Increasing Pressure,lower regime,0.001597,0.905961,0.094039
TH001,Gradual pressure with moderate recovery,152,0.719497,-0.625026,Increasing Pressure,lower regime,0.001745,0.934521,0.065479
TH001,Gradual pressure with moderate recovery,153,0.72956,-0.6306,Increasing Pressure,lower regime,0.001902,0.939027,0.060973
TH001,Gradual pressure with moderate recovery,154,0.739623,-0.612049,Increasing Pressure,lower regime,0.002223,0.94688,0.05312
TH001,Gradual pressure with moderate recovery,155,0.749686,-0.592069,Increasing Pressure,lower regime,0.002661,0.955267,0.044733
TH001,Gradual pressure with moderate recovery,156,0.759748,-0.571853,Increasing Pressure,lower regime,0.003143,0.965327,0.034673
TH001,Gradual pressure with moderate recovery,157,0.769811,-0.568828,Increasing Pressure,lower regime,0.003274,0.96581,0.03419
TH001,Gradual pressure with moderate recovery,158,0.779874,-0.537761,Increasing Pressure,lower regime,0.003649,0.965764,0.034236
TH001,Gradual pressure with moderate recovery,159,0.789937,-0.521435,Increasing Pressure,lower regime,0.003961,0.979356,0.020644
TH001,Gradual pressure with moderate recovery,160,0.8,-0.495135,Increasing Pressure,lower regime,0.004777,0.983123,0.016877
TH002,High feedback amplification,1,-0.8,-0.960432,Increasing Pressure,lower regime,,,
TH002,High feedback amplification,2,-0.789308,-1.016685,Increasing Pressure,lower regime,,,
TH002,High feedback amplification,3,-0.778616,-1.066298,Increasing Pressure,lower regime,,,
TH002,High feedback amplification,4,-0.767925,-1.094014,Increasing Pressure,lower regime,,,
TH002,High feedback amplification,5,-0.757233,-1.134599,Increasing Pressure,lower regime,,,
TH002,High feedback amplification,6,-0.746541,-1.19692,Increasing Pressure,lower regime,,,
TH002,High feedback amplification,7,-0.735849,-1.213145,Increasing Pressure,lower regime,,,
TH002,High feedback amplification,8,-0.725157,-1.238267,Increasing Pressure,lower regime,,,
TH002,High feedback amplification,9,-0.714465,-1.257694,Increasing Pressure,lower regime,,,
TH002,High feedback amplification,10,-0.703774,-1.266556,Increasing Pressure,lower regime,,,
TH002,High feedback amplification,11,-0.693082,-1.270969,Increasing Pressure,lower regime,,,
TH002,High feedback amplification,12,-0.68239,-1.255422,Increasing Pressure,lower regime,,,
TH002,High feedback amplification,13,-0.671698,-1.252267,Increasing Pressure,lower regime,,,
TH002,High feedback amplification,14,-0.661006,-1.260054,Increasing Pressure,lower regime,,,
TH002,High feedback amplification,15,-0.650314,-1.282908,Increasing Pressure,lower regime,,,
TH002,High feedback amplification,16,-0.639623,-1.306583,Increasing Pressure,lower regime,0.011031,0.987979,0.012021
TH002,High feedback amplification,17,-0.628931,-1.29997,Increasing Pressure,lower regime,0.00775,0.982323,0.017677
TH002,High feedback amplification,18,-0.618239,-1.272817,Increasing Pressure,lower regime,0.005137,0.965496,0.034504
TH002,High feedback amplification,19,-0.607547,-1.275628,Increasing Pressure,lower regime,0.003326,0.951191,0.048809
TH002,High feedback amplification,20,-0.596855,-1.280348,Increasing Pressure,lower regime,0.001811,0.909646,0.090354
TH002,High feedback amplification,21,-0.586164,-1.270898,Increasing Pressure,lower regime,0.000802,0.853247,0.146753
TH002,High feedback amplification,22,-0.575472,-1.30236,Increasing Pressure,lower regime,0.000574,0.706487,0.293513
TH002,High feedback amplification,23,-0.56478,-1.304537,Increasing Pressure,lower regime,0.000414,0.655604,0.344396
TH002,High feedback amplification,24,-0.554088,-1.289702,Increasing Pressure,lower regime,0.000329,0.618861,0.381139
TH002,High feedback amplification,25,-0.543396,-1.269526,Increasing Pressure,lower regime,0.000306,0.558504,0.441496
TH002,High feedback amplification,26,-0.532704,-1.274841,Increasing Pressure,lower regime,0.000296,0.551477,0.448523
TH002,High feedback amplification,27,-0.522013,-1.266305,Increasing Pressure,lower regime,0.000303,0.547731,0.452269
TH002,High feedback amplification,28,-0.511321,-1.261357,Increasing Pressure,lower regime,0.000286,0.493462,0.506538
TH002,High feedback amplification,29,-0.500629,-1.246081,Increasing Pressure,lower regime,0.000311,0.495678,0.504322
TH002,High feedback amplification,30,-0.489937,-1.270867,Increasing Pressure,lower regime,0.000291,0.531734,0.468266
TH002,High feedback amplification,31,-0.479245,-1.257087,Increasing Pressure,lower regime,0.000322,0.576999,0.423001
TH002,High feedback amplification,32,-0.468553,-1.286904,Increasing Pressure,lower regime,0.000271,0.394253,0.605747
TH002,High feedback amplification,33,-0.457862,-1.332846,Increasing Pressure,lower regime,0.00044,0.458591,0.541409
TH002,High feedback amplification,34,-0.44717,-1.328925,Increasing Pressure,lower regime,0.000591,0.634935,0.365065
TH002,High feedback amplification,35,-0.436478,-1.331454,Increasing Pressure,lower regime,0.000736,0.715794,0.284206
TH002,High feedback amplification,36,-0.425786,-1.297092,Increasing Pressure,lower regime,0.000741,0.682301,0.317699
TH002,High feedback amplification,37,-0.415094,-1.273272,Increasing Pressure,lower regime,0.000736,0.69922,0.30078
TH002,High feedback amplification,38,-0.404403,-1.291057,Increasing Pressure,lower regime,0.000721,0.67726,0.32274
TH002,High feedback amplification,39,-0.393711,-1.263661,Increasing Pressure,lower regime,0.000727,0.654994,0.345006
TH002,High feedback amplification,40,-0.383019,-1.277782,Increasing Pressure,lower regime,0.000726,0.666333,0.333667
TH002,High feedback amplification,41,-0.372327,-1.270477,Increasing Pressure,lower regime,0.000725,0.663938,0.336062
TH002,High feedback amplification,42,-0.361635,-1.268131,Increasing Pressure,lower regime,0.000735,0.667593,0.332407
TH002,High feedback amplification,43,-0.350943,-1.25751,Increasing Pressure,lower regime,0.000759,0.665508,0.334492
TH002,High feedback amplification,44,-0.340252,-1.234173,Increasing Pressure,lower regime,0.00088,0.670632,0.329368
TH002,High feedback amplification,45,-0.32956,-1.21794,Increasing Pressure,lower regime,0.001059,0.754568,0.245432
TH002,High feedback amplification,46,-0.318868,-1.209629,Increasing Pressure,lower regime,0.001357,0.812109,0.187891
TH002,High feedback amplification,47,-0.308176,-1.19612,Increasing Pressure,lower regime,0.001734,0.87954,0.12046
TH002,High feedback amplification,48,-0.297484,-1.187627,Increasing Pressure,lower regime,0.00214,0.944906,0.055094
TH002,High feedback amplification,49,-0.286792,-1.202009,Increasing Pressure,lower regime,0.002024,0.934456,0.065544
TH002,High feedback amplification,50,-0.276101,-1.215447,Increasing Pressure,lower regime,0.001736,0.921285,0.078715
TH002,High feedback amplification,51,-0.265409,-1.221264,Increasing Pressure,lower regime,0.001292,0.912208,0.087792
TH002,High feedback amplification,52,-0.254717,-1.206214,Increasing Pressure,lower regime,0.001149,0.909053,0.090947
TH002,High feedback amplification,53,-0.244025,-1.208041,Increasing Pressure,lower regime,0.0011,0.919718,0.080282
TH002,High feedback amplification,54,-0.233333,-1.157327,Increasing Pressure,lower regime,0.001181,0.868244,0.131756
TH002,High feedback amplification,55,-0.222642,-1.176778,Increasing Pressure,lower regime,0.0012,0.862586,0.137414
TH002,High feedback amplification,56,-0.21195,-1.198479,Increasing Pressure,lower regime,0.000973,0.811351,0.188649
TH002,High feedback amplification,57,-0.201258,-1.179009,Increasing Pressure,lower regime,0.00081,0.744146,0.255854
TH002,High feedback amplification,58,-0.190566,-1.148896,Increasing Pressure,lower regime,0.00075,0.648372,0.351628
TH002,High feedback amplification,59,-0.179874,-1.140885,Increasing Pressure,lower regime,0.000722,0.681276,0.318724
TH002,High feedback amplification,60,-0.169182,-1.126831,Increasing Pressure,lower regime,0.000864,0.750493,0.249507
TH002,High feedback amplification,61,-0.158491,-1.102299,Increasing Pressure,lower regime,0.001223,0.819674,0.180326
TH002,High feedback amplification,62,-0.147799,-1.110739,Increasing Pressure,lower regime,0.001441,0.851049,0.148951
TH002,High feedback amplification,63,-0.137107,-1.14418,Increasing Pressure,lower regime,0.001453,0.828842,0.171158
TH002,High feedback amplification,64,-0.126415,-1.154898,Increasing Pressure,lower regime,0.001445,0.829306,0.170694
TH002,High feedback amplification,65,-0.115723,-1.133901,Increasing Pressure,lower regime,0.001429,0.818358,0.181642
TH002,High feedback amplification,66,-0.105031,-1.163165,Increasing Pressure,lower regime,0.001242,0.760038,0.239962
TH002,High feedback amplification,67,-0.09434,-1.158316,Increasing Pressure,lower regime,0.000982,0.703808,0.296192
TH002,High feedback amplification,68,-0.083648,-1.149227,Increasing Pressure,lower regime,0.00081,0.625635,0.374365
TH002,High feedback amplification,69,-0.072956,-1.15225,Increasing Pressure,lower regime,0.000598,0.680146,0.319854
TH002,High feedback amplification,70,-0.062264,-1.133535,Increasing Pressure,lower regime,0.000609,0.676674,0.323326
TH002,High feedback amplification,71,-0.051572,-1.119686,Increasing Pressure,lower regime,0.000596,0.656493,0.343507
TH002,High feedback amplification,72,-0.040881,-1.072295,Increasing Pressure,lower regime,0.000688,0.553133,0.446867
TH002,High feedback amplification,73,-0.030189,-1.064096,Increasing Pressure,lower regime,0.000868,0.731749,0.268251
TH002,High feedback amplification,74,-0.019497,-1.080861,Increasing Pressure,lower regime,0.000983,0.765326,0.234674
TH002,High feedback amplification,75,-0.008805,-1.094252,Increasing Pressure,lower regime,0.001023,0.780158,0.219842
TH002,High feedback amplification,76,0.001887,-1.110933,Increasing Pressure,lower regime,0.00103,0.792421,0.207579
TH002,High feedback amplification,77,0.012579,-1.08936,Increasing Pressure,lower regime,0.001073,0.785345,0.214655
TH002,High feedback amplification,78,0.02327,-1.100257,Increasing Pressure,lower regime,0.001094,0.824558,0.175442
TH002,High feedback amplification,79,0.033962,-1.099383,Increasing Pressure,lower regime,0.001076,0.82353,0.17647
TH002,High feedback amplification,80,0.044654,-1.081689,Increasing Pressure,lower regime,0.001043,0.822857,0.177143
