system_id,system,system_domain,time,event,stress_load,adaptive_response,function_level,threshold_proximity,justice_weighted_function
SYS001,Urban Heat System,urban public health,24,background climate stress,0.1835,0.123,0.56099,0.57767,0.59083
SYS001,Urban Heat System,urban public health,25,background climate stress,0.1809,0.123,0.55111,0.57982,0.58043
SYS001,Urban Heat System,urban public health,26,background climate stress,0.18501,0.123,0.53958,0.58204,0.56829
SYS001,Urban Heat System,urban public health,27,background climate stress,0.18527,0.123,0.52779,0.58427,0.55586
SYS001,Urban Heat System,urban public health,28,Coastal storm surge after wetland loss,0.69396,0.123,0.33268,0.59667,0.30194
SYS001,Urban Heat System,urban public health,29,background climate stress,0.18269,0.123,0.32064,0.59885,0.33769
SYS001,Urban Heat System,urban public health,30,background climate stress,0.18809,0.123,0.30648,0.60114,0.32278
SYS001,Urban Heat System,urban public health,31,background climate stress,0.18438,0.123,0.29347,0.60335,0.30908
SYS001,Urban Heat System,urban public health,32,background climate stress,0.18433,0.123,0.2803,0.60556,0.29522
SYS001,Urban Heat System,urban public health,33,background climate stress,0.18884,0.123,0.26534,0.60786,0.27945
SYS001,Urban Heat System,urban public health,34,background climate stress,0.19326,0.123,0.24859,0.61025,0.26182
SYS001,Urban Heat System,urban public health,35,background climate stress,0.19243,0.123,0.23196,0.61262,0.2443
SYS001,Urban Heat System,urban public health,36,background climate stress,0.19009,0.123,0.21597,0.61495,0.22746
SYS001,Urban Heat System,urban public health,37,background climate stress,0.19695,0.123,0.19733,0.61741,0.20783
SYS001,Urban Heat System,urban public health,38,background climate stress,0.19865,0.123,0.17789,0.61991,0.18735
SYS001,Urban Heat System,urban public health,39,background climate stress,0.1936,0.123,0.16006,0.6223,0.16857
SYS001,Urban Heat System,urban public health,40,background climate stress,0.19653,0.123,0.14098,0.62476,0.14848
SYS001,Urban Heat System,urban public health,41,background climate stress,0.19928,0.123,0.12072,0.62727,0.12714
SYS001,Urban Heat System,urban public health,42,background climate stress,0.20271,0.123,0.09903,0.62985,0.10429
SYS001,Urban Heat System,urban public health,43,Drought with food and water stress,0.72988,0.123,0.0,0.64297,0.0
SYS001,Urban Heat System,urban public health,44,background climate stress,0.19921,0.123,0.0,0.64548,0.0
SYS001,Urban Heat System,urban public health,45,background climate stress,0.2041,0.123,0.0,0.64808,0.0
SYS001,Urban Heat System,urban public health,46,background climate stress,0.20889,0.123,0.0,0.65078,0.0
SYS001,Urban Heat System,urban public health,47,background climate stress,0.20672,0.123,0.0,0.65344,0.0
SYS001,Urban Heat System,urban public health,48,background climate stress,0.20876,0.123,0.0,0.65614,0.0
SYS001,Urban Heat System,urban public health,49,background climate stress,0.21035,0.123,0.0,0.65887,0.0
SYS001,Urban Heat System,urban public health,50,background climate stress,0.20902,0.123,0.0,0.66158,0.0
SYS001,Urban Heat System,urban public health,51,background climate stress,0.20813,0.123,0.0,0.66426,0.0
SYS001,Urban Heat System,urban public health,52,background climate stress,0.21191,0.123,0.0,0.66702,0.0
SYS001,Urban Heat System,urban public health,53,background climate stress,0.21243,0.123,0.0,0.6698,0.0
SYS001,Urban Heat System,urban public health,54,background climate stress,0.21184,0.123,0.0,0.67256,0.0
SYS001,Urban Heat System,urban public health,55,background climate stress,0.21752,0.123,0.0,0.67543,0.0
SYS001,Urban Heat System,urban public health,56,background climate stress,0.21419,0.123,0.0,0.67824,0.0
SYS001,Urban Heat System,urban public health,57,background climate stress,0.21636,0.123,0.0,0.68109,0.0
SYS001,Urban Heat System,urban public health,58,background climate stress,0.21996,0.123,0.0,0.68401,0.0
SYS001,Urban Heat System,urban public health,59,Wildfire smoke and evacuation pressure,0.74232,0.123,0.0,0.69739,0.0
SYS001,Urban Heat System,urban public health,60,background climate stress,0.22398,0.123,0.0,0.70039,0.0
SYS001,Urban Heat System,urban public health,61,background climate stress,0.22578,0.123,0.0,0.70343,0.0
SYS001,Urban Heat System,urban public health,62,background climate stress,0.22475,0.123,0.0,0.70645,0.0
SYS001,Urban Heat System,urban public health,63,background climate stress,0.22227,0.123,0.0,0.70942,0.0
SYS001,Urban Heat System,urban public health,64,background climate stress,0.22873,0.123,0.0,0.71252,0.0
SYS001,Urban Heat System,urban public health,65,background climate stress,0.23041,0.123,0.0,0.71565,0.0
SYS001,Urban Heat System,urban public health,66,background climate stress,0.22979,0.123,0.0,0.71877,0.0
SYS001,Urban Heat System,urban public health,67,background climate stress,0.23138,0.123,0.0,0.72192,0.0
SYS001,Urban Heat System,urban public health,68,background climate stress,0.23023,0.123,0.0,0.72505,0.0
SYS001,Urban Heat System,urban public health,69,background climate stress,0.23118,0.123,0.0,0.7282,0.0
SYS001,Urban Heat System,urban public health,70,Compound flood heat and public health disruption,0.80147,0.123,0.0,0.74275,0.0
SYS001,Urban Heat System,urban public health,71,background climate stress,0.23572,0.123,0.0,0.74599,0.0
SYS001,Urban Heat System,urban public health,72,background climate stress,0.23294,0.123,0.0,0.74917,0.0
SYS001,Urban Heat System,urban public health,73,background climate stress,0.23884,0.123,0.0,0.75247,0.0
SYS001,Urban Heat System,urban public health,74,background climate stress,0.24165,0.123,0.0,0.75583,0.0
SYS001,Urban Heat System,urban public health,75,background climate stress,0.23654,0.123,0.0,0.75908,0.0
SYS001,Urban Heat System,urban public health,76,background climate stress,0.24299,0.123,0.0,0.76247,0.0
SYS001,Urban Heat System,urban public health,77,background climate stress,0.24372,0.123,0.0,0.76586,0.0
SYS001,Urban Heat System,urban public health,78,background climate stress,0.23961,0.123,0.0,0.76918,0.0
SYS001,Urban Heat System,urban public health,79,background climate stress,0.24013,0.123,0.0,0.77251,0.0
SYS002,Coastal Watershed,social-ecological systems,0,background climate stress,0.15043,0.1684,0.86129,0.48099,0.89747
SYS002,Coastal Watershed,social-ecological systems,1,background climate stress,0.1478,0.1684,0.88345,0.48192,0.92056
SYS002,Coastal Watershed,social-ecological systems,2,background climate stress,0.15558,0.1684,0.90274,0.48301,0.94066
SYS002,Coastal Watershed,social-ecological systems,3,background climate stress,0.15607,0.1684,0.92176,0.48411,0.96048
SYS002,Coastal Watershed,social-ecological systems,4,background climate stress,0.15282,0.1684,0.94187,0.48515,0.98142
SYS002,Coastal Watershed,social-ecological systems,5,background climate stress,0.15544,0.1684,0.96094,0.48624,1.0
SYS002,Coastal Watershed,social-ecological systems,6,background climate stress,0.15226,0.1684,0.98108,0.48726,1.0
SYS002,Coastal Watershed,social-ecological systems,7,background climate stress,0.15318,0.1684,1.0,0.48831,1.0
SYS002,Coastal Watershed,social-ecological systems,8,background climate stress,0.15464,0.1684,1.0,0.48938,1.0
SYS002,Coastal Watershed,social-ecological systems,9,background climate stress,0.15913,0.1684,1.0,0.49054,1.0
SYS002,Coastal Watershed,social-ecological systems,10,background climate stress,0.15568,0.1684,1.0,0.49163,1.0
SYS002,Coastal Watershed,social-ecological systems,11,background climate stress,0.16337,0.1684,1.0,0.49288,1.0
SYS002,Coastal Watershed,social-ecological systems,12,Extreme heat and grid stress,0.71267,0.1684,0.81786,0.50511,0.71939
SYS002,Coastal Watershed,social-ecological systems,13,background climate stress,0.15846,0.1684,0.83425,0.50626,0.86929
SYS002,Coastal Watershed,social-ecological systems,14,background climate stress,0.16043,0.1684,0.84984,0.50745,0.88553
SYS002,Coastal Watershed,social-ecological systems,15,background climate stress,0.16037,0.1684,0.86536,0.50863,0.90171
SYS002,Coastal Watershed,social-ecological systems,16,background climate stress,0.16737,0.1684,0.87826,0.50996,0.91515
SYS002,Coastal Watershed,social-ecological systems,17,background climate stress,0.16463,0.1684,0.89205,0.51123,0.92951
SYS002,Coastal Watershed,social-ecological systems,18,background climate stress,0.16647,0.1684,0.90507,0.51254,0.94308
SYS002,Coastal Watershed,social-ecological systems,19,background climate stress,0.16604,0.1684,0.91814,0.51384,0.9567
SYS002,Coastal Watershed,social-ecological systems,20,background climate stress,0.16974,0.1684,0.92977,0.51521,0.96882
SYS002,Coastal Watershed,social-ecological systems,21,background climate stress,0.16853,0.1684,0.94173,0.51656,0.98129
SYS002,Coastal Watershed,social-ecological systems,22,background climate stress,0.16767,0.1684,0.95389,0.5179,0.99396
SYS002,Coastal Watershed,social-ecological systems,23,background climate stress,0.17056,0.1684,0.96491,0.51929,1.0
SYS002,Coastal Watershed,social-ecological systems,24,background climate stress,0.17033,0.1684,0.9759,0.52067,1.0
SYS002,Coastal Watershed,social-ecological systems,25,background climate stress,0.16948,0.1684,0.98708,0.52204,1.0
SYS002,Coastal Watershed,social-ecological systems,26,background climate stress,0.1768,0.1684,0.99552,0.52356,1.0
SYS002,Coastal Watershed,social-ecological systems,27,background climate stress,0.17642,0.1684,1.0,0.52507,1.0
SYS002,Coastal Watershed,social-ecological systems,28,Coastal storm surge after wetland loss,0.68626,0.1684,0.82479,0.53677,0.73934
SYS002,Coastal Watershed,social-ecological systems,29,background climate stress,0.17944,0.1684,0.8311,0.53834,0.866
SYS002,Coastal Watershed,social-ecological systems,30,background climate stress,0.18233,0.1684,0.83624,0.53996,0.87136
SYS002,Coastal Watershed,social-ecological systems,31,background climate stress,0.17887,0.1684,0.8425,0.54152,0.87788
SYS002,Coastal Watershed,social-ecological systems,32,background climate stress,0.17965,0.1684,0.84835,0.54309,0.88398
SYS002,Coastal Watershed,social-ecological systems,33,background climate stress,0.18097,0.1684,0.8536,0.54469,0.88945
SYS002,Coastal Watershed,social-ecological systems,34,background climate stress,0.18173,0.1684,0.85845,0.5463,0.89451
SYS002,Coastal Watershed,social-ecological systems,35,background climate stress,0.18504,0.1684,0.86198,0.54798,0.89819
SYS002,Coastal Watershed,social-ecological systems,36,background climate stress,0.18002,0.1684,0.86719,0.54956,0.90361
SYS002,Coastal Watershed,social-ecological systems,37,background climate stress,0.18506,0.1684,0.87045,0.55124,0.90701
SYS002,Coastal Watershed,social-ecological systems,38,background climate stress,0.18664,0.1684,0.87301,0.55296,0.90967
SYS002,Coastal Watershed,social-ecological systems,39,background climate stress,0.18587,0.1684,0.8757,0.55465,0.91248
SYS002,Coastal Watershed,social-ecological systems,40,background climate stress,0.1839,0.1684,0.87897,0.55631,0.91589
SYS002,Coastal Watershed,social-ecological systems,41,background climate stress,0.19098,0.1684,0.87956,0.55811,0.91651
SYS002,Coastal Watershed,social-ecological systems,42,background climate stress,0.18568,0.1684,0.88192,0.5598,0.91896
SYS002,Coastal Watershed,social-ecological systems,43,Drought with food and water stress,0.72077,0.1684,0.6915,0.5722,0.61212
SYS002,Coastal Watershed,social-ecological systems,44,background climate stress,0.19395,0.1684,0.68976,0.57405,0.71873
SYS002,Coastal Watershed,social-ecological systems,45,background climate stress,0.19121,0.1684,0.68884,0.57586,0.71778
SYS002,Coastal Watershed,social-ecological systems,46,background climate stress,0.19109,0.1684,0.68783,0.57766,0.71672
SYS002,Coastal Watershed,social-ecological systems,47,background climate stress,0.19336,0.1684,0.68585,0.57951,0.71466
SYS002,Coastal Watershed,social-ecological systems,48,background climate stress,0.19329,0.1684,0.68376,0.58135,0.71248
SYS002,Coastal Watershed,social-ecological systems,49,background climate stress,0.19501,0.1684,0.68089,0.58323,0.70949
SYS002,Coastal Watershed,social-ecological systems,50,background climate stress,0.20078,0.1684,0.6758,0.58522,0.70419
SYS002,Coastal Watershed,social-ecological systems,51,background climate stress,0.20215,0.1684,0.67006,0.58725,0.6982
SYS002,Coastal Watershed,social-ecological systems,52,background climate stress,0.19985,0.1684,0.66498,0.58922,0.69291
SYS002,Coastal Watershed,social-ecological systems,53,background climate stress,0.20343,0.1684,0.65846,0.59127,0.68611
SYS002,Coastal Watershed,social-ecological systems,54,background climate stress,0.20282,0.1684,0.65199,0.59331,0.67937
SYS002,Coastal Watershed,social-ecological systems,55,background climate stress,0.20402,0.1684,0.64492,0.59537,0.67201
SYS002,Coastal Watershed,social-ecological systems,56,background climate stress,0.2084,0.1684,0.63612,0.59751,0.66283
SYS002,Coastal Watershed,social-ecological systems,57,background climate stress,0.20432,0.1684,0.62861,0.59958,0.65501
SYS002,Coastal Watershed,social-ecological systems,58,background climate stress,0.21034,0.1684,0.61877,0.60176,0.64476
SYS002,Coastal Watershed,social-ecological systems,59,Wildfire smoke and evacuation pressure,0.73163,0.1684,0.42109,0.61438,0.37982
SYS002,Coastal Watershed,social-ecological systems,60,background climate stress,0.21209,0.1684,0.40944,0.6166,0.42663
SYS002,Coastal Watershed,social-ecological systems,61,background climate stress,0.21303,0.1684,0.39727,0.61884,0.41395
SYS002,Coastal Watershed,social-ecological systems,62,background climate stress,0.20794,0.1684,0.38675,0.62098,0.40299
SYS002,Coastal Watershed,social-ecological systems,63,background climate stress,0.20964,0.1684,0.37545,0.62315,0.39122
SYS002,Coastal Watershed,social-ecological systems,64,background climate stress,0.21018,0.1684,0.36378,0.62533,0.37906
SYS002,Coastal Watershed,social-ecological systems,65,background climate stress,0.214,0.1684,0.35056,0.62759,0.36528
SYS002,Coastal Watershed,social-ecological systems,66,background climate stress,0.22042,0.1684,0.33485,0.62998,0.34891
SYS002,Coastal Watershed,social-ecological systems,67,background climate stress,0.22082,0.1684,0.3188,0.63237,0.33219
SYS002,Coastal Watershed,social-ecological systems,68,background climate stress,0.22152,0.1684,0.30232,0.63478,0.31501
SYS002,Coastal Watershed,social-ecological systems,69,background climate stress,0.21607,0.1684,0.2876,0.63708,0.29968
SYS002,Coastal Watershed,social-ecological systems,70,Compound flood heat and public health disruption,0.78962,0.1684,0.06621,0.65085,0.05713
SYS002,Coastal Watershed,social-ecological systems,71,background climate stress,0.22488,0.1684,0.04704,0.65333,0.04901
SYS002,Coastal Watershed,social-ecological systems,72,background climate stress,0.22654,0.1684,0.02706,0.65584,0.0282
SYS002,Coastal Watershed,social-ecological systems,73,background climate stress,0.2279,0.1684,0.0064,0.65838,0.00667
SYS002,Coastal Watershed,social-ecological systems,74,background climate stress,0.2288,0.1684,0.0,0.66093,0.0
SYS002,Coastal Watershed,social-ecological systems,75,background climate stress,0.22398,0.1684,0.0,0.66339,0.0
SYS002,Coastal Watershed,social-ecological systems,76,background climate stress,0.22537,0.1684,0.0,0.66588,0.0
SYS002,Coastal Watershed,social-ecological systems,77,background climate stress,0.23194,0.1684,0.0,0.6685,0.0
SYS002,Coastal Watershed,social-ecological systems,78,background climate stress,0.23251,0.1684,0.0,0.67113,0.0
SYS002,Coastal Watershed,social-ecological systems,79,background climate stress,0.23496,0.1684,0.0,0.6738,0.0
SYS003,Regional Food and Water System,food-water systems,0,background climate stress,0.15563,0.1424,0.8033,0.5514,0.84154
SYS003,Regional Food and Water System,food-water systems,1,background climate stress,0.16075,0.1424,0.80465,0.55291,0.84295
SYS003,Regional Food and Water System,food-water systems,2,background climate stress,0.15765,0.1424,0.80699,0.55435,0.8454
SYS003,Regional Food and Water System,food-water systems,3,background climate stress,0.16344,0.1424,0.80713,0.55591,0.84555
SYS003,Regional Food and Water System,food-water systems,4,background climate stress,0.16342,0.1424,0.80716,0.55747,0.84558
SYS003,Regional Food and Water System,food-water systems,5,background climate stress,0.16233,0.1424,0.80745,0.55901,0.84588
SYS003,Regional Food and Water System,food-water systems,6,background climate stress,0.16535,0.1424,0.80653,0.56061,0.84492
SYS003,Regional Food and Water System,food-water systems,7,background climate stress,0.16582,0.1424,0.80531,0.56222,0.84365
SYS003,Regional Food and Water System,food-water systems,8,background climate stress,0.16204,0.1424,0.80533,0.56375,0.84366
SYS003,Regional Food and Water System,food-water systems,9,background climate stress,0.16734,0.1424,0.80332,0.56539,0.84156
SYS003,Regional Food and Water System,food-water systems,10,background climate stress,0.16908,0.1424,0.80055,0.56706,0.83865
SYS003,Regional Food and Water System,food-water systems,11,background climate stress,0.16911,0.1424,0.79763,0.56873,0.8356
SYS003,Regional Food and Water System,food-water systems,12,Extreme heat and grid stress,0.72254,0.1424,0.59535,0.58148,0.527
SYS003,Regional Food and Water System,food-water systems,13,background climate stress,0.17567,0.1424,0.58891,0.58328,0.61695
SYS003,Regional Food and Water System,food-water systems,14,background climate stress,0.17532,0.1424,0.58246,0.58508,0.61019
SYS003,Regional Food and Water System,food-water systems,15,background climate stress,0.17305,0.1424,0.57669,0.58683,0.60414
SYS003,Regional Food and Water System,food-water systems,16,background climate stress,0.17265,0.1424,0.57091,0.58857,0.59809
SYS003,Regional Food and Water System,food-water systems,17,background climate stress,0.17271,0.1424,0.56498,0.59032,0.59187
SYS003,Regional Food and Water System,food-water systems,18,background climate stress,0.17979,0.1424,0.55636,0.59221,0.58284
SYS003,Regional Food and Water System,food-water systems,19,background climate stress,0.17967,0.1424,0.54763,0.59409,0.57369
SYS003,Regional Food and Water System,food-water systems,20,background climate stress,0.17992,0.1424,0.53866,0.59598,0.5643
SYS003,Regional Food and Water System,food-water systems,21,background climate stress,0.17937,0.1424,0.52973,0.59786,0.55495
SYS003,Regional Food and Water System,food-water systems,22,background climate stress,0.18087,0.1424,0.52012,0.59977,0.54488
SYS003,Regional Food and Water System,food-water systems,23,background climate stress,0.17933,0.1424,0.51091,0.60165,0.53523
SYS003,Regional Food and Water System,food-water systems,24,background climate stress,0.18307,0.1424,0.5002,0.6036,0.52401
SYS003,Regional Food and Water System,food-water systems,25,background climate stress,0.18058,0.1424,0.49023,0.6055,0.51357
SYS003,Regional Food and Water System,food-water systems,26,background climate stress,0.18583,0.1424,0.47822,0.60751,0.50099
SYS003,Regional Food and Water System,food-water systems,27,background climate stress,0.18689,0.1424,0.46567,0.60954,0.48784
SYS003,Regional Food and Water System,food-water systems,28,Coastal storm surge after wetland loss,0.69724,0.1424,0.26923,0.62177,0.24285
SYS003,Regional Food and Water System,food-water systems,29,background climate stress,0.19054,0.1424,0.25422,0.62388,0.26632
SYS003,Regional Food and Water System,food-water systems,30,background climate stress,0.18772,0.1424,0.24006,0.62592,0.25149
SYS003,Regional Food and Water System,food-water systems,31,background climate stress,0.18732,0.1424,0.22588,0.62796,0.23663
SYS003,Regional Food and Water System,food-water systems,32,background climate stress,0.19047,0.1424,0.2104,0.63006,0.22041
SYS003,Regional Food and Water System,food-water systems,33,background climate stress,0.19466,0.1424,0.19325,0.63224,0.20245
SYS003,Regional Food and Water System,food-water systems,34,background climate stress,0.19406,0.1424,0.17613,0.63442,0.18452
SYS003,Regional Food and Water System,food-water systems,35,background climate stress,0.1972,0.1424,0.15772,0.63665,0.16522
SYS003,Regional Food and Water System,food-water systems,36,background climate stress,0.19536,0.1424,0.13978,0.63885,0.14643
SYS003,Regional Food and Water System,food-water systems,37,background climate stress,0.19608,0.1424,0.12141,0.64106,0.12719
SYS003,Regional Food and Water System,food-water systems,38,background climate stress,0.20167,0.1424,0.10086,0.64339,0.10566
SYS003,Regional Food and Water System,food-water systems,39,background climate stress,0.19602,0.1424,0.08214,0.6456,0.08605
SYS003,Regional Food and Water System,food-water systems,40,background climate stress,0.19739,0.1424,0.06276,0.64784,0.06575
SYS003,Regional Food and Water System,food-water systems,41,background climate stress,0.20184,0.1424,0.0416,0.65017,0.04358
SYS003,Regional Food and Water System,food-water systems,42,background climate stress,0.20324,0.1424,0.01975,0.65252,0.02069
SYS003,Regional Food and Water System,food-water systems,43,Drought with food and water stress,0.73283,0.1424,0.0,0.66547,0.0
SYS003,Regional Food and Water System,food-water systems,44,background climate stress,0.20489,0.1424,0.0,0.66786,0.0
SYS003,Regional Food and Water System,food-water systems,45,background climate stress,0.20704,0.1424,0.0,0.67029,0.0
SYS003,Regional Food and Water System,food-water systems,46,background climate stress,0.20702,0.1424,0.0,0.67272,0.0
SYS003,Regional Food and Water System,food-water systems,47,background climate stress,0.21011,0.1424,0.0,0.67522,0.0
SYS003,Regional Food and Water System,food-water systems,48,background climate stress,0.21314,0.1424,0.0,0.67777,0.0
SYS003,Regional Food and Water System,food-water systems,49,background climate stress,0.21362,0.1424,0.0,0.68033,0.0
SYS003,Regional Food and Water System,food-water systems,50,background climate stress,0.213,0.1424,0.0,0.68288,0.0
SYS003,Regional Food and Water System,food-water systems,51,background climate stress,0.21253,0.1424,0.0,0.68543,0.0
SYS003,Regional Food and Water System,food-water systems,52,background climate stress,0.21787,0.1424,0.0,0.68807,0.0
SYS003,Regional Food and Water System,food-water systems,53,background climate stress,0.21443,0.1424,0.0,0.69065,0.0
SYS003,Regional Food and Water System,food-water systems,54,background climate stress,0.2171,0.1424,0.0,0.69329,0.0
SYS003,Regional Food and Water System,food-water systems,55,background climate stress,0.22034,0.1424,0.0,0.69599,0.0
SYS003,Regional Food and Water System,food-water systems,56,background climate stress,0.21975,0.1424,0.0,0.69867,0.0
SYS003,Regional Food and Water System,food-water systems,57,background climate stress,0.21818,0.1424,0.0,0.70133,0.0
SYS003,Regional Food and Water System,food-water systems,58,background climate stress,0.22242,0.1424,0.0,0.70407,0.0
SYS003,Regional Food and Water System,food-water systems,59,Wildfire smoke and evacuation pressure,0.74493,0.1424,0.0,0.71726,0.0
SYS003,Regional Food and Water System,food-water systems,60,background climate stress,0.22465,0.1424,0.0,0.72004,0.0
SYS003,Regional Food and Water System,food-water systems,61,background climate stress,0.22856,0.1424,0.0,0.7229,0.0
SYS003,Regional Food and Water System,food-water systems,62,background climate stress,0.22703,0.1424,0.0,0.72573,0.0
SYS003,Regional Food and Water System,food-water systems,63,background climate stress,0.22731,0.1424,0.0,0.72857,0.0
SYS003,Regional Food and Water System,food-water systems,64,background climate stress,0.23236,0.1424,0.0,0.73151,0.0
SYS003,Regional Food and Water System,food-water systems,65,background climate stress,0.22945,0.1424,0.0,0.73439,0.0
SYS003,Regional Food and Water System,food-water systems,66,background climate stress,0.22938,0.1424,0.0,0.73727,0.0
SYS003,Regional Food and Water System,food-water systems,67,background climate stress,0.23532,0.1424,0.0,0.74027,0.0
SYS003,Regional Food and Water System,food-water systems,68,background climate stress,0.23649,0.1424,0.0,0.74329,0.0
SYS003,Regional Food and Water System,food-water systems,69,background climate stress,0.23066,0.1424,0.0,0.74619,0.0
SYS003,Regional Food and Water System,food-water systems,70,Compound flood heat and public health disruption,0.8038,0.1424,0.0,0.76056,0.0
SYS003,Regional Food and Water System,food-water systems,71,background climate stress,0.23344,0.1424,0.0,0.76352,0.0
SYS003,Regional Food and Water System,food-water systems,72,background climate stress,0.24162,0.1424,0.0,0.76664,0.0
SYS003,Regional Food and Water System,food-water systems,73,background climate stress,0.24297,0.1424,0.0,0.76979,0.0
SYS003,Regional Food and Water System,food-water systems,74,background climate stress,0.23961,0.1424,0.0,0.77288,0.0
SYS003,Regional Food and Water System,food-water systems,75,background climate stress,0.23957,0.1424,0.0,0.77596,0.0
SYS003,Regional Food and Water System,food-water systems,76,background climate stress,0.24456,0.1424,0.0,0.77914,0.0
SYS003,Regional Food and Water System,food-water systems,77,background climate stress,0.24799,0.1424,0.0,0.78239,0.0
SYS003,Regional Food and Water System,food-water systems,78,background climate stress,0.24259,0.1424,0.0,0.78554,0.0
SYS003,Regional Food and Water System,food-water systems,79,background climate stress,0.24583,0.1424,0.0,0.78874,0.0
SYS004,Electric Grid and Critical Services,infrastructure,0,background climate stress,0.15661,0.2144,0.89719,0.50056,0.92985
SYS004,Electric Grid and Critical Services,infrastructure,1,background climate stress,0.1527,0.2144,0.93574,0.50104,0.9698
SYS004,Electric Grid and Critical Services,infrastructure,2,background climate stress,0.15584,0.2144,0.97312,0.50158,1.0
SYS004,Electric Grid and Critical Services,infrastructure,3,background climate stress,0.15678,0.2144,1.0,0.50215,1.0
SYS004,Electric Grid and Critical Services,infrastructure,4,background climate stress,0.15289,0.2144,1.0,0.50263,1.0
SYS004,Electric Grid and Critical Services,infrastructure,5,background climate stress,0.15244,0.2144,1.0,0.50311,1.0
SYS004,Electric Grid and Critical Services,infrastructure,6,background climate stress,0.15795,0.2144,1.0,0.50369,1.0
SYS004,Electric Grid and Critical Services,infrastructure,7,background climate stress,0.15442,0.2144,1.0,0.50421,1.0
SYS004,Electric Grid and Critical Services,infrastructure,8,background climate stress,0.15755,0.2144,1.0,0.50479,1.0
SYS004,Electric Grid and Critical Services,infrastructure,9,background climate stress,0.16291,0.2144,1.0,0.50547,1.0
SYS004,Electric Grid and Critical Services,infrastructure,10,background climate stress,0.16356,0.2144,1.0,0.50617,1.0
SYS004,Electric Grid and Critical Services,infrastructure,11,background climate stress,0.15759,0.2144,1.0,0.50675,1.0
SYS004,Electric Grid and Critical Services,infrastructure,12,Extreme heat and grid stress,0.71448,0.2144,0.83582,0.51847,0.7305
SYS004,Electric Grid and Critical Services,infrastructure,13,background climate stress,0.1603,0.2144,0.8702,0.5191,0.90187
SYS004,Electric Grid and Critical Services,infrastructure,14,background climate stress,0.16237,0.2144,0.90379,0.51978,0.93668
SYS004,Electric Grid and Critical Services,infrastructure,15,background climate stress,0.16862,0.2144,0.93507,0.52058,0.9691
SYS004,Electric Grid and Critical Services,infrastructure,16,background climate stress,0.16222,0.2144,0.96859,0.52125,1.0
SYS004,Electric Grid and Critical Services,infrastructure,17,background climate stress,0.16483,0.2144,1.0,0.52197,1.0
SYS004,Electric Grid and Critical Services,infrastructure,18,background climate stress,0.16458,0.2144,1.0,0.52269,1.0
SYS004,Electric Grid and Critical Services,infrastructure,19,background climate stress,0.16558,0.2144,1.0,0.52343,1.0
SYS004,Electric Grid and Critical Services,infrastructure,20,background climate stress,0.16996,0.2144,1.0,0.52425,1.0
SYS004,Electric Grid and Critical Services,infrastructure,21,background climate stress,0.16772,0.2144,1.0,0.52504,1.0
