simulation_id,strategy_id,strategy,rank,resilience_value,winner
4,CR006,Distributed Energy and Critical Service Microgrids,6,6.63942,Community-Led Floodplain Adaptation
5,CR003,Climate-Resilient Water and Food Security Plan,1,7.55525,Climate-Resilient Water and Food Security Plan
5,CR001,Heat-Resilient Urban Redesign,2,7.44549,Climate-Resilient Water and Food Security Plan
5,CR004,Integrated Climate Risk Governance Framework,3,7.28488,Climate-Resilient Water and Food Security Plan
5,CR002,Coastal Ecosystem-Based Adaptation Program,4,7.24275,Climate-Resilient Water and Food Security Plan
5,CR006,Distributed Energy and Critical Service Microgrids,5,7.04321,Climate-Resilient Water and Food Security Plan
5,CR005,Community-Led Floodplain Adaptation,6,6.95689,Climate-Resilient Water and Food Security Plan
6,CR001,Heat-Resilient Urban Redesign,1,7.63235,Heat-Resilient Urban Redesign
6,CR002,Coastal Ecosystem-Based Adaptation Program,2,7.56971,Heat-Resilient Urban Redesign
6,CR004,Integrated Climate Risk Governance Framework,3,7.28667,Heat-Resilient Urban Redesign
6,CR006,Distributed Energy and Critical Service Microgrids,4,7.1031,Heat-Resilient Urban Redesign
6,CR005,Community-Led Floodplain Adaptation,5,7.08008,Heat-Resilient Urban Redesign
6,CR003,Climate-Resilient Water and Food Security Plan,6,6.91452,Heat-Resilient Urban Redesign
7,CR004,Integrated Climate Risk Governance Framework,1,7.63974,Integrated Climate Risk Governance Framework
7,CR005,Community-Led Floodplain Adaptation,2,7.555,Integrated Climate Risk Governance Framework
7,CR003,Climate-Resilient Water and Food Security Plan,3,7.21372,Integrated Climate Risk Governance Framework
7,CR001,Heat-Resilient Urban Redesign,4,7.14201,Integrated Climate Risk Governance Framework
7,CR002,Coastal Ecosystem-Based Adaptation Program,5,6.9959,Integrated Climate Risk Governance Framework
7,CR006,Distributed Energy and Critical Service Microgrids,6,6.95527,Integrated Climate Risk Governance Framework
8,CR005,Community-Led Floodplain Adaptation,1,7.85992,Community-Led Floodplain Adaptation
8,CR003,Climate-Resilient Water and Food Security Plan,2,7.44568,Community-Led Floodplain Adaptation
8,CR002,Coastal Ecosystem-Based Adaptation Program,3,7.33224,Community-Led Floodplain Adaptation
8,CR004,Integrated Climate Risk Governance Framework,4,7.32931,Community-Led Floodplain Adaptation
8,CR001,Heat-Resilient Urban Redesign,5,7.15435,Community-Led Floodplain Adaptation
8,CR006,Distributed Energy and Critical Service Microgrids,6,6.84183,Community-Led Floodplain Adaptation
9,CR002,Coastal Ecosystem-Based Adaptation Program,1,7.60169,Coastal Ecosystem-Based Adaptation Program
9,CR005,Community-Led Floodplain Adaptation,2,7.44392,Coastal Ecosystem-Based Adaptation Program
9,CR003,Climate-Resilient Water and Food Security Plan,3,7.4311,Coastal Ecosystem-Based Adaptation Program
9,CR001,Heat-Resilient Urban Redesign,4,7.16913,Coastal Ecosystem-Based Adaptation Program
9,CR006,Distributed Energy and Critical Service Microgrids,5,7.13312,Coastal Ecosystem-Based Adaptation Program
9,CR004,Integrated Climate Risk Governance Framework,6,7.09099,Coastal Ecosystem-Based Adaptation Program
10,CR003,Climate-Resilient Water and Food Security Plan,1,7.40224,Climate-Resilient Water and Food Security Plan
10,CR005,Community-Led Floodplain Adaptation,2,7.38327,Climate-Resilient Water and Food Security Plan
10,CR001,Heat-Resilient Urban Redesign,3,7.1531,Climate-Resilient Water and Food Security Plan
10,CR002,Coastal Ecosystem-Based Adaptation Program,4,7.15201,Climate-Resilient Water and Food Security Plan
10,CR006,Distributed Energy and Critical Service Microgrids,5,6.99988,Climate-Resilient Water and Food Security Plan
10,CR004,Integrated Climate Risk Governance Framework,6,6.81432,Climate-Resilient Water and Food Security Plan
11,CR005,Community-Led Floodplain Adaptation,1,7.58142,Community-Led Floodplain Adaptation
11,CR004,Integrated Climate Risk Governance Framework,2,7.26906,Community-Led Floodplain Adaptation
11,CR001,Heat-Resilient Urban Redesign,3,7.23939,Community-Led Floodplain Adaptation
11,CR003,Climate-Resilient Water and Food Security Plan,4,7.13105,Community-Led Floodplain Adaptation
11,CR002,Coastal Ecosystem-Based Adaptation Program,5,6.90402,Community-Led Floodplain Adaptation
11,CR006,Distributed Energy and Critical Service Microgrids,6,6.86756,Community-Led Floodplain Adaptation
12,CR001,Heat-Resilient Urban Redesign,1,7.48463,Heat-Resilient Urban Redesign
12,CR003,Climate-Resilient Water and Food Security Plan,2,7.36311,Heat-Resilient Urban Redesign
12,CR004,Integrated Climate Risk Governance Framework,3,7.3385,Heat-Resilient Urban Redesign
12,CR005,Community-Led Floodplain Adaptation,4,7.32858,Heat-Resilient Urban Redesign
12,CR002,Coastal Ecosystem-Based Adaptation Program,5,7.01191,Heat-Resilient Urban Redesign
12,CR006,Distributed Energy and Critical Service Microgrids,6,6.77338,Heat-Resilient Urban Redesign
13,CR002,Coastal Ecosystem-Based Adaptation Program,1,7.69895,Coastal Ecosystem-Based Adaptation Program
13,CR005,Community-Led Floodplain Adaptation,2,7.40271,Coastal Ecosystem-Based Adaptation Program
13,CR004,Integrated Climate Risk Governance Framework,3,7.21337,Coastal Ecosystem-Based Adaptation Program
13,CR006,Distributed Energy and Critical Service Microgrids,4,7.07441,Coastal Ecosystem-Based Adaptation Program
13,CR003,Climate-Resilient Water and Food Security Plan,5,7.0464,Coastal Ecosystem-Based Adaptation Program
13,CR001,Heat-Resilient Urban Redesign,6,6.88366,Coastal Ecosystem-Based Adaptation Program
14,CR002,Coastal Ecosystem-Based Adaptation Program,1,7.58216,Coastal Ecosystem-Based Adaptation Program
14,CR005,Community-Led Floodplain Adaptation,2,7.30773,Coastal Ecosystem-Based Adaptation Program
14,CR001,Heat-Resilient Urban Redesign,3,7.30738,Coastal Ecosystem-Based Adaptation Program
14,CR004,Integrated Climate Risk Governance Framework,4,7.04969,Coastal Ecosystem-Based Adaptation Program
14,CR006,Distributed Energy and Critical Service Microgrids,5,6.81812,Coastal Ecosystem-Based Adaptation Program
14,CR003,Climate-Resilient Water and Food Security Plan,6,6.80488,Coastal Ecosystem-Based Adaptation Program
15,CR004,Integrated Climate Risk Governance Framework,1,7.45837,Integrated Climate Risk Governance Framework
15,CR005,Community-Led Floodplain Adaptation,2,7.45527,Integrated Climate Risk Governance Framework
15,CR001,Heat-Resilient Urban Redesign,3,7.28655,Integrated Climate Risk Governance Framework
15,CR002,Coastal Ecosystem-Based Adaptation Program,4,7.231,Integrated Climate Risk Governance Framework
15,CR003,Climate-Resilient Water and Food Security Plan,5,7.21745,Integrated Climate Risk Governance Framework
15,CR006,Distributed Energy and Critical Service Microgrids,6,6.54652,Integrated Climate Risk Governance Framework
16,CR002,Coastal Ecosystem-Based Adaptation Program,1,7.32934,Coastal Ecosystem-Based Adaptation Program
16,CR003,Climate-Resilient Water and Food Security Plan,2,7.27655,Coastal Ecosystem-Based Adaptation Program
16,CR005,Community-Led Floodplain Adaptation,3,7.24706,Coastal Ecosystem-Based Adaptation Program
16,CR006,Distributed Energy and Critical Service Microgrids,4,6.86927,Coastal Ecosystem-Based Adaptation Program
16,CR001,Heat-Resilient Urban Redesign,5,6.75132,Coastal Ecosystem-Based Adaptation Program
16,CR004,Integrated Climate Risk Governance Framework,6,6.62367,Coastal Ecosystem-Based Adaptation Program
17,CR005,Community-Led Floodplain Adaptation,1,7.65363,Community-Led Floodplain Adaptation
17,CR002,Coastal Ecosystem-Based Adaptation Program,2,7.52625,Community-Led Floodplain Adaptation
17,CR003,Climate-Resilient Water and Food Security Plan,3,7.46964,Community-Led Floodplain Adaptation
17,CR006,Distributed Energy and Critical Service Microgrids,4,7.26527,Community-Led Floodplain Adaptation
17,CR004,Integrated Climate Risk Governance Framework,5,7.24733,Community-Led Floodplain Adaptation
17,CR001,Heat-Resilient Urban Redesign,6,7.09015,Community-Led Floodplain Adaptation
18,CR005,Community-Led Floodplain Adaptation,1,7.50877,Community-Led Floodplain Adaptation
18,CR004,Integrated Climate Risk Governance Framework,2,7.28395,Community-Led Floodplain Adaptation
18,CR003,Climate-Resilient Water and Food Security Plan,3,7.21114,Community-Led Floodplain Adaptation
18,CR001,Heat-Resilient Urban Redesign,4,6.95823,Community-Led Floodplain Adaptation
18,CR006,Distributed Energy and Critical Service Microgrids,5,6.88549,Community-Led Floodplain Adaptation
18,CR002,Coastal Ecosystem-Based Adaptation Program,6,6.86079,Community-Led Floodplain Adaptation
19,CR003,Climate-Resilient Water and Food Security Plan,1,7.38876,Climate-Resilient Water and Food Security Plan
19,CR005,Community-Led Floodplain Adaptation,2,7.38467,Climate-Resilient Water and Food Security Plan
19,CR004,Integrated Climate Risk Governance Framework,3,7.00708,Climate-Resilient Water and Food Security Plan
19,CR002,Coastal Ecosystem-Based Adaptation Program,4,6.87488,Climate-Resilient Water and Food Security Plan
19,CR006,Distributed Energy and Critical Service Microgrids,5,6.58155,Climate-Resilient Water and Food Security Plan
19,CR001,Heat-Resilient Urban Redesign,6,6.53441,Climate-Resilient Water and Food Security Plan
20,CR003,Climate-Resilient Water and Food Security Plan,1,7.47711,Climate-Resilient Water and Food Security Plan
20,CR005,Community-Led Floodplain Adaptation,2,7.40011,Climate-Resilient Water and Food Security Plan
20,CR006,Distributed Energy and Critical Service Microgrids,3,7.25626,Climate-Resilient Water and Food Security Plan
20,CR002,Coastal Ecosystem-Based Adaptation Program,4,7.1498,Climate-Resilient Water and Food Security Plan
20,CR004,Integrated Climate Risk Governance Framework,5,7.12587,Climate-Resilient Water and Food Security Plan
20,CR001,Heat-Resilient Urban Redesign,6,6.88004,Climate-Resilient Water and Food Security Plan
21,CR001,Heat-Resilient Urban Redesign,1,7.46832,Heat-Resilient Urban Redesign
21,CR002,Coastal Ecosystem-Based Adaptation Program,2,7.32212,Heat-Resilient Urban Redesign
21,CR004,Integrated Climate Risk Governance Framework,3,7.3124,Heat-Resilient Urban Redesign
21,CR005,Community-Led Floodplain Adaptation,4,7.29699,Heat-Resilient Urban Redesign
21,CR003,Climate-Resilient Water and Food Security Plan,5,7.08016,Heat-Resilient Urban Redesign
21,CR006,Distributed Energy and Critical Service Microgrids,6,6.43241,Heat-Resilient Urban Redesign
22,CR005,Community-Led Floodplain Adaptation,1,7.78255,Community-Led Floodplain Adaptation
22,CR004,Integrated Climate Risk Governance Framework,2,7.64538,Community-Led Floodplain Adaptation
22,CR003,Climate-Resilient Water and Food Security Plan,3,7.16772,Community-Led Floodplain Adaptation
22,CR002,Coastal Ecosystem-Based Adaptation Program,4,6.97209,Community-Led Floodplain Adaptation
22,CR001,Heat-Resilient Urban Redesign,5,6.8723,Community-Led Floodplain Adaptation
22,CR006,Distributed Energy and Critical Service Microgrids,6,6.82274,Community-Led Floodplain Adaptation
23,CR005,Community-Led Floodplain Adaptation,1,7.52738,Community-Led Floodplain Adaptation
23,CR003,Climate-Resilient Water and Food Security Plan,2,7.48848,Community-Led Floodplain Adaptation
23,CR002,Coastal Ecosystem-Based Adaptation Program,3,7.29829,Community-Led Floodplain Adaptation
23,CR004,Integrated Climate Risk Governance Framework,4,7.13889,Community-Led Floodplain Adaptation
23,CR001,Heat-Resilient Urban Redesign,5,7.02486,Community-Led Floodplain Adaptation
23,CR006,Distributed Energy and Critical Service Microgrids,6,6.79078,Community-Led Floodplain Adaptation
24,CR003,Climate-Resilient Water and Food Security Plan,1,7.74473,Climate-Resilient Water and Food Security Plan
24,CR004,Integrated Climate Risk Governance Framework,2,7.54468,Climate-Resilient Water and Food Security Plan
24,CR002,Coastal Ecosystem-Based Adaptation Program,3,7.49576,Climate-Resilient Water and Food Security Plan
24,CR005,Community-Led Floodplain Adaptation,4,7.47804,Climate-Resilient Water and Food Security Plan
24,CR006,Distributed Energy and Critical Service Microgrids,5,7.00291,Climate-Resilient Water and Food Security Plan
24,CR001,Heat-Resilient Urban Redesign,6,6.84051,Climate-Resilient Water and Food Security Plan
25,CR003,Climate-Resilient Water and Food Security Plan,1,7.40231,Climate-Resilient Water and Food Security Plan
25,CR005,Community-Led Floodplain Adaptation,2,7.37299,Climate-Resilient Water and Food Security Plan
25,CR002,Coastal Ecosystem-Based Adaptation Program,3,7.14999,Climate-Resilient Water and Food Security Plan
25,CR006,Distributed Energy and Critical Service Microgrids,4,7.02081,Climate-Resilient Water and Food Security Plan
25,CR004,Integrated Climate Risk Governance Framework,5,7.01446,Climate-Resilient Water and Food Security Plan
25,CR001,Heat-Resilient Urban Redesign,6,6.88627,Climate-Resilient Water and Food Security Plan
26,CR004,Integrated Climate Risk Governance Framework,1,7.45086,Integrated Climate Risk Governance Framework
26,CR002,Coastal Ecosystem-Based Adaptation Program,2,7.28192,Integrated Climate Risk Governance Framework
26,CR001,Heat-Resilient Urban Redesign,3,7.27526,Integrated Climate Risk Governance Framework
26,CR005,Community-Led Floodplain Adaptation,4,7.21722,Integrated Climate Risk Governance Framework
26,CR006,Distributed Energy and Critical Service Microgrids,5,6.89664,Integrated Climate Risk Governance Framework
26,CR003,Climate-Resilient Water and Food Security Plan,6,6.82626,Integrated Climate Risk Governance Framework
27,CR003,Climate-Resilient Water and Food Security Plan,1,7.46235,Climate-Resilient Water and Food Security Plan
27,CR006,Distributed Energy and Critical Service Microgrids,2,7.3068,Climate-Resilient Water and Food Security Plan
27,CR005,Community-Led Floodplain Adaptation,3,7.1992,Climate-Resilient Water and Food Security Plan
27,CR002,Coastal Ecosystem-Based Adaptation Program,4,7.18859,Climate-Resilient Water and Food Security Plan
27,CR004,Integrated Climate Risk Governance Framework,5,7.07391,Climate-Resilient Water and Food Security Plan
27,CR001,Heat-Resilient Urban Redesign,6,7.03149,Climate-Resilient Water and Food Security Plan
28,CR005,Community-Led Floodplain Adaptation,1,7.55733,Community-Led Floodplain Adaptation
28,CR003,Climate-Resilient Water and Food Security Plan,2,7.33848,Community-Led Floodplain Adaptation
28,CR002,Coastal Ecosystem-Based Adaptation Program,3,7.3142,Community-Led Floodplain Adaptation
28,CR004,Integrated Climate Risk Governance Framework,4,7.1537,Community-Led Floodplain Adaptation
28,CR006,Distributed Energy and Critical Service Microgrids,5,6.99517,Community-Led Floodplain Adaptation
28,CR001,Heat-Resilient Urban Redesign,6,6.93702,Community-Led Floodplain Adaptation
29,CR004,Integrated Climate Risk Governance Framework,1,7.72537,Integrated Climate Risk Governance Framework
29,CR005,Community-Led Floodplain Adaptation,2,7.67107,Integrated Climate Risk Governance Framework
29,CR003,Climate-Resilient Water and Food Security Plan,3,7.09721,Integrated Climate Risk Governance Framework
29,CR001,Heat-Resilient Urban Redesign,4,6.8662,Integrated Climate Risk Governance Framework
29,CR006,Distributed Energy and Critical Service Microgrids,5,6.82527,Integrated Climate Risk Governance Framework
29,CR002,Coastal Ecosystem-Based Adaptation Program,6,6.72328,Integrated Climate Risk Governance Framework
30,CR005,Community-Led Floodplain Adaptation,1,7.78093,Community-Led Floodplain Adaptation
30,CR001,Heat-Resilient Urban Redesign,2,7.47057,Community-Led Floodplain Adaptation
30,CR003,Climate-Resilient Water and Food Security Plan,3,7.31057,Community-Led Floodplain Adaptation
30,CR004,Integrated Climate Risk Governance Framework,4,7.29116,Community-Led Floodplain Adaptation
30,CR006,Distributed Energy and Critical Service Microgrids,5,7.26503,Community-Led Floodplain Adaptation
30,CR002,Coastal Ecosystem-Based Adaptation Program,6,7.25088,Community-Led Floodplain Adaptation
31,CR003,Climate-Resilient Water and Food Security Plan,1,7.68245,Climate-Resilient Water and Food Security Plan
31,CR004,Integrated Climate Risk Governance Framework,2,7.45066,Climate-Resilient Water and Food Security Plan
31,CR002,Coastal Ecosystem-Based Adaptation Program,3,7.40782,Climate-Resilient Water and Food Security Plan
31,CR005,Community-Led Floodplain Adaptation,4,7.31615,Climate-Resilient Water and Food Security Plan
31,CR006,Distributed Energy and Critical Service Microgrids,5,6.94055,Climate-Resilient Water and Food Security Plan
31,CR001,Heat-Resilient Urban Redesign,6,6.77215,Climate-Resilient Water and Food Security Plan
32,CR005,Community-Led Floodplain Adaptation,1,7.80202,Community-Led Floodplain Adaptation
32,CR003,Climate-Resilient Water and Food Security Plan,2,7.54228,Community-Led Floodplain Adaptation
32,CR002,Coastal Ecosystem-Based Adaptation Program,3,7.3194,Community-Led Floodplain Adaptation
32,CR001,Heat-Resilient Urban Redesign,4,7.21443,Community-Led Floodplain Adaptation
32,CR004,Integrated Climate Risk Governance Framework,5,7.11867,Community-Led Floodplain Adaptation
32,CR006,Distributed Energy and Critical Service Microgrids,6,6.92465,Community-Led Floodplain Adaptation
33,CR005,Community-Led Floodplain Adaptation,1,7.58951,Community-Led Floodplain Adaptation
33,CR004,Integrated Climate Risk Governance Framework,2,7.30754,Community-Led Floodplain Adaptation
33,CR001,Heat-Resilient Urban Redesign,3,7.18811,Community-Led Floodplain Adaptation
33,CR003,Climate-Resilient Water and Food Security Plan,4,7.16704,Community-Led Floodplain Adaptation
33,CR002,Coastal Ecosystem-Based Adaptation Program,5,7.09935,Community-Led Floodplain Adaptation
33,CR006,Distributed Energy and Critical Service Microgrids,6,7.05331,Community-Led Floodplain Adaptation
34,CR004,Integrated Climate Risk Governance Framework,1,7.45335,Integrated Climate Risk Governance Framework
34,CR005,Community-Led Floodplain Adaptation,2,7.29359,Integrated Climate Risk Governance Framework
34,CR006,Distributed Energy and Critical Service Microgrids,3,7.20644,Integrated Climate Risk Governance Framework
34,CR003,Climate-Resilient Water and Food Security Plan,4,7.1919,Integrated Climate Risk Governance Framework
34,CR001,Heat-Resilient Urban Redesign,5,6.8972,Integrated Climate Risk Governance Framework
34,CR002,Coastal Ecosystem-Based Adaptation Program,6,6.84645,Integrated Climate Risk Governance Framework
35,CR004,Integrated Climate Risk Governance Framework,1,7.61001,Integrated Climate Risk Governance Framework
35,CR005,Community-Led Floodplain Adaptation,2,7.33232,Integrated Climate Risk Governance Framework
35,CR003,Climate-Resilient Water and Food Security Plan,3,7.28571,Integrated Climate Risk Governance Framework
35,CR006,Distributed Energy and Critical Service Microgrids,4,7.15152,Integrated Climate Risk Governance Framework
35,CR002,Coastal Ecosystem-Based Adaptation Program,5,6.89148,Integrated Climate Risk Governance Framework
35,CR001,Heat-Resilient Urban Redesign,6,6.78248,Integrated Climate Risk Governance Framework
36,CR004,Integrated Climate Risk Governance Framework,1,7.40672,Integrated Climate Risk Governance Framework
36,CR003,Climate-Resilient Water and Food Security Plan,2,7.33271,Integrated Climate Risk Governance Framework
36,CR005,Community-Led Floodplain Adaptation,3,7.16346,Integrated Climate Risk Governance Framework
36,CR002,Coastal Ecosystem-Based Adaptation Program,4,7.09742,Integrated Climate Risk Governance Framework
36,CR006,Distributed Energy and Critical Service Microgrids,5,6.912,Integrated Climate Risk Governance Framework
36,CR001,Heat-Resilient Urban Redesign,6,6.6766,Integrated Climate Risk Governance Framework
37,CR005,Community-Led Floodplain Adaptation,1,7.71449,Community-Led Floodplain Adaptation
37,CR001,Heat-Resilient Urban Redesign,2,7.52266,Community-Led Floodplain Adaptation
37,CR004,Integrated Climate Risk Governance Framework,3,7.48386,Community-Led Floodplain Adaptation
37,CR003,Climate-Resilient Water and Food Security Plan,4,7.36643,Community-Led Floodplain Adaptation
37,CR006,Distributed Energy and Critical Service Microgrids,5,7.34166,Community-Led Floodplain Adaptation
37,CR002,Coastal Ecosystem-Based Adaptation Program,6,7.28949,Community-Led Floodplain Adaptation
38,CR005,Community-Led Floodplain Adaptation,1,7.60825,Community-Led Floodplain Adaptation
38,CR004,Integrated Climate Risk Governance Framework,2,7.34898,Community-Led Floodplain Adaptation
38,CR001,Heat-Resilient Urban Redesign,3,7.168,Community-Led Floodplain Adaptation
38,CR003,Climate-Resilient Water and Food Security Plan,4,6.92384,Community-Led Floodplain Adaptation
38,CR006,Distributed Energy and Critical Service Microgrids,5,6.88039,Community-Led Floodplain Adaptation
38,CR002,Coastal Ecosystem-Based Adaptation Program,6,6.61855,Community-Led Floodplain Adaptation
39,CR002,Coastal Ecosystem-Based Adaptation Program,1,7.55252,Coastal Ecosystem-Based Adaptation Program
39,CR001,Heat-Resilient Urban Redesign,2,7.34337,Coastal Ecosystem-Based Adaptation Program
39,CR004,Integrated Climate Risk Governance Framework,3,7.17585,Coastal Ecosystem-Based Adaptation Program
39,CR003,Climate-Resilient Water and Food Security Plan,4,7.03615,Coastal Ecosystem-Based Adaptation Program
39,CR005,Community-Led Floodplain Adaptation,5,6.99706,Coastal Ecosystem-Based Adaptation Program
39,CR006,Distributed Energy and Critical Service Microgrids,6,6.76964,Coastal Ecosystem-Based Adaptation Program
40,CR004,Integrated Climate Risk Governance Framework,1,7.70626,Integrated Climate Risk Governance Framework
40,CR005,Community-Led Floodplain Adaptation,2,7.48273,Integrated Climate Risk Governance Framework
40,CR003,Climate-Resilient Water and Food Security Plan,3,7.35601,Integrated Climate Risk Governance Framework
40,CR002,Coastal Ecosystem-Based Adaptation Program,4,7.19008,Integrated Climate Risk Governance Framework
40,CR006,Distributed Energy and Critical Service Microgrids,5,7.14915,Integrated Climate Risk Governance Framework
40,CR001,Heat-Resilient Urban Redesign,6,7.02083,Integrated Climate Risk Governance Framework
41,CR005,Community-Led Floodplain Adaptation,1,7.70088,Community-Led Floodplain Adaptation
41,CR003,Climate-Resilient Water and Food Security Plan,2,7.68093,Community-Led Floodplain Adaptation
41,CR004,Integrated Climate Risk Governance Framework,3,7.47735,Community-Led Floodplain Adaptation
41,CR002,Coastal Ecosystem-Based Adaptation Program,4,6.97272,Community-Led Floodplain Adaptation
41,CR006,Distributed Energy and Critical Service Microgrids,5,6.75464,Community-Led Floodplain Adaptation
41,CR001,Heat-Resilient Urban Redesign,6,6.59028,Community-Led Floodplain Adaptation
42,CR001,Heat-Resilient Urban Redesign,1,7.51017,Heat-Resilient Urban Redesign
42,CR003,Climate-Resilient Water and Food Security Plan,2,7.45781,Heat-Resilient Urban Redesign
42,CR002,Coastal Ecosystem-Based Adaptation Program,3,7.44467,Heat-Resilient Urban Redesign
42,CR004,Integrated Climate Risk Governance Framework,4,7.20402,Heat-Resilient Urban Redesign
42,CR006,Distributed Energy and Critical Service Microgrids,5,7.14078,Heat-Resilient Urban Redesign
42,CR005,Community-Led Floodplain Adaptation,6,6.95225,Heat-Resilient Urban Redesign
43,CR005,Community-Led Floodplain Adaptation,1,8.053,Community-Led Floodplain Adaptation
43,CR004,Integrated Climate Risk Governance Framework,2,7.64773,Community-Led Floodplain Adaptation
43,CR002,Coastal Ecosystem-Based Adaptation Program,3,7.54334,Community-Led Floodplain Adaptation
43,CR006,Distributed Energy and Critical Service Microgrids,4,7.20724,Community-Led Floodplain Adaptation
43,CR003,Climate-Resilient Water and Food Security Plan,5,6.8978,Community-Led Floodplain Adaptation
43,CR001,Heat-Resilient Urban Redesign,6,6.69175,Community-Led Floodplain Adaptation
44,CR003,Climate-Resilient Water and Food Security Plan,1,7.59648,Climate-Resilient Water and Food Security Plan
44,CR005,Community-Led Floodplain Adaptation,2,7.42965,Climate-Resilient Water and Food Security Plan
44,CR004,Integrated Climate Risk Governance Framework,3,7.37896,Climate-Resilient Water and Food Security Plan
44,CR001,Heat-Resilient Urban Redesign,4,7.27569,Climate-Resilient Water and Food Security Plan
44,CR002,Coastal Ecosystem-Based Adaptation Program,5,7.09295,Climate-Resilient Water and Food Security Plan
44,CR006,Distributed Energy and Critical Service Microgrids,6,6.96696,Climate-Resilient Water and Food Security Plan
45,CR003,Climate-Resilient Water and Food Security Plan,1,7.58405,Climate-Resilient Water and Food Security Plan
45,CR005,Community-Led Floodplain Adaptation,2,7.40051,Climate-Resilient Water and Food Security Plan
45,CR004,Integrated Climate Risk Governance Framework,3,7.36892,Climate-Resilient Water and Food Security Plan
45,CR002,Coastal Ecosystem-Based Adaptation Program,4,7.32501,Climate-Resilient Water and Food Security Plan
45,CR001,Heat-Resilient Urban Redesign,5,7.04854,Climate-Resilient Water and Food Security Plan
45,CR006,Distributed Energy and Critical Service Microgrids,6,7.00406,Climate-Resilient Water and Food Security Plan
46,CR001,Heat-Resilient Urban Redesign,1,7.59366,Heat-Resilient Urban Redesign
46,CR005,Community-Led Floodplain Adaptation,2,7.49504,Heat-Resilient Urban Redesign
46,CR003,Climate-Resilient Water and Food Security Plan,3,7.41876,Heat-Resilient Urban Redesign
46,CR006,Distributed Energy and Critical Service Microgrids,4,7.27315,Heat-Resilient Urban Redesign
46,CR004,Integrated Climate Risk Governance Framework,5,7.1387,Heat-Resilient Urban Redesign
46,CR002,Coastal Ecosystem-Based Adaptation Program,6,6.90827,Heat-Resilient Urban Redesign
47,CR005,Community-Led Floodplain Adaptation,1,7.8993,Community-Led Floodplain Adaptation
47,CR003,Climate-Resilient Water and Food Security Plan,2,7.78965,Community-Led Floodplain Adaptation
47,CR002,Coastal Ecosystem-Based Adaptation Program,3,7.12542,Community-Led Floodplain Adaptation
47,CR004,Integrated Climate Risk Governance Framework,4,7.10807,Community-Led Floodplain Adaptation
47,CR001,Heat-Resilient Urban Redesign,5,6.91499,Community-Led Floodplain Adaptation
