scenario_id,scenario_name,time_step,value,target,reinforcing_gain,effective_balancing,delay_steps,disturbance,overshoot,delay_experiment
FL001,Balanced adaptive response,78,97.04113,75.0,0.04,0.17755,1,0.0,22.04113,1
FL001,Balanced adaptive response,79,97.00441,75.0,0.04,0.17778,1,0.0,22.00441,1
FL001,Balanced adaptive response,1,29.61238,75.0,0.04,0.16023,3,0.0,0.0,3
FL001,Balanced adaptive response,2,39.62162,75.0,0.04,0.16045,3,0.0,0.0,3
FL001,Balanced adaptive response,3,50.04361,75.0,0.04,0.16068,3,0.0,0.0,3
FL001,Balanced adaptive response,4,59.34822,75.0,0.04,0.1609,3,0.0,0.0,3
FL001,Balanced adaptive response,5,67.42249,75.0,0.04,0.16112,3,0.0,0.0,3
FL001,Balanced adaptive response,6,74.14611,75.0,0.04,0.16135,3,0.0,0.0,3
FL001,Balanced adaptive response,7,79.64089,75.0,0.04,0.16157,3,0.0,4.64089,3
FL001,Balanced adaptive response,8,84.05256,75.0,0.04,0.1618,3,0.0,9.05256,3
FL001,Balanced adaptive response,9,87.55302,75.0,0.04,0.16203,3,0.0,12.55302,3
FL001,Balanced adaptive response,10,90.30215,75.0,0.04,0.16225,3,0.0,15.30215,3
FL001,Balanced adaptive response,11,92.44343,75.0,0.04,0.16248,3,0.0,17.44343,3
FL001,Balanced adaptive response,12,102.09879,75.0,0.04,0.1627,3,8.0,27.09879,3
FL001,Balanced adaptive response,13,103.68963,75.0,0.04,0.16293,3,0.0,28.68963,3
FL001,Balanced adaptive response,14,104.99132,75.0,0.04,0.16315,3,0.0,29.99132,3
FL001,Balanced adaptive response,15,104.76371,75.0,0.04,0.16337,3,0.0,29.76371,3
FL001,Balanced adaptive response,16,104.26064,75.0,0.04,0.1636,3,0.0,29.26064,3
FL001,Balanced adaptive response,17,103.51773,75.0,0.04,0.16382,3,0.0,28.51773,3
FL001,Balanced adaptive response,18,102.77571,75.0,0.04,0.16405,3,0.0,27.77571,3
FL001,Balanced adaptive response,19,102.07994,75.0,0.04,0.16428,3,0.0,27.07994,3
FL001,Balanced adaptive response,20,101.47197,75.0,0.04,0.1645,3,0.0,26.47197,3
FL001,Balanced adaptive response,21,100.9555,75.0,0.04,0.16473,3,0.0,25.9555,3
FL001,Balanced adaptive response,22,100.52688,75.0,0.04,0.16495,3,0.0,25.52688,3
FL001,Balanced adaptive response,23,100.17545,75.0,0.04,0.16518,3,0.0,25.17545,3
FL001,Balanced adaptive response,24,99.88943,75.0,0.04,0.1654,3,0.0,24.88943,3
FL001,Balanced adaptive response,25,99.65712,75.0,0.04,0.16562,3,0.0,24.65712,3
FL001,Balanced adaptive response,26,99.46805,75.0,0.04,0.16585,3,0.0,24.46805,3
FL001,Balanced adaptive response,27,99.31326,75.0,0.04,0.16608,3,0.0,24.31326,3
FL001,Balanced adaptive response,28,99.18531,75.0,0.04,0.1663,3,0.0,24.18531,3
FL001,Balanced adaptive response,29,99.07818,75.0,0.04,0.16653,3,0.0,24.07818,3
FL001,Balanced adaptive response,30,98.98708,75.0,0.04,0.16675,3,0.0,23.98708,3
FL001,Balanced adaptive response,31,98.90822,75.0,0.04,0.16698,3,0.0,23.90822,3
FL001,Balanced adaptive response,32,98.83867,75.0,0.04,0.1672,3,0.0,23.83867,3
FL001,Balanced adaptive response,33,98.77618,75.0,0.04,0.16742,3,0.0,23.77618,3
FL001,Balanced adaptive response,34,98.71902,75.0,0.04,0.16765,3,0.0,23.71902,3
FL001,Balanced adaptive response,35,98.66586,75.0,0.04,0.16787,3,0.0,23.66586,3
FL001,Balanced adaptive response,36,98.61572,75.0,0.04,0.1681,3,0.0,23.61572,3
FL001,Balanced adaptive response,37,98.56784,75.0,0.04,0.16833,3,0.0,23.56784,3
FL001,Balanced adaptive response,38,98.52168,75.0,0.04,0.16855,3,0.0,23.52168,3
FL001,Balanced adaptive response,39,98.4768,75.0,0.04,0.16878,3,0.0,23.4768,3
FL001,Balanced adaptive response,40,98.43291,75.0,0.04,0.169,3,0.0,23.43291,3
FL001,Balanced adaptive response,41,98.38977,75.0,0.04,0.16923,3,0.0,23.38977,3
FL001,Balanced adaptive response,42,98.34721,75.0,0.04,0.16945,3,0.0,23.34721,3
FL001,Balanced adaptive response,43,98.30512,75.0,0.04,0.16967,3,0.0,23.30512,3
FL001,Balanced adaptive response,44,98.26341,75.0,0.04,0.1699,3,0.0,23.26341,3
FL001,Balanced adaptive response,45,98.222,75.0,0.04,0.17012,3,0.0,23.222,3
FL001,Balanced adaptive response,46,98.18085,75.0,0.04,0.17035,3,0.0,23.18085,3
FL001,Balanced adaptive response,47,98.13993,75.0,0.04,0.17058,3,0.0,23.13993,3
FL001,Balanced adaptive response,48,98.09921,75.0,0.04,0.1708,3,0.0,23.09921,3
FL001,Balanced adaptive response,49,98.05867,75.0,0.04,0.17103,3,0.0,23.05867,3
FL001,Balanced adaptive response,50,98.01831,75.0,0.04,0.17125,3,0.0,23.01831,3
FL001,Balanced adaptive response,51,97.9781,75.0,0.04,0.17147,3,0.0,22.9781,3
FL001,Balanced adaptive response,52,97.93805,75.0,0.04,0.1717,3,0.0,22.93805,3
FL001,Balanced adaptive response,53,97.89815,75.0,0.04,0.17192,3,0.0,22.89815,3
FL001,Balanced adaptive response,54,97.8584,75.0,0.04,0.17215,3,0.0,22.8584,3
FL001,Balanced adaptive response,55,97.81879,75.0,0.04,0.17238,3,0.0,22.81879,3
FL001,Balanced adaptive response,56,97.77932,75.0,0.04,0.1726,3,0.0,22.77932,3
FL001,Balanced adaptive response,57,97.73999,75.0,0.04,0.17283,3,0.0,22.73999,3
FL001,Balanced adaptive response,58,97.7008,75.0,0.04,0.17305,3,0.0,22.7008,3
FL001,Balanced adaptive response,59,97.66174,75.0,0.04,0.17328,3,0.0,22.66174,3
FL001,Balanced adaptive response,60,97.62282,75.0,0.04,0.1735,3,0.0,22.62282,3
FL001,Balanced adaptive response,61,97.58404,75.0,0.04,0.17372,3,0.0,22.58404,3
FL001,Balanced adaptive response,62,97.54539,75.0,0.04,0.17395,3,0.0,22.54539,3
FL001,Balanced adaptive response,63,97.50688,75.0,0.04,0.17417,3,0.0,22.50688,3
FL001,Balanced adaptive response,64,97.4685,75.0,0.04,0.1744,3,0.0,22.4685,3
FL001,Balanced adaptive response,65,97.43025,75.0,0.04,0.17463,3,0.0,22.43025,3
FL001,Balanced adaptive response,66,97.39213,75.0,0.04,0.17485,3,0.0,22.39213,3
FL001,Balanced adaptive response,67,97.35414,75.0,0.04,0.17508,3,0.0,22.35414,3
FL001,Balanced adaptive response,68,97.31629,75.0,0.04,0.1753,3,0.0,22.31629,3
FL001,Balanced adaptive response,69,97.27856,75.0,0.04,0.17553,3,0.0,22.27856,3
FL001,Balanced adaptive response,70,97.24096,75.0,0.04,0.17575,3,0.0,22.24096,3
FL001,Balanced adaptive response,71,97.20349,75.0,0.04,0.17597,3,0.0,22.20349,3
FL001,Balanced adaptive response,72,97.16615,75.0,0.04,0.1762,3,0.0,22.16615,3
FL001,Balanced adaptive response,73,97.12893,75.0,0.04,0.17642,3,0.0,22.12893,3
FL001,Balanced adaptive response,74,97.09184,75.0,0.04,0.17665,3,0.0,22.09184,3
FL001,Balanced adaptive response,75,97.05488,75.0,0.04,0.17688,3,0.0,22.05488,3
FL001,Balanced adaptive response,76,97.01804,75.0,0.04,0.1771,3,0.0,22.01804,3
FL001,Balanced adaptive response,77,96.98133,75.0,0.04,0.17733,3,0.0,21.98133,3
FL001,Balanced adaptive response,78,96.94474,75.0,0.04,0.17755,3,0.0,21.94474,3
FL001,Balanced adaptive response,79,96.90827,75.0,0.04,0.17778,3,0.0,21.90827,3
FL001,Balanced adaptive response,1,29.61238,75.0,0.04,0.16023,5,0.0,0.0,5
FL001,Balanced adaptive response,2,39.62162,75.0,0.04,0.16045,5,0.0,0.0,5
FL001,Balanced adaptive response,3,50.04361,75.0,0.04,0.16068,5,0.0,0.0,5
FL001,Balanced adaptive response,4,60.89485,75.0,0.04,0.1609,5,0.0,0.0,5
FL001,Balanced adaptive response,5,72.19252,75.0,0.04,0.16112,5,0.0,0.0,5
FL001,Balanced adaptive response,6,82.40352,75.0,0.04,0.16135,5,0.0,7.40352,5
FL001,Balanced adaptive response,7,91.41592,75.0,0.04,0.16157,5,0.0,16.41592,5
FL001,Balanced adaptive response,8,99.1105,75.0,0.04,0.1618,5,0.0,24.1105,5
FL001,Balanced adaptive response,9,105.36031,75.0,0.04,0.16203,5,0.0,30.36031,5
FL001,Balanced adaptive response,10,110.03023,75.0,0.04,0.16225,5,0.0,35.03023,5
FL001,Balanced adaptive response,11,113.22856,75.0,0.04,0.16248,5,0.0,38.22856,5
FL001,Balanced adaptive response,12,123.08683,75.0,0.04,0.1627,5,8.0,48.08683,5
FL001,Balanced adaptive response,13,124.0821,75.0,0.04,0.16293,5,0.0,49.0821,5
FL001,Balanced adaptive response,14,124.0921,75.0,0.04,0.16315,5,0.0,49.0921,5
FL001,Balanced adaptive response,15,123.33272,75.0,0.04,0.16337,5,0.0,48.33272,5
FL001,Balanced adaptive response,16,122.01183,75.0,0.04,0.1636,5,0.0,47.01183,5
FL001,Balanced adaptive response,17,119.01448,75.0,0.04,0.16382,5,0.0,44.01448,5
FL001,Balanced adaptive response,18,115.72314,75.0,0.04,0.16405,5,0.0,40.72314,5
FL001,Balanced adaptive response,19,112.28747,75.0,0.04,0.16428,5,0.0,37.28747,5
FL001,Balanced adaptive response,20,108.82823,75.0,0.04,0.1645,5,0.0,33.82823,5
FL001,Balanced adaptive response,21,105.43734,75.0,0.04,0.16473,5,0.0,30.43734,5
FL001,Balanced adaptive response,22,102.39464,75.0,0.04,0.16495,5,0.0,27.39464,5
FL001,Balanced adaptive response,23,99.76398,75.0,0.04,0.16518,5,0.0,24.76398,5
FL001,Balanced adaptive response,24,97.58719,75.0,0.04,0.1654,5,0.0,22.58719,5
FL001,Balanced adaptive response,25,95.88788,75.0,0.04,0.16562,5,0.0,20.88788,5
FL001,Balanced adaptive response,26,94.67536,75.0,0.04,0.16585,5,0.0,19.67536,5
FL001,Balanced adaptive response,27,93.91281,75.0,0.04,0.16608,5,0.0,18.91281,5
FL001,Balanced adaptive response,28,93.55108,75.0,0.04,0.1663,5,0.0,18.55108,5
FL001,Balanced adaptive response,29,93.53179,75.0,0.04,0.16653,5,0.0,18.53179,5
FL001,Balanced adaptive response,30,93.79,75.0,0.04,0.16675,5,0.0,18.79,5
FL001,Balanced adaptive response,31,94.25631,75.0,0.04,0.16698,5,0.0,19.25631,5
FL001,Balanced adaptive response,32,94.86434,75.0,0.04,0.1672,5,0.0,19.86434,5
FL001,Balanced adaptive response,33,95.553,75.0,0.04,0.16742,5,0.0,20.553,5
FL001,Balanced adaptive response,34,96.26827,75.0,0.04,0.16765,5,0.0,21.26827,5
FL001,Balanced adaptive response,35,96.96462,75.0,0.04,0.16787,5,0.0,21.96462,5
FL001,Balanced adaptive response,36,97.60622,75.0,0.04,0.1681,5,0.0,22.60622,5
FL001,Balanced adaptive response,37,98.16681,75.0,0.04,0.16833,5,0.0,23.16681,5
FL001,Balanced adaptive response,38,98.62927,75.0,0.04,0.16855,5,0.0,23.62927,5
FL001,Balanced adaptive response,39,98.98489,75.0,0.04,0.16878,5,0.0,23.98489,5
FL001,Balanced adaptive response,40,99.23227,75.0,0.04,0.169,5,0.0,24.23227,5
FL001,Balanced adaptive response,41,99.37602,75.0,0.04,0.16923,5,0.0,24.37602,5
FL001,Balanced adaptive response,42,99.42544,75.0,0.04,0.16945,5,0.0,24.42544,5
FL001,Balanced adaptive response,43,99.39316,75.0,0.04,0.16967,5,0.0,24.39316,5
FL001,Balanced adaptive response,44,99.29386,75.0,0.04,0.1699,5,0.0,24.29386,5
FL001,Balanced adaptive response,45,99.1431,75.0,0.04,0.17012,5,0.0,24.1431,5
FL001,Balanced adaptive response,46,98.95637,75.0,0.04,0.17035,5,0.0,23.95637,5
FL001,Balanced adaptive response,47,98.74825,75.0,0.04,0.17058,5,0.0,23.74825,5
FL001,Balanced adaptive response,48,98.53183,75.0,0.04,0.1708,5,0.0,23.53183,5
FL001,Balanced adaptive response,49,98.31825,75.0,0.04,0.17103,5,0.0,23.31825,5
FL001,Balanced adaptive response,50,98.11647,75.0,0.04,0.17125,5,0.0,23.11647,5
FL001,Balanced adaptive response,51,97.93321,75.0,0.04,0.17147,5,0.0,22.93321,5
FL001,Balanced adaptive response,52,97.77296,75.0,0.04,0.1717,5,0.0,22.77296,5
FL001,Balanced adaptive response,53,97.63817,75.0,0.04,0.17192,5,0.0,22.63817,5
FL001,Balanced adaptive response,54,97.52946,75.0,0.04,0.17215,5,0.0,22.52946,5
FL001,Balanced adaptive response,55,97.44594,75.0,0.04,0.17238,5,0.0,22.44594,5
FL001,Balanced adaptive response,56,97.38551,75.0,0.04,0.1726,5,0.0,22.38551,5
FL001,Balanced adaptive response,57,97.34519,75.0,0.04,0.17283,5,0.0,22.34519,5
FL001,Balanced adaptive response,58,97.32146,75.0,0.04,0.17305,5,0.0,22.32146,5
FL001,Balanced adaptive response,59,97.31053,75.0,0.04,0.17328,5,0.0,22.31053,5
FL001,Balanced adaptive response,60,97.30858,75.0,0.04,0.1735,5,0.0,22.30858,5
FL001,Balanced adaptive response,61,97.312,75.0,0.04,0.17372,5,0.0,22.312,5
FL001,Balanced adaptive response,62,97.31753,75.0,0.04,0.17395,5,0.0,22.31753,5
FL001,Balanced adaptive response,63,97.32239,75.0,0.04,0.17417,5,0.0,22.32239,5
FL001,Balanced adaptive response,64,97.32433,75.0,0.04,0.1744,5,0.0,22.32433,5
FL001,Balanced adaptive response,65,97.32167,75.0,0.04,0.17463,5,0.0,22.32167,5
FL001,Balanced adaptive response,66,97.31328,75.0,0.04,0.17485,5,0.0,22.31328,5
FL001,Balanced adaptive response,67,97.29857,75.0,0.04,0.17508,5,0.0,22.29857,5
FL001,Balanced adaptive response,68,97.2774,75.0,0.04,0.1753,5,0.0,22.2774,5
FL001,Balanced adaptive response,69,97.25002,75.0,0.04,0.17553,5,0.0,22.25002,5
FL001,Balanced adaptive response,70,97.21699,75.0,0.04,0.17575,5,0.0,22.21699,5
FL001,Balanced adaptive response,71,97.17909,75.0,0.04,0.17597,5,0.0,22.17909,5
FL001,Balanced adaptive response,72,97.13724,75.0,0.04,0.1762,5,0.0,22.13724,5
FL001,Balanced adaptive response,73,97.09244,75.0,0.04,0.17642,5,0.0,22.09244,5
FL001,Balanced adaptive response,74,97.04567,75.0,0.04,0.17665,5,0.0,22.04567,5
FL001,Balanced adaptive response,75,96.99787,75.0,0.04,0.17688,5,0.0,21.99787,5
FL001,Balanced adaptive response,76,96.94987,75.0,0.04,0.1771,5,0.0,21.94987,5
FL001,Balanced adaptive response,77,96.90238,75.0,0.04,0.17733,5,0.0,21.90238,5
FL001,Balanced adaptive response,78,96.85596,75.0,0.04,0.17755,5,0.0,21.85596,5
FL001,Balanced adaptive response,79,96.81103,75.0,0.04,0.17778,5,0.0,21.81103,5
FL001,Balanced adaptive response,1,29.61238,75.0,0.04,0.16023,8,0.0,0.0,8
FL001,Balanced adaptive response,2,39.62162,75.0,0.04,0.16045,8,0.0,0.0,8
FL001,Balanced adaptive response,3,50.04361,75.0,0.04,0.16068,8,0.0,0.0,8
FL001,Balanced adaptive response,4,60.89485,75.0,0.04,0.1609,8,0.0,0.0,8
FL001,Balanced adaptive response,5,72.19252,75.0,0.04,0.16112,8,0.0,0.0,8
FL001,Balanced adaptive response,6,83.95447,75.0,0.04,0.16135,8,0.0,8.95447,8
FL001,Balanced adaptive response,7,96.19928,75.0,0.04,0.16157,8,0.0,21.19928,8
FL001,Balanced adaptive response,8,108.94625,75.0,0.04,0.1618,8,0.0,33.94625,8
FL001,Balanced adaptive response,9,120.65803,75.0,0.04,0.16203,8,0.0,45.65803,8
FL001,Balanced adaptive response,10,131.22449,75.0,0.04,0.16225,8,0.0,56.22449,8
FL001,Balanced adaptive response,11,140.52826,75.0,0.04,0.16248,8,0.0,65.52826,8
FL001,Balanced adaptive response,12,156.4443,75.0,0.04,0.1627,8,8.0,81.4443,8
FL001,Balanced adaptive response,13,163.15948,75.0,0.04,0.16293,8,0.0,88.15948,8
FL001,Balanced adaptive response,14,168.22494,75.0,0.04,0.16315,8,0.0,93.22494,8
FL001,Balanced adaptive response,15,171.4905,75.0,0.04,0.16337,8,0.0,96.4905,8
FL001,Balanced adaptive response,16,172.79652,75.0,0.04,0.1636,8,0.0,97.79652,8
FL001,Balanced adaptive response,17,172.22845,75.0,0.04,0.16382,8,0.0,97.22845,8
FL001,Balanced adaptive response,18,169.89396,75.0,0.04,0.16405,8,0.0,94.89396,8
FL001,Balanced adaptive response,19,165.92506,75.0,0.04,0.16428,8,0.0,90.92506,8
FL001,Balanced adaptive response,20,159.16448,75.0,0.04,0.1645,8,0.0,84.16448,8
FL001,Balanced adaptive response,21,151.00899,75.0,0.04,0.16473,8,0.0,76.00899,8
FL001,Balanced adaptive response,22,141.67189,75.0,0.04,0.16495,8,0.0,66.67189,8
FL001,Balanced adaptive response,23,131.40095,75.0,0.04,0.16518,8,0.0,56.40095,8
FL001,Balanced adaptive response,24,120.48144,75.0,0.04,0.1654,8,0.0,45.48144,8
FL001,Balanced adaptive response,25,109.19724,75.0,0.04,0.16562,8,0.0,34.19724,8
FL001,Balanced adaptive response,26,97.82697,75.0,0.04,0.16585,8,0.0,22.82697,8
FL001,Balanced adaptive response,27,86.63967,75.0,0.04,0.16608,8,0.0,11.63967,8
FL001,Balanced adaptive response,28,76.1087,75.0,0.04,0.1663,8,0.0,1.1087,8
FL001,Balanced adaptive response,29,66.49565,75.0,0.04,0.16653,8,0.0,0.0,8
FL001,Balanced adaptive response,30,58.03794,75.0,0.04,0.16675,8,0.0,0.0,8
FL001,Balanced adaptive response,31,50.94191,75.0,0.04,0.16698,8,0.0,0.0,8
FL001,Balanced adaptive response,32,45.37509,75.0,0.04,0.1672,8,0.0,0.0,8
FL001,Balanced adaptive response,33,41.46462,75.0,0.04,0.16742,8,0.0,0.0,8
FL001,Balanced adaptive response,34,39.29626,75.0,0.04,0.16765,8,0.0,0.0,8
FL001,Balanced adaptive response,35,38.9141,75.0,0.04,0.16787,8,0.0,0.0,8
FL001,Balanced adaptive response,36,40.28429,75.0,0.04,0.1681,8,0.0,0.0,8
FL001,Balanced adaptive response,37,43.32716,75.0,0.04,0.16833,8,0.0,0.0,8
FL001,Balanced adaptive response,38,47.9192,75.0,0.04,0.16855,8,0.0,0.0,8
FL001,Balanced adaptive response,39,53.89638,75.0,0.04,0.16878,8,0.0,0.0,8
FL001,Balanced adaptive response,40,61.05884,75.0,0.04,0.169,8,0.0,0.0,8
FL001,Balanced adaptive response,41,69.17622,75.0,0.04,0.16923,8,0.0,0.0,8
FL001,Balanced adaptive response,42,77.99327,75.0,0.04,0.16945,8,0.0,2.99327,8
FL001,Balanced adaptive response,43,87.23587,75.0,0.04,0.16967,8,0.0,12.23587,8
FL001,Balanced adaptive response,44,96.62351,75.0,0.04,0.1699,8,0.0,21.62351,8
FL001,Balanced adaptive response,45,105.87679,75.0,0.04,0.17012,8,0.0,30.87679,8
FL001,Balanced adaptive response,46,114.72507,75.0,0.04,0.17035,8,0.0,39.72507,8
FL001,Balanced adaptive response,47,122.91383,75.0,0.04,0.17058,8,0.0,47.91383,8
FL001,Balanced adaptive response,48,130.21153,75.0,0.04,0.1708,8,0.0,55.21153,8
FL001,Balanced adaptive response,49,136.416,75.0,0.04,0.17103,8,0.0,61.416,8
FL001,Balanced adaptive response,50,141.36005,75.0,0.04,0.17125,8,0.0,66.36005,8
FL001,Balanced adaptive response,51,144.9163,75.0,0.04,0.17147,8,0.0,69.9163,8
FL001,Balanced adaptive response,52,147.0002,75.0,0.04,0.1717,8,0.0,72.0002,8
FL001,Balanced adaptive response,53,147.57171,75.0,0.04,0.17192,8,0.0,72.57171,8
FL001,Balanced adaptive response,54,146.63591,75.0,0.04,0.17215,8,0.0,71.63591,8
FL001,Balanced adaptive response,55,144.2422,75.0,0.04,0.17238,8,0.0,69.2422,8
FL001,Balanced adaptive response,56,140.48238,75.0,0.04,0.1726,8,0.0,65.48238,8
FL001,Balanced adaptive response,57,135.48745,75.0,0.04,0.17283,8,0.0,60.48745,8
FL001,Balanced adaptive response,58,129.42335,75.0,0.04,0.17305,8,0.0,54.42335,8
FL001,Balanced adaptive response,59,122.48553,75.0,0.04,0.17328,8,0.0,47.48553,8
