time_step,fuel_load,visible_fire_damage,suppression_pressure,policy_resistance_note
59,47.15169,0.17649,0.82958,short-term suppression can increase long-term fuel accumulation
60,48.11542,19.36679,0.8412,short-term suppression can increase long-term fuel accumulation
61,45.63883,13.94409,0.84956,short-term suppression can increase long-term fuel accumulation
62,44.14837,10.03974,0.85559,short-term suppression can increase long-term fuel accumulation
63,43.36792,7.22862,0.85992,short-term suppression can increase long-term fuel accumulation
64,43.09868,5.2046,0.86305,short-term suppression can increase long-term fuel accumulation
65,43.19751,3.74731,0.8653,short-term suppression can increase long-term fuel accumulation
66,43.56135,2.69807,0.86691,short-term suppression can increase long-term fuel accumulation
67,44.11599,1.94261,0.86808,short-term suppression can increase long-term fuel accumulation
68,44.80802,1.39868,0.86892,short-term suppression can increase long-term fuel accumulation
69,45.59896,1.00705,0.86952,short-term suppression can increase long-term fuel accumulation
70,46.46112,0.72507,0.86996,short-term suppression can increase long-term fuel accumulation
71,47.37456,0.52205,0.87027,short-term suppression can increase long-term fuel accumulation
72,48.32491,0.37588,0.8705,short-term suppression can increase long-term fuel accumulation
73,49.30185,0.27063,0.87066,short-term suppression can increase long-term fuel accumulation
74,50.29793,0.19486,0.87078,short-term suppression can increase long-term fuel accumulation
75,51.30779,21.11679,0.88345,short-term suppression can increase long-term fuel accumulation
76,48.5669,15.20409,0.89257,short-term suppression can increase long-term fuel accumulation
77,46.90125,10.94694,0.89914,short-term suppression can increase long-term fuel accumulation
78,46.00976,7.8818,0.90387,short-term suppression can increase long-term fuel accumulation
79,45.67568,5.6749,0.90727,short-term suppression can increase long-term fuel accumulation
80,45.74292,4.08593,0.90972,short-term suppression can increase long-term fuel accumulation
