scenario,time,shock,climate_stress,infrastructure_stress,vulnerability,institutional_learning,social_trust,adaptive_buffer,transformation_effect,fragility_gap,function,equity_adjusted_resilience,robust_resilience_score
Continuation with rising stress,55,0.05,1.0,0.71772,0.21958,1.0,1.0,0.6302,0.4954,0.0,0.04878,0.09643,0.59727
Continuation with rising stress,56,0.9,1.0,0.78064,0.23831,1.0,1.0,0.6302,0.4954,0.07634,0.0,0.05379,0.58661
Continuation with rising stress,57,0.05,1.0,0.78406,0.25717,1.0,1.0,0.6302,0.4954,0.0,0.0,0.05171,0.58473
Continuation with rising stress,58,0.05,1.0,0.78748,0.27617,1.0,1.0,0.6302,0.4954,0.0,0.0,0.04962,0.58283
Continuation with rising stress,59,0.05,1.0,0.7909,0.29531,1.0,1.0,0.6302,0.4954,0.0,0.0,0.04752,0.58091
Compound disruption and weak coordination,0,0.05,0.3172,0.35358,0.45132,0.46325,0.45037,0.4083,0.35492,0.0,0.78416,0.61998,0.4942
Compound disruption and weak coordination,1,0.05,0.3344,0.36716,0.44395,0.5265,0.48347,0.42113,0.36125,0.0,0.74998,0.59582,0.50381
Compound disruption and weak coordination,2,0.05,0.3516,0.38074,0.4379,0.58975,0.51921,0.43427,0.36757,0.0,0.71752,0.57312,0.51399
Compound disruption and weak coordination,3,0.05,0.3688,0.39432,0.43317,0.653,0.55749,0.44772,0.3739,0.0,0.68681,0.55189,0.52474
Compound disruption and weak coordination,4,0.05,0.386,0.4079,0.42976,0.71625,0.59823,0.46146,0.38022,0.0,0.65789,0.53216,0.53605
Compound disruption and weak coordination,5,0.05,0.4032,0.42148,0.42766,0.7795,0.64133,0.47549,0.38655,0.0,0.63079,0.51394,0.5479
Compound disruption and weak coordination,6,0.05,0.4204,0.43506,0.42688,0.84275,0.68669,0.48979,0.39287,0.0,0.6055,0.49722,0.5603
Compound disruption and weak coordination,7,0.05,0.4376,0.44864,0.42742,0.906,0.73423,0.50435,0.3992,0.0,0.58204,0.48201,0.57321
Compound disruption and weak coordination,8,0.05,0.4548,0.46222,0.42927,0.96925,0.78386,0.51916,0.40552,0.0,0.56039,0.46828,0.58664
Compound disruption and weak coordination,9,0.05,0.472,0.4758,0.43245,1.0,0.83433,0.52952,0.4086,0.0,0.53903,0.45471,0.59495
Compound disruption and weak coordination,10,0.66,0.538,0.53208,0.44084,1.0,0.86288,0.53295,0.4086,0.0,0.41714,0.35759,0.57647
Compound disruption and weak coordination,11,0.05,0.5552,0.54566,0.45055,1.0,0.91209,0.53885,0.4086,0.0,0.37227,0.3242,0.57482
Compound disruption and weak coordination,12,0.05,0.5724,0.55924,0.46158,1.0,0.96053,0.54466,0.4086,0.0,0.32482,0.28852,0.57246
Compound disruption and weak coordination,13,0.05,0.5896,0.57282,0.47392,1.0,1.0,0.5494,0.4086,0.0,0.27362,0.24896,0.56795
Compound disruption and weak coordination,14,0.05,0.6068,0.5864,0.48758,1.0,1.0,0.5494,0.4086,0.0,0.21436,0.19957,0.55591
Compound disruption and weak coordination,15,0.05,0.624,0.59998,0.50256,1.0,1.0,0.5494,0.4086,0.0,0.14679,0.14333,0.54225
Compound disruption and weak coordination,16,0.05,0.6412,0.61356,0.51886,1.0,1.0,0.5494,0.4086,0.0,0.07071,0.08006,0.52693
Compound disruption and weak coordination,17,0.05,0.6584,0.62714,0.53647,1.0,1.0,0.5494,0.4086,0.0,0.0,0.02099,0.51244
Compound disruption and weak coordination,18,0.05,0.6756,0.64072,0.5554,1.0,1.0,0.5494,0.4086,0.0,0.0,0.01891,0.51055
Compound disruption and weak coordination,19,0.05,0.6928,0.6543,0.57565,1.0,1.0,0.5494,0.4086,0.0,0.0,0.01668,0.50852
Compound disruption and weak coordination,20,0.05,0.71,0.66788,0.59722,1.0,1.0,0.5494,0.4086,0.0,0.0,0.01431,0.50637
Compound disruption and weak coordination,21,0.05,0.7272,0.68146,0.6201,1.0,1.0,0.5494,0.4086,0.00896,0.0,0.01179,0.50408
Compound disruption and weak coordination,22,0.74,0.7996,0.74334,0.64872,1.0,1.0,0.5494,0.4086,0.16433,0.0,0.00864,0.50122
Compound disruption and weak coordination,23,0.05,0.8168,0.75692,0.67865,1.0,1.0,0.5494,0.4086,0.0701,0.0,0.00535,0.49822
Compound disruption and weak coordination,24,0.05,0.834,0.7705,0.7099,1.0,1.0,0.5494,0.4086,0.0866,0.0,0.00191,0.4951
Compound disruption and weak coordination,25,0.05,0.8512,0.78408,0.74247,1.0,1.0,0.5494,0.4086,0.10344,0.0,0.0,0.49184
Compound disruption and weak coordination,26,0.05,0.8684,0.79766,0.77635,1.0,1.0,0.5494,0.4086,0.1206,0.0,0.0,0.48845
Compound disruption and weak coordination,27,0.05,0.8856,0.81124,0.81155,1.0,1.0,0.5494,0.4086,0.13809,0.0,0.0,0.48493
Compound disruption and weak coordination,28,0.05,0.9028,0.82482,0.84807,1.0,1.0,0.5494,0.4086,0.15591,0.0,0.0,0.48128
Compound disruption and weak coordination,29,0.05,0.92,0.8384,0.88591,1.0,1.0,0.5494,0.4086,0.17406,0.0,0.0,0.4775
Compound disruption and weak coordination,30,0.05,0.9372,0.85198,0.92506,1.0,1.0,0.5494,0.4086,0.19254,0.0,0.0,0.47358
Compound disruption and weak coordination,31,0.05,0.9544,0.86556,0.96553,1.0,1.0,0.5494,0.4086,0.21135,0.0,0.0,0.46954
Compound disruption and weak coordination,32,0.05,0.9716,0.87914,1.0,1.0,1.0,0.5494,0.4086,0.22866,0.0,0.0,0.46609
Compound disruption and weak coordination,33,0.05,0.9888,0.89272,1.0,1.0,1.0,0.5494,0.4086,0.23735,0.0,0.0,0.46609
Compound disruption and weak coordination,34,0.78,1.0,0.9574,1.0,1.0,0.9852,0.54762,0.4086,0.3761,0.0,0.0,0.46386
Compound disruption and weak coordination,35,0.05,1.0,0.97098,1.0,1.0,0.99595,0.54891,0.4086,0.26154,0.0,0.0,0.46548
Compound disruption and weak coordination,36,0.05,1.0,0.98456,1.0,1.0,1.0,0.5494,0.4086,0.26459,0.0,0.0,0.46609
Compound disruption and weak coordination,37,0.05,1.0,0.99814,1.0,1.0,1.0,0.5494,0.4086,0.26812,0.0,0.0,0.46609
Compound disruption and weak coordination,38,0.05,1.0,1.0,1.0,1.0,1.0,0.5494,0.4086,0.2686,0.0,0.0,0.46609
Compound disruption and weak coordination,39,0.05,1.0,1.0,1.0,1.0,1.0,0.5494,0.4086,0.2686,0.0,0.0,0.46609
Compound disruption and weak coordination,40,0.05,1.0,1.0,1.0,1.0,1.0,0.5494,0.4086,0.2686,0.0,0.0,0.46609
Compound disruption and weak coordination,41,0.05,1.0,1.0,1.0,1.0,1.0,0.5494,0.4086,0.2686,0.0,0.0,0.46609
Compound disruption and weak coordination,42,0.05,1.0,1.0,1.0,1.0,1.0,0.5494,0.4086,0.2686,0.0,0.0,0.46609
Compound disruption and weak coordination,43,0.05,1.0,1.0,1.0,1.0,1.0,0.5494,0.4086,0.2686,0.0,0.0,0.46609
Compound disruption and weak coordination,44,0.05,1.0,1.0,1.0,1.0,1.0,0.5494,0.4086,0.2686,0.0,0.0,0.46609
Compound disruption and weak coordination,45,0.05,1.0,1.0,1.0,1.0,1.0,0.5494,0.4086,0.2686,0.0,0.0,0.46609
Compound disruption and weak coordination,46,0.68,1.0,1.0,1.0,1.0,0.9887,0.54804,0.4086,0.37076,0.0,0.0,0.46439
Compound disruption and weak coordination,47,0.05,1.0,1.0,1.0,1.0,0.99945,0.54933,0.4086,0.26867,0.0,0.0,0.46601
Compound disruption and weak coordination,48,0.05,1.0,1.0,1.0,1.0,1.0,0.5494,0.4086,0.2686,0.0,0.0,0.46609
Compound disruption and weak coordination,49,0.05,1.0,1.0,1.0,1.0,1.0,0.5494,0.4086,0.2686,0.0,0.0,0.46609
Compound disruption and weak coordination,50,0.05,1.0,1.0,1.0,1.0,1.0,0.5494,0.4086,0.2686,0.0,0.0,0.46609
Compound disruption and weak coordination,51,0.05,1.0,1.0,1.0,1.0,1.0,0.5494,0.4086,0.2686,0.0,0.0,0.46609
Compound disruption and weak coordination,52,0.05,1.0,1.0,1.0,1.0,1.0,0.5494,0.4086,0.2686,0.0,0.0,0.46609
Compound disruption and weak coordination,53,0.05,1.0,1.0,1.0,1.0,1.0,0.5494,0.4086,0.2686,0.0,0.0,0.46609
Compound disruption and weak coordination,54,0.05,1.0,1.0,1.0,1.0,1.0,0.5494,0.4086,0.2686,0.0,0.0,0.46609
Compound disruption and weak coordination,55,0.05,1.0,1.0,1.0,1.0,1.0,0.5494,0.4086,0.2686,0.0,0.0,0.46609
Compound disruption and weak coordination,56,0.9,1.0,1.0,1.0,1.0,0.981,0.54712,0.4086,0.40688,0.0,0.0,0.46323
Compound disruption and weak coordination,57,0.05,1.0,1.0,1.0,1.0,0.99175,0.54841,0.4086,0.26959,0.0,0.0,0.46485
Compound disruption and weak coordination,58,0.05,1.0,1.0,1.0,1.0,1.0,0.5494,0.4086,0.2686,0.0,0.0,0.46609
Compound disruption and weak coordination,59,0.05,1.0,1.0,1.0,1.0,1.0,0.5494,0.4086,0.2686,0.0,0.0,0.46609
Adaptive pathways with delayed transformation,0,0.05,0.3056,0.34218,0.33074,0.51355,0.61707,0.65315,0.64716,0.0,0.91505,0.84019,0.68359
Adaptive pathways with delayed transformation,1,0.05,0.3112,0.34436,0.26182,0.6271,0.70294,0.67935,0.65851,0.0,1.0,0.93144,0.73672
Adaptive pathways with delayed transformation,2,0.05,0.3168,0.34654,0.19324,0.74065,0.79759,0.7066,0.66986,0.0,1.0,0.94655,0.77584
Adaptive pathways with delayed transformation,3,0.05,0.3224,0.34872,0.12499,0.8542,0.90099,0.73491,0.68122,0.0,1.0,0.96233,0.81625
Adaptive pathways with delayed transformation,4,0.05,0.328,0.3509,0.05709,0.96775,1.0,0.76269,0.69257,0.0,1.0,0.97772,0.85596
Adaptive pathways with delayed transformation,5,0.05,0.3336,0.35308,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,6,0.05,0.3392,0.35526,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,7,0.05,0.3448,0.35744,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,8,0.05,0.3504,0.35962,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,9,0.05,0.356,0.3618,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,10,0.66,0.4104,0.40668,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,11,0.05,0.416,0.40886,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,12,0.05,0.4216,0.41104,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,13,0.05,0.4272,0.41322,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,14,0.05,0.4328,0.4154,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,15,0.05,0.4384,0.41758,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,16,0.05,0.444,0.41976,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,17,0.05,0.4496,0.42194,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,18,0.05,0.4552,0.42412,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,19,0.05,0.4608,0.4263,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,20,0.05,0.4664,0.42848,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,21,0.05,0.472,0.43066,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,22,0.74,0.5328,0.48114,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,23,0.05,0.5384,0.48332,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,24,0.05,0.544,0.4855,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,25,0.05,0.5496,0.48768,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,26,0.05,0.5552,0.48986,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,27,0.05,0.5608,0.49204,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,28,0.05,0.5664,0.49422,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,29,0.05,0.572,0.4964,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,30,0.05,0.5776,0.49858,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,31,0.05,0.5832,0.50076,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,32,0.05,0.5888,0.50294,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,33,0.05,0.5944,0.50512,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,34,0.78,0.6584,0.5584,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,35,0.05,0.664,0.56058,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,36,0.05,0.6696,0.56276,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,37,0.05,0.6752,0.56494,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,38,0.05,0.6808,0.56712,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,39,0.05,0.6864,0.5693,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,40,0.05,0.692,0.57148,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,41,0.05,0.6976,0.57366,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,42,0.05,0.7032,0.57584,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,43,0.05,0.7088,0.57802,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,44,0.05,0.7144,0.5802,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,45,0.05,0.72,0.58238,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,46,0.68,0.776,0.62866,0.0,1.0,1.0,0.7672,0.6958,0.0,0.98734,0.97255,0.86451
Adaptive pathways with delayed transformation,47,0.05,0.7816,0.63084,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,48,0.05,0.7872,0.63302,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,49,0.05,0.7928,0.6352,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,50,0.05,0.7984,0.63738,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,51,0.05,0.804,0.63956,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,52,0.05,0.8096,0.64174,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,53,0.05,0.8152,0.64392,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,54,0.05,0.8208,0.6461,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,55,0.05,0.8264,0.64828,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Adaptive pathways with delayed transformation,56,0.9,0.9,0.70996,0.0,1.0,1.0,0.7672,0.6958,0.0,0.92012,0.91179,0.85242
Adaptive pathways with delayed transformation,57,0.05,0.9056,0.71214,0.0,1.0,1.0,0.7672,0.6958,0.0,0.94924,0.93812,0.85766
Adaptive pathways with delayed transformation,58,0.05,0.9112,0.71432,0.0,1.0,1.0,0.7672,0.6958,0.0,0.97688,0.9631,0.86263
Adaptive pathways with delayed transformation,59,0.05,0.9168,0.7165,0.0,1.0,1.0,0.7672,0.6958,0.0,1.0,0.984,0.86679
Justice-centered transformation,0,0.05,0.2964,0.33566,0.26226,0.54765,0.69156,0.79926,0.85616,0.0,0.99617,0.99874,0.7988
Justice-centered transformation,1,0.05,0.2928,0.33132,0.14419,0.6953,0.81655,0.83493,0.87093,0.0,1.0,1.0,0.85355
Justice-centered transformation,2,0.05,0.2892,0.32698,0.02579,0.84295,0.955,0.87221,0.8857,0.0,1.0,1.0,0.90966
Justice-centered transformation,3,0.05,0.2856,0.32264,0.0,0.9906,1.0,0.89828,0.90046,0.0,1.0,1.0,0.94245
Justice-centered transformation,4,0.05,0.282,0.3183,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,5,0.05,0.2784,0.31396,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,6,0.05,0.2748,0.30962,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,7,0.05,0.2712,0.30528,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,8,0.05,0.2676,0.30094,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,9,0.05,0.264,0.2966,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,10,0.66,0.3092,0.33496,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,11,0.05,0.3056,0.33062,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,12,0.05,0.302,0.32628,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,13,0.05,0.2984,0.32194,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,14,0.05,0.2948,0.3176,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,15,0.05,0.2912,0.31326,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,16,0.05,0.2876,0.30892,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,17,0.05,0.284,0.30458,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,18,0.05,0.2804,0.30024,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,19,0.05,0.2768,0.2959,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
Justice-centered transformation,20,0.05,0.2732,0.29156,0.0,1.0,1.0,0.8996,0.9014,0.0,1.0,1.0,0.94394
