strategy_id,strategy,adaptive_capacity,buffering_capacity,transformability,governance_quality,equity_performance,digital_resilience,climate_readiness,systemic_exposure,implementation_burden,critical_function,resilience_value,governance_gap,equity_gap,adjusted_value,scenario,rank
FRS001,Distributed Renewable Microgrids,8.4,7.9,8.5,8,7.8,7.6,8.6,4.1,3.7,builds distributed energy redundancy and transition capacity for critical services,7.926,0.5,0.7000000000000002,7.84,Governance-equity-first,5
FRS007,Digital Public Infrastructure Resilience Program,8.5,7.8,8.1,8.1,7.7,9,8,4.5,3.6,hardens public digital systems data governance cyber physical continuity and fallback capacity,7.904,0.40000000000000036,0.7999999999999998,7.816,Governance-equity-first,6
FRS002,Regional Early Warning and Analytics Network,8.8,7.4,7.8,8.3,7.6,8.8,8.2,4.4,3.5,improves weak-signal detection monitoring and coordination across climate infrastructure and public health risks,7.896,0.1999999999999993,0.9000000000000004,7.812,Governance-equity-first,7
FRS003,Critical Supply Chain Diversification,7.9,8.3,7.6,7.8,7.4,7.5,7.7,4,3.4,reduces brittle dependencies through diversification inventories alternative routes and supplier redundancy,7.556,0.7000000000000002,1.0999999999999996,7.426,Governance-equity-first,8
FRS008,Adaptive Governance and Learning System,8.9,7.7,8.8,9.2,8.8,8.1,8.5,3.9,3.5,links monitoring scenarios policy revision public participation and corrective action,7.985000000000001,0,0,7.985000000000001,Implementation-aware,1
FRS006,Community Resilience and Mutual Aid Infrastructure,8.7,8,8.4,8.6,9.1,7.4,8.3,3.9,3.2,builds local trust social protection community coordination and care infrastructure under disruption,7.818999999999999,0,0,7.818999999999999,Implementation-aware,2
FRS004,Adaptive Urban Heat and Flood Redesign,8.6,8.1,8.7,8.4,8.6,7.8,9,4.3,3.9,redesigns urban systems for heat flooding housing health mobility and climate adaptation,7.803,0.09999999999999964,0,7.797,Implementation-aware,3
FRS005,Watershed Restoration and Nature-Based Buffers,8.2,8.8,8.6,8.2,8.4,7.2,9.1,3.8,3.8,strengthens ecological buffers floodplain function water security and social ecological resilience,7.735999999999999,0.3000000000000007,0.09999999999999964,7.709999999999999,Implementation-aware,4
FRS007,Digital Public Infrastructure Resilience Program,8.5,7.8,8.1,8.1,7.7,9,8,4.5,3.6,hardens public digital systems data governance cyber physical continuity and fallback capacity,7.521,0.40000000000000036,0.7999999999999998,7.433,Implementation-aware,5
FRS002,Regional Early Warning and Analytics Network,8.8,7.4,7.8,8.3,7.6,8.8,8.2,4.4,3.5,improves weak-signal detection monitoring and coordination across climate infrastructure and public health risks,7.5,0.1999999999999993,0.9000000000000004,7.416,Implementation-aware,6
FRS001,Distributed Renewable Microgrids,8.4,7.9,8.5,8,7.8,7.6,8.6,4.1,3.7,builds distributed energy redundancy and transition capacity for critical services,7.497000000000001,0.5,0.7000000000000002,7.4110000000000005,Implementation-aware,7
FRS003,Critical Supply Chain Diversification,7.9,8.3,7.6,7.8,7.4,7.5,7.7,4,3.4,reduces brittle dependencies through diversification inventories alternative routes and supplier redundancy,7.152,0.7000000000000002,1.0999999999999996,7.022,Implementation-aware,8
FRS008,Adaptive Governance and Learning System,8.9,7.7,8.8,9.2,8.8,8.1,8.5,3.9,3.5,links monitoring scenarios policy revision public participation and corrective action,8.524,0,0,8.524,Transformation-first,1
FRS004,Adaptive Urban Heat and Flood Redesign,8.6,8.1,8.7,8.4,8.6,7.8,9,4.3,3.9,redesigns urban systems for heat flooding housing health mobility and climate adaptation,8.386999999999999,0.09999999999999964,0,8.380999999999998,Transformation-first,2
FRS005,Watershed Restoration and Nature-Based Buffers,8.2,8.8,8.6,8.2,8.4,7.2,9.1,3.8,3.8,strengthens ecological buffers floodplain function water security and social ecological resilience,8.323,0.3000000000000007,0.09999999999999964,8.297,Transformation-first,3
FRS006,Community Resilience and Mutual Aid Infrastructure,8.7,8,8.4,8.6,9.1,7.4,8.3,3.9,3.2,builds local trust social protection community coordination and care infrastructure under disruption,8.291,0,0,8.291,Transformation-first,4
FRS001,Distributed Renewable Microgrids,8.4,7.9,8.5,8,7.8,7.6,8.6,4.1,3.7,builds distributed energy redundancy and transition capacity for critical services,8.077,0.5,0.7000000000000002,7.9910000000000005,Transformation-first,5
FRS007,Digital Public Infrastructure Resilience Program,8.5,7.8,8.1,8.1,7.7,9,8,4.5,3.6,hardens public digital systems data governance cyber physical continuity and fallback capacity,7.963999999999999,0.40000000000000036,0.7999999999999998,7.875999999999999,Transformation-first,6
FRS002,Regional Early Warning and Analytics Network,8.8,7.4,7.8,8.3,7.6,8.8,8.2,4.4,3.5,improves weak-signal detection monitoring and coordination across climate infrastructure and public health risks,7.8839999999999995,0.1999999999999993,0.9000000000000004,7.8,Transformation-first,7
FRS003,Critical Supply Chain Diversification,7.9,8.3,7.6,7.8,7.4,7.5,7.7,4,3.4,reduces brittle dependencies through diversification inventories alternative routes and supplier redundancy,7.574,0.7000000000000002,1.0999999999999996,7.444,Transformation-first,8
