simulation_id,strategy_id,strategy,rank,adjusted_resilience_value
4,FRS002,Regional Early Warning and Analytics Network,6,7.81519
4,FRS001,Distributed Renewable Microgrids,7,7.7155
4,FRS003,Critical Supply Chain Diversification,8,7.1917
5,FRS004,Adaptive Urban Heat and Flood Redesign,1,8.2358
5,FRS008,Adaptive Governance and Learning System,2,8.11119
5,FRS006,Community Resilience and Mutual Aid Infrastructure,3,7.95457
5,FRS007,Digital Public Infrastructure Resilience Program,4,7.68322
5,FRS005,Watershed Restoration and Nature-Based Buffers,5,7.51712
5,FRS002,Regional Early Warning and Analytics Network,6,7.3433
5,FRS001,Distributed Renewable Microgrids,7,7.2499
5,FRS003,Critical Supply Chain Diversification,8,7.14534
6,FRS008,Adaptive Governance and Learning System,1,8.27865
6,FRS004,Adaptive Urban Heat and Flood Redesign,2,8.06266
6,FRS006,Community Resilience and Mutual Aid Infrastructure,3,7.97478
6,FRS001,Distributed Renewable Microgrids,4,7.92581
6,FRS005,Watershed Restoration and Nature-Based Buffers,5,7.7322
6,FRS007,Digital Public Infrastructure Resilience Program,6,7.5072
6,FRS003,Critical Supply Chain Diversification,7,7.3886
6,FRS002,Regional Early Warning and Analytics Network,8,7.03677
7,FRS001,Distributed Renewable Microgrids,1,8.08479
7,FRS005,Watershed Restoration and Nature-Based Buffers,2,8.0299
7,FRS004,Adaptive Urban Heat and Flood Redesign,3,7.98452
7,FRS006,Community Resilience and Mutual Aid Infrastructure,4,7.88245
7,FRS008,Adaptive Governance and Learning System,5,7.75818
7,FRS007,Digital Public Infrastructure Resilience Program,6,7.54109
7,FRS002,Regional Early Warning and Analytics Network,7,7.51003
7,FRS003,Critical Supply Chain Diversification,8,6.8898
8,FRS008,Adaptive Governance and Learning System,1,8.22157
8,FRS006,Community Resilience and Mutual Aid Infrastructure,2,8.03121
8,FRS007,Digital Public Infrastructure Resilience Program,3,7.89795
8,FRS004,Adaptive Urban Heat and Flood Redesign,4,7.8265
8,FRS005,Watershed Restoration and Nature-Based Buffers,5,7.6744
8,FRS001,Distributed Renewable Microgrids,6,7.59369
8,FRS003,Critical Supply Chain Diversification,7,7.59298
8,FRS002,Regional Early Warning and Analytics Network,8,7.44889
9,FRS008,Adaptive Governance and Learning System,1,8.1923
9,FRS005,Watershed Restoration and Nature-Based Buffers,2,8.11519
9,FRS001,Distributed Renewable Microgrids,3,7.75481
9,FRS004,Adaptive Urban Heat and Flood Redesign,4,7.7516
9,FRS002,Regional Early Warning and Analytics Network,5,7.69611
9,FRS007,Digital Public Infrastructure Resilience Program,6,7.68153
9,FRS006,Community Resilience and Mutual Aid Infrastructure,7,7.48349
9,FRS003,Critical Supply Chain Diversification,8,7.01418
10,FRS008,Adaptive Governance and Learning System,1,8.21408
10,FRS001,Distributed Renewable Microgrids,2,8.10524
10,FRS006,Community Resilience and Mutual Aid Infrastructure,3,8.06271
10,FRS005,Watershed Restoration and Nature-Based Buffers,4,7.98091
10,FRS004,Adaptive Urban Heat and Flood Redesign,5,7.91989
10,FRS007,Digital Public Infrastructure Resilience Program,6,7.83031
10,FRS002,Regional Early Warning and Analytics Network,7,7.48424
10,FRS003,Critical Supply Chain Diversification,8,6.86235
11,FRS008,Adaptive Governance and Learning System,1,8.20004
11,FRS006,Community Resilience and Mutual Aid Infrastructure,2,7.66228
11,FRS004,Adaptive Urban Heat and Flood Redesign,3,7.60989
11,FRS005,Watershed Restoration and Nature-Based Buffers,4,7.60453
11,FRS001,Distributed Renewable Microgrids,5,7.52269
11,FRS007,Digital Public Infrastructure Resilience Program,6,7.45501
11,FRS003,Critical Supply Chain Diversification,7,7.30858
11,FRS002,Regional Early Warning and Analytics Network,8,7.21377
12,FRS008,Adaptive Governance and Learning System,1,8.45082
12,FRS004,Adaptive Urban Heat and Flood Redesign,2,8.26865
12,FRS005,Watershed Restoration and Nature-Based Buffers,3,8.1684
12,FRS002,Regional Early Warning and Analytics Network,4,8.00715
12,FRS001,Distributed Renewable Microgrids,5,7.97497
12,FRS006,Community Resilience and Mutual Aid Infrastructure,6,7.95142
12,FRS003,Critical Supply Chain Diversification,7,7.48795
12,FRS007,Digital Public Infrastructure Resilience Program,8,6.95561
13,FRS005,Watershed Restoration and Nature-Based Buffers,1,8.11747
13,FRS006,Community Resilience and Mutual Aid Infrastructure,2,8.10983
13,FRS008,Adaptive Governance and Learning System,3,8.02444
13,FRS004,Adaptive Urban Heat and Flood Redesign,4,7.9356
13,FRS002,Regional Early Warning and Analytics Network,5,7.54048
13,FRS001,Distributed Renewable Microgrids,6,7.48632
13,FRS007,Digital Public Infrastructure Resilience Program,7,7.46224
13,FRS003,Critical Supply Chain Diversification,8,7.17654
14,FRS005,Watershed Restoration and Nature-Based Buffers,1,8.19912
14,FRS004,Adaptive Urban Heat and Flood Redesign,2,8.13221
14,FRS002,Regional Early Warning and Analytics Network,3,7.91449
14,FRS006,Community Resilience and Mutual Aid Infrastructure,4,7.82576
14,FRS008,Adaptive Governance and Learning System,5,7.75335
14,FRS007,Digital Public Infrastructure Resilience Program,6,7.59679
14,FRS003,Critical Supply Chain Diversification,7,7.48721
14,FRS001,Distributed Renewable Microgrids,8,7.42835
15,FRS008,Adaptive Governance and Learning System,1,8.14402
15,FRS006,Community Resilience and Mutual Aid Infrastructure,2,8.0346
15,FRS002,Regional Early Warning and Analytics Network,3,7.84638
15,FRS005,Watershed Restoration and Nature-Based Buffers,4,7.8001
15,FRS007,Digital Public Infrastructure Resilience Program,5,7.67554
15,FRS001,Distributed Renewable Microgrids,6,7.5278
15,FRS004,Adaptive Urban Heat and Flood Redesign,7,7.48334
15,FRS003,Critical Supply Chain Diversification,8,7.16577
16,FRS004,Adaptive Urban Heat and Flood Redesign,1,8.09936
16,FRS007,Digital Public Infrastructure Resilience Program,2,8.08071
16,FRS008,Adaptive Governance and Learning System,3,7.95219
16,FRS006,Community Resilience and Mutual Aid Infrastructure,4,7.79831
16,FRS005,Watershed Restoration and Nature-Based Buffers,5,7.65322
16,FRS003,Critical Supply Chain Diversification,6,7.62032
16,FRS002,Regional Early Warning and Analytics Network,7,7.46345
16,FRS001,Distributed Renewable Microgrids,8,7.37746
17,FRS008,Adaptive Governance and Learning System,1,8.35468
17,FRS006,Community Resilience and Mutual Aid Infrastructure,2,8.23047
17,FRS005,Watershed Restoration and Nature-Based Buffers,3,8.21814
17,FRS003,Critical Supply Chain Diversification,4,7.92034
17,FRS004,Adaptive Urban Heat and Flood Redesign,5,7.79379
17,FRS002,Regional Early Warning and Analytics Network,6,7.59336
17,FRS007,Digital Public Infrastructure Resilience Program,7,7.52885
17,FRS001,Distributed Renewable Microgrids,8,7.14655
18,FRS008,Adaptive Governance and Learning System,1,8.28434
18,FRS006,Community Resilience and Mutual Aid Infrastructure,2,8.04986
18,FRS004,Adaptive Urban Heat and Flood Redesign,3,7.97331
18,FRS003,Critical Supply Chain Diversification,4,7.88624
18,FRS001,Distributed Renewable Microgrids,5,7.81293
18,FRS005,Watershed Restoration and Nature-Based Buffers,6,7.79901
18,FRS007,Digital Public Infrastructure Resilience Program,7,7.68997
18,FRS002,Regional Early Warning and Analytics Network,8,7.48994
19,FRS006,Community Resilience and Mutual Aid Infrastructure,1,8.18883
19,FRS005,Watershed Restoration and Nature-Based Buffers,2,8.0893
19,FRS004,Adaptive Urban Heat and Flood Redesign,3,7.97726
19,FRS008,Adaptive Governance and Learning System,4,7.92718
19,FRS001,Distributed Renewable Microgrids,5,7.72979
19,FRS002,Regional Early Warning and Analytics Network,6,7.67413
19,FRS003,Critical Supply Chain Diversification,7,7.44389
19,FRS007,Digital Public Infrastructure Resilience Program,8,7.39797
20,FRS008,Adaptive Governance and Learning System,1,8.52652
20,FRS006,Community Resilience and Mutual Aid Infrastructure,2,8.06878
20,FRS004,Adaptive Urban Heat and Flood Redesign,3,7.96317
20,FRS007,Digital Public Infrastructure Resilience Program,4,7.94267
20,FRS002,Regional Early Warning and Analytics Network,5,7.79199
20,FRS005,Watershed Restoration and Nature-Based Buffers,6,7.66053
20,FRS001,Distributed Renewable Microgrids,7,7.64397
20,FRS003,Critical Supply Chain Diversification,8,7.27748
21,FRS008,Adaptive Governance and Learning System,1,8.43914
21,FRS005,Watershed Restoration and Nature-Based Buffers,2,8.034
21,FRS004,Adaptive Urban Heat and Flood Redesign,3,7.93856
21,FRS006,Community Resilience and Mutual Aid Infrastructure,4,7.93733
21,FRS002,Regional Early Warning and Analytics Network,5,7.68146
21,FRS007,Digital Public Infrastructure Resilience Program,6,7.53656
21,FRS003,Critical Supply Chain Diversification,7,7.4016
21,FRS001,Distributed Renewable Microgrids,8,7.13825
22,FRS008,Adaptive Governance and Learning System,1,8.36221
22,FRS006,Community Resilience and Mutual Aid Infrastructure,2,8.04676
22,FRS001,Distributed Renewable Microgrids,3,7.92412
22,FRS007,Digital Public Infrastructure Resilience Program,4,7.78638
22,FRS002,Regional Early Warning and Analytics Network,5,7.76284
22,FRS005,Watershed Restoration and Nature-Based Buffers,6,7.65637
22,FRS004,Adaptive Urban Heat and Flood Redesign,7,7.5517
22,FRS003,Critical Supply Chain Diversification,8,6.59327
23,FRS004,Adaptive Urban Heat and Flood Redesign,1,8.22351
23,FRS006,Community Resilience and Mutual Aid Infrastructure,2,8.18336
23,FRS005,Watershed Restoration and Nature-Based Buffers,3,8.1047
23,FRS001,Distributed Renewable Microgrids,4,7.83267
23,FRS008,Adaptive Governance and Learning System,5,7.8036
23,FRS007,Digital Public Infrastructure Resilience Program,6,7.65916
23,FRS002,Regional Early Warning and Analytics Network,7,7.25264
23,FRS003,Critical Supply Chain Diversification,8,6.99616
24,FRS005,Watershed Restoration and Nature-Based Buffers,1,8.35984
24,FRS006,Community Resilience and Mutual Aid Infrastructure,2,8.05828
24,FRS004,Adaptive Urban Heat and Flood Redesign,3,7.97223
24,FRS002,Regional Early Warning and Analytics Network,4,7.8885
24,FRS008,Adaptive Governance and Learning System,5,7.77703
24,FRS007,Digital Public Infrastructure Resilience Program,6,7.71874
24,FRS001,Distributed Renewable Microgrids,7,7.3879
24,FRS003,Critical Supply Chain Diversification,8,7.22902
25,FRS008,Adaptive Governance and Learning System,1,8.49693
25,FRS005,Watershed Restoration and Nature-Based Buffers,2,8.4348
25,FRS004,Adaptive Urban Heat and Flood Redesign,3,8.11596
25,FRS006,Community Resilience and Mutual Aid Infrastructure,4,7.89816
25,FRS002,Regional Early Warning and Analytics Network,5,7.74655
25,FRS001,Distributed Renewable Microgrids,6,7.66327
25,FRS007,Digital Public Infrastructure Resilience Program,7,7.62008
25,FRS003,Critical Supply Chain Diversification,8,6.93964
26,FRS008,Adaptive Governance and Learning System,1,8.40004
26,FRS006,Community Resilience and Mutual Aid Infrastructure,2,8.10746
26,FRS004,Adaptive Urban Heat and Flood Redesign,3,8.05328
26,FRS005,Watershed Restoration and Nature-Based Buffers,4,8.04539
26,FRS001,Distributed Renewable Microgrids,5,7.89515
26,FRS002,Regional Early Warning and Analytics Network,6,7.79028
26,FRS007,Digital Public Infrastructure Resilience Program,7,7.47113
26,FRS003,Critical Supply Chain Diversification,8,6.98298
27,FRS006,Community Resilience and Mutual Aid Infrastructure,1,8.38881
27,FRS007,Digital Public Infrastructure Resilience Program,2,8.06513
27,FRS004,Adaptive Urban Heat and Flood Redesign,3,7.97836
27,FRS005,Watershed Restoration and Nature-Based Buffers,4,7.88799
27,FRS008,Adaptive Governance and Learning System,5,7.78784
27,FRS001,Distributed Renewable Microgrids,6,7.59506
27,FRS002,Regional Early Warning and Analytics Network,7,7.50147
27,FRS003,Critical Supply Chain Diversification,8,6.89809
28,FRS008,Adaptive Governance and Learning System,1,8.4288
28,FRS005,Watershed Restoration and Nature-Based Buffers,2,8.24186
28,FRS004,Adaptive Urban Heat and Flood Redesign,3,7.85984
28,FRS006,Community Resilience and Mutual Aid Infrastructure,4,7.79003
28,FRS007,Digital Public Infrastructure Resilience Program,5,7.45542
28,FRS001,Distributed Renewable Microgrids,6,7.34522
28,FRS002,Regional Early Warning and Analytics Network,7,7.24778
28,FRS003,Critical Supply Chain Diversification,8,7.13094
29,FRS008,Adaptive Governance and Learning System,1,8.45594
29,FRS006,Community Resilience and Mutual Aid Infrastructure,2,8.16379
29,FRS005,Watershed Restoration and Nature-Based Buffers,3,8.10658
29,FRS004,Adaptive Urban Heat and Flood Redesign,4,7.9247
29,FRS002,Regional Early Warning and Analytics Network,5,7.4514
29,FRS001,Distributed Renewable Microgrids,6,7.27744
29,FRS003,Critical Supply Chain Diversification,7,7.26773
29,FRS007,Digital Public Infrastructure Resilience Program,8,7.25853
30,FRS004,Adaptive Urban Heat and Flood Redesign,1,8.43198
30,FRS008,Adaptive Governance and Learning System,2,8.33114
30,FRS002,Regional Early Warning and Analytics Network,3,8.16594
30,FRS006,Community Resilience and Mutual Aid Infrastructure,4,8.0625
30,FRS005,Watershed Restoration and Nature-Based Buffers,5,7.95352
30,FRS001,Distributed Renewable Microgrids,6,7.86516
30,FRS007,Digital Public Infrastructure Resilience Program,7,7.50148
30,FRS003,Critical Supply Chain Diversification,8,7.22677
31,FRS005,Watershed Restoration and Nature-Based Buffers,1,8.34708
31,FRS008,Adaptive Governance and Learning System,2,8.22549
31,FRS006,Community Resilience and Mutual Aid Infrastructure,3,8.05058
31,FRS001,Distributed Renewable Microgrids,4,7.95792
31,FRS004,Adaptive Urban Heat and Flood Redesign,5,7.92361
31,FRS007,Digital Public Infrastructure Resilience Program,6,7.4743
31,FRS002,Regional Early Warning and Analytics Network,7,7.46426
31,FRS003,Critical Supply Chain Diversification,8,7.34491
32,FRS008,Adaptive Governance and Learning System,1,8.23501
32,FRS006,Community Resilience and Mutual Aid Infrastructure,2,7.88472
32,FRS001,Distributed Renewable Microgrids,3,7.83383
32,FRS005,Watershed Restoration and Nature-Based Buffers,4,7.82905
32,FRS004,Adaptive Urban Heat and Flood Redesign,5,7.76663
32,FRS002,Regional Early Warning and Analytics Network,6,7.64906
32,FRS007,Digital Public Infrastructure Resilience Program,7,7.57723
32,FRS003,Critical Supply Chain Diversification,8,7.29474
33,FRS004,Adaptive Urban Heat and Flood Redesign,1,8.51658
33,FRS006,Community Resilience and Mutual Aid Infrastructure,2,8.25492
33,FRS008,Adaptive Governance and Learning System,3,8.23873
33,FRS005,Watershed Restoration and Nature-Based Buffers,4,8.2209
33,FRS002,Regional Early Warning and Analytics Network,5,7.90339
33,FRS007,Digital Public Infrastructure Resilience Program,6,7.44236
33,FRS001,Distributed Renewable Microgrids,7,7.42587
33,FRS003,Critical Supply Chain Diversification,8,7.08279
34,FRS008,Adaptive Governance and Learning System,1,8.4594
34,FRS004,Adaptive Urban Heat and Flood Redesign,2,8.33299
34,FRS005,Watershed Restoration and Nature-Based Buffers,3,7.94173
34,FRS001,Distributed Renewable Microgrids,4,7.80785
34,FRS002,Regional Early Warning and Analytics Network,5,7.78152
34,FRS006,Community Resilience and Mutual Aid Infrastructure,6,7.75093
34,FRS007,Digital Public Infrastructure Resilience Program,7,7.57015
34,FRS003,Critical Supply Chain Diversification,8,7.46581
35,FRS005,Watershed Restoration and Nature-Based Buffers,1,8.29921
35,FRS006,Community Resilience and Mutual Aid Infrastructure,2,8.18725
35,FRS008,Adaptive Governance and Learning System,3,8.13963
35,FRS004,Adaptive Urban Heat and Flood Redesign,4,7.90237
35,FRS007,Digital Public Infrastructure Resilience Program,5,7.79533
35,FRS002,Regional Early Warning and Analytics Network,6,7.70592
35,FRS003,Critical Supply Chain Diversification,7,7.51462
35,FRS001,Distributed Renewable Microgrids,8,7.43378
36,FRS004,Adaptive Urban Heat and Flood Redesign,1,8.12782
36,FRS006,Community Resilience and Mutual Aid Infrastructure,2,8.10531
36,FRS008,Adaptive Governance and Learning System,3,8.05616
36,FRS005,Watershed Restoration and Nature-Based Buffers,4,8.00208
36,FRS002,Regional Early Warning and Analytics Network,5,7.81208
36,FRS001,Distributed Renewable Microgrids,6,7.66485
36,FRS007,Digital Public Infrastructure Resilience Program,7,7.58488
36,FRS003,Critical Supply Chain Diversification,8,6.74223
37,FRS006,Community Resilience and Mutual Aid Infrastructure,1,8.33576
37,FRS005,Watershed Restoration and Nature-Based Buffers,2,8.08193
37,FRS008,Adaptive Governance and Learning System,3,7.93943
37,FRS004,Adaptive Urban Heat and Flood Redesign,4,7.90646
37,FRS002,Regional Early Warning and Analytics Network,5,7.66646
37,FRS007,Digital Public Infrastructure Resilience Program,6,7.62618
37,FRS003,Critical Supply Chain Diversification,7,7.62119
37,FRS001,Distributed Renewable Microgrids,8,7.57847
38,FRS004,Adaptive Urban Heat and Flood Redesign,1,8.47002
38,FRS008,Adaptive Governance and Learning System,2,8.14447
38,FRS005,Watershed Restoration and Nature-Based Buffers,3,7.99385
38,FRS002,Regional Early Warning and Analytics Network,4,7.94967
38,FRS006,Community Resilience and Mutual Aid Infrastructure,5,7.91178
38,FRS007,Digital Public Infrastructure Resilience Program,6,7.77977
38,FRS001,Distributed Renewable Microgrids,7,7.58941
38,FRS003,Critical Supply Chain Diversification,8,6.89746
39,FRS004,Adaptive Urban Heat and Flood Redesign,1,8.49159
39,FRS005,Watershed Restoration and Nature-Based Buffers,2,8.33539
39,FRS008,Adaptive Governance and Learning System,3,8.11014
39,FRS006,Community Resilience and Mutual Aid Infrastructure,4,8.07951
39,FRS007,Digital Public Infrastructure Resilience Program,5,7.7604
39,FRS001,Distributed Renewable Microgrids,6,7.70303
39,FRS002,Regional Early Warning and Analytics Network,7,7.4449
39,FRS003,Critical Supply Chain Diversification,8,7.3534
40,FRS008,Adaptive Governance and Learning System,1,8.3706
40,FRS005,Watershed Restoration and Nature-Based Buffers,2,8.05991
40,FRS001,Distributed Renewable Microgrids,3,8.05243
40,FRS007,Digital Public Infrastructure Resilience Program,4,7.81387
40,FRS006,Community Resilience and Mutual Aid Infrastructure,5,7.75919
40,FRS003,Critical Supply Chain Diversification,6,7.36744
40,FRS004,Adaptive Urban Heat and Flood Redesign,7,7.3624
40,FRS002,Regional Early Warning and Analytics Network,8,6.98164
41,FRS006,Community Resilience and Mutual Aid Infrastructure,1,8.09611
41,FRS008,Adaptive Governance and Learning System,2,8.04446
41,FRS004,Adaptive Urban Heat and Flood Redesign,3,8.02479
41,FRS005,Watershed Restoration and Nature-Based Buffers,4,8.00438
41,FRS002,Regional Early Warning and Analytics Network,5,7.90737
41,FRS007,Digital Public Infrastructure Resilience Program,6,7.8567
41,FRS001,Distributed Renewable Microgrids,7,7.16722
41,FRS003,Critical Supply Chain Diversification,8,7.12662
42,FRS004,Adaptive Urban Heat and Flood Redesign,1,8.41281
42,FRS008,Adaptive Governance and Learning System,2,8.24091
42,FRS005,Watershed Restoration and Nature-Based Buffers,3,8.08153
42,FRS001,Distributed Renewable Microgrids,4,7.76348
42,FRS006,Community Resilience and Mutual Aid Infrastructure,5,7.65662
42,FRS002,Regional Early Warning and Analytics Network,6,7.64251
42,FRS003,Critical Supply Chain Diversification,7,7.63843
42,FRS007,Digital Public Infrastructure Resilience Program,8,7.47437
43,FRS004,Adaptive Urban Heat and Flood Redesign,1,8.12453
43,FRS005,Watershed Restoration and Nature-Based Buffers,2,8.0828
43,FRS006,Community Resilience and Mutual Aid Infrastructure,3,8.00449
43,FRS008,Adaptive Governance and Learning System,4,7.96026
43,FRS007,Digital Public Infrastructure Resilience Program,5,7.58093
43,FRS002,Regional Early Warning and Analytics Network,6,7.53124
43,FRS001,Distributed Renewable Microgrids,7,7.40564
43,FRS003,Critical Supply Chain Diversification,8,7.17886
44,FRS004,Adaptive Urban Heat and Flood Redesign,1,8.23013
44,FRS006,Community Resilience and Mutual Aid Infrastructure,2,8.18213
44,FRS005,Watershed Restoration and Nature-Based Buffers,3,8.17845
44,FRS008,Adaptive Governance and Learning System,4,8.11465
44,FRS001,Distributed Renewable Microgrids,5,7.65011
44,FRS003,Critical Supply Chain Diversification,6,7.64296
44,FRS002,Regional Early Warning and Analytics Network,7,7.57846
44,FRS007,Digital Public Infrastructure Resilience Program,8,7.36502
45,FRS008,Adaptive Governance and Learning System,1,8.31339
45,FRS004,Adaptive Urban Heat and Flood Redesign,2,8.14501
45,FRS001,Distributed Renewable Microgrids,3,8.09266
45,FRS005,Watershed Restoration and Nature-Based Buffers,4,8.03836
45,FRS007,Digital Public Infrastructure Resilience Program,5,7.79693
45,FRS006,Community Resilience and Mutual Aid Infrastructure,6,7.7233
45,FRS002,Regional Early Warning and Analytics Network,7,7.38285
45,FRS003,Critical Supply Chain Diversification,8,7.02787
46,FRS005,Watershed Restoration and Nature-Based Buffers,1,8.23027
46,FRS004,Adaptive Urban Heat and Flood Redesign,2,8.13688
46,FRS006,Community Resilience and Mutual Aid Infrastructure,3,7.99574
46,FRS008,Adaptive Governance and Learning System,4,7.946
46,FRS001,Distributed Renewable Microgrids,5,7.82041
46,FRS007,Digital Public Infrastructure Resilience Program,6,7.81962
46,FRS002,Regional Early Warning and Analytics Network,7,7.70298
46,FRS003,Critical Supply Chain Diversification,8,7.38473
47,FRS006,Community Resilience and Mutual Aid Infrastructure,1,8.33647
47,FRS004,Adaptive Urban Heat and Flood Redesign,2,8.12977
47,FRS008,Adaptive Governance and Learning System,3,8.07005
47,FRS002,Regional Early Warning and Analytics Network,4,8.0183
47,FRS007,Digital Public Infrastructure Resilience Program,5,7.93212
47,FRS005,Watershed Restoration and Nature-Based Buffers,6,7.91533
47,FRS003,Critical Supply Chain Diversification,7,7.56156
47,FRS001,Distributed Renewable Microgrids,8,7.49561
48,FRS006,Community Resilience and Mutual Aid Infrastructure,1,8.0936
48,FRS004,Adaptive Urban Heat and Flood Redesign,2,8.02238
48,FRS008,Adaptive Governance and Learning System,3,7.88879
48,FRS005,Watershed Restoration and Nature-Based Buffers,4,7.77688
48,FRS002,Regional Early Warning and Analytics Network,5,7.75259
48,FRS001,Distributed Renewable Microgrids,6,7.69747
48,FRS007,Digital Public Infrastructure Resilience Program,7,7.62035
48,FRS003,Critical Supply Chain Diversification,8,6.5655
49,FRS006,Community Resilience and Mutual Aid Infrastructure,1,8.02628
49,FRS008,Adaptive Governance and Learning System,2,8.019
49,FRS005,Watershed Restoration and Nature-Based Buffers,3,7.98692
49,FRS007,Digital Public Infrastructure Resilience Program,4,7.92571
49,FRS004,Adaptive Urban Heat and Flood Redesign,5,7.91234
49,FRS002,Regional Early Warning and Analytics Network,6,7.5546
49,FRS001,Distributed Renewable Microgrids,7,7.43748
49,FRS003,Critical Supply Chain Diversification,8,7.41277
50,FRS005,Watershed Restoration and Nature-Based Buffers,1,8.29431
50,FRS004,Adaptive Urban Heat and Flood Redesign,2,7.91896
50,FRS007,Digital Public Infrastructure Resilience Program,3,7.84197
50,FRS006,Community Resilience and Mutual Aid Infrastructure,4,7.80011
50,FRS008,Adaptive Governance and Learning System,5,7.76397
50,FRS002,Regional Early Warning and Analytics Network,6,7.62647
50,FRS001,Distributed Renewable Microgrids,7,7.53186
50,FRS003,Critical Supply Chain Diversification,8,7.27406
51,FRS008,Adaptive Governance and Learning System,1,8.66107
51,FRS006,Community Resilience and Mutual Aid Infrastructure,2,8.11675
51,FRS004,Adaptive Urban Heat and Flood Redesign,3,8.06199
51,FRS002,Regional Early Warning and Analytics Network,4,8.05702
51,FRS007,Digital Public Infrastructure Resilience Program,5,7.83049
51,FRS001,Distributed Renewable Microgrids,6,7.57379
51,FRS005,Watershed Restoration and Nature-Based Buffers,7,7.44791
51,FRS003,Critical Supply Chain Diversification,8,7.22735
52,FRS004,Adaptive Urban Heat and Flood Redesign,1,8.19912
52,FRS008,Adaptive Governance and Learning System,2,7.99292
52,FRS005,Watershed Restoration and Nature-Based Buffers,3,7.77303
52,FRS001,Distributed Renewable Microgrids,4,7.58074
52,FRS006,Community Resilience and Mutual Aid Infrastructure,5,7.56773
52,FRS002,Regional Early Warning and Analytics Network,6,7.55284
52,FRS007,Digital Public Infrastructure Resilience Program,7,7.44324
52,FRS003,Critical Supply Chain Diversification,8,7.29518
53,FRS004,Adaptive Urban Heat and Flood Redesign,1,8.23796
53,FRS008,Adaptive Governance and Learning System,2,8.17745
53,FRS006,Community Resilience and Mutual Aid Infrastructure,3,7.94508
53,FRS001,Distributed Renewable Microgrids,4,7.8783
53,FRS002,Regional Early Warning and Analytics Network,5,7.86253
53,FRS005,Watershed Restoration and Nature-Based Buffers,6,7.83154
53,FRS003,Critical Supply Chain Diversification,7,7.18349
53,FRS007,Digital Public Infrastructure Resilience Program,8,7.17351
54,FRS008,Adaptive Governance and Learning System,1,8.48615
54,FRS006,Community Resilience and Mutual Aid Infrastructure,2,8.0812
54,FRS004,Adaptive Urban Heat and Flood Redesign,3,7.96625
54,FRS002,Regional Early Warning and Analytics Network,4,7.67258
54,FRS007,Digital Public Infrastructure Resilience Program,5,7.65012
54,FRS005,Watershed Restoration and Nature-Based Buffers,6,7.59995
54,FRS003,Critical Supply Chain Diversification,7,7.41936
54,FRS001,Distributed Renewable Microgrids,8,7.39748
55,FRS008,Adaptive Governance and Learning System,1,8.3862
55,FRS004,Adaptive Urban Heat and Flood Redesign,2,8.13169
55,FRS002,Regional Early Warning and Analytics Network,3,8.11423
55,FRS001,Distributed Renewable Microgrids,4,7.99888
55,FRS005,Watershed Restoration and Nature-Based Buffers,5,7.97887
55,FRS006,Community Resilience and Mutual Aid Infrastructure,6,7.69381
55,FRS007,Digital Public Infrastructure Resilience Program,7,7.35331
