simulation_id,strategy_id,strategy,rank,organizational_resilience_value
9,OR002,Cross-Training and Role Redundancy Program,2,7.49798
9,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.45947
9,OR006,Operational Resilience and Continuity Exercise Program,4,7.43859
9,OR001,Critical Function and Dependency Mapping,5,7.27025
9,OR004,Institutional Memory and Knowledge Architecture Program,6,7.04448
10,OR006,Operational Resilience and Continuity Exercise Program,1,7.54616
10,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.46087
10,OR004,Institutional Memory and Knowledge Architecture Program,3,7.45802
10,OR003,After-Action Learning and Corrective Action System,4,7.43491
10,OR001,Critical Function and Dependency Mapping,5,7.02456
10,OR002,Cross-Training and Role Redundancy Program,6,6.91795
11,OR006,Operational Resilience and Continuity Exercise Program,1,7.37492
11,OR003,After-Action Learning and Corrective Action System,2,7.34228
11,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.20464
11,OR001,Critical Function and Dependency Mapping,4,7.11314
11,OR002,Cross-Training and Role Redundancy Program,5,6.86549
11,OR004,Institutional Memory and Knowledge Architecture Program,6,6.75355
12,OR006,Operational Resilience and Continuity Exercise Program,1,7.55963
12,OR001,Critical Function and Dependency Mapping,2,7.4403
12,OR003,After-Action Learning and Corrective Action System,3,7.35133
12,OR004,Institutional Memory and Knowledge Architecture Program,4,7.3023
12,OR002,Cross-Training and Role Redundancy Program,5,6.98971
12,OR005,Psychological Safety and Weak-Signal Reporting System,6,6.97025
13,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.45273
13,OR004,Institutional Memory and Knowledge Architecture Program,2,7.32494
13,OR002,Cross-Training and Role Redundancy Program,3,7.32183
13,OR001,Critical Function and Dependency Mapping,4,7.27472
13,OR006,Operational Resilience and Continuity Exercise Program,5,7.26768
13,OR003,After-Action Learning and Corrective Action System,6,7.05471
14,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.7032
14,OR006,Operational Resilience and Continuity Exercise Program,2,7.53065
14,OR003,After-Action Learning and Corrective Action System,3,7.36185
14,OR004,Institutional Memory and Knowledge Architecture Program,4,7.2861
14,OR002,Cross-Training and Role Redundancy Program,5,7.28602
14,OR001,Critical Function and Dependency Mapping,6,7.1119
15,OR006,Operational Resilience and Continuity Exercise Program,1,7.41287
15,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.31172
15,OR001,Critical Function and Dependency Mapping,3,7.22941
15,OR004,Institutional Memory and Knowledge Architecture Program,4,7.02405
15,OR002,Cross-Training and Role Redundancy Program,5,7.00439
15,OR003,After-Action Learning and Corrective Action System,6,6.93432
16,OR003,After-Action Learning and Corrective Action System,1,7.57983
16,OR002,Cross-Training and Role Redundancy Program,2,7.39415
16,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.39005
16,OR001,Critical Function and Dependency Mapping,4,7.32672
16,OR006,Operational Resilience and Continuity Exercise Program,5,7.29718
16,OR004,Institutional Memory and Knowledge Architecture Program,6,7.18823
17,OR001,Critical Function and Dependency Mapping,1,7.5657
17,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.47773
17,OR002,Cross-Training and Role Redundancy Program,3,7.39397
17,OR003,After-Action Learning and Corrective Action System,4,7.28221
17,OR004,Institutional Memory and Knowledge Architecture Program,5,7.10713
17,OR006,Operational Resilience and Continuity Exercise Program,6,7.00642
18,OR004,Institutional Memory and Knowledge Architecture Program,1,7.38905
18,OR006,Operational Resilience and Continuity Exercise Program,2,7.35173
18,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.3477
18,OR002,Cross-Training and Role Redundancy Program,4,7.3377
18,OR001,Critical Function and Dependency Mapping,5,7.1782
18,OR003,After-Action Learning and Corrective Action System,6,7.14257
19,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.65163
19,OR004,Institutional Memory and Knowledge Architecture Program,2,7.57906
19,OR006,Operational Resilience and Continuity Exercise Program,3,7.22056
19,OR003,After-Action Learning and Corrective Action System,4,7.21206
19,OR002,Cross-Training and Role Redundancy Program,5,7.131
19,OR001,Critical Function and Dependency Mapping,6,7.08024
20,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.88269
20,OR006,Operational Resilience and Continuity Exercise Program,2,7.15064
20,OR002,Cross-Training and Role Redundancy Program,3,7.13595
20,OR001,Critical Function and Dependency Mapping,4,7.0785
20,OR003,After-Action Learning and Corrective Action System,5,7.0726
20,OR004,Institutional Memory and Knowledge Architecture Program,6,7.01191
21,OR006,Operational Resilience and Continuity Exercise Program,1,7.64737
21,OR004,Institutional Memory and Knowledge Architecture Program,2,7.44128
21,OR001,Critical Function and Dependency Mapping,3,7.40535
21,OR002,Cross-Training and Role Redundancy Program,4,7.34387
21,OR003,After-Action Learning and Corrective Action System,5,7.27813
21,OR005,Psychological Safety and Weak-Signal Reporting System,6,7.13336
22,OR006,Operational Resilience and Continuity Exercise Program,1,7.8186
22,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.57645
22,OR004,Institutional Memory and Knowledge Architecture Program,3,7.42375
22,OR003,After-Action Learning and Corrective Action System,4,7.35803
22,OR001,Critical Function and Dependency Mapping,5,7.23361
22,OR002,Cross-Training and Role Redundancy Program,6,7.08142
23,OR003,After-Action Learning and Corrective Action System,1,7.3283
23,OR004,Institutional Memory and Knowledge Architecture Program,2,7.29491
23,OR006,Operational Resilience and Continuity Exercise Program,3,7.2527
23,OR005,Psychological Safety and Weak-Signal Reporting System,4,7.13971
23,OR002,Cross-Training and Role Redundancy Program,5,7.11724
23,OR001,Critical Function and Dependency Mapping,6,7.10031
24,OR006,Operational Resilience and Continuity Exercise Program,1,7.71799
24,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.48861
24,OR003,After-Action Learning and Corrective Action System,3,7.48837
24,OR001,Critical Function and Dependency Mapping,4,7.29484
24,OR002,Cross-Training and Role Redundancy Program,5,7.16557
24,OR004,Institutional Memory and Knowledge Architecture Program,6,7.10267
25,OR006,Operational Resilience and Continuity Exercise Program,1,7.67111
25,OR003,After-Action Learning and Corrective Action System,2,7.43764
25,OR004,Institutional Memory and Knowledge Architecture Program,3,7.29545
25,OR001,Critical Function and Dependency Mapping,4,7.28237
25,OR005,Psychological Safety and Weak-Signal Reporting System,5,7.19935
25,OR002,Cross-Training and Role Redundancy Program,6,6.78758
26,OR003,After-Action Learning and Corrective Action System,1,7.46691
26,OR004,Institutional Memory and Knowledge Architecture Program,2,7.41645
26,OR001,Critical Function and Dependency Mapping,3,7.18284
26,OR002,Cross-Training and Role Redundancy Program,4,7.08243
26,OR006,Operational Resilience and Continuity Exercise Program,5,6.98809
26,OR005,Psychological Safety and Weak-Signal Reporting System,6,6.96807
27,OR003,After-Action Learning and Corrective Action System,1,7.59903
27,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.28887
27,OR006,Operational Resilience and Continuity Exercise Program,3,7.18321
27,OR002,Cross-Training and Role Redundancy Program,4,7.13713
27,OR004,Institutional Memory and Knowledge Architecture Program,5,7.03566
27,OR001,Critical Function and Dependency Mapping,6,7.01307
28,OR003,After-Action Learning and Corrective Action System,1,7.52908
28,OR002,Cross-Training and Role Redundancy Program,2,7.43898
28,OR004,Institutional Memory and Knowledge Architecture Program,3,7.33328
28,OR001,Critical Function and Dependency Mapping,4,7.30274
28,OR006,Operational Resilience and Continuity Exercise Program,5,7.24881
28,OR005,Psychological Safety and Weak-Signal Reporting System,6,7.08239
29,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.56691
29,OR004,Institutional Memory and Knowledge Architecture Program,2,7.52445
29,OR003,After-Action Learning and Corrective Action System,3,7.4755
29,OR002,Cross-Training and Role Redundancy Program,4,7.41208
29,OR001,Critical Function and Dependency Mapping,5,7.33849
29,OR006,Operational Resilience and Continuity Exercise Program,6,7.00563
30,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.49544
30,OR006,Operational Resilience and Continuity Exercise Program,2,7.42182
30,OR002,Cross-Training and Role Redundancy Program,3,7.40147
30,OR004,Institutional Memory and Knowledge Architecture Program,4,7.34962
30,OR001,Critical Function and Dependency Mapping,5,7.24342
30,OR003,After-Action Learning and Corrective Action System,6,7.08739
31,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.52305
31,OR003,After-Action Learning and Corrective Action System,2,7.44379
31,OR006,Operational Resilience and Continuity Exercise Program,3,7.43557
31,OR001,Critical Function and Dependency Mapping,4,7.37879
31,OR004,Institutional Memory and Knowledge Architecture Program,5,7.16388
31,OR002,Cross-Training and Role Redundancy Program,6,7.16387
32,OR002,Cross-Training and Role Redundancy Program,1,7.46232
32,OR006,Operational Resilience and Continuity Exercise Program,2,7.31395
32,OR004,Institutional Memory and Knowledge Architecture Program,3,7.2407
32,OR005,Psychological Safety and Weak-Signal Reporting System,4,7.22506
32,OR001,Critical Function and Dependency Mapping,5,7.15934
32,OR003,After-Action Learning and Corrective Action System,6,7.15735
33,OR003,After-Action Learning and Corrective Action System,1,7.8224
33,OR002,Cross-Training and Role Redundancy Program,2,7.18466
33,OR001,Critical Function and Dependency Mapping,3,7.18349
33,OR006,Operational Resilience and Continuity Exercise Program,4,7.16937
33,OR004,Institutional Memory and Knowledge Architecture Program,5,7.12377
33,OR005,Psychological Safety and Weak-Signal Reporting System,6,7.12347
34,OR006,Operational Resilience and Continuity Exercise Program,1,7.58089
34,OR002,Cross-Training and Role Redundancy Program,2,7.48064
34,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.33986
34,OR004,Institutional Memory and Knowledge Architecture Program,4,7.16376
34,OR003,After-Action Learning and Corrective Action System,5,7.09093
34,OR001,Critical Function and Dependency Mapping,6,6.98957
35,OR003,After-Action Learning and Corrective Action System,1,7.87279
35,OR006,Operational Resilience and Continuity Exercise Program,2,7.53449
35,OR004,Institutional Memory and Knowledge Architecture Program,3,7.41092
35,OR002,Cross-Training and Role Redundancy Program,4,7.28437
35,OR005,Psychological Safety and Weak-Signal Reporting System,5,7.11557
35,OR001,Critical Function and Dependency Mapping,6,6.98744
36,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.54854
36,OR003,After-Action Learning and Corrective Action System,2,7.46492
36,OR006,Operational Resilience and Continuity Exercise Program,3,7.41394
36,OR002,Cross-Training and Role Redundancy Program,4,7.34285
36,OR001,Critical Function and Dependency Mapping,5,7.28843
36,OR004,Institutional Memory and Knowledge Architecture Program,6,7.15656
37,OR006,Operational Resilience and Continuity Exercise Program,1,7.79298
37,OR001,Critical Function and Dependency Mapping,2,7.42704
37,OR003,After-Action Learning and Corrective Action System,3,7.39956
37,OR002,Cross-Training and Role Redundancy Program,4,7.37785
37,OR004,Institutional Memory and Knowledge Architecture Program,5,7.31033
37,OR005,Psychological Safety and Weak-Signal Reporting System,6,7.22988
38,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.366
38,OR001,Critical Function and Dependency Mapping,2,7.29881
38,OR006,Operational Resilience and Continuity Exercise Program,3,7.25661
38,OR003,After-Action Learning and Corrective Action System,4,7.25063
38,OR002,Cross-Training and Role Redundancy Program,5,7.17408
38,OR004,Institutional Memory and Knowledge Architecture Program,6,7.02226
39,OR003,After-Action Learning and Corrective Action System,1,7.50398
39,OR004,Institutional Memory and Knowledge Architecture Program,2,7.43168
39,OR001,Critical Function and Dependency Mapping,3,7.31827
39,OR005,Psychological Safety and Weak-Signal Reporting System,4,7.28039
39,OR006,Operational Resilience and Continuity Exercise Program,5,7.22155
39,OR002,Cross-Training and Role Redundancy Program,6,7.08577
40,OR003,After-Action Learning and Corrective Action System,1,7.54047
40,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.37375
40,OR006,Operational Resilience and Continuity Exercise Program,3,7.31981
40,OR001,Critical Function and Dependency Mapping,4,7.31426
40,OR002,Cross-Training and Role Redundancy Program,5,7.18144
40,OR004,Institutional Memory and Knowledge Architecture Program,6,7.13389
41,OR006,Operational Resilience and Continuity Exercise Program,1,7.57115
41,OR003,After-Action Learning and Corrective Action System,2,7.51298
41,OR004,Institutional Memory and Knowledge Architecture Program,3,7.46341
41,OR001,Critical Function and Dependency Mapping,4,7.3481
41,OR005,Psychological Safety and Weak-Signal Reporting System,5,7.26225
41,OR002,Cross-Training and Role Redundancy Program,6,7.08009
42,OR003,After-Action Learning and Corrective Action System,1,7.57033
42,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.55256
42,OR006,Operational Resilience and Continuity Exercise Program,3,7.33781
42,OR004,Institutional Memory and Knowledge Architecture Program,4,7.2979
42,OR002,Cross-Training and Role Redundancy Program,5,7.20412
42,OR001,Critical Function and Dependency Mapping,6,7.06097
43,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.59528
43,OR001,Critical Function and Dependency Mapping,2,7.40169
43,OR003,After-Action Learning and Corrective Action System,3,7.37751
43,OR006,Operational Resilience and Continuity Exercise Program,4,7.24018
43,OR002,Cross-Training and Role Redundancy Program,5,7.09905
43,OR004,Institutional Memory and Knowledge Architecture Program,6,6.8346
44,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.63921
44,OR004,Institutional Memory and Knowledge Architecture Program,2,7.44892
44,OR006,Operational Resilience and Continuity Exercise Program,3,7.38116
44,OR003,After-Action Learning and Corrective Action System,4,7.34784
44,OR002,Cross-Training and Role Redundancy Program,5,7.30923
44,OR001,Critical Function and Dependency Mapping,6,7.01689
45,OR002,Cross-Training and Role Redundancy Program,1,7.42084
45,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.35651
45,OR003,After-Action Learning and Corrective Action System,3,7.30785
45,OR004,Institutional Memory and Knowledge Architecture Program,4,7.29735
45,OR001,Critical Function and Dependency Mapping,5,7.27745
45,OR006,Operational Resilience and Continuity Exercise Program,6,7.26578
46,OR006,Operational Resilience and Continuity Exercise Program,1,7.45146
46,OR001,Critical Function and Dependency Mapping,2,7.44231
46,OR004,Institutional Memory and Knowledge Architecture Program,3,7.42073
46,OR003,After-Action Learning and Corrective Action System,4,7.35557
46,OR005,Psychological Safety and Weak-Signal Reporting System,5,7.32975
46,OR002,Cross-Training and Role Redundancy Program,6,7.21687
47,OR003,After-Action Learning and Corrective Action System,1,7.76495
47,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.67524
47,OR004,Institutional Memory and Knowledge Architecture Program,3,7.5347
47,OR006,Operational Resilience and Continuity Exercise Program,4,7.35536
47,OR002,Cross-Training and Role Redundancy Program,5,7.20155
47,OR001,Critical Function and Dependency Mapping,6,6.97037
48,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.82834
48,OR001,Critical Function and Dependency Mapping,2,7.58594
48,OR006,Operational Resilience and Continuity Exercise Program,3,7.47431
48,OR003,After-Action Learning and Corrective Action System,4,7.35737
48,OR002,Cross-Training and Role Redundancy Program,5,7.30307
48,OR004,Institutional Memory and Knowledge Architecture Program,6,7.21388
49,OR003,After-Action Learning and Corrective Action System,1,7.67066
49,OR001,Critical Function and Dependency Mapping,2,7.4224
49,OR004,Institutional Memory and Knowledge Architecture Program,3,7.39442
49,OR005,Psychological Safety and Weak-Signal Reporting System,4,7.34785
49,OR006,Operational Resilience and Continuity Exercise Program,5,7.25263
49,OR002,Cross-Training and Role Redundancy Program,6,7.112
50,OR003,After-Action Learning and Corrective Action System,1,7.65122
50,OR006,Operational Resilience and Continuity Exercise Program,2,7.59177
50,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.55154
50,OR001,Critical Function and Dependency Mapping,4,7.36779
50,OR004,Institutional Memory and Knowledge Architecture Program,5,7.27409
50,OR002,Cross-Training and Role Redundancy Program,6,7.08127
51,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.61077
51,OR001,Critical Function and Dependency Mapping,2,7.37637
51,OR004,Institutional Memory and Knowledge Architecture Program,3,7.27345
51,OR003,After-Action Learning and Corrective Action System,4,7.19873
51,OR006,Operational Resilience and Continuity Exercise Program,5,7.0754
51,OR002,Cross-Training and Role Redundancy Program,6,6.76658
52,OR006,Operational Resilience and Continuity Exercise Program,1,7.47011
52,OR003,After-Action Learning and Corrective Action System,2,7.38312
52,OR004,Institutional Memory and Knowledge Architecture Program,3,7.33571
52,OR002,Cross-Training and Role Redundancy Program,4,7.3275
52,OR005,Psychological Safety and Weak-Signal Reporting System,5,7.31104
52,OR001,Critical Function and Dependency Mapping,6,7.27627
53,OR003,After-Action Learning and Corrective Action System,1,7.42974
53,OR002,Cross-Training and Role Redundancy Program,2,7.38886
53,OR004,Institutional Memory and Knowledge Architecture Program,3,7.38145
53,OR001,Critical Function and Dependency Mapping,4,7.36333
53,OR006,Operational Resilience and Continuity Exercise Program,5,7.35785
53,OR005,Psychological Safety and Weak-Signal Reporting System,6,7.22823
54,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.66461
54,OR004,Institutional Memory and Knowledge Architecture Program,2,7.45106
54,OR001,Critical Function and Dependency Mapping,3,7.4105
54,OR002,Cross-Training and Role Redundancy Program,4,7.25236
54,OR006,Operational Resilience and Continuity Exercise Program,5,7.18748
54,OR003,After-Action Learning and Corrective Action System,6,7.13461
55,OR006,Operational Resilience and Continuity Exercise Program,1,7.55677
55,OR003,After-Action Learning and Corrective Action System,2,7.51961
55,OR002,Cross-Training and Role Redundancy Program,3,7.41417
55,OR001,Critical Function and Dependency Mapping,4,7.36405
55,OR005,Psychological Safety and Weak-Signal Reporting System,5,7.31075
55,OR004,Institutional Memory and Knowledge Architecture Program,6,7.27512
56,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.49679
56,OR006,Operational Resilience and Continuity Exercise Program,2,7.45865
56,OR004,Institutional Memory and Knowledge Architecture Program,3,7.36234
56,OR003,After-Action Learning and Corrective Action System,4,7.23644
56,OR001,Critical Function and Dependency Mapping,5,7.20529
56,OR002,Cross-Training and Role Redundancy Program,6,7.19845
57,OR003,After-Action Learning and Corrective Action System,1,7.4337
57,OR001,Critical Function and Dependency Mapping,2,7.3086
57,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.30559
57,OR004,Institutional Memory and Knowledge Architecture Program,4,7.13677
57,OR006,Operational Resilience and Continuity Exercise Program,5,7.07215
57,OR002,Cross-Training and Role Redundancy Program,6,7.05082
58,OR003,After-Action Learning and Corrective Action System,1,7.46674
58,OR001,Critical Function and Dependency Mapping,2,7.22538
58,OR004,Institutional Memory and Knowledge Architecture Program,3,7.21243
58,OR002,Cross-Training and Role Redundancy Program,4,7.16114
58,OR006,Operational Resilience and Continuity Exercise Program,5,7.14291
58,OR005,Psychological Safety and Weak-Signal Reporting System,6,7.07294
59,OR001,Critical Function and Dependency Mapping,1,7.36031
59,OR006,Operational Resilience and Continuity Exercise Program,2,7.21448
59,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.20732
59,OR003,After-Action Learning and Corrective Action System,4,7.20429
59,OR004,Institutional Memory and Knowledge Architecture Program,5,7.11904
59,OR002,Cross-Training and Role Redundancy Program,6,7.07944
60,OR006,Operational Resilience and Continuity Exercise Program,1,7.54706
60,OR003,After-Action Learning and Corrective Action System,2,7.4313
60,OR004,Institutional Memory and Knowledge Architecture Program,3,7.4016
60,OR005,Psychological Safety and Weak-Signal Reporting System,4,7.35813
60,OR001,Critical Function and Dependency Mapping,5,7.16593
60,OR002,Cross-Training and Role Redundancy Program,6,7.09017
61,OR003,After-Action Learning and Corrective Action System,1,7.71059
61,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.69385
61,OR004,Institutional Memory and Knowledge Architecture Program,3,7.30501
61,OR002,Cross-Training and Role Redundancy Program,4,7.22549
61,OR006,Operational Resilience and Continuity Exercise Program,5,7.18227
61,OR001,Critical Function and Dependency Mapping,6,6.81425
62,OR006,Operational Resilience and Continuity Exercise Program,1,7.48045
62,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.4762
62,OR001,Critical Function and Dependency Mapping,3,7.2977
62,OR002,Cross-Training and Role Redundancy Program,4,7.24353
62,OR003,After-Action Learning and Corrective Action System,5,7.22933
62,OR004,Institutional Memory and Knowledge Architecture Program,6,7.03783
63,OR006,Operational Resilience and Continuity Exercise Program,1,7.60575
63,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.59911
63,OR004,Institutional Memory and Knowledge Architecture Program,3,7.37835
63,OR001,Critical Function and Dependency Mapping,4,7.19483
63,OR003,After-Action Learning and Corrective Action System,5,7.18426
63,OR002,Cross-Training and Role Redundancy Program,6,7.02313
64,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.47562
64,OR006,Operational Resilience and Continuity Exercise Program,2,7.4562
64,OR001,Critical Function and Dependency Mapping,3,7.3963
64,OR003,After-Action Learning and Corrective Action System,4,7.35943
64,OR002,Cross-Training and Role Redundancy Program,5,7.35865
64,OR004,Institutional Memory and Knowledge Architecture Program,6,6.98475
65,OR006,Operational Resilience and Continuity Exercise Program,1,7.6343
65,OR005,Psychological Safety and Weak-Signal Reporting System,2,7.51828
65,OR001,Critical Function and Dependency Mapping,3,7.38678
65,OR002,Cross-Training and Role Redundancy Program,4,7.27479
65,OR004,Institutional Memory and Knowledge Architecture Program,5,7.13476
65,OR003,After-Action Learning and Corrective Action System,6,7.02
66,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.54209
66,OR001,Critical Function and Dependency Mapping,2,7.5231
66,OR006,Operational Resilience and Continuity Exercise Program,3,7.48079
66,OR002,Cross-Training and Role Redundancy Program,4,7.41349
66,OR004,Institutional Memory and Knowledge Architecture Program,5,7.34745
66,OR003,After-Action Learning and Corrective Action System,6,7.24822
67,OR006,Operational Resilience and Continuity Exercise Program,1,7.54533
67,OR003,After-Action Learning and Corrective Action System,2,7.5152
67,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.30517
67,OR004,Institutional Memory and Knowledge Architecture Program,4,7.26989
67,OR001,Critical Function and Dependency Mapping,5,7.18018
67,OR002,Cross-Training and Role Redundancy Program,6,7.00445
68,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.6787
68,OR003,After-Action Learning and Corrective Action System,2,7.59996
68,OR004,Institutional Memory and Knowledge Architecture Program,3,7.48917
68,OR002,Cross-Training and Role Redundancy Program,4,7.32247
68,OR006,Operational Resilience and Continuity Exercise Program,5,7.22739
68,OR001,Critical Function and Dependency Mapping,6,7.10586
69,OR004,Institutional Memory and Knowledge Architecture Program,1,7.52932
69,OR006,Operational Resilience and Continuity Exercise Program,2,7.52644
69,OR001,Critical Function and Dependency Mapping,3,7.38969
69,OR003,After-Action Learning and Corrective Action System,4,7.38797
69,OR002,Cross-Training and Role Redundancy Program,5,7.15735
69,OR005,Psychological Safety and Weak-Signal Reporting System,6,6.98886
70,OR003,After-Action Learning and Corrective Action System,1,7.65509
70,OR004,Institutional Memory and Knowledge Architecture Program,2,7.6151
70,OR006,Operational Resilience and Continuity Exercise Program,3,7.44637
70,OR005,Psychological Safety and Weak-Signal Reporting System,4,7.30026
70,OR001,Critical Function and Dependency Mapping,5,7.116
70,OR002,Cross-Training and Role Redundancy Program,6,6.93382
71,OR005,Psychological Safety and Weak-Signal Reporting System,1,7.44996
71,OR003,After-Action Learning and Corrective Action System,2,7.36561
71,OR001,Critical Function and Dependency Mapping,3,7.30303
71,OR006,Operational Resilience and Continuity Exercise Program,4,7.29472
71,OR004,Institutional Memory and Knowledge Architecture Program,5,7.18201
71,OR002,Cross-Training and Role Redundancy Program,6,6.84025
72,OR006,Operational Resilience and Continuity Exercise Program,1,7.63005
72,OR001,Critical Function and Dependency Mapping,2,7.62885
72,OR004,Institutional Memory and Knowledge Architecture Program,3,7.41945
72,OR005,Psychological Safety and Weak-Signal Reporting System,4,7.2683
72,OR003,After-Action Learning and Corrective Action System,5,7.14184
72,OR002,Cross-Training and Role Redundancy Program,6,6.9211
73,OR002,Cross-Training and Role Redundancy Program,1,7.45984
73,OR006,Operational Resilience and Continuity Exercise Program,2,7.34929
73,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.31503
73,OR003,After-Action Learning and Corrective Action System,4,7.2916
73,OR004,Institutional Memory and Knowledge Architecture Program,5,7.19397
73,OR001,Critical Function and Dependency Mapping,6,6.99709
74,OR006,Operational Resilience and Continuity Exercise Program,1,7.54948
74,OR001,Critical Function and Dependency Mapping,2,7.51695
74,OR005,Psychological Safety and Weak-Signal Reporting System,3,7.48553
74,OR002,Cross-Training and Role Redundancy Program,4,7.23809
74,OR003,After-Action Learning and Corrective Action System,5,7.23145
