simulation_id,strategy_id,strategy,rank,local_resilience_value,winner
12,LE001,Emergency Microgrant and Liquidity Fund,4,7.40588,Community Development Finance and Patient Capital
12,LE004,Small Business Continuity and Digital Resilience Support,5,7.10586,Community Development Finance and Patient Capital
12,LE006,Workforce Childcare and Local Skills Resilience,6,7.06058,Community Development Finance and Patient Capital
13,LE003,Local Procurement and Anchor Institution Access,1,7.84617,Local Procurement and Anchor Institution Access
13,LE002,Community Development Finance and Patient Capital,2,7.60556,Local Procurement and Anchor Institution Access
13,LE006,Workforce Childcare and Local Skills Resilience,3,7.34684,Local Procurement and Anchor Institution Access
13,LE001,Emergency Microgrant and Liquidity Fund,4,7.30922,Local Procurement and Anchor Institution Access
13,LE005,Commercial Anti-Displacement and Ownership Strategy,5,7.20518,Local Procurement and Anchor Institution Access
13,LE004,Small Business Continuity and Digital Resilience Support,6,7.1783,Local Procurement and Anchor Institution Access
14,LE003,Local Procurement and Anchor Institution Access,1,7.76041,Local Procurement and Anchor Institution Access
14,LE002,Community Development Finance and Patient Capital,2,7.5822,Local Procurement and Anchor Institution Access
14,LE005,Commercial Anti-Displacement and Ownership Strategy,3,7.35947,Local Procurement and Anchor Institution Access
14,LE001,Emergency Microgrant and Liquidity Fund,4,7.33754,Local Procurement and Anchor Institution Access
14,LE004,Small Business Continuity and Digital Resilience Support,5,7.30317,Local Procurement and Anchor Institution Access
14,LE006,Workforce Childcare and Local Skills Resilience,6,7.07926,Local Procurement and Anchor Institution Access
15,LE006,Workforce Childcare and Local Skills Resilience,1,7.48416,Workforce Childcare and Local Skills Resilience
15,LE001,Emergency Microgrant and Liquidity Fund,2,7.39003,Workforce Childcare and Local Skills Resilience
15,LE005,Commercial Anti-Displacement and Ownership Strategy,3,7.32258,Workforce Childcare and Local Skills Resilience
15,LE003,Local Procurement and Anchor Institution Access,4,7.31428,Workforce Childcare and Local Skills Resilience
15,LE002,Community Development Finance and Patient Capital,5,7.27866,Workforce Childcare and Local Skills Resilience
15,LE004,Small Business Continuity and Digital Resilience Support,6,6.99149,Workforce Childcare and Local Skills Resilience
16,LE002,Community Development Finance and Patient Capital,1,7.90781,Community Development Finance and Patient Capital
16,LE003,Local Procurement and Anchor Institution Access,2,7.79801,Community Development Finance and Patient Capital
16,LE005,Commercial Anti-Displacement and Ownership Strategy,3,7.66039,Community Development Finance and Patient Capital
16,LE001,Emergency Microgrant and Liquidity Fund,4,7.57497,Community Development Finance and Patient Capital
16,LE004,Small Business Continuity and Digital Resilience Support,5,7.54347,Community Development Finance and Patient Capital
16,LE006,Workforce Childcare and Local Skills Resilience,6,7.3884,Community Development Finance and Patient Capital
17,LE002,Community Development Finance and Patient Capital,1,7.8654,Community Development Finance and Patient Capital
17,LE003,Local Procurement and Anchor Institution Access,2,7.44883,Community Development Finance and Patient Capital
17,LE005,Commercial Anti-Displacement and Ownership Strategy,3,7.44789,Community Development Finance and Patient Capital
17,LE006,Workforce Childcare and Local Skills Resilience,4,7.26656,Community Development Finance and Patient Capital
17,LE004,Small Business Continuity and Digital Resilience Support,5,7.18031,Community Development Finance and Patient Capital
17,LE001,Emergency Microgrant and Liquidity Fund,6,6.80137,Community Development Finance and Patient Capital
18,LE002,Community Development Finance and Patient Capital,1,7.69576,Community Development Finance and Patient Capital
18,LE006,Workforce Childcare and Local Skills Resilience,2,7.63418,Community Development Finance and Patient Capital
18,LE001,Emergency Microgrant and Liquidity Fund,3,7.4692,Community Development Finance and Patient Capital
18,LE003,Local Procurement and Anchor Institution Access,4,7.37379,Community Development Finance and Patient Capital
18,LE005,Commercial Anti-Displacement and Ownership Strategy,5,7.30801,Community Development Finance and Patient Capital
18,LE004,Small Business Continuity and Digital Resilience Support,6,7.24215,Community Development Finance and Patient Capital
19,LE003,Local Procurement and Anchor Institution Access,1,7.79098,Local Procurement and Anchor Institution Access
19,LE002,Community Development Finance and Patient Capital,2,7.6205,Local Procurement and Anchor Institution Access
19,LE001,Emergency Microgrant and Liquidity Fund,3,7.51624,Local Procurement and Anchor Institution Access
19,LE005,Commercial Anti-Displacement and Ownership Strategy,4,7.33414,Local Procurement and Anchor Institution Access
19,LE004,Small Business Continuity and Digital Resilience Support,5,7.19164,Local Procurement and Anchor Institution Access
19,LE006,Workforce Childcare and Local Skills Resilience,6,7.03186,Local Procurement and Anchor Institution Access
20,LE002,Community Development Finance and Patient Capital,1,7.82976,Community Development Finance and Patient Capital
20,LE003,Local Procurement and Anchor Institution Access,2,7.5932,Community Development Finance and Patient Capital
20,LE006,Workforce Childcare and Local Skills Resilience,3,7.44843,Community Development Finance and Patient Capital
20,LE005,Commercial Anti-Displacement and Ownership Strategy,4,7.35212,Community Development Finance and Patient Capital
20,LE001,Emergency Microgrant and Liquidity Fund,5,7.21006,Community Development Finance and Patient Capital
20,LE004,Small Business Continuity and Digital Resilience Support,6,6.83378,Community Development Finance and Patient Capital
21,LE005,Commercial Anti-Displacement and Ownership Strategy,1,7.7259,Commercial Anti-Displacement and Ownership Strategy
21,LE006,Workforce Childcare and Local Skills Resilience,2,7.50221,Commercial Anti-Displacement and Ownership Strategy
21,LE002,Community Development Finance and Patient Capital,3,7.49906,Commercial Anti-Displacement and Ownership Strategy
21,LE003,Local Procurement and Anchor Institution Access,4,7.41716,Commercial Anti-Displacement and Ownership Strategy
21,LE001,Emergency Microgrant and Liquidity Fund,5,7.37365,Commercial Anti-Displacement and Ownership Strategy
21,LE004,Small Business Continuity and Digital Resilience Support,6,7.21473,Commercial Anti-Displacement and Ownership Strategy
22,LE003,Local Procurement and Anchor Institution Access,1,7.95351,Local Procurement and Anchor Institution Access
22,LE006,Workforce Childcare and Local Skills Resilience,2,7.37577,Local Procurement and Anchor Institution Access
22,LE002,Community Development Finance and Patient Capital,3,7.3498,Local Procurement and Anchor Institution Access
22,LE005,Commercial Anti-Displacement and Ownership Strategy,4,7.13021,Local Procurement and Anchor Institution Access
22,LE004,Small Business Continuity and Digital Resilience Support,5,7.10896,Local Procurement and Anchor Institution Access
22,LE001,Emergency Microgrant and Liquidity Fund,6,7.07957,Local Procurement and Anchor Institution Access
23,LE001,Emergency Microgrant and Liquidity Fund,1,7.93667,Emergency Microgrant and Liquidity Fund
23,LE003,Local Procurement and Anchor Institution Access,2,7.81775,Emergency Microgrant and Liquidity Fund
23,LE006,Workforce Childcare and Local Skills Resilience,3,7.59593,Emergency Microgrant and Liquidity Fund
23,LE004,Small Business Continuity and Digital Resilience Support,4,7.55805,Emergency Microgrant and Liquidity Fund
23,LE002,Community Development Finance and Patient Capital,5,7.33084,Emergency Microgrant and Liquidity Fund
23,LE005,Commercial Anti-Displacement and Ownership Strategy,6,7.31654,Emergency Microgrant and Liquidity Fund
24,LE003,Local Procurement and Anchor Institution Access,1,8.1367,Local Procurement and Anchor Institution Access
24,LE006,Workforce Childcare and Local Skills Resilience,2,7.53688,Local Procurement and Anchor Institution Access
24,LE001,Emergency Microgrant and Liquidity Fund,3,7.46847,Local Procurement and Anchor Institution Access
24,LE002,Community Development Finance and Patient Capital,4,7.46056,Local Procurement and Anchor Institution Access
24,LE005,Commercial Anti-Displacement and Ownership Strategy,5,7.39271,Local Procurement and Anchor Institution Access
24,LE004,Small Business Continuity and Digital Resilience Support,6,7.31235,Local Procurement and Anchor Institution Access
25,LE003,Local Procurement and Anchor Institution Access,1,7.65582,Local Procurement and Anchor Institution Access
25,LE002,Community Development Finance and Patient Capital,2,7.62131,Local Procurement and Anchor Institution Access
25,LE005,Commercial Anti-Displacement and Ownership Strategy,3,7.5856,Local Procurement and Anchor Institution Access
25,LE004,Small Business Continuity and Digital Resilience Support,4,7.41358,Local Procurement and Anchor Institution Access
25,LE006,Workforce Childcare and Local Skills Resilience,5,7.40897,Local Procurement and Anchor Institution Access
25,LE001,Emergency Microgrant and Liquidity Fund,6,7.33651,Local Procurement and Anchor Institution Access
26,LE002,Community Development Finance and Patient Capital,1,7.73946,Community Development Finance and Patient Capital
26,LE005,Commercial Anti-Displacement and Ownership Strategy,2,7.50625,Community Development Finance and Patient Capital
26,LE006,Workforce Childcare and Local Skills Resilience,3,7.48986,Community Development Finance and Patient Capital
26,LE001,Emergency Microgrant and Liquidity Fund,4,7.48529,Community Development Finance and Patient Capital
26,LE003,Local Procurement and Anchor Institution Access,5,7.342,Community Development Finance and Patient Capital
26,LE004,Small Business Continuity and Digital Resilience Support,6,7.18804,Community Development Finance and Patient Capital
27,LE006,Workforce Childcare and Local Skills Resilience,1,7.759,Workforce Childcare and Local Skills Resilience
27,LE005,Commercial Anti-Displacement and Ownership Strategy,2,7.74305,Workforce Childcare and Local Skills Resilience
27,LE002,Community Development Finance and Patient Capital,3,7.47764,Workforce Childcare and Local Skills Resilience
27,LE003,Local Procurement and Anchor Institution Access,4,7.40301,Workforce Childcare and Local Skills Resilience
27,LE004,Small Business Continuity and Digital Resilience Support,5,7.38192,Workforce Childcare and Local Skills Resilience
27,LE001,Emergency Microgrant and Liquidity Fund,6,7.31493,Workforce Childcare and Local Skills Resilience
28,LE003,Local Procurement and Anchor Institution Access,1,7.72913,Local Procurement and Anchor Institution Access
28,LE002,Community Development Finance and Patient Capital,2,7.68433,Local Procurement and Anchor Institution Access
28,LE005,Commercial Anti-Displacement and Ownership Strategy,3,7.54567,Local Procurement and Anchor Institution Access
28,LE006,Workforce Childcare and Local Skills Resilience,4,7.38183,Local Procurement and Anchor Institution Access
28,LE004,Small Business Continuity and Digital Resilience Support,5,7.22507,Local Procurement and Anchor Institution Access
28,LE001,Emergency Microgrant and Liquidity Fund,6,6.85019,Local Procurement and Anchor Institution Access
29,LE003,Local Procurement and Anchor Institution Access,1,7.94365,Local Procurement and Anchor Institution Access
29,LE002,Community Development Finance and Patient Capital,2,7.78845,Local Procurement and Anchor Institution Access
29,LE004,Small Business Continuity and Digital Resilience Support,3,7.4342,Local Procurement and Anchor Institution Access
29,LE001,Emergency Microgrant and Liquidity Fund,4,7.1819,Local Procurement and Anchor Institution Access
29,LE006,Workforce Childcare and Local Skills Resilience,5,7.01027,Local Procurement and Anchor Institution Access
29,LE005,Commercial Anti-Displacement and Ownership Strategy,6,6.97908,Local Procurement and Anchor Institution Access
30,LE003,Local Procurement and Anchor Institution Access,1,7.64446,Local Procurement and Anchor Institution Access
30,LE002,Community Development Finance and Patient Capital,2,7.61092,Local Procurement and Anchor Institution Access
30,LE005,Commercial Anti-Displacement and Ownership Strategy,3,7.60663,Local Procurement and Anchor Institution Access
30,LE004,Small Business Continuity and Digital Resilience Support,4,7.48747,Local Procurement and Anchor Institution Access
30,LE006,Workforce Childcare and Local Skills Resilience,5,7.17635,Local Procurement and Anchor Institution Access
30,LE001,Emergency Microgrant and Liquidity Fund,6,7.08039,Local Procurement and Anchor Institution Access
31,LE003,Local Procurement and Anchor Institution Access,1,7.71975,Local Procurement and Anchor Institution Access
31,LE002,Community Development Finance and Patient Capital,2,7.67957,Local Procurement and Anchor Institution Access
31,LE004,Small Business Continuity and Digital Resilience Support,3,7.5595,Local Procurement and Anchor Institution Access
31,LE005,Commercial Anti-Displacement and Ownership Strategy,4,7.52277,Local Procurement and Anchor Institution Access
31,LE001,Emergency Microgrant and Liquidity Fund,5,7.14303,Local Procurement and Anchor Institution Access
31,LE006,Workforce Childcare and Local Skills Resilience,6,7.13565,Local Procurement and Anchor Institution Access
32,LE005,Commercial Anti-Displacement and Ownership Strategy,1,7.80885,Commercial Anti-Displacement and Ownership Strategy
32,LE002,Community Development Finance and Patient Capital,2,7.72606,Commercial Anti-Displacement and Ownership Strategy
32,LE003,Local Procurement and Anchor Institution Access,3,7.58036,Commercial Anti-Displacement and Ownership Strategy
32,LE006,Workforce Childcare and Local Skills Resilience,4,7.44153,Commercial Anti-Displacement and Ownership Strategy
32,LE004,Small Business Continuity and Digital Resilience Support,5,7.27856,Commercial Anti-Displacement and Ownership Strategy
32,LE001,Emergency Microgrant and Liquidity Fund,6,7.13766,Commercial Anti-Displacement and Ownership Strategy
33,LE003,Local Procurement and Anchor Institution Access,1,7.58442,Local Procurement and Anchor Institution Access
33,LE004,Small Business Continuity and Digital Resilience Support,2,7.51157,Local Procurement and Anchor Institution Access
33,LE006,Workforce Childcare and Local Skills Resilience,3,7.48414,Local Procurement and Anchor Institution Access
33,LE001,Emergency Microgrant and Liquidity Fund,4,7.33291,Local Procurement and Anchor Institution Access
33,LE005,Commercial Anti-Displacement and Ownership Strategy,5,7.19046,Local Procurement and Anchor Institution Access
33,LE002,Community Development Finance and Patient Capital,6,7.11925,Local Procurement and Anchor Institution Access
34,LE001,Emergency Microgrant and Liquidity Fund,1,7.77899,Emergency Microgrant and Liquidity Fund
34,LE005,Commercial Anti-Displacement and Ownership Strategy,2,7.67621,Emergency Microgrant and Liquidity Fund
34,LE004,Small Business Continuity and Digital Resilience Support,3,7.65427,Emergency Microgrant and Liquidity Fund
34,LE006,Workforce Childcare and Local Skills Resilience,4,7.6185,Emergency Microgrant and Liquidity Fund
34,LE003,Local Procurement and Anchor Institution Access,5,7.49534,Emergency Microgrant and Liquidity Fund
34,LE002,Community Development Finance and Patient Capital,6,7.42997,Emergency Microgrant and Liquidity Fund
35,LE003,Local Procurement and Anchor Institution Access,1,7.67837,Local Procurement and Anchor Institution Access
35,LE006,Workforce Childcare and Local Skills Resilience,2,7.61764,Local Procurement and Anchor Institution Access
35,LE002,Community Development Finance and Patient Capital,3,7.50834,Local Procurement and Anchor Institution Access
35,LE004,Small Business Continuity and Digital Resilience Support,4,7.38809,Local Procurement and Anchor Institution Access
35,LE005,Commercial Anti-Displacement and Ownership Strategy,5,7.23228,Local Procurement and Anchor Institution Access
35,LE001,Emergency Microgrant and Liquidity Fund,6,7.19873,Local Procurement and Anchor Institution Access
36,LE006,Workforce Childcare and Local Skills Resilience,1,7.81528,Workforce Childcare and Local Skills Resilience
36,LE005,Commercial Anti-Displacement and Ownership Strategy,2,7.43195,Workforce Childcare and Local Skills Resilience
36,LE002,Community Development Finance and Patient Capital,3,7.37571,Workforce Childcare and Local Skills Resilience
36,LE003,Local Procurement and Anchor Institution Access,4,7.36287,Workforce Childcare and Local Skills Resilience
36,LE004,Small Business Continuity and Digital Resilience Support,5,7.27389,Workforce Childcare and Local Skills Resilience
36,LE001,Emergency Microgrant and Liquidity Fund,6,7.18118,Workforce Childcare and Local Skills Resilience
37,LE001,Emergency Microgrant and Liquidity Fund,1,7.7214,Emergency Microgrant and Liquidity Fund
37,LE005,Commercial Anti-Displacement and Ownership Strategy,2,7.40292,Emergency Microgrant and Liquidity Fund
37,LE006,Workforce Childcare and Local Skills Resilience,3,7.35426,Emergency Microgrant and Liquidity Fund
37,LE003,Local Procurement and Anchor Institution Access,4,7.32979,Emergency Microgrant and Liquidity Fund
37,LE002,Community Development Finance and Patient Capital,5,7.28041,Emergency Microgrant and Liquidity Fund
37,LE004,Small Business Continuity and Digital Resilience Support,6,7.08799,Emergency Microgrant and Liquidity Fund
38,LE001,Emergency Microgrant and Liquidity Fund,1,7.61065,Emergency Microgrant and Liquidity Fund
38,LE004,Small Business Continuity and Digital Resilience Support,2,7.59807,Emergency Microgrant and Liquidity Fund
38,LE003,Local Procurement and Anchor Institution Access,3,7.46195,Emergency Microgrant and Liquidity Fund
38,LE006,Workforce Childcare and Local Skills Resilience,4,7.32163,Emergency Microgrant and Liquidity Fund
38,LE002,Community Development Finance and Patient Capital,5,7.29574,Emergency Microgrant and Liquidity Fund
38,LE005,Commercial Anti-Displacement and Ownership Strategy,6,7.17072,Emergency Microgrant and Liquidity Fund
39,LE003,Local Procurement and Anchor Institution Access,1,7.7368,Local Procurement and Anchor Institution Access
39,LE006,Workforce Childcare and Local Skills Resilience,2,7.67675,Local Procurement and Anchor Institution Access
39,LE002,Community Development Finance and Patient Capital,3,7.52229,Local Procurement and Anchor Institution Access
39,LE004,Small Business Continuity and Digital Resilience Support,4,7.47919,Local Procurement and Anchor Institution Access
39,LE001,Emergency Microgrant and Liquidity Fund,5,7.419,Local Procurement and Anchor Institution Access
39,LE005,Commercial Anti-Displacement and Ownership Strategy,6,7.17987,Local Procurement and Anchor Institution Access
40,LE002,Community Development Finance and Patient Capital,1,8.05618,Community Development Finance and Patient Capital
40,LE004,Small Business Continuity and Digital Resilience Support,2,7.75,Community Development Finance and Patient Capital
40,LE006,Workforce Childcare and Local Skills Resilience,3,7.55811,Community Development Finance and Patient Capital
40,LE003,Local Procurement and Anchor Institution Access,4,7.54935,Community Development Finance and Patient Capital
40,LE001,Emergency Microgrant and Liquidity Fund,5,7.43589,Community Development Finance and Patient Capital
40,LE005,Commercial Anti-Displacement and Ownership Strategy,6,7.40725,Community Development Finance and Patient Capital
41,LE003,Local Procurement and Anchor Institution Access,1,7.87148,Local Procurement and Anchor Institution Access
41,LE002,Community Development Finance and Patient Capital,2,7.63851,Local Procurement and Anchor Institution Access
41,LE005,Commercial Anti-Displacement and Ownership Strategy,3,7.56175,Local Procurement and Anchor Institution Access
41,LE006,Workforce Childcare and Local Skills Resilience,4,7.42317,Local Procurement and Anchor Institution Access
41,LE001,Emergency Microgrant and Liquidity Fund,5,7.25012,Local Procurement and Anchor Institution Access
41,LE004,Small Business Continuity and Digital Resilience Support,6,7.21339,Local Procurement and Anchor Institution Access
42,LE001,Emergency Microgrant and Liquidity Fund,1,7.82126,Emergency Microgrant and Liquidity Fund
42,LE005,Commercial Anti-Displacement and Ownership Strategy,2,7.70281,Emergency Microgrant and Liquidity Fund
42,LE002,Community Development Finance and Patient Capital,3,7.57036,Emergency Microgrant and Liquidity Fund
42,LE006,Workforce Childcare and Local Skills Resilience,4,7.54855,Emergency Microgrant and Liquidity Fund
42,LE003,Local Procurement and Anchor Institution Access,5,7.43334,Emergency Microgrant and Liquidity Fund
42,LE004,Small Business Continuity and Digital Resilience Support,6,7.41111,Emergency Microgrant and Liquidity Fund
43,LE003,Local Procurement and Anchor Institution Access,1,7.57166,Local Procurement and Anchor Institution Access
43,LE006,Workforce Childcare and Local Skills Resilience,2,7.50608,Local Procurement and Anchor Institution Access
43,LE001,Emergency Microgrant and Liquidity Fund,3,7.47093,Local Procurement and Anchor Institution Access
43,LE005,Commercial Anti-Displacement and Ownership Strategy,4,7.41961,Local Procurement and Anchor Institution Access
43,LE002,Community Development Finance and Patient Capital,5,7.35549,Local Procurement and Anchor Institution Access
43,LE004,Small Business Continuity and Digital Resilience Support,6,7.24546,Local Procurement and Anchor Institution Access
44,LE002,Community Development Finance and Patient Capital,1,7.8699,Community Development Finance and Patient Capital
44,LE004,Small Business Continuity and Digital Resilience Support,2,7.83376,Community Development Finance and Patient Capital
44,LE005,Commercial Anti-Displacement and Ownership Strategy,3,7.67803,Community Development Finance and Patient Capital
44,LE006,Workforce Childcare and Local Skills Resilience,4,7.65859,Community Development Finance and Patient Capital
44,LE003,Local Procurement and Anchor Institution Access,5,7.45119,Community Development Finance and Patient Capital
44,LE001,Emergency Microgrant and Liquidity Fund,6,7.19012,Community Development Finance and Patient Capital
45,LE003,Local Procurement and Anchor Institution Access,1,7.75224,Local Procurement and Anchor Institution Access
45,LE006,Workforce Childcare and Local Skills Resilience,2,7.69926,Local Procurement and Anchor Institution Access
45,LE005,Commercial Anti-Displacement and Ownership Strategy,3,7.63805,Local Procurement and Anchor Institution Access
45,LE002,Community Development Finance and Patient Capital,4,7.56479,Local Procurement and Anchor Institution Access
45,LE004,Small Business Continuity and Digital Resilience Support,5,7.48405,Local Procurement and Anchor Institution Access
45,LE001,Emergency Microgrant and Liquidity Fund,6,7.15941,Local Procurement and Anchor Institution Access
46,LE004,Small Business Continuity and Digital Resilience Support,1,7.65172,Small Business Continuity and Digital Resilience Support
46,LE003,Local Procurement and Anchor Institution Access,2,7.55671,Small Business Continuity and Digital Resilience Support
46,LE006,Workforce Childcare and Local Skills Resilience,3,7.53308,Small Business Continuity and Digital Resilience Support
46,LE001,Emergency Microgrant and Liquidity Fund,4,7.40583,Small Business Continuity and Digital Resilience Support
46,LE002,Community Development Finance and Patient Capital,5,7.30724,Small Business Continuity and Digital Resilience Support
46,LE005,Commercial Anti-Displacement and Ownership Strategy,6,7.26684,Small Business Continuity and Digital Resilience Support
47,LE003,Local Procurement and Anchor Institution Access,1,7.91007,Local Procurement and Anchor Institution Access
47,LE005,Commercial Anti-Displacement and Ownership Strategy,2,7.6562,Local Procurement and Anchor Institution Access
47,LE001,Emergency Microgrant and Liquidity Fund,3,7.55079,Local Procurement and Anchor Institution Access
