strategy_id,strategy,system_domain,liquidity_support,workforce_capacity,supply_resilience,digital_readiness,public_capacity,community_wealth,equity_access,inequality_risk,implementation_burden,critical_function,local_resilience_value,equity_gap,liquidity_gap,workforce_gap,adjusted_value,scenario,rank
LE001,Emergency Microgrant and Liquidity Fund,rapid liquidity emergency grants and cash runway protection,9.2,7.4,7.2,7.4,8.3,7.5,8.6,2.8,3,provides fast low-burden support before temporary disruption becomes permanent closure or predatory borrowing,7.239000000000001,0,0,0.5999999999999996,7.203000000000001,Implementation-aware,5
LE004,Small Business Continuity and Digital Resilience Support,business continuity cyber readiness and digital operations,7.8,7.6,7.8,9.1,8.2,7.6,8.2,3.1,3.2,helps firms maintain records payments communications online visibility cybersecurity and alternate operating modes during disruption,7.244999999999998,0.3000000000000007,0.20000000000000018,0.40000000000000036,7.184999999999998,Implementation-aware,6
LE002,Community Development Finance and Patient Capital,CDFI community banking credit unions and patient capital,8.7,7.5,7.6,7.5,8.4,8.7,8.9,2.7,3.5,expands fair relationship-based capital for firms excluded by conventional lending and weak collateral systems,8.04,0,0,0.5,8.01,Liquidity-first,1
LE001,Emergency Microgrant and Liquidity Fund,rapid liquidity emergency grants and cash runway protection,9.2,7.4,7.2,7.4,8.3,7.5,8.6,2.8,3,provides fast low-burden support before temporary disruption becomes permanent closure or predatory borrowing,8.001,0,0,0.5999999999999996,7.965,Liquidity-first,2
LE003,Local Procurement and Anchor Institution Access,anchor procurement local purchasing and contract access,7.6,7.8,8.6,7.8,8.8,8.8,8.4,3,3.6,connects small firms to stable demand from public agencies hospitals universities schools utilities and large employers,7.779999999999999,0.09999999999999964,0.40000000000000036,0.20000000000000018,7.735999999999999,Liquidity-first,3
LE004,Small Business Continuity and Digital Resilience Support,business continuity cyber readiness and digital operations,7.8,7.6,7.8,9.1,8.2,7.6,8.2,3.1,3.2,helps firms maintain records payments communications online visibility cybersecurity and alternate operating modes during disruption,7.656,0.3000000000000007,0.20000000000000018,0.40000000000000036,7.595999999999999,Liquidity-first,4
LE005,Commercial Anti-Displacement and Ownership Strategy,local ownership commercial stabilization and anti-displacement,7.4,7.8,7.7,7.2,8.6,9.1,8.8,2.9,3.7,protects long-standing firms from rent shocks speculative redevelopment property loss and displacement after recovery investment,7.621,0,0.5999999999999996,0.20000000000000018,7.573,Liquidity-first,5
LE006,Workforce Childcare and Local Skills Resilience,workforce capacity care infrastructure and local skills,7.2,9.2,7.5,7.4,8.5,8,8.7,2.8,3.6,protects local labor capacity through childcare transit training job quality scheduling stability and worker-centered resilience,7.5520000000000005,0,0.7999999999999998,0,7.5040000000000004,Liquidity-first,6
LE003,Local Procurement and Anchor Institution Access,anchor procurement local purchasing and contract access,7.6,7.8,8.6,7.8,8.8,8.8,8.4,3,3.6,connects small firms to stable demand from public agencies hospitals universities schools utilities and large employers,8.521999999999998,0.09999999999999964,0.40000000000000036,0.20000000000000018,8.477999999999998,Procurement-first,1
LE002,Community Development Finance and Patient Capital,CDFI community banking credit unions and patient capital,8.7,7.5,7.6,7.5,8.4,8.7,8.9,2.7,3.5,expands fair relationship-based capital for firms excluded by conventional lending and weak collateral systems,8.34,0,0,0.5,8.31,Procurement-first,2
LE005,Commercial Anti-Displacement and Ownership Strategy,local ownership commercial stabilization and anti-displacement,7.4,7.8,7.7,7.2,8.6,9.1,8.8,2.9,3.7,protects long-standing firms from rent shocks speculative redevelopment property loss and displacement after recovery investment,8.314,0,0.5999999999999996,0.20000000000000018,8.266,Procurement-first,3
LE006,Workforce Childcare and Local Skills Resilience,workforce capacity care infrastructure and local skills,7.2,9.2,7.5,7.4,8.5,8,8.7,2.8,3.6,protects local labor capacity through childcare transit training job quality scheduling stability and worker-centered resilience,8.158000000000001,0,0.7999999999999998,0,8.110000000000001,Procurement-first,4
LE004,Small Business Continuity and Digital Resilience Support,business continuity cyber readiness and digital operations,7.8,7.6,7.8,9.1,8.2,7.6,8.2,3.1,3.2,helps firms maintain records payments communications online visibility cybersecurity and alternate operating modes during disruption,8.062999999999999,0.3000000000000007,0.20000000000000018,0.40000000000000036,8.002999999999997,Procurement-first,5
LE001,Emergency Microgrant and Liquidity Fund,rapid liquidity emergency grants and cash runway protection,9.2,7.4,7.2,7.4,8.3,7.5,8.6,2.8,3,provides fast low-burden support before temporary disruption becomes permanent closure or predatory borrowing,7.982000000000001,0,0,0.5999999999999996,7.9460000000000015,Procurement-first,6
LE006,Workforce Childcare and Local Skills Resilience,workforce capacity care infrastructure and local skills,7.2,9.2,7.5,7.4,8.5,8,8.7,2.8,3.6,protects local labor capacity through childcare transit training job quality scheduling stability and worker-centered resilience,8.072,0,0.7999999999999998,0,8.024,Workforce-first,1
LE003,Local Procurement and Anchor Institution Access,anchor procurement local purchasing and contract access,7.6,7.8,8.6,7.8,8.8,8.8,8.4,3,3.6,connects small firms to stable demand from public agencies hospitals universities schools utilities and large employers,7.831999999999999,0.09999999999999964,0.40000000000000036,0.20000000000000018,7.7879999999999985,Workforce-first,2
LE002,Community Development Finance and Patient Capital,CDFI community banking credit unions and patient capital,8.7,7.5,7.6,7.5,8.4,8.7,8.9,2.7,3.5,expands fair relationship-based capital for firms excluded by conventional lending and weak collateral systems,7.728000000000001,0,0,0.5,7.698,Workforce-first,3
LE005,Commercial Anti-Displacement and Ownership Strategy,local ownership commercial stabilization and anti-displacement,7.4,7.8,7.7,7.2,8.6,9.1,8.8,2.9,3.7,protects long-standing firms from rent shocks speculative redevelopment property loss and displacement after recovery investment,7.7250000000000005,0,0.5999999999999996,0.20000000000000018,7.677000000000001,Workforce-first,4
LE004,Small Business Continuity and Digital Resilience Support,business continuity cyber readiness and digital operations,7.8,7.6,7.8,9.1,8.2,7.6,8.2,3.1,3.2,helps firms maintain records payments communications online visibility cybersecurity and alternate operating modes during disruption,7.604,0.3000000000000007,0.20000000000000018,0.40000000000000036,7.544,Workforce-first,5
LE001,Emergency Microgrant and Liquidity Fund,rapid liquidity emergency grants and cash runway protection,9.2,7.4,7.2,7.4,8.3,7.5,8.6,2.8,3,provides fast low-burden support before temporary disruption becomes permanent closure or predatory borrowing,7.533000000000001,0,0,0.5999999999999996,7.497000000000002,Workforce-first,6
