scenario,strategy_id,strategy,system_domain,rank,financial_resilience_value,systemic_exposure,implementation_burden,critical_function
Inclusion-first,FR005,Non-Bank Financial Intermediation Oversight,non-bank financial intermediation and shadow-risk monitoring,6,6.35,4.4,3.7,tracks liquidity mismatch leverage redemption pressure private credit opacity margin calls and regulatory perimeter risk
Exposure-sensitive,FR001,Higher Capital and Liquidity Buffers,capital liquidity and loss absorption,1,4.612,3.9,3.2,strengthens solvency liquidity and loss absorption before credit market or confidence shocks become systemic
Exposure-sensitive,FR004,Payment and Clearing Infrastructure Hardening,market infrastructure operational resilience and cyber continuity,2,4.576,3.8,3.5,protects payment clearing settlement market data central-counterparty and operational systems under disruption
Exposure-sensitive,FR002,Expanded Systemwide Stress Testing,macroprudential stress testing and early warning,3,4.496,4.0,3.1,reveals hidden capital liquidity market cyber climate and contagion vulnerability under adverse scenarios
Exposure-sensitive,FR003,Resolution Planning and Bail-In Readiness,resolution planning and critical function continuity,4,4.428,4.1,3.6,prepares failing institutions to be resolved while preserving deposits payments clearing lending and other critical functions
Exposure-sensitive,FR006,Inclusive Finance and Household Balance Sheet Resilience,household small-firm and community financial resilience,5,4.362,4.0,3.0,protects households small firms underserved regions fair credit payment access insurance savings and recovery finance
Exposure-sensitive,FR005,Non-Bank Financial Intermediation Oversight,non-bank financial intermediation and shadow-risk monitoring,6,4.182,4.4,3.7,tracks liquidity mismatch leverage redemption pressure private credit opacity margin calls and regulatory perimeter risk
Implementation-aware,FR001,Higher Capital and Liquidity Buffers,capital liquidity and loss absorption,1,5.28,3.9,3.2,strengthens solvency liquidity and loss absorption before credit market or confidence shocks become systemic
Implementation-aware,FR004,Payment and Clearing Infrastructure Hardening,market infrastructure operational resilience and cyber continuity,2,5.2,3.8,3.5,protects payment clearing settlement market data central-counterparty and operational systems under disruption
Implementation-aware,FR002,Expanded Systemwide Stress Testing,macroprudential stress testing and early warning,3,5.18,4.0,3.1,reveals hidden capital liquidity market cyber climate and contagion vulnerability under adverse scenarios
Implementation-aware,FR003,Resolution Planning and Bail-In Readiness,resolution planning and critical function continuity,4,5.08,4.1,3.6,prepares failing institutions to be resolved while preserving deposits payments clearing lending and other critical functions
Implementation-aware,FR006,Inclusive Finance and Household Balance Sheet Resilience,household small-firm and community financial resilience,5,5.045,4.0,3.0,protects households small firms underserved regions fair credit payment access insurance savings and recovery finance
Implementation-aware,FR005,Non-Bank Financial Intermediation Oversight,non-bank financial intermediation and shadow-risk monitoring,6,4.855,4.4,3.7,tracks liquidity mismatch leverage redemption pressure private credit opacity margin calls and regulatory perimeter risk
