 time,financial_function,stress_load,stabilizing_capacity,liquidity_fragility,household_fragility,inclusion_adjusted_function
70, 1.00000, 0.17583, 0.37069, 0.82424, 0.71688, 1.00000
71, 1.00000, 0.17608, 0.37078, 0.82358, 0.71690, 1.00000
72, 1.00000, 0.17633, 0.37087, 0.82294, 0.71691, 1.00000
73, 1.00000, 0.17658, 0.37096, 0.82231, 0.71692, 1.00000
74, 1.00000, 0.17684, 0.37105, 0.82168, 0.71693, 1.00000
75, 1.00000, 0.17709, 0.37113, 0.82107, 0.71694, 1.00000
76, 1.00000, 0.17734, 0.37122, 0.82047, 0.71694, 1.00000
77, 1.00000, 0.17759, 0.37130, 0.81988, 0.71695, 1.00000
78, 1.00000, 0.17785, 0.37138, 0.81930, 0.71696, 1.00000
79, 1.00000, 0.17810, 0.37146, 0.81874, 0.71696, 1.00000
80, 1.00000, 0.17835, 0.37154, 0.81818, 0.71697, 1.00000
81, 1.00000, 0.17861, 0.37162, 0.81764, 0.71697, 1.00000
82, 1.00000, 0.17886, 0.37169, 0.81710, 0.71697, 1.00000
83, 1.00000, 0.17911, 0.37177, 0.81658, 0.71698, 1.00000
84, 1.00000, 0.17937, 0.37184, 0.81607, 0.71698, 1.00000
85, 1.00000, 0.17962, 0.37191, 0.81557, 0.71698, 1.00000
86, 1.00000, 0.17988, 0.37198, 0.81509, 0.71698, 1.00000
87, 1.00000, 0.18013, 0.37205, 0.81461, 0.71698, 1.00000
88, 1.00000, 0.18038, 0.37212, 0.81414, 0.71698, 1.00000
89, 1.00000, 0.18064, 0.37218, 0.81369, 0.71697, 1.00000
90, 1.00000, 0.18089, 0.37225, 0.81325, 0.71697, 1.00000
