strategy_id,strategy,system_domain,capital_strength,liquidity_resilience,infrastructure_robustness,governance_capacity,inclusive_resilience,systemic_exposure,implementation_burden,critical_function,financial_resilience_value,inclusion_gap,infrastructure_gap,adjusted_value,scenario,rank
FR004,Payment and Clearing Infrastructure Hardening,market infrastructure operational resilience and cyber continuity,7.4,7.8,9.2,8.5,7.8,3.8,3.5,protects payment clearing settlement market data central-counterparty and operational systems under disruption,6.957,0.20000000000000018,0,6.943,Governance-first,1
FR003,Resolution Planning and Bail-In Readiness,resolution planning and critical function continuity,8,7.7,8.2,8.8,7.5,4.1,3.6,prepares failing institutions to be resolved while preserving deposits payments clearing lending and other critical functions,6.929,0.5,0,6.894,Governance-first,2
FR002,Expanded Systemwide Stress Testing,macroprudential stress testing and early warning,7.8,8.3,8,8.6,7.6,4,3.1,reveals hidden capital liquidity market cyber climate and contagion vulnerability under adverse scenarios,6.9079999999999995,0.40000000000000036,0,6.879999999999999,Governance-first,3
FR001,Higher Capital and Liquidity Buffers,capital liquidity and loss absorption,8.9,8.8,7.6,8.3,7.4,3.9,3.2,strengthens solvency liquidity and loss absorption before credit market or confidence shocks become systemic,6.9270000000000005,0.5999999999999996,0.40000000000000036,6.861000000000001,Governance-first,4
FR005,Non-Bank Financial Intermediation Oversight,non-bank financial intermediation and shadow-risk monitoring,7.5,7.6,7.8,8.4,7.7,4.4,3.7,tracks liquidity mismatch leverage redemption pressure private credit opacity margin calls and regulatory perimeter risk,6.632000000000001,0.2999999999999998,0.20000000000000018,6.599,Governance-first,5
FR006,Inclusive Finance and Household Balance Sheet Resilience,household small-firm and community financial resilience,7.2,7.4,7.4,8.1,9.2,4,3,protects households small firms underserved regions fair credit payment access insurance savings and recovery finance,6.596,0,0.5999999999999996,6.5600000000000005,Governance-first,6
FR001,Higher Capital and Liquidity Buffers,capital liquidity and loss absorption,8.9,8.8,7.6,8.3,7.4,3.9,3.2,strengthens solvency liquidity and loss absorption before credit market or confidence shocks become systemic,5.280000000000001,0.5999999999999996,0.40000000000000036,5.214000000000001,Implementation-aware,1
FR004,Payment and Clearing Infrastructure Hardening,market infrastructure operational resilience and cyber continuity,7.4,7.8,9.2,8.5,7.8,3.8,3.5,protects payment clearing settlement market data central-counterparty and operational systems under disruption,5.2,0.20000000000000018,0,5.186,Implementation-aware,2
FR002,Expanded Systemwide Stress Testing,macroprudential stress testing and early warning,7.8,8.3,8,8.6,7.6,4,3.1,reveals hidden capital liquidity market cyber climate and contagion vulnerability under adverse scenarios,5.18,0.40000000000000036,0,5.151999999999999,Implementation-aware,3
FR003,Resolution Planning and Bail-In Readiness,resolution planning and critical function continuity,8,7.7,8.2,8.8,7.5,4.1,3.6,prepares failing institutions to be resolved while preserving deposits payments clearing lending and other critical functions,5.08,0.5,0,5.045,Implementation-aware,4
FR006,Inclusive Finance and Household Balance Sheet Resilience,household small-firm and community financial resilience,7.2,7.4,7.4,8.1,9.2,4,3,protects households small firms underserved regions fair credit payment access insurance savings and recovery finance,5.045,0,0.5999999999999996,5.009,Implementation-aware,5
FR005,Non-Bank Financial Intermediation Oversight,non-bank financial intermediation and shadow-risk monitoring,7.5,7.6,7.8,8.4,7.7,4.4,3.7,tracks liquidity mismatch leverage redemption pressure private credit opacity margin calls and regulatory perimeter risk,4.8549999999999995,0.2999999999999998,0.20000000000000018,4.821999999999999,Implementation-aware,6
FR006,Inclusive Finance and Household Balance Sheet Resilience,household small-firm and community financial resilience,7.2,7.4,7.4,8.1,9.2,4,3,protects households small firms underserved regions fair credit payment access insurance savings and recovery finance,6.829999999999999,0,0.5999999999999996,6.794,Inclusion-first,1
FR004,Payment and Clearing Infrastructure Hardening,market infrastructure operational resilience and cyber continuity,7.4,7.8,9.2,8.5,7.8,3.8,3.5,protects payment clearing settlement market data central-counterparty and operational systems under disruption,6.638000000000001,0.20000000000000018,0,6.6240000000000006,Inclusion-first,2
FR002,Expanded Systemwide Stress Testing,macroprudential stress testing and early warning,7.8,8.3,8,8.6,7.6,4,3.1,reveals hidden capital liquidity market cyber climate and contagion vulnerability under adverse scenarios,6.54,0.40000000000000036,0,6.512,Inclusion-first,3
FR001,Higher Capital and Liquidity Buffers,capital liquidity and loss absorption,8.9,8.8,7.6,8.3,7.4,3.9,3.2,strengthens solvency liquidity and loss absorption before credit market or confidence shocks become systemic,6.57,0.5999999999999996,0.40000000000000036,6.5040000000000004,Inclusion-first,4
FR003,Resolution Planning and Bail-In Readiness,resolution planning and critical function continuity,8,7.7,8.2,8.8,7.5,4.1,3.6,prepares failing institutions to be resolved while preserving deposits payments clearing lending and other critical functions,6.477999999999999,0.5,0,6.442999999999999,Inclusion-first,5
FR005,Non-Bank Financial Intermediation Oversight,non-bank financial intermediation and shadow-risk monitoring,7.5,7.6,7.8,8.4,7.7,4.4,3.7,tracks liquidity mismatch leverage redemption pressure private credit opacity margin calls and regulatory perimeter risk,6.35,0.2999999999999998,0.20000000000000018,6.317,Inclusion-first,6
FR004,Payment and Clearing Infrastructure Hardening,market infrastructure operational resilience and cyber continuity,7.4,7.8,9.2,8.5,7.8,3.8,3.5,protects payment clearing settlement market data central-counterparty and operational systems under disruption,7.117999999999999,0.20000000000000018,0,7.103999999999999,Infrastructure-first,1
FR003,Resolution Planning and Bail-In Readiness,resolution planning and critical function continuity,8,7.7,8.2,8.8,7.5,4.1,3.6,prepares failing institutions to be resolved while preserving deposits payments clearing lending and other critical functions,6.791,0.5,0,6.756,Infrastructure-first,2
FR002,Expanded Systemwide Stress Testing,macroprudential stress testing and early warning,7.8,8.3,8,8.6,7.6,4,3.1,reveals hidden capital liquidity market cyber climate and contagion vulnerability under adverse scenarios,6.77,0.40000000000000036,0,6.741999999999999,Infrastructure-first,3
FR001,Higher Capital and Liquidity Buffers,capital liquidity and loss absorption,8.9,8.8,7.6,8.3,7.4,3.9,3.2,strengthens solvency liquidity and loss absorption before credit market or confidence shocks become systemic,6.766,0.5999999999999996,0.40000000000000036,6.7,Infrastructure-first,4
FR005,Non-Bank Financial Intermediation Oversight,non-bank financial intermediation and shadow-risk monitoring,7.5,7.6,7.8,8.4,7.7,4.4,3.7,tracks liquidity mismatch leverage redemption pressure private credit opacity margin calls and regulatory perimeter risk,6.493999999999999,0.2999999999999998,0.20000000000000018,6.4609999999999985,Infrastructure-first,5
FR006,Inclusive Finance and Household Balance Sheet Resilience,household small-firm and community financial resilience,7.2,7.4,7.4,8.1,9.2,4,3,protects households small firms underserved regions fair credit payment access insurance savings and recovery finance,6.4350000000000005,0,0.5999999999999996,6.399000000000001,Infrastructure-first,6
FR001,Higher Capital and Liquidity Buffers,capital liquidity and loss absorption,8.9,8.8,7.6,8.3,7.4,3.9,3.2,strengthens solvency liquidity and loss absorption before credit market or confidence shocks become systemic,7.078,0.5999999999999996,0.40000000000000036,7.0120000000000005,Liquidity-first,1
FR002,Expanded Systemwide Stress Testing,macroprudential stress testing and early warning,7.8,8.3,8,8.6,7.6,4,3.1,reveals hidden capital liquidity market cyber climate and contagion vulnerability under adverse scenarios,6.828999999999999,0.40000000000000036,0,6.800999999999998,Liquidity-first,2
FR004,Payment and Clearing Infrastructure Hardening,market infrastructure operational resilience and cyber continuity,7.4,7.8,9.2,8.5,7.8,3.8,3.5,protects payment clearing settlement market data central-counterparty and operational systems under disruption,6.7459999999999996,0.20000000000000018,0,6.731999999999999,Liquidity-first,3
FR003,Resolution Planning and Bail-In Readiness,resolution planning and critical function continuity,8,7.7,8.2,8.8,7.5,4.1,3.6,prepares failing institutions to be resolved while preserving deposits payments clearing lending and other critical functions,6.65,0.5,0,6.615,Liquidity-first,4
FR005,Non-Bank Financial Intermediation Oversight,non-bank financial intermediation and shadow-risk monitoring,7.5,7.6,7.8,8.4,7.7,4.4,3.7,tracks liquidity mismatch leverage redemption pressure private credit opacity margin calls and regulatory perimeter risk,6.425999999999999,0.2999999999999998,0.20000000000000018,6.392999999999999,Liquidity-first,5
FR006,Inclusive Finance and Household Balance Sheet Resilience,household small-firm and community financial resilience,7.2,7.4,7.4,8.1,9.2,4,3,protects households small firms underserved regions fair credit payment access insurance savings and recovery finance,6.417,0,0.5999999999999996,6.381,Liquidity-first,6
