simulation_id,strategy_id,strategy,rank,financial_resilience_value,winner
5,FR004,Payment and Clearing Infrastructure Hardening,4,5.63967,Higher Capital and Liquidity Buffers
5,FR003,Resolution Planning and Bail-In Readiness,5,5.57869,Higher Capital and Liquidity Buffers
5,FR005,Non-Bank Financial Intermediation Oversight,6,4.96187,Higher Capital and Liquidity Buffers
6,FR001,Higher Capital and Liquidity Buffers,1,6.34289,Higher Capital and Liquidity Buffers
6,FR002,Expanded Systemwide Stress Testing,2,5.96371,Higher Capital and Liquidity Buffers
6,FR004,Payment and Clearing Infrastructure Hardening,3,5.76913,Higher Capital and Liquidity Buffers
6,FR006,Inclusive Finance and Household Balance Sheet Resilience,4,5.73382,Higher Capital and Liquidity Buffers
6,FR003,Resolution Planning and Bail-In Readiness,5,5.38304,Higher Capital and Liquidity Buffers
6,FR005,Non-Bank Financial Intermediation Oversight,6,5.00219,Higher Capital and Liquidity Buffers
7,FR004,Payment and Clearing Infrastructure Hardening,1,5.81967,Payment and Clearing Infrastructure Hardening
7,FR001,Higher Capital and Liquidity Buffers,2,5.76126,Payment and Clearing Infrastructure Hardening
7,FR002,Expanded Systemwide Stress Testing,3,5.63585,Payment and Clearing Infrastructure Hardening
7,FR003,Resolution Planning and Bail-In Readiness,4,5.48562,Payment and Clearing Infrastructure Hardening
7,FR006,Inclusive Finance and Household Balance Sheet Resilience,5,5.27989,Payment and Clearing Infrastructure Hardening
7,FR005,Non-Bank Financial Intermediation Oversight,6,5.19996,Payment and Clearing Infrastructure Hardening
8,FR001,Higher Capital and Liquidity Buffers,1,6.01942,Higher Capital and Liquidity Buffers
8,FR002,Expanded Systemwide Stress Testing,2,5.95131,Higher Capital and Liquidity Buffers
8,FR004,Payment and Clearing Infrastructure Hardening,3,5.91211,Higher Capital and Liquidity Buffers
8,FR005,Non-Bank Financial Intermediation Oversight,4,5.84224,Higher Capital and Liquidity Buffers
8,FR003,Resolution Planning and Bail-In Readiness,5,5.81337,Higher Capital and Liquidity Buffers
8,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.45472,Higher Capital and Liquidity Buffers
9,FR002,Expanded Systemwide Stress Testing,1,5.94607,Expanded Systemwide Stress Testing
9,FR001,Higher Capital and Liquidity Buffers,2,5.76804,Expanded Systemwide Stress Testing
9,FR003,Resolution Planning and Bail-In Readiness,3,5.68335,Expanded Systemwide Stress Testing
9,FR006,Inclusive Finance and Household Balance Sheet Resilience,4,5.64557,Expanded Systemwide Stress Testing
9,FR005,Non-Bank Financial Intermediation Oversight,5,5.64358,Expanded Systemwide Stress Testing
9,FR004,Payment and Clearing Infrastructure Hardening,6,5.4953,Expanded Systemwide Stress Testing
10,FR001,Higher Capital and Liquidity Buffers,1,5.90819,Higher Capital and Liquidity Buffers
10,FR003,Resolution Planning and Bail-In Readiness,2,5.67473,Higher Capital and Liquidity Buffers
10,FR002,Expanded Systemwide Stress Testing,3,5.50052,Higher Capital and Liquidity Buffers
10,FR006,Inclusive Finance and Household Balance Sheet Resilience,4,5.42097,Higher Capital and Liquidity Buffers
10,FR005,Non-Bank Financial Intermediation Oversight,5,5.31657,Higher Capital and Liquidity Buffers
10,FR004,Payment and Clearing Infrastructure Hardening,6,5.29301,Higher Capital and Liquidity Buffers
11,FR004,Payment and Clearing Infrastructure Hardening,1,5.91049,Payment and Clearing Infrastructure Hardening
11,FR001,Higher Capital and Liquidity Buffers,2,5.75626,Payment and Clearing Infrastructure Hardening
11,FR002,Expanded Systemwide Stress Testing,3,5.71521,Payment and Clearing Infrastructure Hardening
11,FR006,Inclusive Finance and Household Balance Sheet Resilience,4,5.56473,Payment and Clearing Infrastructure Hardening
11,FR003,Resolution Planning and Bail-In Readiness,5,5.45798,Payment and Clearing Infrastructure Hardening
11,FR005,Non-Bank Financial Intermediation Oversight,6,5.33872,Payment and Clearing Infrastructure Hardening
12,FR001,Higher Capital and Liquidity Buffers,1,6.20291,Higher Capital and Liquidity Buffers
12,FR003,Resolution Planning and Bail-In Readiness,2,5.92414,Higher Capital and Liquidity Buffers
12,FR004,Payment and Clearing Infrastructure Hardening,3,5.62149,Higher Capital and Liquidity Buffers
12,FR002,Expanded Systemwide Stress Testing,4,5.51764,Higher Capital and Liquidity Buffers
12,FR006,Inclusive Finance and Household Balance Sheet Resilience,5,5.40536,Higher Capital and Liquidity Buffers
12,FR005,Non-Bank Financial Intermediation Oversight,6,5.10045,Higher Capital and Liquidity Buffers
13,FR002,Expanded Systemwide Stress Testing,1,6.20998,Expanded Systemwide Stress Testing
13,FR001,Higher Capital and Liquidity Buffers,2,5.83734,Expanded Systemwide Stress Testing
13,FR006,Inclusive Finance and Household Balance Sheet Resilience,3,5.8246,Expanded Systemwide Stress Testing
13,FR004,Payment and Clearing Infrastructure Hardening,4,5.68862,Expanded Systemwide Stress Testing
13,FR003,Resolution Planning and Bail-In Readiness,5,5.6348,Expanded Systemwide Stress Testing
13,FR005,Non-Bank Financial Intermediation Oversight,6,5.25557,Expanded Systemwide Stress Testing
14,FR002,Expanded Systemwide Stress Testing,1,5.89086,Expanded Systemwide Stress Testing
14,FR001,Higher Capital and Liquidity Buffers,2,5.79076,Expanded Systemwide Stress Testing
14,FR004,Payment and Clearing Infrastructure Hardening,3,5.64359,Expanded Systemwide Stress Testing
14,FR006,Inclusive Finance and Household Balance Sheet Resilience,4,5.61391,Expanded Systemwide Stress Testing
14,FR005,Non-Bank Financial Intermediation Oversight,5,5.18703,Expanded Systemwide Stress Testing
14,FR003,Resolution Planning and Bail-In Readiness,6,5.11724,Expanded Systemwide Stress Testing
15,FR001,Higher Capital and Liquidity Buffers,1,5.94049,Higher Capital and Liquidity Buffers
15,FR002,Expanded Systemwide Stress Testing,2,5.77959,Higher Capital and Liquidity Buffers
15,FR004,Payment and Clearing Infrastructure Hardening,3,5.70114,Higher Capital and Liquidity Buffers
15,FR003,Resolution Planning and Bail-In Readiness,4,5.52036,Higher Capital and Liquidity Buffers
15,FR005,Non-Bank Financial Intermediation Oversight,5,5.42231,Higher Capital and Liquidity Buffers
15,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.3697,Higher Capital and Liquidity Buffers
16,FR001,Higher Capital and Liquidity Buffers,1,5.87784,Higher Capital and Liquidity Buffers
16,FR003,Resolution Planning and Bail-In Readiness,2,5.79516,Higher Capital and Liquidity Buffers
16,FR002,Expanded Systemwide Stress Testing,3,5.67785,Higher Capital and Liquidity Buffers
16,FR006,Inclusive Finance and Household Balance Sheet Resilience,4,5.22614,Higher Capital and Liquidity Buffers
16,FR004,Payment and Clearing Infrastructure Hardening,5,5.22082,Higher Capital and Liquidity Buffers
16,FR005,Non-Bank Financial Intermediation Oversight,6,5.09508,Higher Capital and Liquidity Buffers
17,FR002,Expanded Systemwide Stress Testing,1,5.97938,Expanded Systemwide Stress Testing
17,FR003,Resolution Planning and Bail-In Readiness,2,5.87121,Expanded Systemwide Stress Testing
17,FR004,Payment and Clearing Infrastructure Hardening,3,5.83881,Expanded Systemwide Stress Testing
17,FR005,Non-Bank Financial Intermediation Oversight,4,5.81527,Expanded Systemwide Stress Testing
17,FR001,Higher Capital and Liquidity Buffers,5,5.73832,Expanded Systemwide Stress Testing
17,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.57663,Expanded Systemwide Stress Testing
18,FR001,Higher Capital and Liquidity Buffers,1,5.93726,Higher Capital and Liquidity Buffers
18,FR004,Payment and Clearing Infrastructure Hardening,2,5.76205,Higher Capital and Liquidity Buffers
18,FR006,Inclusive Finance and Household Balance Sheet Resilience,3,5.70913,Higher Capital and Liquidity Buffers
18,FR003,Resolution Planning and Bail-In Readiness,4,5.58425,Higher Capital and Liquidity Buffers
18,FR005,Non-Bank Financial Intermediation Oversight,5,5.5142,Higher Capital and Liquidity Buffers
18,FR002,Expanded Systemwide Stress Testing,6,5.06842,Higher Capital and Liquidity Buffers
19,FR003,Resolution Planning and Bail-In Readiness,1,5.78015,Resolution Planning and Bail-In Readiness
19,FR001,Higher Capital and Liquidity Buffers,2,5.5746,Resolution Planning and Bail-In Readiness
19,FR006,Inclusive Finance and Household Balance Sheet Resilience,3,5.52176,Resolution Planning and Bail-In Readiness
19,FR002,Expanded Systemwide Stress Testing,4,5.51345,Resolution Planning and Bail-In Readiness
19,FR005,Non-Bank Financial Intermediation Oversight,5,5.46516,Resolution Planning and Bail-In Readiness
19,FR004,Payment and Clearing Infrastructure Hardening,6,5.25269,Resolution Planning and Bail-In Readiness
20,FR001,Higher Capital and Liquidity Buffers,1,5.87995,Higher Capital and Liquidity Buffers
20,FR006,Inclusive Finance and Household Balance Sheet Resilience,2,5.80963,Higher Capital and Liquidity Buffers
20,FR003,Resolution Planning and Bail-In Readiness,3,5.69643,Higher Capital and Liquidity Buffers
20,FR004,Payment and Clearing Infrastructure Hardening,4,5.62187,Higher Capital and Liquidity Buffers
20,FR002,Expanded Systemwide Stress Testing,5,5.46548,Higher Capital and Liquidity Buffers
20,FR005,Non-Bank Financial Intermediation Oversight,6,5.30455,Higher Capital and Liquidity Buffers
21,FR001,Higher Capital and Liquidity Buffers,1,6.08055,Higher Capital and Liquidity Buffers
21,FR002,Expanded Systemwide Stress Testing,2,5.80147,Higher Capital and Liquidity Buffers
21,FR004,Payment and Clearing Infrastructure Hardening,3,5.53839,Higher Capital and Liquidity Buffers
21,FR003,Resolution Planning and Bail-In Readiness,4,5.43474,Higher Capital and Liquidity Buffers
21,FR005,Non-Bank Financial Intermediation Oversight,5,5.35669,Higher Capital and Liquidity Buffers
21,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.19116,Higher Capital and Liquidity Buffers
22,FR004,Payment and Clearing Infrastructure Hardening,1,6.16689,Payment and Clearing Infrastructure Hardening
22,FR002,Expanded Systemwide Stress Testing,2,5.80733,Payment and Clearing Infrastructure Hardening
22,FR003,Resolution Planning and Bail-In Readiness,3,5.75441,Payment and Clearing Infrastructure Hardening
22,FR005,Non-Bank Financial Intermediation Oversight,4,5.74399,Payment and Clearing Infrastructure Hardening
22,FR001,Higher Capital and Liquidity Buffers,5,5.69727,Payment and Clearing Infrastructure Hardening
22,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.26872,Payment and Clearing Infrastructure Hardening
23,FR003,Resolution Planning and Bail-In Readiness,1,6.06148,Resolution Planning and Bail-In Readiness
23,FR002,Expanded Systemwide Stress Testing,2,5.89559,Resolution Planning and Bail-In Readiness
23,FR004,Payment and Clearing Infrastructure Hardening,3,5.73933,Resolution Planning and Bail-In Readiness
23,FR001,Higher Capital and Liquidity Buffers,4,5.69887,Resolution Planning and Bail-In Readiness
23,FR005,Non-Bank Financial Intermediation Oversight,5,5.60013,Resolution Planning and Bail-In Readiness
23,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.30325,Resolution Planning and Bail-In Readiness
24,FR003,Resolution Planning and Bail-In Readiness,1,6.10841,Resolution Planning and Bail-In Readiness
24,FR002,Expanded Systemwide Stress Testing,2,5.99637,Resolution Planning and Bail-In Readiness
24,FR004,Payment and Clearing Infrastructure Hardening,3,5.71039,Resolution Planning and Bail-In Readiness
24,FR005,Non-Bank Financial Intermediation Oversight,4,5.63279,Resolution Planning and Bail-In Readiness
24,FR001,Higher Capital and Liquidity Buffers,5,5.60573,Resolution Planning and Bail-In Readiness
24,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.51016,Resolution Planning and Bail-In Readiness
25,FR001,Higher Capital and Liquidity Buffers,1,5.65483,Higher Capital and Liquidity Buffers
25,FR004,Payment and Clearing Infrastructure Hardening,2,5.59747,Higher Capital and Liquidity Buffers
25,FR006,Inclusive Finance and Household Balance Sheet Resilience,3,5.51035,Higher Capital and Liquidity Buffers
25,FR002,Expanded Systemwide Stress Testing,4,5.48005,Higher Capital and Liquidity Buffers
25,FR003,Resolution Planning and Bail-In Readiness,5,5.28574,Higher Capital and Liquidity Buffers
25,FR005,Non-Bank Financial Intermediation Oversight,6,5.18838,Higher Capital and Liquidity Buffers
26,FR001,Higher Capital and Liquidity Buffers,1,6.22286,Higher Capital and Liquidity Buffers
26,FR004,Payment and Clearing Infrastructure Hardening,2,6.14647,Higher Capital and Liquidity Buffers
26,FR002,Expanded Systemwide Stress Testing,3,5.79904,Higher Capital and Liquidity Buffers
26,FR006,Inclusive Finance and Household Balance Sheet Resilience,4,5.44044,Higher Capital and Liquidity Buffers
26,FR003,Resolution Planning and Bail-In Readiness,5,5.21705,Higher Capital and Liquidity Buffers
26,FR005,Non-Bank Financial Intermediation Oversight,6,5.19995,Higher Capital and Liquidity Buffers
27,FR003,Resolution Planning and Bail-In Readiness,1,5.92452,Resolution Planning and Bail-In Readiness
27,FR001,Higher Capital and Liquidity Buffers,2,5.81633,Resolution Planning and Bail-In Readiness
27,FR002,Expanded Systemwide Stress Testing,3,5.67111,Resolution Planning and Bail-In Readiness
27,FR004,Payment and Clearing Infrastructure Hardening,4,5.62822,Resolution Planning and Bail-In Readiness
27,FR006,Inclusive Finance and Household Balance Sheet Resilience,5,5.59463,Resolution Planning and Bail-In Readiness
27,FR005,Non-Bank Financial Intermediation Oversight,6,5.02515,Resolution Planning and Bail-In Readiness
28,FR002,Expanded Systemwide Stress Testing,1,6.01602,Expanded Systemwide Stress Testing
28,FR001,Higher Capital and Liquidity Buffers,2,5.93541,Expanded Systemwide Stress Testing
28,FR004,Payment and Clearing Infrastructure Hardening,3,5.75569,Expanded Systemwide Stress Testing
28,FR006,Inclusive Finance and Household Balance Sheet Resilience,4,5.4781,Expanded Systemwide Stress Testing
28,FR003,Resolution Planning and Bail-In Readiness,5,5.43134,Expanded Systemwide Stress Testing
28,FR005,Non-Bank Financial Intermediation Oversight,6,5.36609,Expanded Systemwide Stress Testing
29,FR004,Payment and Clearing Infrastructure Hardening,1,5.89515,Payment and Clearing Infrastructure Hardening
29,FR001,Higher Capital and Liquidity Buffers,2,5.69377,Payment and Clearing Infrastructure Hardening
29,FR005,Non-Bank Financial Intermediation Oversight,3,5.62857,Payment and Clearing Infrastructure Hardening
29,FR006,Inclusive Finance and Household Balance Sheet Resilience,4,5.43837,Payment and Clearing Infrastructure Hardening
29,FR002,Expanded Systemwide Stress Testing,5,5.43428,Payment and Clearing Infrastructure Hardening
29,FR003,Resolution Planning and Bail-In Readiness,6,5.37752,Payment and Clearing Infrastructure Hardening
30,FR001,Higher Capital and Liquidity Buffers,1,6.0225,Higher Capital and Liquidity Buffers
30,FR003,Resolution Planning and Bail-In Readiness,2,5.88498,Higher Capital and Liquidity Buffers
30,FR005,Non-Bank Financial Intermediation Oversight,3,5.80604,Higher Capital and Liquidity Buffers
30,FR006,Inclusive Finance and Household Balance Sheet Resilience,4,5.71604,Higher Capital and Liquidity Buffers
30,FR002,Expanded Systemwide Stress Testing,5,5.68107,Higher Capital and Liquidity Buffers
30,FR004,Payment and Clearing Infrastructure Hardening,6,5.45931,Higher Capital and Liquidity Buffers
31,FR003,Resolution Planning and Bail-In Readiness,1,6.32032,Resolution Planning and Bail-In Readiness
31,FR002,Expanded Systemwide Stress Testing,2,5.91567,Resolution Planning and Bail-In Readiness
31,FR004,Payment and Clearing Infrastructure Hardening,3,5.76157,Resolution Planning and Bail-In Readiness
31,FR001,Higher Capital and Liquidity Buffers,4,5.64658,Resolution Planning and Bail-In Readiness
31,FR006,Inclusive Finance and Household Balance Sheet Resilience,5,5.4122,Resolution Planning and Bail-In Readiness
31,FR005,Non-Bank Financial Intermediation Oversight,6,5.38234,Resolution Planning and Bail-In Readiness
32,FR003,Resolution Planning and Bail-In Readiness,1,6.00201,Resolution Planning and Bail-In Readiness
32,FR001,Higher Capital and Liquidity Buffers,2,5.92878,Resolution Planning and Bail-In Readiness
32,FR002,Expanded Systemwide Stress Testing,3,5.83334,Resolution Planning and Bail-In Readiness
32,FR004,Payment and Clearing Infrastructure Hardening,4,5.52295,Resolution Planning and Bail-In Readiness
32,FR005,Non-Bank Financial Intermediation Oversight,5,5.36964,Resolution Planning and Bail-In Readiness
32,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.36756,Resolution Planning and Bail-In Readiness
33,FR004,Payment and Clearing Infrastructure Hardening,1,5.94758,Payment and Clearing Infrastructure Hardening
33,FR001,Higher Capital and Liquidity Buffers,2,5.94463,Payment and Clearing Infrastructure Hardening
33,FR006,Inclusive Finance and Household Balance Sheet Resilience,3,5.88252,Payment and Clearing Infrastructure Hardening
33,FR005,Non-Bank Financial Intermediation Oversight,4,5.56181,Payment and Clearing Infrastructure Hardening
33,FR002,Expanded Systemwide Stress Testing,5,5.50855,Payment and Clearing Infrastructure Hardening
33,FR003,Resolution Planning and Bail-In Readiness,6,5.49625,Payment and Clearing Infrastructure Hardening
34,FR004,Payment and Clearing Infrastructure Hardening,1,6.37938,Payment and Clearing Infrastructure Hardening
34,FR001,Higher Capital and Liquidity Buffers,2,5.86414,Payment and Clearing Infrastructure Hardening
34,FR006,Inclusive Finance and Household Balance Sheet Resilience,3,5.62705,Payment and Clearing Infrastructure Hardening
34,FR003,Resolution Planning and Bail-In Readiness,4,5.43617,Payment and Clearing Infrastructure Hardening
34,FR002,Expanded Systemwide Stress Testing,5,5.22582,Payment and Clearing Infrastructure Hardening
34,FR005,Non-Bank Financial Intermediation Oversight,6,5.03348,Payment and Clearing Infrastructure Hardening
35,FR006,Inclusive Finance and Household Balance Sheet Resilience,1,5.88693,Inclusive Finance and Household Balance Sheet Resilience
35,FR004,Payment and Clearing Infrastructure Hardening,2,5.86666,Inclusive Finance and Household Balance Sheet Resilience
35,FR003,Resolution Planning and Bail-In Readiness,3,5.59891,Inclusive Finance and Household Balance Sheet Resilience
35,FR001,Higher Capital and Liquidity Buffers,4,5.56086,Inclusive Finance and Household Balance Sheet Resilience
35,FR002,Expanded Systemwide Stress Testing,5,5.19991,Inclusive Finance and Household Balance Sheet Resilience
35,FR005,Non-Bank Financial Intermediation Oversight,6,5.12029,Inclusive Finance and Household Balance Sheet Resilience
36,FR002,Expanded Systemwide Stress Testing,1,5.7577,Expanded Systemwide Stress Testing
36,FR004,Payment and Clearing Infrastructure Hardening,2,5.64899,Expanded Systemwide Stress Testing
36,FR001,Higher Capital and Liquidity Buffers,3,5.51815,Expanded Systemwide Stress Testing
36,FR006,Inclusive Finance and Household Balance Sheet Resilience,4,5.37249,Expanded Systemwide Stress Testing
36,FR003,Resolution Planning and Bail-In Readiness,5,5.34444,Expanded Systemwide Stress Testing
36,FR005,Non-Bank Financial Intermediation Oversight,6,5.20213,Expanded Systemwide Stress Testing
37,FR004,Payment and Clearing Infrastructure Hardening,1,6.26242,Payment and Clearing Infrastructure Hardening
37,FR002,Expanded Systemwide Stress Testing,2,6.07867,Payment and Clearing Infrastructure Hardening
37,FR001,Higher Capital and Liquidity Buffers,3,6.06505,Payment and Clearing Infrastructure Hardening
37,FR006,Inclusive Finance and Household Balance Sheet Resilience,4,5.95944,Payment and Clearing Infrastructure Hardening
37,FR003,Resolution Planning and Bail-In Readiness,5,5.63051,Payment and Clearing Infrastructure Hardening
37,FR005,Non-Bank Financial Intermediation Oversight,6,5.45617,Payment and Clearing Infrastructure Hardening
38,FR001,Higher Capital and Liquidity Buffers,1,5.95857,Higher Capital and Liquidity Buffers
38,FR004,Payment and Clearing Infrastructure Hardening,2,5.75343,Higher Capital and Liquidity Buffers
38,FR006,Inclusive Finance and Household Balance Sheet Resilience,3,5.56169,Higher Capital and Liquidity Buffers
38,FR005,Non-Bank Financial Intermediation Oversight,4,5.37186,Higher Capital and Liquidity Buffers
38,FR003,Resolution Planning and Bail-In Readiness,5,5.14365,Higher Capital and Liquidity Buffers
38,FR002,Expanded Systemwide Stress Testing,6,5.07303,Higher Capital and Liquidity Buffers
39,FR002,Expanded Systemwide Stress Testing,1,6.19523,Expanded Systemwide Stress Testing
39,FR001,Higher Capital and Liquidity Buffers,2,6.03314,Expanded Systemwide Stress Testing
39,FR004,Payment and Clearing Infrastructure Hardening,3,5.94079,Expanded Systemwide Stress Testing
39,FR006,Inclusive Finance and Household Balance Sheet Resilience,4,5.36297,Expanded Systemwide Stress Testing
39,FR003,Resolution Planning and Bail-In Readiness,5,5.3505,Expanded Systemwide Stress Testing
39,FR005,Non-Bank Financial Intermediation Oversight,6,4.8104,Expanded Systemwide Stress Testing
40,FR004,Payment and Clearing Infrastructure Hardening,1,6.20679,Payment and Clearing Infrastructure Hardening
40,FR001,Higher Capital and Liquidity Buffers,2,5.85179,Payment and Clearing Infrastructure Hardening
40,FR006,Inclusive Finance and Household Balance Sheet Resilience,3,5.69747,Payment and Clearing Infrastructure Hardening
40,FR003,Resolution Planning and Bail-In Readiness,4,5.67226,Payment and Clearing Infrastructure Hardening
40,FR002,Expanded Systemwide Stress Testing,5,5.65309,Payment and Clearing Infrastructure Hardening
40,FR005,Non-Bank Financial Intermediation Oversight,6,5.16743,Payment and Clearing Infrastructure Hardening
41,FR004,Payment and Clearing Infrastructure Hardening,1,5.84825,Payment and Clearing Infrastructure Hardening
41,FR003,Resolution Planning and Bail-In Readiness,2,5.83934,Payment and Clearing Infrastructure Hardening
41,FR002,Expanded Systemwide Stress Testing,3,5.50437,Payment and Clearing Infrastructure Hardening
41,FR001,Higher Capital and Liquidity Buffers,4,5.44354,Payment and Clearing Infrastructure Hardening
41,FR005,Non-Bank Financial Intermediation Oversight,5,5.36446,Payment and Clearing Infrastructure Hardening
41,FR006,Inclusive Finance and Household Balance Sheet Resilience,6,5.3612,Payment and Clearing Infrastructure Hardening
42,FR001,Higher Capital and Liquidity Buffers,1,6.15651,Higher Capital and Liquidity Buffers
42,FR002,Expanded Systemwide Stress Testing,2,5.9778,Higher Capital and Liquidity Buffers
42,FR003,Resolution Planning and Bail-In Readiness,3,5.89315,Higher Capital and Liquidity Buffers
42,FR004,Payment and Clearing Infrastructure Hardening,4,5.74725,Higher Capital and Liquidity Buffers
42,FR006,Inclusive Finance and Household Balance Sheet Resilience,5,5.70428,Higher Capital and Liquidity Buffers
42,FR005,Non-Bank Financial Intermediation Oversight,6,5.04404,Higher Capital and Liquidity Buffers
43,FR002,Expanded Systemwide Stress Testing,1,6.00684,Expanded Systemwide Stress Testing
43,FR006,Inclusive Finance and Household Balance Sheet Resilience,2,5.85473,Expanded Systemwide Stress Testing
43,FR005,Non-Bank Financial Intermediation Oversight,3,5.75184,Expanded Systemwide Stress Testing
43,FR004,Payment and Clearing Infrastructure Hardening,4,5.72044,Expanded Systemwide Stress Testing
43,FR003,Resolution Planning and Bail-In Readiness,5,5.28428,Expanded Systemwide Stress Testing
43,FR001,Higher Capital and Liquidity Buffers,6,5.22935,Expanded Systemwide Stress Testing
44,FR003,Resolution Planning and Bail-In Readiness,1,5.83906,Resolution Planning and Bail-In Readiness
44,FR001,Higher Capital and Liquidity Buffers,2,5.80108,Resolution Planning and Bail-In Readiness
44,FR004,Payment and Clearing Infrastructure Hardening,3,5.60039,Resolution Planning and Bail-In Readiness
44,FR006,Inclusive Finance and Household Balance Sheet Resilience,4,5.59224,Resolution Planning and Bail-In Readiness
44,FR002,Expanded Systemwide Stress Testing,5,5.51949,Resolution Planning and Bail-In Readiness
44,FR005,Non-Bank Financial Intermediation Oversight,6,5.28703,Resolution Planning and Bail-In Readiness
45,FR003,Resolution Planning and Bail-In Readiness,1,5.86734,Resolution Planning and Bail-In Readiness
45,FR002,Expanded Systemwide Stress Testing,2,5.80617,Resolution Planning and Bail-In Readiness
45,FR004,Payment and Clearing Infrastructure Hardening,3,5.75051,Resolution Planning and Bail-In Readiness
45,FR001,Higher Capital and Liquidity Buffers,4,5.68947,Resolution Planning and Bail-In Readiness
45,FR006,Inclusive Finance and Household Balance Sheet Resilience,5,5.54841,Resolution Planning and Bail-In Readiness
45,FR005,Non-Bank Financial Intermediation Oversight,6,5.36509,Resolution Planning and Bail-In Readiness
46,FR001,Higher Capital and Liquidity Buffers,1,6.38181,Higher Capital and Liquidity Buffers
46,FR004,Payment and Clearing Infrastructure Hardening,2,5.8382,Higher Capital and Liquidity Buffers
46,FR006,Inclusive Finance and Household Balance Sheet Resilience,3,5.74268,Higher Capital and Liquidity Buffers
46,FR005,Non-Bank Financial Intermediation Oversight,4,5.62874,Higher Capital and Liquidity Buffers
46,FR003,Resolution Planning and Bail-In Readiness,5,5.58329,Higher Capital and Liquidity Buffers
46,FR002,Expanded Systemwide Stress Testing,6,5.50853,Higher Capital and Liquidity Buffers
